order,node_id,image_id,icon_png,contributor,license_url,source_page
Passeriformes,9148d683-dce9-49c3-8b52-ee1d33d1602d,d2ab018f-58b9-485c-add1-ceedda3ea042,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Passeriformes.png,Jason Dilworth,https://creativecommons.org/publicdomain/zero/1.0/,https://www.phylopic.org/images/d2ab018f-58b9-485c-add1-ceedda3ea042
Charadriiformes,5e722aed-f2c0-40f8-80cd-57a4c478b8bb,b853c7c8-05ba-4f0e-a9ee-5ba7786b5b3e,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Charadriiformes.png,T. Michael Keesey,https://creativecommons.org/licenses/by/3.0/,https://www.phylopic.org/images/b853c7c8-05ba-4f0e-a9ee-5ba7786b5b3e
Accipitriformes,6acb58ad-4cd7-490c-9530-c932417a31b1,58005551-049f-497c-912c-db2b5aaec47d,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Accipitriformes.png,Lucy,https://creativecommons.org/licenses/by/4.0/,https://www.phylopic.org/images/58005551-049f-497c-912c-db2b5aaec47d
Anseriformes,3fca2566-dd0c-44ee-bd5f-ca6ddc59ee76,c9ac51dc-abfe-4903-ac40-e47359e6e266,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Anseriformes.png,T. Michael Keesey,https://creativecommons.org/publicdomain/zero/1.0/,https://www.phylopic.org/images/c9ac51dc-abfe-4903-ac40-e47359e6e266
Pelecaniformes,ab14bff2-ebd5-493c-9d0a-9a40d4f6e733,d0508bc3-dec1-40ee-85b1-a09b11a097b5,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Pelecaniformes.png,T. Michael Keesey,https://creativecommons.org/licenses/by/3.0/,https://www.phylopic.org/images/d0508bc3-dec1-40ee-85b1-a09b11a097b5
Columbiformes,a536deee-f23f-473a-9c9b-c52797cf08b5,d3cc7d56-bce6-4228-b000-40a91a0e177f,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Columbiformes.png,Natalia Ladino,https://creativecommons.org/licenses/by/4.0/,https://www.phylopic.org/images/d3cc7d56-bce6-4228-b000-40a91a0e177f
Gruiformes,75aab8bd-c57a-4185-ade7-6494c737da7c,97c102e7-99e7-4a73-bf39-b600a7cc7688,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Gruiformes.png,Kai Caspar,https://creativecommons.org/publicdomain/zero/1.0/,https://www.phylopic.org/images/97c102e7-99e7-4a73-bf39-b600a7cc7688
Galliformes,635ff52a-decc-4e2b-97c5-96b631a10379,7049fb6c-4b2e-4a1a-9d80-a49428d5328b,/Users/dingchenchen/Documents/New project/bird_new_records_R_output/assets/phylopic_icons/Galliformes.png,Natalia Ladino,https://creativecommons.org/licenses/by/4.0/,https://www.phylopic.org/images/7049fb6c-4b2e-4a1a-9d80-a49428d5328b
