grid_id,province,centroid_lon,centroid_lat
1,Hainan,110.454769190569,8.17245606664609
2,Hainan,111.779680838859,16.2133034273503
3,Hainan,109.60533667869,18.204454268609
4,Hainan,108.700992916166,18.7053342290736
5,Hainan,109.163995387608,18.687035199996
6,Hainan,109.626816700456,18.6665817228839
7,Hainan,110.08943685774,18.6439745561633
8,Hainan,108.718344821681,19.1666362365132
9,Hainan,109.183513211545,19.1482878352263
10,Hainan,109.648497886506,19.1277792405822
11,Hainan,110.113278569001,19.1051112355302
12,Hainan,109.203214758433,19.6086340362969
13,Hainan,109.670383073947,19.5880688237472
14,Hainan,110.137344506538,19.5653383233864
15,Hainan,110.604078547605,19.5404434261112
16,Hainan,110.161637845629,20.024677648126
17,Hainan,110.630569911061,19.999712575123
18,Guangdong,110.186161821735,20.4831508915177
19,Guangdong,109.737291826785,20.9637076931051
20,Yunnan,101.654215393288,21.4759560770899
21,Guangxi,109.283911020116,21.4413895745384
22,Guangdong,110.235914936376,21.397585199025
23,Guangdong,110.711566683391,21.3723984263164
24,Guangdong,115.921720200388,20.9512234968948
25,Yunnan,100.20230824669,21.8759802435844
26,Yunnan,100.680702629659,21.8969192191051
27,Yunnan,101.159297801056,21.9156602041908
28,Yunnan,101.638071630729,21.9322023534063
29,Guangxi,107.389188170863,21.9590260336378
30,Guangxi,107.868256512553,21.9469514229039
31,Guangxi,108.347191283994,21.9326765611436
32,Guangxi,108.825970260395,21.9162020944954
33,Guangxi,109.304571260409,21.8975287675079
34,Guangxi,109.782972152257,21.8766574226126
35,Guangdong,110.261150859836,21.8535889995281
36,Guangdong,110.73908536877,21.8283245345948
37,Guangdong,111.216753732434,21.8008651600423
38,Guangdong,111.69413407792,21.771212103189
39,Guangdong,112.647943626779,21.7053303220289
40,Yunnan,99.69858560983,22.3080650866281
41,Yunnan,100.179065293259,22.3312741252932
42,Yunnan,100.659771088999,22.3522792663125
43,Yunnan,101.140680602636,22.371079538985
44,Yunnan,101.621771382537,22.3876740727746
45,Guangxi,106.919273993908,22.4244879543695
46,Guangxi,107.400776522914,22.4145828022677
47,Guangxi,107.882166116884,22.4024698906206
48,Guangxi,108.363420189049,22.3881497829351
49,Guangxi,108.844516190829,22.3716231445233
50,Guangxi,109.325431618146,22.3528907420328
51,Guangxi,109.806144017702,22.3319534429072
52,Guangxi,110.286630993233,22.3088122147748
53,Guangxi,110.766870211708,22.2834681247669
54,Guangdong,111.246839409496,22.2559223387678
55,Guangdong,111.726516398477,22.2261761205933
56,Guangdong,112.205879072104,22.1942308311032
57,Guangdong,112.684905411408,22.1600879272448
58,Guangdong,113.163573490941,22.1237489610292
59,Yunnan,99.6727860383199,22.7625264345636
60,Yunnan,100.155596216947,22.7858102822348
61,Yunnan,100.638635820903,22.8068832136771
62,Yunnan,101.121882129454,22.8257442296259
63,Yunnan,101.605312363241,22.8423924339358
64,Yunnan,102.088903690679,22.8568270342102
65,Yunnan,102.572633234387,22.869047342357
66,Yunnan,103.056478077661,22.8790527750716
67,Yunnan,103.540415270963,22.8868428542472
68,Yunnan,104.024421838442,22.8924172073102
69,Yunnan,104.50847478447,22.895775567482
70,Guangxi,106.928629787495,22.8793255607536
71,Guangxi,107.412477815309,22.8693882999943
72,Guangxi,107.896211249384,22.8572361475183
73,Guangxi,108.379807171907,22.8428696833979
74,Guangxi,108.863242704193,22.8262895925074
75,Guangxi,109.346495013148,22.8074966640414
76,Guangxi,109.829541317713,22.7864917909611
77,Guangxi,110.312358895253,22.7632759693679
78,Guangxi,110.794925087919,22.7378502978045
79,Guangdong,111.277217308962,22.7102159764856
80,Guangdong,111.759213048986,22.6803743064564
81,Guangdong,112.240889882163,22.6483266886822
82,Guangdong,112.722225472377,22.6140746230684
83,Guangdong,113.203197579313,22.5776197074112
84,Yunnan,99.161826833383,23.190671866717
85,Yunnan,99.6467343738432,23.2162493114744
86,Yunnan,100.131897704473,23.2396097844918
87,Yunnan,100.61729383844,23.260752151938
88,Yunnan,101.10289972233,23.2796753853974
89,Yunnan,101.588692242662,23.2963785625885
90,Yunnan,102.074648232437,23.3108608680092
91,Yunnan,102.560744477736,23.3231215935072
92,Yunnan,103.046957724341,23.3331601387752
93,Yunnan,103.533264684388,23.3409760117722
94,Yunnan,104.019642043055,23.3465688290667
95,Yunnan,104.506066465248,23.3499383161066
96,Yunnan,104.992514602322,23.3510843074107
97,Yunnan,105.478963098803,23.3500067466851
98,Guangxi,105.96538859911,23.3467056868624
99,Guangxi,106.451767754289,23.3411812900648
100,Guangxi,106.938077228729,23.3334338274904
101,Guangxi,107.424293706883,23.3234636792231
102,Guangxi,107.910393899959,23.3112713339665
103,Guangxi,108.396354552604,23.2968573887017
104,Guangxi,108.882152449558,23.2802225482689
105,Guangxi,109.367764422281,23.2613676248748
106,Guangxi,109.853167355547,23.2402935375238
107,Guangxi,110.338338193996,23.2170013113755
108,Guangxi,110.82325394865,23.1914920770286
109,Guangxi,111.307891703374,23.1637670697306
110,Guangdong,111.792228621295,23.1338276285162
111,Guangdong,112.276241951152,23.1016751952727
112,Guangdong,112.759909033597,23.0673113137357
113,Guangdong,113.243207307426,23.0307376284132
114,Guangdong,113.726114315741,22.9919558834416
115,Guangdong,114.208607712037,22.9509679213731
116,Guangdong,114.690665266219,22.9077756818957
117,Guangdong,115.17226487053,22.8623812004873
118,Yunnan,99.133147008786,23.6435914600375
119,Yunnan,99.6204269070214,23.6692546997464
120,Yunnan,100.107966377565,23.6926936382462
121,Yunnan,100.59574209604,23.7139071088871
122,Yunnan,101.083730669844,23.7328940534924
123,Yunnan,101.571908644817,23.7496535230966
124,Yunnan,102.060252511956,23.7641846786072
125,Yunnan,102.548738714173,23.7764867913898
126,Yunnan,103.037343653082,23.7865592437767
127,Yunnan,103.526043695817,23.7944015294986
128,Yunnan,104.014815181881,23.8000132540378
129,Yunnan,104.503634430005,23.8033941349042
130,Yunnan,104.992477745028,23.8045440018323
131,Yunnan,105.481321424793,23.8034627969009
132,Yunnan,105.970141767034,23.8001505745728
133,Guangxi,106.458915076272,23.7946075016573
134,Guangxi,106.947617670711,23.7868338571934
135,Guangxi,107.436225889108,23.7768300322545
136,Guangxi,107.924716097647,23.7645965296761
137,Guangxi,108.413064696778,23.7501339637031
138,Guangxi,108.90124812804,23.7334430595623
139,Guangxi,109.389242880852,23.7145246529551
140,Guangxi,109.877025499263,23.6933796894751
141,Guangxi,110.364572588678,23.6700092239484
142,Guangxi,110.851860822521,23.6444144196985
143,Guangxi,111.338866948862,23.6165965477363
144,Guangdong,111.825567796988,23.586556985875
145,Guangdong,112.311940283911,23.5542972177726
146,Guangdong,112.797961420819,23.5198188319004
147,Guangdong,113.283608319455,23.4831235204408
148,Guangdong,113.768858198431,23.444213078113
149,Guangdong,114.253688389458,23.4030894009298
150,Guangdong,114.738076343506,23.3597544848852
151,Guangdong,115.22199963687,23.3142104245745
152,Guangdong,115.705435977155,23.2664594117471
153,Guangdong,116.188363209168,23.2165037337952
154,Yunnan,97.6369738991986,24.0051820579091
155,Yunnan,99.1041843487823,24.0958124542544
156,Yunnan,99.5938598554152,24.1215635284603
157,Yunnan,100.083798791352,24.1450827974538
158,Yunnan,100.573977488052,24.1663690610689
159,Yunnan,101.064372207049,24.1854212307345
160,Yunnan,101.55495914679,24.2022383302322
161,Yunnan,102.045714449512,24.2168194963748
162,Yunnan,102.536614208171,24.2291639796077
163,Yunnan,103.02763447339,24.239271144531
164,Yunnan,103.518751260456,24.2471404703424
165,Yunnan,104.009940556333,24.2527715511997
166,Yunnan,104.501178326694,24.2561640965044
167,Yunnan,104.992440522976,24.2573179311043
168,Guangxi,105.48370308944,24.2562329954156
169,Guangxi,105.974941970239,24.2529093454643
170,Guangxi,106.466133116483,24.2473471528476
171,Guangxi,106.957252493304,24.2395467046134
172,Guangxi,107.448276086903,24.2295084030611
173,Guangxi,107.939179911591,24.21723276546
174,Guangxi,108.429940016802,24.2027204236896
175,Guangxi,108.920532494081,24.1859721237986
176,Guangxi,109.410933484047,24.1669887254856
177,Guangxi,109.901119183315,24.1457712015002
178,Guangxi,110.391065851374,24.1223206369666
179,Guangxi,110.880749817431,24.0966382286287
180,Guangxi,111.370147487188,24.0687252840185
181,Guangxi,111.859235349583,24.0385832205483
182,Guangdong,112.347989983448,24.0062135645274
183,Guangdong,112.836388064125,23.9716179501043
184,Guangdong,113.324406369996,23.9347981181351
185,Guangdong,113.812021788947,23.895755914979
186,Guangdong,114.299211324749,23.8544932912231
187,Guangdong,114.785952103365,23.8110123003357
188,Guangdong,115.272221379159,23.7653150972512
189,Guangdong,115.757996541021,23.7174039368862
190,Guangdong,116.243255118399,23.6672811725889
191,Guangdong,116.727974787226,23.6149492545239
192,Yunnan,97.6004936821615,24.4564099093272
193,Yunnan,98.0916430047748,24.4889608032969
194,Yunnan,98.5831312496336,24.5192765941207
195,Yunnan,99.0749346537327,24.5473557084923
196,Yunnan,99.5670293617188,24.5731966850858
197,Yunnan,100.059391432722,24.5967981755678
198,Yunnan,100.55199684725,24.6181589455318
199,Yunnan,101.044821514141,24.6372778753543
200,Yunnan,101.537841277565,24.6541539609726
201,Yunnan,102.031031924078,24.6687863145815
202,Yunnan,102.524369189717,24.6811741652513
203,Yunnan,103.017828767129,24.6913168594634
204,Yunnan,103.511386312737,24.6992138615654
205,Yunnan,104.005017453927,24.7048647541438
206,Yunnan,104.498697796266,24.7082692383149
207,Guangxi,104.992402930722,24.7094271339327
208,Guangxi,105.486108440911,24.7083383797144
209,Guizhou,105.979789910335,24.7050030332838
210,Guangxi,106.47342292963,24.6994212711299
211,Guangxi,106.966983103804,24.6915933884852
212,Guangxi,107.460446059464,24.6815197991191
213,Guangxi,107.953787452033,24.6692010350504
214,Guangxi,108.446982972936,24.6546377461765
215,Guangxi,108.940008356768,24.6378306998215
216,Guangxi,109.432839388423,24.6187807802025
217,Guangxi,109.925451910195,24.5974889878141
218,Guangxi,110.417821828825,24.5739564387348
219,Guangxi,110.909925122512,24.5481843638508
220,Guangxi,111.401737847863,24.520174108003
221,Guangxi,111.893236146792,24.4899271290544
222,Guangdong,112.384396253349,24.4574449968811
223,Guangdong,112.875194500491,24.4227293922856
224,Guangdong,113.365607326775,24.3857821058362
225,Guangdong,113.855611282978,24.34660503663
226,Guangdong,114.34518303863,24.3052001909847
227,Guangdong,114.83429938847,24.2615696810564
228,Guangdong,115.322937258808,24.2157157233875
229,Guangdong,115.811073713789,24.1676406373844
230,Guangdong,116.298685961569,24.1173468437273
231,Guangdong,116.785751360381,24.0648368627125
232,Fujian,117.272247424499,24.0101133125294
233,Fujian,117.758151830088,23.9531789074741
234,Yunnan,98.0572291634548,24.9396397211771
235,Yunnan,98.5511514613461,24.9700631145052
236,Yunnan,99.0453936405416,24.99824205078
237,Yunnan,99.5399314918998,25.0241750272416
238,Yunnan,100.03474071862,25.0478606573309
239,Yunnan,100.529796943307,25.0692976716488
240,Yunnan,101.025075715096,25.0884849188357
241,Yunnan,101.520552516829,25.1054213663705
242,Yunnan,102.016202772286,25.1201061012866
243,Yunnan,102.512001853452,25.1325383308059
244,Yunnan,103.007925087834,25.1427173828902
245,Yunnan,103.503947765797,25.1506427067079
246,Yunnan,104.000045147941,25.1563138730175
247,Yunnan,104.496192472494,25.1597305744659
248,Guizhou,104.992364962718,25.1608926258026
249,Guizhou,105.488537834337,25.1597999640085
250,Guizhou,105.984686302957,25.1564526483399
251,Guizhou,106.480785591499,25.1508508602869
252,Guangxi,106.976810937619,25.1429949034477
