year,temp_native_anom_range,species
2002,1.17134623314362,Abroscopus albogularis
2003,1.06283088139723,Abroscopus albogularis
2004,1.18315755922352,Abroscopus albogularis
2005,1.18075099459425,Abroscopus albogularis
2006,1.18374495739029,Abroscopus albogularis
2007,1.5076562062959,Abroscopus albogularis
2008,1.1380932461524,Abroscopus albogularis
2009,0.797644095502505,Abroscopus albogularis
2010,1.20246682273074,Abroscopus albogularis
2011,0.786476870270875,Abroscopus albogularis
2012,1.18638988917491,Abroscopus albogularis
2013,1.10285595338836,Abroscopus albogularis
2014,1.16747344952592,Abroscopus albogularis
2015,1.0879192777664,Abroscopus albogularis
2016,1.18237155657969,Abroscopus albogularis
2017,1.438209763802,Abroscopus albogularis
2018,0.826216356489393,Abroscopus albogularis
2019,1.10249269932896,Abroscopus albogularis
2020,1.16631304950052,Abroscopus albogularis
2021,1.25918256746455,Abroscopus albogularis
2022,1.36785150993438,Abroscopus albogularis
2023,1.50139865896689,Abroscopus albogularis
2024,1.51714017811816,Abroscopus albogularis
2002,1.17134623314362,Accipiter gularis
2003,1.06283088139723,Accipiter gularis
2004,1.18315755922352,Accipiter gularis
2005,1.18075099459425,Accipiter gularis
2006,1.18374495739029,Accipiter gularis
2007,1.5076562062959,Accipiter gularis
2008,1.1380932461524,Accipiter gularis
2009,0.797644095502505,Accipiter gularis
2010,1.20246682273074,Accipiter gularis
2011,0.786476870270875,Accipiter gularis
2012,1.18638988917491,Accipiter gularis
2013,1.10285595338836,Accipiter gularis
2014,1.16747344952592,Accipiter gularis
2015,1.0879192777664,Accipiter gularis
2016,1.18237155657969,Accipiter gularis
2017,1.438209763802,Accipiter gularis
2018,0.826216356489393,Accipiter gularis
2019,1.10249269932896,Accipiter gularis
2020,1.16631304950052,Accipiter gularis
2021,1.25918256746455,Accipiter gularis
2022,1.36785150993438,Accipiter gularis
2023,1.50139865896689,Accipiter gularis
2024,1.51714017811816,Accipiter gularis
2002,1.17134623314362,Accipiter soloensis
2003,1.06283088139723,Accipiter soloensis
2004,1.18315755922352,Accipiter soloensis
2005,1.18075099459425,Accipiter soloensis
2006,1.18374495739029,Accipiter soloensis
2007,1.5076562062959,Accipiter soloensis
2008,1.1380932461524,Accipiter soloensis
2009,0.797644095502505,Accipiter soloensis
2010,1.20246682273074,Accipiter soloensis
2011,0.786476870270875,Accipiter soloensis
2012,1.18638988917491,Accipiter soloensis
2013,1.10285595338836,Accipiter soloensis
2014,1.16747344952592,Accipiter soloensis
2015,1.0879192777664,Accipiter soloensis
2016,1.18237155657969,Accipiter soloensis
2017,1.438209763802,Accipiter soloensis
2018,0.826216356489393,Accipiter soloensis
2019,1.10249269932896,Accipiter soloensis
2020,1.16631304950052,Accipiter soloensis
2021,1.25918256746455,Accipiter soloensis
2022,1.36785150993438,Accipiter soloensis
2023,1.50139865896689,Accipiter soloensis
2024,1.51714017811816,Accipiter soloensis
2002,1.17134623314362,Accipiter trivirgatus
2003,1.06283088139723,Accipiter trivirgatus
2004,1.18315755922352,Accipiter trivirgatus
2005,1.18075099459425,Accipiter trivirgatus
2006,1.18374495739029,Accipiter trivirgatus
2007,1.5076562062959,Accipiter trivirgatus
2008,1.1380932461524,Accipiter trivirgatus
2009,0.797644095502505,Accipiter trivirgatus
2010,1.20246682273074,Accipiter trivirgatus
2011,0.786476870270875,Accipiter trivirgatus
2012,1.18638988917491,Accipiter trivirgatus
2013,1.10285595338836,Accipiter trivirgatus
2014,1.16747344952592,Accipiter trivirgatus
2015,1.0879192777664,Accipiter trivirgatus
2016,1.18237155657969,Accipiter trivirgatus
2017,1.438209763802,Accipiter trivirgatus
2018,0.826216356489393,Accipiter trivirgatus
2019,1.10249269932896,Accipiter trivirgatus
2020,1.16631304950052,Accipiter trivirgatus
2021,1.25918256746455,Accipiter trivirgatus
2022,1.36785150993438,Accipiter trivirgatus
2023,1.50139865896689,Accipiter trivirgatus
2024,1.51714017811816,Accipiter trivirgatus
2002,1.17134623314362,Accipiter virgatus
2003,1.06283088139723,Accipiter virgatus
2004,1.18315755922352,Accipiter virgatus
2005,1.18075099459425,Accipiter virgatus
2006,1.18374495739029,Accipiter virgatus
2007,1.5076562062959,Accipiter virgatus
2008,1.1380932461524,Accipiter virgatus
2009,0.797644095502505,Accipiter virgatus
2010,1.20246682273074,Accipiter virgatus
2011,0.786476870270875,Accipiter virgatus
2012,1.18638988917491,Accipiter virgatus
2013,1.10285595338836,Accipiter virgatus
2014,1.16747344952592,Accipiter virgatus
2015,1.0879192777664,Accipiter virgatus
2016,1.18237155657969,Accipiter virgatus
2017,1.438209763802,Accipiter virgatus
2018,0.826216356489393,Accipiter virgatus
2019,1.10249269932896,Accipiter virgatus
2020,1.16631304950052,Accipiter virgatus
2021,1.25918256746455,Accipiter virgatus
2022,1.36785150993438,Accipiter virgatus
2023,1.50139865896689,Accipiter virgatus
2024,1.51714017811816,Accipiter virgatus
2002,1.17134623314362,Acridotheres tristis
2003,1.06283088139723,Acridotheres tristis
2004,1.18315755922352,Acridotheres tristis
2005,1.18075099459425,Acridotheres tristis
2006,1.18374495739029,Acridotheres tristis
2007,1.5076562062959,Acridotheres tristis
2008,1.1380932461524,Acridotheres tristis
2009,0.797644095502505,Acridotheres tristis
2010,1.20246682273074,Acridotheres tristis
2011,0.786476870270875,Acridotheres tristis
2012,1.18638988917491,Acridotheres tristis
2013,1.10285595338836,Acridotheres tristis
2014,1.16747344952592,Acridotheres tristis
2015,1.0879192777664,Acridotheres tristis
2016,1.18237155657969,Acridotheres tristis
2017,1.438209763802,Acridotheres tristis
2018,0.826216356489393,Acridotheres tristis
2019,1.10249269932896,Acridotheres tristis
2020,1.16631304950052,Acridotheres tristis
2021,1.25918256746455,Acridotheres tristis
2022,1.36785150993438,Acridotheres tristis
2023,1.50139865896689,Acridotheres tristis
2024,1.51714017811816,Acridotheres tristis
2002,1.17134623314362,Acrocephalus agricola
2003,1.06283088139723,Acrocephalus agricola
2004,1.18315755922352,Acrocephalus agricola
2005,1.18075099459425,Acrocephalus agricola
2006,1.18374495739029,Acrocephalus agricola
2007,1.5076562062959,Acrocephalus agricola
2008,1.1380932461524,Acrocephalus agricola
2009,0.797644095502505,Acrocephalus agricola
2010,1.20246682273074,Acrocephalus agricola
2011,0.786476870270875,Acrocephalus agricola
2012,1.18638988917491,Acrocephalus agricola
2013,1.10285595338836,Acrocephalus agricola
2014,1.16747344952592,Acrocephalus agricola
2015,1.0879192777664,Acrocephalus agricola
2016,1.18237155657969,Acrocephalus agricola
2017,1.438209763802,Acrocephalus agricola
2018,0.826216356489393,Acrocephalus agricola
2019,1.10249269932896,Acrocephalus agricola
2020,1.16631304950052,Acrocephalus agricola
2021,1.25918256746455,Acrocephalus agricola
2022,1.36785150993438,Acrocephalus agricola
2023,1.50139865896689,Acrocephalus agricola
2024,1.51714017811816,Acrocephalus agricola
2002,1.17134623314362,Acrocephalus bistrigiceps
2003,1.06283088139723,Acrocephalus bistrigiceps
2004,1.18315755922352,Acrocephalus bistrigiceps
2005,1.18075099459425,Acrocephalus bistrigiceps
2006,1.18374495739029,Acrocephalus bistrigiceps
2007,1.5076562062959,Acrocephalus bistrigiceps
2008,1.1380932461524,Acrocephalus bistrigiceps
2009,0.797644095502505,Acrocephalus bistrigiceps
2010,1.20246682273074,Acrocephalus bistrigiceps
2011,0.786476870270875,Acrocephalus bistrigiceps
2012,1.18638988917491,Acrocephalus bistrigiceps
2013,1.10285595338836,Acrocephalus bistrigiceps
2014,1.16747344952592,Acrocephalus bistrigiceps
2015,1.0879192777664,Acrocephalus bistrigiceps
2016,1.18237155657969,Acrocephalus bistrigiceps
2017,1.438209763802,Acrocephalus bistrigiceps
2018,0.826216356489393,Acrocephalus bistrigiceps
2019,1.10249269932896,Acrocephalus bistrigiceps
2020,1.16631304950052,Acrocephalus bistrigiceps
