species,bio1_native,bio12_native
Amaurornis phoenicurus,0.614529426440462,44.7867044885482
Anthropoides virgo,1.07624380853456,11.0850275432604
Athene noctua,1.32715219442058,7.7197516045446
Bubulcus ibis,0.588683970115262,27.2944488850411
Myophonus caeruleus,0.667629078174771,54.7466737587749
Paradoxornis heudei,0.723659216754146,1.82847173767539
Phylloscopus burkii,0.660284480993347,-19.2114681022372
Sturnus vulgaris,1.12480626535318,17.0775725292016
Centropus bengalensis,0.620908500122662,105.335911277239
Clamator coromandus,0.467983120600029,-4.03258091670818
Egretta eulophotes,0.541140763827934,61.6152547276048
Garrulax canorus,0.521603696655767,-168.021285348114
Gyps himalayensis,0.683402652647347,34.1781674774517
Locustella davidi,1.30391672479113,16.5020447652146
Niltava grandis,0.386069432168114,-58.4415561481847
Phylloscopus castaniceps,0.504746041431528,-13.320244828049
Pycnonotus sinensis,0.766170205589518,-12.2604844084628
Aethopyga christinae,0.385716451260356,-344.354914325446
Coturnicops exquisitus,0.881717281326386,-66.6300972534272
Lanius tephronotus,0.49338758952976,-0.976485798603562
Passer cinnamomeus,0.706510674969771,8.05346509183107
Tyto alba,0.623110433068077,10.4052972955997
Asio flammeus,1.22391681774142,-2.30557708235426
Certhia tianquanensis,0.277942697951031,-6.15429801584412
Hydroprogne caspia,1.04942043098624,3.15575866548856
Mixornis gularis,0.510872433627963,-43.3607023976874
Phoebastria immutabilis,0.46305102136368,-56.3195238147364
Tyto longimembris,0.288665796210726,-35.1322457088611
Acrocephalus concinens,0.998411294053197,-21.2097068403768
Alcedo hercules,0.707738055187289,-6.83806521877227
Ardea intermedia,0.759300326724276,40.5431818005955
Aythya fuligula,0.181590039243948,13.8524861868715
Aythya nyroca,0.615247135605237,10.9814326754114
Bucanetes mongolicus,1.09503141066007,1.11078564156907
Bulweria bulwerii,0.0417445540793118,18.2804227448605
Charadrius placidus,0.536711558005234,-3.00403127094774
Charadrius veredus,0.79798032370363,-7.29739584997099
Chloris ambigua,0.79012174695292,-10.1001311520961
Chloris sinica,0.689957171655838,-15.4234200692409
Cisticola juncidis,0.47548981634132,50.0411404626063
Copsychus saularis,0.505338732366539,51.4854463761942
Cyanoderma rufifrons,0.432766953934298,130.346545377312
Dicrurus hottentottus,0.597862704142616,47.503566329494
Elanus caeruleus,0.539275313294699,44.4557919549213
Gracupica nigricollis,0.542226365428412,80.9848481774478
Helopsaltes pryeri,0.45853594388346,-58.2933342120102
Larus cachinnans,0.552486526497525,5.49355157318638
Larus crassirostris,0.398696628135956,87.3411615612306
Lonchura striata,0.378111109462106,34.1673763096812
Oroanassa magnifica,0.613317858353851,45.6447608318253
Otocichla mupinensis,0.853478193876625,22.5884040675675
Parus monticolus,0.849405903678777,-88.2075957365521
Pellorneum tickelli,0.432948995210902,115.274182451813
Picumnus innominatus,0.659520358714691,63.8474363967563
Pycnonotus aurigaster,0.496469441138533,82.561834904418
Riparia riparia,0.542749492212361,8.82324309378544
Sitta villosa,1.30256732270742,25.0331825505329
Spilopelia chinensis,0.61151681515361,83.5807516268769
Streptopelia decaocto,0.771222796944866,12.3859280445774
Suthora alphonsiana,0.605429607931601,-122.046223690305
Synthliboramphus antiquus,0.678699170655802,16.1507455770252
Syrrhaptes paradoxus,0.839240311251567,-11.18126765109
Vanellus cinereus,0.253859247464071,-10.5626273513077
Vanellus vanellus,0.445414681794438,6.66168660465377
Accipiter trivirgatus,0.369333442984521,187.71363095984
Aegithalos bonvaloti,0.57189967360586,32.6996939589575
Anser indicus,1.30911678326503,4.64148786307314
Anthus godlewskii,2.24025917245245,-37.7936036656505
Chrysolophus pictus,0.6381704904547,2.40246181531961
Cisticola exilis,0.234075342529444,25.4039540111685
Ficedula hyperythra,0.501830997997904,5.15607302251517
Larvivora cyane,0.759647721095513,19.1164351565245
Monticola rufiventris,0.660901939039936,-66.5784473690826
Nisaetus nipalensis,0.640966941845758,26.8836612633919
Numenius madagascariensis,1.4325468277903,15.051242915013
Pitta sordida,0.350738641007769,116.080214271899
Podiceps nigricollis,0.829826544761041,-0.189212907012461
Prunella immaculata,0.467598229394478,0.260953766469299
Pterorhinus gularis,0.495674864119373,35.4701766852932
Suthora przewalskii,0.863962603929759,-13.6240193152998
Turdus boulboul,0.738693528214027,-60.6307921896649
Yuhina nigrimenta,0.608706295360308,5.71999390715439
Zoothera mollissima,0.599791907903663,-97.1764331844113
Zoothera monticola,0.452811087914872,-36.5782081425487
Chlidonias leucopterus,1.34509109251388,-7.0657239955703
Garrulax maesi,-0.0992884084362622,116.45214169185
Glaucidium cuculoides,0.0678588938314881,56.8716837337554
Halcyon coromanda,0.597859510356789,-6.10619121977629
Phylloscopus intermedius,0.454808323723511,-80.2404248080139
Podiceps grisegena,0.833441839996362,19.9547095322358
Prunella montanella,1.45808042929204,33.7998778223189
Psilopogon faiostrictus,0.281424390635623,54.5298887150302
Stachyris nonggangensis,-0.295992125208976,316.258642879533
Anser anser,0.256784840648297,20.0454160300041
Ficedula tricolor,0.708710460855767,-97.1603023174397
Garrulax monileger,0.690932635227455,-38.7137147913693
Geokichla citrina,0.60162617007124,-81.9894895017079
Grandala coelicolor,1.11360979216344,-37.3140478138032
Halcyon smyrnensis,0.779025072264254,41.0285779128259
Lanius schach,0.499818641623092,-7.31232600460078
Mycerobas affinis,0.85453869067463,-118.113998094301
Mycteria leucocephala,0.825257729012769,-69.2064444931109
Passer domesticus,1.39042454783245,19.6506177522612
Pericrocotus solaris,0.639138496481019,-62.8268798001459
Podoces biddulphi,1.05380136898962,-9.97219019545847
Pterorhinus berthemyi,0.5980332385497,-175.165864683775
Pterorhinus pectoralis,0.696498404829072,-180.560429318378
Rallina eurizonoides,0.27800281858197,157.703081433929
Acridotheres tristis,0.865215848076012,48.8552593376177
Aegithalos fuliginosus,0.688438287309475,-13.675354034701
Aerodramus brevirostris,0.801563182450947,25.9787842680576
Anthus gustavi,1.6988135363648,25.3133143203316
Aviceda leuphotes,0.963625490753406,-12.5727557258261
Cyanoderma pyrrhops,1.18780051401495,-66.3904264001863
Cygnus olor,0.800067686394794,20.2657380099423
Cyornis rubeculoides,0.983171597932603,130.386139603624
Emberiza godlewskii,0.486263822404968,28.3601065124659
Galerida cristata,1.01869770609398,40.9358325152895
Gypaetus barbatus,1.23428019792227,25.6704306770812
Haliaeetus leucoryphus,1.00843552575357,37.5172691236285
