species,province,longitude,latitude,grid_id,pub_year,dist_to_grid
Accipiter badius,Hunan,111.63,25.19,74,2025,0.42847666755891
Accipiter gularis,Xinjiang,88.36,36.47,515,2013,0.379118222767983
Accipiter soloensis,Gansu,116.22,33.7,391,2015,0.108553344685473
Accipiter soloensis,Heilongjiang,125.25,49.09,916,2020,0.549964108203826
Accipiter soloensis,Inner Mongolia,105.66,38.11,530,2023,0.460887203201128
Accipiter trivirgatus,Anhui,117.82,30.23,243,2010,0.191555727708199
Accipiter trivirgatus,Beijing,116.17,39.99,652,2013,0.145617465457888
Accipiter trivirgatus,Gansu,105.4,32.6,303,2022,0.152193826597723
Accipiter trivirgatus,Henan,114.25,31.95,311,2008,0.442538014070172
Accipiter trivirgatus,Liaoning,121.14,38.73,655,2021,1.04078817954567
Accipiter trivirgatus,Shaanxi,107.67,33.55,344,2007,0.266018366367813
Accipiter virgatus,Anhui,117.12,31.77,314,2012,0.158399597093844
Aquila fasciata,Liaoning,121.14,38.73,655,2021,1.04078817954567
Aquila fasciata,Shaanxi,110.01,32.85,307,2020,0.584341349168207
Aquila heliaca,Hunan,110.87,29.98,200,2023,0.454656893493821
Aquila heliaca,Ningxia,106.51,38.55,570,2021,0.184193248163809
Aviceda jerdoni,Guangdong,111.44,21.83,11,2023,0.534791922225407
Aviceda jerdoni,Hunan,110.88,29.98,200,2018,0.463160853042401
Aviceda leuphotes,Gansu,105.63,33.55,342,2019,0.386599586283294
Aviceda leuphotes,Jiangsu,119.07,32.25,355,2010,0.445130707120963
Aviceda leuphotes,Ningxia,106.31,35.35,420,2024,0.181118662812506
Aviceda leuphotes,Shanxi,111.38,35.01,424,2023,0.527646082978985
Butastur indicus,Anhui,116.82,31.47,278,2013,0.451001415512497
Butastur indicus,Gansu,105.5,32.98,342,2024,0.50125818481554
Circaetus gallicus,Guangxi,109.05,21.45,9,2021,0.229220521115565
Circaetus gallicus,Hunan,110.87,29.97,200,2023,0.449426458180564
Circaetus gallicus,Jiangsu,118.95,32.5,355,2025,0.434277996642694
Circus aeruginosus,Gansu,103.47,37.89,528,2025,0.506890571286796
Circus aeruginosus,Ningxia,106.26,37,493,2025,0.166690679248159
Circus macrourus,Zhejiang,120.63,27.86,176,2023,0.0517128310379233
Circus spilonotus,Xinjiang,86.82,47.78,878,2015,0.400340564500198
Clanga clanga,Gansu,104.08,35.82,455,2023,0.264422152158095
Elanus caeruleus,Beijing,116.17,39.99,652,2013,0.145617465457888
Elanus caeruleus,Gansu,106.71,35.55,420,2025,0.484653156094273
Elanus caeruleus,Henan,113.74,33.54,350,2014,0.512066913703033
Elanus caeruleus,Liaoning,121.14,38.73,655,2021,1.04078817954567
Elanus caeruleus,Inner Mongolia,113.83,41.44,688,2023,0.338717479450725
Elanus caeruleus,Shaanxi,109.06,34.44,384,2016,0.510557925395174
Elanus caeruleus,Sichuan,101.89,26.47,85,2016,0.403308568915288
Elanus caeruleus,Tianjin,117.11,39.17,616,2006,0.109010922185212
Gypaetus barbatus,Shaanxi,109.94,36.87,496,2024,0.0913626245913289
Gypaetus barbatus,Chongqing,107.86,28.98,164,2010,0.501855710511909
Gyps himalayensis,Guangxi,109.08,21.44,9,2013,0.240404468315262
Gyps himalayensis,Liaoning,121.02,42.05,762,2003,0.34059098074783
Gyps tenuirostris,Yunnan,100.63,23.79,24,2021,0.411182734700953
Haliaeetus leucoryphus,Yunnan,99.95,27.91,127,2010,0.186381194929966
Haliaeetus pelagicus,Jiangsu,120.96,32.76,356,2024,0.605284671059137
Haliastur indus,Hunan,110.76,27.25,113,2025,0.482544308527983
Hieraaetus pennatus,Gansu,94.12,39.88,634,2014,0.469721039009799
Hieraaetus pennatus,Hainan,110.35,18.67,2,2022,0.526911230437154
Hieraaetus pennatus,Henan,112.38,34.6,425,2012,0.57474400609723
Hieraaetus pennatus,Hunan,110.87,29.97,200,2021,0.449426458180564
Hieraaetus pennatus,Qinghai,96.37,37.43,522,2017,0.340683293739495
Hieraaetus pennatus,Shaanxi,109.06,34.31,384,2021,0.479667536684913
Hieraaetus pennatus,Tibet,85.35,28.35,212,2016,0.754762194415617
Ictinaetus malaiensis,Anhui,117.45,30,243,2010,0.438229944492509
Ictinaetus malaiensis,Shandong,118.62,36.2,504,2023,0.291547507680831
Lophotriorchis kienerii,Tibet,95.35,29.45,186,2019,0.507210226937022
Neophron percnopterus,Xinjiang,75.25,39.92,736,2012,0.143932202563389
Nisaetus nipalensis,Gansu,104.71,32.93,302,2007,0.661649865974494
Nisaetus nipalensis,Guizhou,105.83,28.12,133,2018,0.44650088856336
Pernis ptilorhynchus,Tianjin,117.82,39.33,654,2001,0.765759123562631
Spilornis cheela,Heilongjiang,124.56,47.08,888,2011,0.664514519122706
Spilornis cheela,Shanghai,121.97,30.89,318,2018,0.825969540122053
Aix galericulata,Tibet,91.18,29.65,218,2021,0.523447997644439
Aix galericulata,Xinjiang,82.94,37.26,587,2015,0.559275551101384
Anas carolinensis,Shandong,119.43,35.37,468,2023,0.676215129773887
Anser albifrons,Gansu,105.76,33,342,2023,0.650981421405277
Anser anser,Hainan,110.58,19.9,4,2009,0.306559073725787
Anser caerulescens,Guizhou,104.22,26.86,107,2024,0.322633179311972
Anser caerulescens,Jilin,122.07,44.9,833,2001,0.135937891789738
Anser caerulescens,Liaoning,122.27,40.7,694,2018,0.428889550398778
Anser caerulescens,Shandong,118.98,37.77,542,2000,0.695855330614567
Anser erythropus,Yunnan,100.08,26.73,103,2004,0.363632745502657
Anser fabalis,Tibet,95.83,29.27,186,2016,0.238880016235692
Anser indicus,Henan,111.13,34.77,424,2019,0.398389987818269
Anser indicus,Chongqing,106.43,29.84,196,2007,0.130603823507097
Asarcornis scutulata,Yunnan,97.57,24.72,61,2019,0.85237138769458
Aythya collaris,Shandong,120.08,36.25,505,2023,0.180918971913908
Aythya fuligula,Hainan,109.17,18.75,1,2006,0.28899508803009
Aythya nyroca,Fujian,119.52,25.96,122,2006,0.339735225890544
Aythya nyroca,Jilin,123.88,46.01,871,2012,0.467734672521143
Branta bernicla,Anhui,117.09,30.75,278,2017,0.318189534200345
