new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Anas carolinensis,NA,1,2023,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Anhinga melanogaster,Suliformes,1,2024,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Bubulcus ibis,NA,3,2002,Heilongjiang | Shanxi | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Callacanthis burtoni,Passeriformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Charadrius asiaticus,Charadriiformes,1,2001,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius mongolus | Charadrius atrifrons | Charadrius placidus | Charadrius veredus | Charadrius dealbatus,same genus Charadrius mongolus | Charadrius atrifrons | Charadrius placidus | Charadrius veredus | Charadrius dealbatus,FALSE
Clamator jacobinus,Cuculiformes,1,2021,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Clamator coromandus,same genus Clamator coromandus,FALSE
Cyanoderma rufifrons,NA,1,2006,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Cyanoderma pyrrhops,same genus Cyanoderma pyrrhops,FALSE
Cyornis poliogenys,Passeriformes,1,2014,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Cyornis hainanus | Cyornis glaucicomans | Cyornis rubeculoides,same genus Cyornis hainanus | Cyornis glaucicomans | Cyornis rubeculoides,FALSE
Glareola lactea,Charadriiformes,2,2019,Guangxi | Hainan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Grus vipio,NA,3,2019,Gansu | Shanxi | Sichuan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Grus japonensis | Grus monacha | Grus virgo | Grus nigricollis,same genus Grus japonensis | Grus monacha | Grus virgo | Grus nigricollis,FALSE
Gyps tenuirostris,Accipitriformes,1,2021,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Calidris tenuirostris | Ardenna tenuirostris,same epithet Calidris tenuirostris | Ardenna tenuirostris,FALSE
