new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Anser anser,Anseriformes,1,2009,Hainan,Anser anser,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anser caerulescens,Anseriformes,4,2000,Guizhou | Jilin | Liaoning | Shandong,Anser caerulescens,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anser erythropus,Anseriformes,1,2004,Yunnan,Anser erythropus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anser fabalis,Anseriformes,1,2016,Tibet,Anser fabalis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anser indicus,Anseriformes,2,2007,Chongqing | Henan,Anser indicus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthreptes malacensis,Passeriformes,1,2010,Yunnan,Anthreptes malacensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus godlewskii,Passeriformes,1,2007,Shaanxi,Anthus godlewskii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus gustavi,Passeriformes,4,2010,Anhui | Hubei | Xinjiang,Anthus gustavi,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus pratensis,Passeriformes,1,2025,Jiangsu,Anthus pratensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus richardi,Passeriformes,1,2017,Tibet,Anthus richardi,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus roseatus,Passeriformes,1,2021,Zhejiang,Anthus roseatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Anthus trivialis,Passeriformes,1,2024,Jiangsu,Anthus trivialis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aquila fasciata,Accipitriformes,2,2020,Liaoning | Shaanxi,Aquila fasciata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aquila heliaca,Accipitriformes,2,2021,Hunan | Ningxia,Aquila heliaca,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardea intermedia,Pelecaniformes,2,2006,Jilin | Liaoning,Ardea intermedia,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardea purpurea,Pelecaniformes,1,2019,Xinjiang,Ardea purpurea,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardenna pacifica,Procellariiformes,2,2013,Shanghai | Zhejiang,Ardenna pacifica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardenna tenuirostris,Procellariiformes,2,2014,Fujian | Hebei,Ardenna tenuirostris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardeola bacchus,Pelecaniformes,1,2001,Xinjiang,Ardeola bacchus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardeola grayii,Pelecaniformes,2,2016,Guangdong | Yunnan,Ardeola grayii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ardeola speciosa,Pelecaniformes,1,2025,Guangxi,Ardeola speciosa,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Arenaria interpres,Charadriiformes,2,2000,Xinjiang | Yunnan,Arenaria interpres,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Artamus fuscus,Passeriformes,3,2015,Guizhou | Hunan | Jiangxi,Artamus fuscus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Asarcornis scutulata,Anseriformes,1,2019,Yunnan,Asarcornis scutulata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Asio flammeus,Strigiformes,1,2005,Guangxi,Asio flammeus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Athene noctua,Strigiformes,2,2002,Yunnan | Zhejiang,Athene noctua,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aviceda jerdoni,Accipitriformes,2,2018,Guangdong | Hunan,Aviceda jerdoni,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aviceda leuphotes,Accipitriformes,4,2010,Gansu | Jiangsu | Ningxia | Shanxi,Aviceda leuphotes,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aythya collaris,Anseriformes,1,2023,Shandong,Aythya collaris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aythya fuligula,Anseriformes,1,2006,Hainan,Aythya fuligula,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Aythya nyroca,Anseriformes,2,2006,Fujian | Jilin,Aythya nyroca,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Bombycilla japonica,Passeriformes,3,2013,Gansu | Ningxia | Qinghai,Bombycilla japonica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Brachyramphus perdix,Charadriiformes,1,2016,Jiangsu,Brachyramphus perdix,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Branta bernicla,Anseriformes,2,2017,Anhui | Henan,Branta bernicla,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Branta canadensis,Anseriformes,4,2017,Heilongjiang | Liaoning | Tianjin | Zhejiang,Branta canadensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Branta hutchinsii,Anseriformes,2,2016,Hebei | Hubei,Branta hutchinsii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Branta leucopsis,Anseriformes,1,2019,Jilin,Branta leucopsis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Branta ruficollis,Anseriformes,4,2008,Hebei | Henan | Sichuan | Xinjiang,Branta ruficollis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Bubo nipalensis,Strigiformes,2,2014,Chongqing | Guangxi,Bubo nipalensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Bubulcus ibis,NA,3,2002,Heilongjiang | Shanxi | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Bucanetes mongolicus,Passeriformes,3,2006,Heilongjiang | Sichuan | Tibet,Bucanetes mongolicus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Bulweria bulwerii,Procellariiformes,1,2006,Yunnan,Bulweria bulwerii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Butastur indicus,Accipitriformes,2,2013,Anhui | Gansu,Butastur indicus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cacomantis merulinus,Cuculiformes,1,2016,Shaanxi,Cacomantis merulinus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calandrella brachydactyla,Passeriformes,1,2024,Hunan,Calandrella brachydactyla,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris acuminata,Charadriiformes,2,2010,Shaanxi | Xinjiang,Calidris acuminata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris alba,Charadriiformes,1,2017,Yunnan,Calidris alba,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris alpina,Charadriiformes,4,2011,Chongqing | Shaanxi | Tibet | Yunnan,Calidris alpina,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris bairdii,Charadriiformes,1,2023,Zhejiang,Calidris bairdii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris canutus,Charadriiformes,1,2010,Jilin,Calidris canutus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris falcinellus,Charadriiformes,2,2011,Jilin | Shaanxi,Calidris falcinellus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris melanotos,Charadriiformes,6,2007,Hainan | Hunan | Liaoning | Tianjin | Yunnan | Zhejiang,Calidris melanotos,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris minuta,Charadriiformes,9,2007,Hainan | Hubei | Hunan | Jilin | Liaoning | Shaanxi | Sichuan | Tianjin | Yunnan,Calidris minuta,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris pugnax,Charadriiformes,5,2007,Guizhou | Henan | Liaoning | Shaanxi | Tianjin,Calidris pugnax,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris pygmaea,Charadriiformes,1,2018,Shandong,Calidris pygmaea,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris subminuta,Charadriiformes,2,2010,Jilin | Xinjiang,Calidris subminuta,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calidris tenuirostris,Charadriiformes,3,2011,Jilin | Sichuan | Yunnan,Calidris tenuirostris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Callacanthis burtoni,Passeriformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calliope obscura,Passeriformes,1,2021,Hubei,Calliope obscura,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Calonectris leucomelas,Procellariiformes,2,2012,Anhui | Tianjin,Calonectris leucomelas,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Caprimulgus macrurus,Caprimulgiformes,1,2019,Guizhou,Caprimulgus macrurus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Carduelis carduelis,Passeriformes,2,2019,Inner Mongolia | Qinghai,Carduelis carduelis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Carpodacus roborowskii,Passeriformes,1,2016,Xinjiang,Carpodacus roborowskii,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Carpodacus vinaceus,Passeriformes,1,2022,Shandong,Carpodacus vinaceus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cecropis daurica,Passeriformes,1,2013,Xinjiang,Cecropis daurica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cecropis striolata,Passeriformes,1,2025,Chongqing,Cecropis striolata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Centropus bengalensis,Cuculiformes,4,2003,Hebei | Liaoning | Tibet | Zhejiang,Centropus bengalensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cephalopyrus flammiceps,Passeriformes,2,2013,Guangxi | Hubei,Cephalopyrus flammiceps,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Certhia familiaris,Passeriformes,1,2024,Jiangsu,Certhia familiaris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Certhia himalayana,Passeriformes,1,2014,Qinghai,Certhia himalayana,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Certhia tianquanensis,Passeriformes,1,2005,Shaanxi,Certhia tianquanensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ceryle rudis,Coraciiformes,3,2011,Beijing | Liaoning | Shaanxi,Ceryle rudis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cettia brunnifrons,Passeriformes,1,2018,Shaanxi,Cettia brunnifrons,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cettia castaneocoronata,Passeriformes,1,2021,Hubei,Cettia castaneocoronata,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chalcophaps indica,Columbiformes,4,2011,Anhui | Hunan | Jiangxi | Zhejiang,Chalcophaps indica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius asiaticus,Charadriiformes,1,2001,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius mongolus | Charadrius atrifrons | Charadrius placidus | Charadrius veredus | Charadrius dealbatus,same genus Charadrius mongolus | Charadrius atrifrons | Charadrius placidus | Charadrius veredus | Charadrius dealbatus,FALSE
Charadrius atrifrons,Charadriiformes,2,2024,Guizhou | Yunnan,Charadrius atrifrons,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius dealbatus,Charadriiformes,1,2024,Jiangxi,Charadrius dealbatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius hiaticula,Charadriiformes,4,2010,Jiangsu | Xinjiang | Yunnan | Zhejiang,Charadrius hiaticula,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius mongolus,Charadriiformes,3,2013,Shaanxi | Yunnan,Charadrius mongolus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius placidus,Charadriiformes,1,2006,Hainan,Charadrius placidus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Charadrius veredus,Charadriiformes,4,2006,Hainan | Jilin | Xinjiang | Yunnan,Charadrius veredus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chlidonias leucopterus,Charadriiformes,1,2008,Yunnan,Chlidonias leucopterus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chlidonias niger,Charadriiformes,2,2021,Gansu | Hubei,Chlidonias niger,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chloris ambigua,Passeriformes,1,2006,Guangxi,Chloris ambigua,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chloris chloris,Passeriformes,1,2000,Xinjiang,Chloris chloris,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chloris sinica,Passeriformes,1,2006,Hainan,Chloris sinica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Chrysolophus pictus,Galliformes,2,2007,Shanxi | Sichuan,Chrysolophus pictus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ciconia boyciana,Ciconiiformes,3,2001,Gansu | Ningxia | Tianjin,Ciconia boyciana,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ciconia episcopus,Ciconiiformes,1,2011,Yunnan,Ciconia episcopus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Ciconia nigra,Ciconiiformes,1,2021,Tibet,Ciconia nigra,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Circaetus gallicus,Accipitriformes,3,2021,Guangxi | Hunan | Jiangsu,Circaetus gallicus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
