species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Emberiza elegans,matched,4089,2352,2352,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza godlewskii,matched,997,723,723,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza hortulana,matched,118,89,89,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza leucocephalos,matched,542,383,383,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza melanocephala,matched,51,34,34,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza pallasi,matched,1771,992,992,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza pusilla,matched,7182,4045,4045,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza rustica,matched,2477,1576,1576,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza siemsseni,matched,322,204,204,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza stewarti,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza sulphurata,matched,74,46,46,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza yessoensis,matched,426,264,264,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Enicurus leschenaulti,matched,2054,1336,1336,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Enicurus maculatus,matched,236,131,131,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Enicurus schistaceus,matched,994,679,679,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Eremophila alpestris,matched,875,720,720,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Erithacus rubecula,matched,59,38,38,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Erpornis zantholeuca,matched,820,484,484,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Erythrogenys hypoleucos,matched,52,19,19,modeled,NA,random_repeated,maxnet::maxnet
Eudynamys scolopaceus,matched,3433,1994,1994,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Eumyias thalassinus,matched,1142,664,664,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Falco cherrug,matched,676,531,531,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Falco severus,matched,44,24,24,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula albicilla,matched,2621,1385,1385,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula elisae,matched,204,121,121,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula erithacus,matched,357,268,268,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula hyperythra,matched,103,65,65,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula hypoleuca,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula mugimaki,matched,927,524,524,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula narcissina,matched,352,220,220,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula owstoni,matched,10,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula parva,matched,134,81,81,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula ruficauda,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula strophiata,matched,378,207,207,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula superciliaris,matched,37,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula tricolor,matched,185,121,121,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Fregata ariel,matched,23,18,18,modeled,NA,random_repeated,maxnet::maxnet
Fringilla coelebs,matched,494,306,306,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Fringilla montifringilla,matched,5641,2895,2895,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Galerida cristata,matched,784,630,630,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gallicrex cinerea,matched,177,122,122,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Garrulax canorus,matched,4090,2410,2410,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Garrulax maesi,matched,60,34,34,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Garrulax monileger,matched,381,226,226,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gavia adamsii,matched,8,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gavia arctica,matched,73,44,44,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gavia pacifica,matched,14,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gavia stellata,matched,67,30,30,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gelochelidon nilotica,matched,893,541,541,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Geokichla citrina,matched,255,125,125,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Geokichla wardii,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Geopelia striata,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
