species,scenario,gcm,total_area_km2,delta_area_km2
Pycnonotus sinensis,current,ensemble_mean,3204366.5157830617,0
Spilopelia chinensis,current,ensemble_mean,2821772.340443204,0
Egretta garzetta,current,ensemble_mean,2663436.257409473,0
Turdus mandarinus,current,ensemble_mean,2401050.4766618833,0
Hirundo rustica,current,ensemble_mean,3990160.28898301,0
Lanius schach,current,ensemble_mean,2457775.3920195596,0
Acridotheres cristatellus,current,ensemble_mean,2220082.49590683,0
Copsychus saularis,current,ensemble_mean,1877248.1373817928,0
Chloris sinica,current,ensemble_mean,2930018.4648987725,0
Nycticorax nycticorax,current,ensemble_mean,2220967.2916365257,0
Ardeola bacchus,current,ensemble_mean,2510446.992016675,0
Spodiopsar sericeus,current,ensemble_mean,2346666.323840867,0
Spodiopsar cineraceus,current,ensemble_mean,2403805.2712116395,0
Aegithalos concinnus,current,ensemble_mean,2228889.4333252553,0
Spizixos semitorques,current,ensemble_mean,2318408.218759517,0
Phasianus colchicus,current,ensemble_mean,4381889.236997801,0
Cecropis daurica,current,ensemble_mean,2947259.318932538,0
Prinia inornata,current,ensemble_mean,2130456.5849340432,0
Phylloscopus proregulus,current,ensemble_mean,2837350.1117753857,0
Emberiza pusilla,current,ensemble_mean,2829124.042998257,0
Pterorhinus sannio,current,ensemble_mean,2265586.2783811823,0
Fringilla montifringilla,current,ensemble_mean,4009235.8175471276,0
Gracupica nigricollis,current,ensemble_mean,1352536.9019603503,0
Lonchura striata,current,ensemble_mean,2046911.0653478326,0
Hypsipetes leucocephalus,current,ensemble_mean,1995995.4935733262,0
Pardaliparus venustulus,current,ensemble_mean,2743122.3915164704,0
Pycnonotus jocosus,current,ensemble_mean,964918.5200760951,0
Pycnonotus xanthorrhous,current,ensemble_mean,2891621.5896553523,0
Garrulax canorus,current,ensemble_mean,2036071.387807937,0
Emberiza elegans,current,ensemble_mean,2975676.8442429067,0
Ardea intermedia,current,ensemble_mean,2594121.686769237,0
Hemixos castanonotus,current,ensemble_mean,1584321.4123582868,0
Abroscopus albogularis,current,ensemble_mean,2207415.942288658,0
Vanellus cinereus,current,ensemble_mean,3498306.8067182326,0
Ixos mcclellandii,current,ensemble_mean,2232823.8495092974,0
Turdus naumanni,current,ensemble_mean,4839037.172038342,0
Amaurornis phoenicurus,current,ensemble_mean,2229435.036678338,0
Eudynamys scolopaceus,current,ensemble_mean,3516727.567606816,0
Passer cinnamomeus,current,ensemble_mean,3222014.071139774,0
Accipiter trivirgatus,current,ensemble_mean,2051410.7722390378,0
Elanus caeruleus,current,ensemble_mean,1972453.9005758127,0
Prinia flaviventris,current,ensemble_mean,1266718.1745445542,0
Mareca falcata,current,ensemble_mean,2889711.421248619,0
Ceryle rudis,current,ensemble_mean,2274831.367867561,0
