species,algorithm,fold,available,auc,tss,threshold
Pycnonotus sinensis,GLM,1,TRUE,0.7890474544311754,0.5033694217473288,0.22835355438705895
Pycnonotus sinensis,GLM,2,TRUE,0.7404864811912226,0.40314263322884014,0.1847143863096949
Pycnonotus sinensis,GLM,3,TRUE,0.5463720400728598,0.29728430479659984,0.017335484712888732
Pycnonotus sinensis,GLM,4,TRUE,0.8186304138594802,0.5624136188642925,0.17774125011548758
Pycnonotus sinensis,GLM,5,TRUE,0.8057577037037037,0.5409074074074074,0.18389258992239121
Pycnonotus sinensis,GAM,1,TRUE,0.6090603394091766,0.3604509742300439,0.10428824124280028
Pycnonotus sinensis,GAM,2,TRUE,0.6473671630094044,0.38732366771159876,0.05148192601080531
Pycnonotus sinensis,GAM,3,TRUE,0.5092819520340012,0.19678354584092284,5.690113094491882e-6
Pycnonotus sinensis,GAM,4,TRUE,0.8096266843118383,0.5214646294513956,0.1683228649536995
Pycnonotus sinensis,GAM,5,TRUE,0.8151785925925926,0.5386481481481482,0.26468212533097557
Pycnonotus sinensis,GBM,1,TRUE,0.5984413890634821,0.3803115964802011,0.05486831079517248
Pycnonotus sinensis,GBM,2,TRUE,0.605481289184953,0.44066927899686514,0.04879688306628784
Pycnonotus sinensis,GBM,3,TRUE,0.49685678506375225,0.2919591681845781,0.02177593223284527
Pycnonotus sinensis,GBM,4,TRUE,0.7608405919153032,0.5823505774783446,0.22047747489729158
Pycnonotus sinensis,GBM,5,TRUE,0.740511925925926,0.5423240740740742,0.09139081498037263
Pycnonotus sinensis,RF,1,TRUE,0.5660401477058454,0.011379478315524771,0.0033333333333333335
Pycnonotus sinensis,RF,2,TRUE,0.590701802507837,0,0
Pycnonotus sinensis,RF,3,TRUE,0.6290888737097754,0,0
Pycnonotus sinensis,RF,4,TRUE,0.6127589629451395,0.321958614051973,0.01
Pycnonotus sinensis,RF,5,TRUE,0.6196161851851851,0.3423333333333334,0.013333333333333334
Pycnonotus sinensis,MaxEnt,1,TRUE,NA,NA,NA
Pycnonotus sinensis,MaxEnt,2,TRUE,NA,NA,NA
Pycnonotus sinensis,MaxEnt,3,TRUE,NA,NA,NA
Pycnonotus sinensis,MaxEnt,4,TRUE,NA,NA,NA
Pycnonotus sinensis,MaxEnt,5,TRUE,NA,NA,NA
Spilopelia chinensis,GLM,1,TRUE,0.8697432279909707,0.6435323551542513,0.26563104197663323
Spilopelia chinensis,GLM,2,TRUE,0.848908564231738,0.6536517632241812,0.1921786745923791
Spilopelia chinensis,GLM,3,TRUE,0.6122428400954654,0.34870405727923615,0.020105896511393717
Spilopelia chinensis,GLM,4,TRUE,0.8533485648300891,0.6566060706037611,0.20105410193868853
Spilopelia chinensis,GLM,5,TRUE,0.7572593998553868,0.3978392986261752,0.23705599157804824
Spilopelia chinensis,GAM,1,TRUE,0.6801819036869827,0.4731918735891647,0.0626757813297408
Spilopelia chinensis,GAM,2,TRUE,0.8655745591939547,0.6408375314861461,0.22245772636876665
Spilopelia chinensis,GAM,3,TRUE,0.5509419749403341,0.1982374701670644,1.5622130203761528e-4
Spilopelia chinensis,GAM,4,TRUE,0.8656732926426922,0.6218106235565819,0.2078921766706602
Spilopelia chinensis,GAM,5,TRUE,0.6976088214027476,0.4148875632682576,0.07697360799362415
