species,scenario,cell_threshold,n_provinces,suitable_area_km2
Lanius borealis,current,3,19,1263070.4663879145
Lanius borealis,current,10,19,1263070.4663879145
Lanius borealis,current,20,16,1263070.4663879145
Lanius borealis,current,50,14,1263070.4663879145
Lanius borealis,current,100,14,1263070.4663879145
Lanius borealis,current,200,13,1263070.4663879145
Lanius collurioides,current,3,18,604560.219501279
Lanius collurioides,current,10,17,604560.219501279
Lanius collurioides,current,20,17,604560.219501279
Lanius collurioides,current,50,16,604560.219501279
Lanius collurioides,current,100,15,604560.219501279
Lanius collurioides,current,200,15,604560.219501279
Lanius isabellinus,current,3,22,2004171.0661804846
Lanius isabellinus,current,10,20,2004171.0661804846
Lanius isabellinus,current,20,20,2004171.0661804846
Lanius isabellinus,current,50,16,2004171.0661804846
Lanius isabellinus,current,100,15,2004171.0661804846
Lanius isabellinus,current,200,13,2004171.0661804846
Lanius schach,current,3,27,2457775.3920195596
Lanius schach,current,10,27,2457775.3920195596
Lanius schach,current,20,27,2457775.3920195596
Lanius schach,current,50,26,2457775.3920195596
Lanius schach,current,100,25,2457775.3920195596
Lanius schach,current,200,25,2457775.3920195596
Lanius sphenocercus,current,3,33,5576562.02535341
Lanius sphenocercus,current,10,33,5576562.02535341
Lanius sphenocercus,current,20,33,5576562.02535341
Lanius sphenocercus,current,50,33,5576562.02535341
Lanius sphenocercus,current,100,32,5576562.02535341
Lanius sphenocercus,current,200,32,5576562.02535341
Lanius tephronotus,current,3,21,2004858.4287706837
Lanius tephronotus,current,10,20,2004858.4287706837
Lanius tephronotus,current,20,19,2004858.4287706837
Lanius tephronotus,current,50,18,2004858.4287706837
Lanius tephronotus,current,100,17,2004858.4287706837
Lanius tephronotus,current,200,17,2004858.4287706837
Larus cachinnans,current,3,23,1095158.7937518067
Larus cachinnans,current,10,21,1095158.7937518067
Larus cachinnans,current,20,20,1095158.7937518067
Larus cachinnans,current,50,19,1095158.7937518067
Larus cachinnans,current,100,16,1095158.7937518067
Larus cachinnans,current,200,13,1095158.7937518067
Larus canus,current,3,33,3668620.791507183
Larus canus,current,10,33,3668620.791507183
Larus canus,current,20,33,3668620.791507183
Larus canus,current,50,33,3668620.791507183
Larus canus,current,100,31,3668620.791507183
Larus canus,current,200,30,3668620.791507183
Larus crassirostris,current,3,29,1306291.2018308716
Larus crassirostris,current,10,28,1306291.2018308716
Larus crassirostris,current,20,28,1306291.2018308716
Larus crassirostris,current,50,28,1306291.2018308716
Larus crassirostris,current,100,26,1306291.2018308716
Larus crassirostris,current,200,24,1306291.2018308716
Larus fuscus,current,3,27,932682.789759224
Larus fuscus,current,10,26,932682.789759224
Larus fuscus,current,20,26,932682.789759224
Larus fuscus,current,50,25,932682.789759224
Larus fuscus,current,100,24,932682.789759224
Larus fuscus,current,200,22,932682.789759224
Larus hyperboreus,current,3,32,1668962.520254825
Larus hyperboreus,current,10,32,1668962.520254825
Larus hyperboreus,current,20,30,1668962.520254825
Larus hyperboreus,current,50,30,1668962.520254825
Larus hyperboreus,current,100,29,1668962.520254825
Larus hyperboreus,current,200,27,1668962.520254825
Larvivora akahige,current,3,16,595814.5273830122
Larvivora akahige,current,10,16,595814.5273830122
Larvivora akahige,current,20,16,595814.5273830122
Larvivora akahige,current,50,16,595814.5273830122
Larvivora akahige,current,100,14,595814.5273830122
Larvivora akahige,current,200,14,595814.5273830122
Larvivora brunnea,current,3,32,3706886.950664182
Larvivora brunnea,current,10,32,3706886.950664182
Larvivora brunnea,current,20,32,3706886.950664182
Larvivora brunnea,current,50,32,3706886.950664182
Larvivora brunnea,current,100,30,3706886.950664182
Larvivora brunnea,current,200,27,3706886.950664182
Larvivora cyane,current,3,33,1831994.8848703036
Larvivora cyane,current,10,33,1831994.8848703036
Larvivora cyane,current,20,33,1831994.8848703036
Larvivora cyane,current,50,32,1831994.8848703036
Larvivora cyane,current,100,32,1831994.8848703036
Larvivora cyane,current,200,30,1831994.8848703036
Leptopoecile elegans,current,3,20,1680863.2215322491
Leptopoecile elegans,current,10,19,1680863.2215322491
Leptopoecile elegans,current,20,19,1680863.2215322491
Leptopoecile elegans,current,50,17,1680863.2215322491
Leptopoecile elegans,current,100,17,1680863.2215322491
Leptopoecile elegans,current,200,17,1680863.2215322491
Leucogeranus leucogeranus,current,3,24,990855.5487661642
Leucogeranus leucogeranus,current,10,24,990855.5487661642
Leucogeranus leucogeranus,current,20,22,990855.5487661642
Leucogeranus leucogeranus,current,50,22,990855.5487661642
Leucogeranus leucogeranus,current,100,22,990855.5487661642
Leucogeranus leucogeranus,current,200,21,990855.5487661642
Limnodromus scolopaceus,current,3,23,938713.5370886085
Limnodromus scolopaceus,current,10,23,938713.5370886085
Limnodromus scolopaceus,current,20,22,938713.5370886085
Limnodromus scolopaceus,current,50,20,938713.5370886085
Limnodromus scolopaceus,current,100,19,938713.5370886085
Limnodromus scolopaceus,current,200,17,938713.5370886085
Limnodromus semipalmatus,current,3,33,1674566.935123501
Limnodromus semipalmatus,current,10,31,1674566.935123501
Limnodromus semipalmatus,current,20,31,1674566.935123501
Limnodromus semipalmatus,current,50,31,1674566.935123501
Limnodromus semipalmatus,current,100,30,1674566.935123501
Limnodromus semipalmatus,current,200,30,1674566.935123501
Limosa lapponica,current,3,32,1218099.202727003
Limosa lapponica,current,10,32,1218099.202727003
Limosa lapponica,current,20,32,1218099.202727003
Limosa lapponica,current,50,31,1218099.202727003
Limosa lapponica,current,100,29,1218099.202727003
Limosa lapponica,current,200,27,1218099.202727003
Limosa limosa,current,3,33,3568196.9481599107
Limosa limosa,current,10,33,3568196.9481599107
Limosa limosa,current,20,33,3568196.9481599107
Limosa limosa,current,50,33,3568196.9481599107
Limosa limosa,current,100,31,3568196.9481599107
Limosa limosa,current,200,31,3568196.9481599107
Linaria cannabina,current,3,32,3874322.907592046
Linaria cannabina,current,10,32,3874322.907592046
Linaria cannabina,current,20,32,3874322.907592046
Linaria cannabina,current,50,31,3874322.907592046
Linaria cannabina,current,100,27,3874322.907592046
Linaria cannabina,current,200,27,3874322.907592046
Locustella davidi,current,3,32,4031522.707761441
Locustella davidi,current,10,31,4031522.707761441
Locustella davidi,current,20,31,4031522.707761441
Locustella davidi,current,50,31,4031522.707761441
Locustella davidi,current,100,30,4031522.707761441
Locustella davidi,current,200,29,4031522.707761441
Locustella mandelli,current,3,18,923256.2685895498
Locustella mandelli,current,10,17,923256.2685895498
Locustella mandelli,current,20,16,923256.2685895498
Locustella mandelli,current,50,16,923256.2685895498
Locustella mandelli,current,100,14,923256.2685895498
Locustella mandelli,current,200,13,923256.2685895498
Lonchura striata,current,3,23,2046911.0653478326
Lonchura striata,current,10,23,2046911.0653478326
Lonchura striata,current,20,23,2046911.0653478326
Lonchura striata,current,50,22,2046911.0653478326
Lonchura striata,current,100,20,2046911.0653478326
Lonchura striata,current,200,20,2046911.0653478326
Lophophanes dichrous,current,3,22,1401026.5963725857
Lophophanes dichrous,current,10,20,1401026.5963725857
Lophophanes dichrous,current,20,20,1401026.5963725857
Lophophanes dichrous,current,50,20,1401026.5963725857
Lophophanes dichrous,current,100,20,1401026.5963725857
Lophophanes dichrous,current,200,19,1401026.5963725857
Lophura leucomelanos,current,3,32,5537513.649505844
Lophura leucomelanos,current,10,32,5537513.649505844
Lophura leucomelanos,current,20,32,5537513.649505844
Lophura leucomelanos,current,50,32,5537513.649505844
Lophura leucomelanos,current,100,32,5537513.649505844
Lophura leucomelanos,current,200,32,5537513.649505844
Lophura nycthemera,current,3,19,1397560.9724799637
Lophura nycthemera,current,10,19,1397560.9724799637
Lophura nycthemera,current,20,18,1397560.9724799637
Lophura nycthemera,current,50,18,1397560.9724799637
Lophura nycthemera,current,100,17,1397560.9724799637
Lophura nycthemera,current,200,16,1397560.9724799637
Loxia curvirostra,current,3,31,4844201.363647666
Loxia curvirostra,current,10,31,4844201.363647666
Loxia curvirostra,current,20,31,4844201.363647666
Loxia curvirostra,current,50,30,4844201.363647666
Loxia curvirostra,current,100,30,4844201.363647666
Loxia curvirostra,current,200,30,4844201.363647666
Macropygia unchall,current,3,22,2279325.1522000534
Macropygia unchall,current,10,21,2279325.1522000534
Macropygia unchall,current,20,20,2279325.1522000534
Macropygia unchall,current,50,20,2279325.1522000534
Macropygia unchall,current,100,19,2279325.1522000534
Macropygia unchall,current,200,19,2279325.1522000534
Mareca americana,current,3,17,540904.4902101144
Mareca americana,current,10,16,540904.4902101144
Mareca americana,current,20,15,540904.4902101144
Mareca americana,current,50,13,540904.4902101144
Mareca americana,current,100,13,540904.4902101144
Mareca americana,current,200,13,540904.4902101144
Mareca falcata,current,3,31,2889711.421248619
Mareca falcata,current,10,31,2889711.421248619
Mareca falcata,current,20,31,2889711.421248619
Mareca falcata,current,50,31,2889711.421248619
Mareca falcata,current,100,29,2889711.421248619
Mareca falcata,current,200,28,2889711.421248619
Megaceryle lugubris,current,3,32,4250563.89564512
Megaceryle lugubris,current,10,32,4250563.89564512
Megaceryle lugubris,current,20,32,4250563.89564512
Megaceryle lugubris,current,50,32,4250563.89564512
Megaceryle lugubris,current,100,31,4250563.89564512
Megaceryle lugubris,current,200,31,4250563.89564512
Melanitta stejnegeri,current,3,33,3978151.7869261876
Melanitta stejnegeri,current,10,32,3978151.7869261876
Melanitta stejnegeri,current,20,31,3978151.7869261876
Melanitta stejnegeri,current,50,31,3978151.7869261876
Melanitta stejnegeri,current,100,30,3978151.7869261876
Melanitta stejnegeri,current,200,29,3978151.7869261876
Melanochlora sultanea,current,3,30,1356197.1306799455
Melanochlora sultanea,current,10,30,1356197.1306799455
Melanochlora sultanea,current,20,29,1356197.1306799455
Melanochlora sultanea,current,50,28,1356197.1306799455
Melanochlora sultanea,current,100,27,1356197.1306799455
Melanochlora sultanea,current,200,25,1356197.1306799455
Mergus serrator,current,3,30,1350102.6784433243
Mergus serrator,current,10,30,1350102.6784433243
Mergus serrator,current,20,30,1350102.6784433243
Mergus serrator,current,50,29,1350102.6784433243
Mergus serrator,current,100,26,1350102.6784433243
Mergus serrator,current,200,26,1350102.6784433243
Merops philippinus,current,3,21,803330.9927047854
Merops philippinus,current,10,17,803330.9927047854
Merops philippinus,current,20,16,803330.9927047854
Merops philippinus,current,50,14,803330.9927047854
Merops philippinus,current,100,10,803330.9927047854
Merops philippinus,current,200,10,803330.9927047854
Mixornis gularis,current,3,27,1037039.5294210722
Mixornis gularis,current,10,26,1037039.5294210722
Mixornis gularis,current,20,25,1037039.5294210722
Mixornis gularis,current,50,24,1037039.5294210722
Mixornis gularis,current,100,24,1037039.5294210722
Mixornis gularis,current,200,23,1037039.5294210722
Monticola gularis,current,3,33,4714817.876671707
Monticola gularis,current,10,33,4714817.876671707
Monticola gularis,current,20,33,4714817.876671707
Monticola gularis,current,50,31,4714817.876671707
Monticola gularis,current,100,30,4714817.876671707
Monticola gularis,current,200,30,4714817.876671707
Monticola rufiventris,current,3,29,2751350.1385967494
Monticola rufiventris,current,10,28,2751350.1385967494
Monticola rufiventris,current,20,27,2751350.1385967494
Monticola rufiventris,current,50,27,2751350.1385967494
Monticola rufiventris,current,100,26,2751350.1385967494
Monticola rufiventris,current,200,26,2751350.1385967494
Monticola solitarius,current,3,32,3587362.897156604
Monticola solitarius,current,10,32,3587362.897156604
Monticola solitarius,current,20,32,3587362.897156604
Monticola solitarius,current,50,31,3587362.897156604
Monticola solitarius,current,100,30,3587362.897156604
Monticola solitarius,current,200,29,3587362.897156604
Motacilla citreola,current,3,33,4180150.303876912
Motacilla citreola,current,10,33,4180150.303876912
Motacilla citreola,current,20,33,4180150.303876912
Motacilla citreola,current,50,31,4180150.303876912
Motacilla citreola,current,100,31,4180150.303876912
Motacilla citreola,current,200,31,4180150.303876912
Moupinia poecilotis,current,3,27,2601177.577165291
Moupinia poecilotis,current,10,25,2601177.577165291
Moupinia poecilotis,current,20,24,2601177.577165291
Moupinia poecilotis,current,50,20,2601177.577165291
Moupinia poecilotis,current,100,20,2601177.577165291
Moupinia poecilotis,current,200,20,2601177.577165291
Muscicapa dauurica,current,3,30,3070655.3688601344
Muscicapa dauurica,current,10,30,3070655.3688601344
Muscicapa dauurica,current,20,29,3070655.3688601344
Muscicapa dauurica,current,50,28,3070655.3688601344
Muscicapa dauurica,current,100,27,3070655.3688601344
Muscicapa dauurica,current,200,27,3070655.3688601344
Muscicapa ferruginea,current,3,27,1909729.6448158382
Muscicapa ferruginea,current,10,24,1909729.6448158382
Muscicapa ferruginea,current,20,23,1909729.6448158382
Muscicapa ferruginea,current,50,23,1909729.6448158382
Muscicapa ferruginea,current,100,20,1909729.6448158382
Muscicapa ferruginea,current,200,20,1909729.6448158382
Muscicapa muttui,current,3,28,1646412.0121697634
Muscicapa muttui,current,10,27,1646412.0121697634
Muscicapa muttui,current,20,25,1646412.0121697634
Muscicapa muttui,current,50,23,1646412.0121697634
Muscicapa muttui,current,100,22,1646412.0121697634
Muscicapa muttui,current,200,21,1646412.0121697634
Mycerobas affinis,current,3,32,3381843.8443011395
Mycerobas affinis,current,10,32,3381843.8443011395
Mycerobas affinis,current,20,32,3381843.8443011395
Mycerobas affinis,current,50,31,3381843.8443011395
Mycerobas affinis,current,100,30,3381843.8443011395
Mycerobas affinis,current,200,30,3381843.8443011395
Mycerobas carnipes,current,3,28,2593130.9457482276
Mycerobas carnipes,current,10,28,2593130.9457482276
Mycerobas carnipes,current,20,27,2593130.9457482276
Mycerobas carnipes,current,50,26,2593130.9457482276
Mycerobas carnipes,current,100,24,2593130.9457482276
Mycerobas carnipes,current,200,21,2593130.9457482276
Myiomela leucura,current,3,23,1024752.1908235061
Myiomela leucura,current,10,22,1024752.1908235061
Myiomela leucura,current,20,21,1024752.1908235061
Myiomela leucura,current,50,20,1024752.1908235061
Myiomela leucura,current,100,19,1024752.1908235061
Myiomela leucura,current,200,16,1024752.1908235061
Myophonus caeruleus,current,3,29,2626617.369468324
Myophonus caeruleus,current,10,28,2626617.369468324
Myophonus caeruleus,current,20,27,2626617.369468324
Myophonus caeruleus,current,50,27,2626617.369468324
Myophonus caeruleus,current,100,26,2626617.369468324
Myophonus caeruleus,current,200,25,2626617.369468324
Napothera malacoptila,current,3,33,7512030.852081556
Napothera malacoptila,current,10,33,7512030.852081556
Napothera malacoptila,current,20,33,7512030.852081556
Napothera malacoptila,current,50,33,7512030.852081556
Napothera malacoptila,current,100,32,7512030.852081556
Napothera malacoptila,current,200,32,7512030.852081556
Netta rufina,current,3,31,3605119.9110175464
Netta rufina,current,10,30,3605119.9110175464
Netta rufina,current,20,30,3605119.9110175464
Netta rufina,current,50,29,3605119.9110175464
Netta rufina,current,100,28,3605119.9110175464
Netta rufina,current,200,26,3605119.9110175464
Niltava davidi,current,3,26,1223307.6023615154
Niltava davidi,current,10,24,1223307.6023615154
Niltava davidi,current,20,24,1223307.6023615154
Niltava davidi,current,50,22,1223307.6023615154
Niltava davidi,current,100,20,1223307.6023615154
Niltava davidi,current,200,20,1223307.6023615154
Niltava grandis,current,3,31,1422226.1715053036
Niltava grandis,current,10,28,1422226.1715053036
Niltava grandis,current,20,28,1422226.1715053036
Niltava grandis,current,50,26,1422226.1715053036
Niltava grandis,current,100,25,1422226.1715053036
Niltava grandis,current,200,25,1422226.1715053036
Niltava macgrigoriae,current,3,23,1832322.235008466
Niltava macgrigoriae,current,10,23,1832322.235008466
Niltava macgrigoriae,current,20,23,1832322.235008466
Niltava macgrigoriae,current,50,22,1832322.235008466
Niltava macgrigoriae,current,100,19,1832322.235008466
Niltava macgrigoriae,current,200,18,1832322.235008466
Niltava sundara,current,3,33,2034110.192369023
Niltava sundara,current,10,32,2034110.192369023
Niltava sundara,current,20,32,2034110.192369023
Niltava sundara,current,50,31,2034110.192369023
Niltava sundara,current,100,30,2034110.192369023
Niltava sundara,current,200,29,2034110.192369023
Ninox japonica,current,3,30,3438045.7588296365
Ninox japonica,current,10,30,3438045.7588296365
Ninox japonica,current,20,30,3438045.7588296365
Ninox japonica,current,50,30,3438045.7588296365
Ninox japonica,current,100,29,3438045.7588296365
Ninox japonica,current,200,29,3438045.7588296365
Nipponia nippon,current,3,23,1527601.7498241966
Nipponia nippon,current,10,23,1527601.7498241966
Nipponia nippon,current,20,23,1527601.7498241966
Nipponia nippon,current,50,23,1527601.7498241966
Nipponia nippon,current,100,22,1527601.7498241966
Nipponia nippon,current,200,21,1527601.7498241966
Nisaetus nipalensis,current,3,27,2235514.147506488
Nisaetus nipalensis,current,10,26,2235514.147506488
Nisaetus nipalensis,current,20,25,2235514.147506488
Nisaetus nipalensis,current,50,24,2235514.147506488
Nisaetus nipalensis,current,100,22,2235514.147506488
Nisaetus nipalensis,current,200,22,2235514.147506488
Numenius madagascariensis,current,3,32,1124935.4603675073
Numenius madagascariensis,current,10,32,1124935.4603675073
Numenius madagascariensis,current,20,30,1124935.4603675073
Numenius madagascariensis,current,50,30,1124935.4603675073
Numenius madagascariensis,current,100,28,1124935.4603675073
Numenius madagascariensis,current,200,25,1124935.4603675073
Numenius minutus,current,3,29,1506462.6427993567
Numenius minutus,current,10,28,1506462.6427993567
Numenius minutus,current,20,28,1506462.6427993567
Numenius minutus,current,50,28,1506462.6427993567
Numenius minutus,current,100,26,1506462.6427993567
Numenius minutus,current,200,23,1506462.6427993567
Numenius phaeopus,current,3,33,2935176.6204396733
Numenius phaeopus,current,10,33,2935176.6204396733
Numenius phaeopus,current,20,33,2935176.6204396733
Numenius phaeopus,current,50,33,2935176.6204396733
Numenius phaeopus,current,100,32,2935176.6204396733
Numenius phaeopus,current,200,32,2935176.6204396733
Nycticorax nycticorax,current,3,29,2220967.2916365257
Nycticorax nycticorax,current,10,28,2220967.2916365257
Nycticorax nycticorax,current,20,27,2220967.2916365257
Nycticorax nycticorax,current,50,27,2220967.2916365257
Nycticorax nycticorax,current,100,26,2220967.2916365257
Nycticorax nycticorax,current,200,25,2220967.2916365257
Oenanthe deserti,current,3,26,2463013.369061604
Oenanthe deserti,current,10,22,2463013.369061604
Oenanthe deserti,current,20,21,2463013.369061604
Oenanthe deserti,current,50,18,2463013.369061604
Oenanthe deserti,current,100,15,2463013.369061604
Oenanthe deserti,current,200,15,2463013.369061604
Oenanthe oenanthe,current,3,23,2090228.926875037
Oenanthe oenanthe,current,10,21,2090228.926875037
Oenanthe oenanthe,current,20,20,2090228.926875037
Oenanthe oenanthe,current,50,17,2090228.926875037
Oenanthe oenanthe,current,100,15,2090228.926875037
Oenanthe oenanthe,current,200,13,2090228.926875037
Onychoprion aleuticus,current,3,26,572120.1899457974
Onychoprion aleuticus,current,10,25,572120.1899457974
Onychoprion aleuticus,current,20,23,572120.1899457974
Onychoprion aleuticus,current,50,20,572120.1899457974
Onychoprion aleuticus,current,100,18,572120.1899457974
Onychoprion aleuticus,current,200,15,572120.1899457974
Onychoprion anaethetus,current,3,23,528181.1525477407
Onychoprion anaethetus,current,10,23,528181.1525477407
Onychoprion anaethetus,current,20,18,528181.1525477407
Onychoprion anaethetus,current,50,18,528181.1525477407
Onychoprion anaethetus,current,100,18,528181.1525477407
Onychoprion anaethetus,current,200,14,528181.1525477407
Onychoprion fuscatus,current,3,26,398254.42495821294
Onychoprion fuscatus,current,10,26,398254.42495821294
Onychoprion fuscatus,current,20,24,398254.42495821294
Onychoprion fuscatus,current,50,21,398254.42495821294
Onychoprion fuscatus,current,100,18,398254.42495821294
Onychoprion fuscatus,current,200,13,398254.42495821294
Oriolus oriolus,current,3,7,305290.4400114423
Oriolus oriolus,current,10,7,305290.4400114423
Oriolus oriolus,current,20,6,305290.4400114423
Oriolus oriolus,current,50,6,305290.4400114423
Oriolus oriolus,current,100,4,305290.4400114423
Oriolus oriolus,current,200,3,305290.4400114423
Otus lettia,current,3,22,2122073.040532303
Otus lettia,current,10,22,2122073.040532303
Otus lettia,current,20,22,2122073.040532303
Otus lettia,current,50,21,2122073.040532303
Otus lettia,current,100,19,2122073.040532303
Otus lettia,current,200,19,2122073.040532303
Otus semitorques,current,3,27,1521025.0426276878
Otus semitorques,current,10,27,1521025.0426276878
Otus semitorques,current,20,27,1521025.0426276878
Otus semitorques,current,50,25,1521025.0426276878
Otus semitorques,current,100,25,1521025.0426276878
Otus semitorques,current,200,23,1521025.0426276878
Otus spilocephalus,current,3,16,1148324.9586448334
Otus spilocephalus,current,10,16,1148324.9586448334
Otus spilocephalus,current,20,16,1148324.9586448334
Otus spilocephalus,current,50,16,1148324.9586448334
Otus spilocephalus,current,100,15,1148324.9586448334
Otus spilocephalus,current,200,14,1148324.9586448334
Oxyura leucocephala,current,3,31,6051832.155266023
Oxyura leucocephala,current,10,31,6051832.155266023
Oxyura leucocephala,current,20,31,6051832.155266023
Oxyura leucocephala,current,50,31,6051832.155266023
Oxyura leucocephala,current,100,31,6051832.155266023
Oxyura leucocephala,current,200,30,6051832.155266023
Panurus biarmicus,current,3,32,5558325.648641401
Panurus biarmicus,current,10,31,5558325.648641401
Panurus biarmicus,current,20,31,5558325.648641401
Panurus biarmicus,current,50,30,5558325.648641401
Panurus biarmicus,current,100,28,5558325.648641401
Panurus biarmicus,current,200,28,5558325.648641401
Paradoxornis guttaticollis,current,3,22,1660105.9076937495
Paradoxornis guttaticollis,current,10,21,1660105.9076937495
Paradoxornis guttaticollis,current,20,20,1660105.9076937495
Paradoxornis guttaticollis,current,50,18,1660105.9076937495
Paradoxornis guttaticollis,current,100,18,1660105.9076937495
Paradoxornis guttaticollis,current,200,18,1660105.9076937495
Paradoxornis heudei,current,3,29,1254558.0820546648
Paradoxornis heudei,current,10,29,1254558.0820546648
Paradoxornis heudei,current,20,29,1254558.0820546648
Paradoxornis heudei,current,50,27,1254558.0820546648
Paradoxornis heudei,current,100,26,1254558.0820546648
Paradoxornis heudei,current,200,25,1254558.0820546648
Parayuhina diademata,current,3,21,972272.2938754692
Parayuhina diademata,current,10,19,972272.2938754692
Parayuhina diademata,current,20,19,972272.2938754692
Parayuhina diademata,current,50,18,972272.2938754692
Parayuhina diademata,current,100,16,972272.2938754692
Parayuhina diademata,current,200,16,972272.2938754692
Pardaliparus venustulus,current,3,29,2743122.3915164704
Pardaliparus venustulus,current,10,29,2743122.3915164704
Pardaliparus venustulus,current,20,29,2743122.3915164704
Pardaliparus venustulus,current,50,29,2743122.3915164704
Pardaliparus venustulus,current,100,29,2743122.3915164704
Pardaliparus venustulus,current,200,28,2743122.3915164704
Parus monticolus,current,3,32,2479020.507332614
Parus monticolus,current,10,32,2479020.507332614
Parus monticolus,current,20,32,2479020.507332614
Parus monticolus,current,50,32,2479020.507332614
Parus monticolus,current,100,31,2479020.507332614
Parus monticolus,current,200,29,2479020.507332614
Passer cinnamomeus,current,3,30,3222014.071139774
Passer cinnamomeus,current,10,30,3222014.071139774
Passer cinnamomeus,current,20,30,3222014.071139774
Passer cinnamomeus,current,50,30,3222014.071139774
Passer cinnamomeus,current,100,29,3222014.071139774
Passer cinnamomeus,current,200,27,3222014.071139774
Passer domesticus,current,3,30,3084624.753397006
Passer domesticus,current,10,29,3084624.753397006
Passer domesticus,current,20,29,3084624.753397006
Passer domesticus,current,50,29,3084624.753397006
Passer domesticus,current,100,27,3084624.753397006
Passer domesticus,current,200,27,3084624.753397006
Passer hispaniolensis,current,3,17,596912.5327499656
Passer hispaniolensis,current,10,12,596912.5327499656
Passer hispaniolensis,current,20,11,596912.5327499656
Passer hispaniolensis,current,50,11,596912.5327499656
Passer hispaniolensis,current,100,8,596912.5327499656
Passer hispaniolensis,current,200,7,596912.5327499656
Pastor roseus,current,3,21,698887.0202559865
Pastor roseus,current,10,19,698887.0202559865
Pastor roseus,current,20,17,698887.0202559865
Pastor roseus,current,50,16,698887.0202559865
Pastor roseus,current,100,15,698887.0202559865
Pastor roseus,current,200,13,698887.0202559865
Pelecanus crispus,current,3,33,4886424.209940537
Pelecanus crispus,current,10,32,4886424.209940537
Pelecanus crispus,current,20,32,4886424.209940537
Pelecanus crispus,current,50,31,4886424.209940537
Pelecanus crispus,current,100,30,4886424.209940537
Pelecanus crispus,current,200,29,4886424.209940537
Pelecanus onocrotalus,current,3,30,2002272.8659822324
Pelecanus onocrotalus,current,10,29,2002272.8659822324
Pelecanus onocrotalus,current,20,27,2002272.8659822324
Pelecanus onocrotalus,current,50,24,2002272.8659822324
Pelecanus onocrotalus,current,100,24,2002272.8659822324
Pelecanus onocrotalus,current,200,22,2002272.8659822324
Pellorneum albiventre,current,3,28,1314486.4642471331
Pellorneum albiventre,current,10,28,1314486.4642471331
Pellorneum albiventre,current,20,28,1314486.4642471331
Pellorneum albiventre,current,50,27,1314486.4642471331
Pellorneum albiventre,current,100,27,1314486.4642471331
Pellorneum albiventre,current,200,26,1314486.4642471331
Pellorneum tickelli,current,3,27,2923112.0677652312
Pellorneum tickelli,current,10,27,2923112.0677652312
Pellorneum tickelli,current,20,27,2923112.0677652312
Pellorneum tickelli,current,50,26,2923112.0677652312
Pellorneum tickelli,current,100,24,2923112.0677652312
Pellorneum tickelli,current,200,24,2923112.0677652312
Perdix hodgsoniae,current,3,13,2735305.8740705336
Perdix hodgsoniae,current,10,12,2735305.8740705336
Perdix hodgsoniae,current,20,11,2735305.8740705336
Perdix hodgsoniae,current,50,11,2735305.8740705336
Perdix hodgsoniae,current,100,11,2735305.8740705336
Perdix hodgsoniae,current,200,11,2735305.8740705336
Pericrocotus cantonensis,current,3,23,1811720.6627180323
Pericrocotus cantonensis,current,10,21,1811720.6627180323
Pericrocotus cantonensis,current,20,19,1811720.6627180323
Pericrocotus cantonensis,current,50,19,1811720.6627180323
Pericrocotus cantonensis,current,100,19,1811720.6627180323
Pericrocotus cantonensis,current,200,18,1811720.6627180323
Pericrocotus divaricatus,current,3,32,3275905.5470462497
Pericrocotus divaricatus,current,10,32,3275905.5470462497
Pericrocotus divaricatus,current,20,31,3275905.5470462497
Pericrocotus divaricatus,current,50,31,3275905.5470462497
Pericrocotus divaricatus,current,100,30,3275905.5470462497
Pericrocotus divaricatus,current,200,29,3275905.5470462497
Pericrocotus ethologus,current,3,28,1767928.032339414
Pericrocotus ethologus,current,10,28,1767928.032339414
Pericrocotus ethologus,current,20,27,1767928.032339414
Pericrocotus ethologus,current,50,25,1767928.032339414
Pericrocotus ethologus,current,100,25,1767928.032339414
Pericrocotus ethologus,current,200,24,1767928.032339414
Pericrocotus solaris,current,3,21,1754298.4884085942
Pericrocotus solaris,current,10,21,1754298.4884085942
Pericrocotus solaris,current,20,21,1754298.4884085942
Pericrocotus solaris,current,50,21,1754298.4884085942
Pericrocotus solaris,current,100,19,1754298.4884085942
Pericrocotus solaris,current,200,19,1754298.4884085942
Periparus rubidiventris,current,3,21,1168994.5466782763
Periparus rubidiventris,current,10,21,1168994.5466782763
Periparus rubidiventris,current,20,21,1168994.5466782763
Periparus rubidiventris,current,50,20,1168994.5466782763
Periparus rubidiventris,current,100,20,1168994.5466782763
Periparus rubidiventris,current,200,17,1168994.5466782763
Pernis ptilorhynchus,current,3,32,2797105.8968788185
Pernis ptilorhynchus,current,10,32,2797105.8968788185
Pernis ptilorhynchus,current,20,32,2797105.8968788185
Pernis ptilorhynchus,current,50,31,2797105.8968788185
Pernis ptilorhynchus,current,100,28,2797105.8968788185
Pernis ptilorhynchus,current,200,27,2797105.8968788185
Phalaropus lobatus,current,3,32,2229326.4476064597
Phalaropus lobatus,current,10,32,2229326.4476064597
Phalaropus lobatus,current,20,32,2229326.4476064597
Phalaropus lobatus,current,50,31,2229326.4476064597
Phalaropus lobatus,current,100,30,2229326.4476064597
Phalaropus lobatus,current,200,30,2229326.4476064597
Phasianus colchicus,current,3,33,4381889.236997801
Phasianus colchicus,current,10,33,4381889.236997801
Phasianus colchicus,current,20,33,4381889.236997801
Phasianus colchicus,current,50,33,4381889.236997801
Phasianus colchicus,current,100,32,4381889.236997801
