species,threshold_type,threshold_name,algorithm,threshold_value
Pycnonotus sinensis,model_config,presence_cell_threshold,NA,10
Pycnonotus sinensis,model_config,presence_cell_maximum,NA,10000
Pycnonotus sinensis,model_config,pseudoabsence_multiplier,NA,3
Pycnonotus sinensis,model_config,pseudoabsence_minimum,NA,1000
Pycnonotus sinensis,model_config,pseudoabsence_maximum,NA,20000
Pycnonotus sinensis,model_config,cv_folds,NA,5
Pycnonotus sinensis,model_config,cv_presence_threshold_spatial,NA,20
Pycnonotus sinensis,model_config,tss_selection_threshold,NA,0.6
Pycnonotus sinensis,model_config,buffer_km,NA,500
Pycnonotus sinensis,algorithm_mean_threshold,mean_threshold,GAM,0.11775616953027503
Pycnonotus sinensis,algorithm_mean_threshold,mean_threshold,GBM,0.08746188319439396
Pycnonotus sinensis,algorithm_mean_threshold,mean_threshold,GLM,0.15840745308950427
Pycnonotus sinensis,algorithm_mean_threshold,mean_threshold,MaxEnt,NA
Pycnonotus sinensis,algorithm_mean_threshold,mean_threshold,RF,0.005333333333333334
Pycnonotus sinensis,ensemble_binary_threshold,ensemble_binary_threshold,GLM,0.15840745308950427
Spilopelia chinensis,model_config,presence_cell_threshold,NA,10
Spilopelia chinensis,model_config,presence_cell_maximum,NA,10000
Spilopelia chinensis,model_config,pseudoabsence_multiplier,NA,3
Spilopelia chinensis,model_config,pseudoabsence_minimum,NA,1000
Spilopelia chinensis,model_config,pseudoabsence_maximum,NA,20000
Spilopelia chinensis,model_config,cv_folds,NA,5
Spilopelia chinensis,model_config,cv_presence_threshold_spatial,NA,20
Spilopelia chinensis,model_config,tss_selection_threshold,NA,0.6
Spilopelia chinensis,model_config,buffer_km,NA,500
Spilopelia chinensis,algorithm_mean_threshold,mean_threshold,GAM,0.11403110273296589
Spilopelia chinensis,algorithm_mean_threshold,mean_threshold,GBM,0.08895166024357685
Spilopelia chinensis,algorithm_mean_threshold,mean_threshold,GLM,0.18320514131942855
Spilopelia chinensis,algorithm_mean_threshold,mean_threshold,MaxEnt,NA
Spilopelia chinensis,algorithm_mean_threshold,mean_threshold,RF,0.008
Spilopelia chinensis,ensemble_binary_threshold,ensemble_binary_threshold,GLM,0.18320514131942855
Egretta garzetta,model_config,presence_cell_threshold,NA,10
Egretta garzetta,model_config,presence_cell_maximum,NA,10000
Egretta garzetta,model_config,pseudoabsence_multiplier,NA,3
Egretta garzetta,model_config,pseudoabsence_minimum,NA,1000
Egretta garzetta,model_config,pseudoabsence_maximum,NA,20000
Egretta garzetta,model_config,cv_folds,NA,5
Egretta garzetta,model_config,cv_presence_threshold_spatial,NA,20
Egretta garzetta,model_config,tss_selection_threshold,NA,0.6
Egretta garzetta,model_config,buffer_km,NA,500
Egretta garzetta,algorithm_mean_threshold,mean_threshold,GAM,0.11749481044212308
Egretta garzetta,algorithm_mean_threshold,mean_threshold,GBM,0.08814021495044999
