"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Saxicola rubetra","草原石䳭","Whinchat","Passeriformes","LC",1,"Saxicola_rubetra",NA,NA,NA,"Saxicola_rubetra",TRUE,FALSE,FALSE,"Exact match"
"Sitta cinnamoventris","栗腹䴓","Chestnut-bellied Nuthatch","Passeriformes","LC",1,"Sitta_cinnamoventris",NA,NA,NA,"Sitta_cinnamoventris",TRUE,FALSE,FALSE,"Exact match"
"Sitta formosa","丽䴓","Beautiful Nuthatch","Passeriformes","VU",1,"Sitta_formosa",NA,NA,NA,"Sitta_formosa",TRUE,FALSE,FALSE,"Exact match"
"Sittiparus varius","杂色山雀","Varied Tit","Passeriformes","LC",1,"Sittiparus_varius",NA,NA,NA,"Sittiparus_varius",TRUE,FALSE,FALSE,"Exact match"
"Spinus spinus","黄雀","Eurasian Siskin","Passeriformes","LC",1,"Spinus_spinus",NA,NA,NA,"Spinus_spinus",TRUE,FALSE,FALSE,"Exact match"
"Spizixos semitorques","领雀嘴鹎","Collared Finchbill","Passeriformes","LC",3,"Spizixos_semitorques",NA,NA,NA,"Spizixos_semitorques",TRUE,FALSE,FALSE,"Exact match"
"Spodiopsar cineraceus","灰椋鸟","White-cheeked Starling","Passeriformes","LC",1,"Spodiopsar_cineraceus",NA,NA,NA,"Spodiopsar_cineraceus",TRUE,FALSE,FALSE,"Exact match"
"Spodiopsar sericeus","丝光椋鸟","Red-billed Starling","Passeriformes","LC",9,"Spodiopsar_sericeus",NA,NA,NA,"Spodiopsar_sericeus",TRUE,FALSE,FALSE,"Exact match"
"Stachyris humei","黑胸楔嘴穗鹛","Blackish-breasted Babbler","Passeriformes","NT",1,"Stachyris_humei",NA,NA,NA,"Stachyris_humei",TRUE,FALSE,FALSE,"Exact match"
"Stachyris nonggangensis","弄岗穗鹛","Nonggang Babbler","Passeriformes","VU",1,"Stachyris_nonggangensis",NA,NA,NA,"Stachyris_nonggangensis",TRUE,FALSE,FALSE,"Exact match"
