"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Accipiter badius","褐耳鹰","Accipiter badius","Accipitriformes","LC",1,"Accipiter_badius",NA,NA,NA,"Accipiter_badius",TRUE,FALSE,FALSE,"Exact match"
"Accipiter gularis","日本松雀鹰","Japanese Sparrowhawk","Accipitriformes","LC",1,"Accipiter_gularis",NA,NA,NA,"Accipiter_gularis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter soloensis","赤腹鹰","Chinese Sparrowhawk","Accipitriformes","LC",3,"Accipiter_soloensis",NA,NA,NA,"Accipiter_soloensis",TRUE,FALSE,FALSE,"Exact match"
"Accipiter trivirgatus","凤头鹰","Crested Goshawk","Accipitriformes","LC",7,"Accipiter_trivirgatus",NA,NA,NA,"Accipiter_trivirgatus",TRUE,FALSE,FALSE,"Exact match"
"Accipiter virgatus","松雀鹰","Besra","Accipitriformes","LC",1,"Accipiter_virgatus",NA,NA,NA,"Accipiter_virgatus",TRUE,FALSE,FALSE,"Exact match"
"Aquila fasciata","白腹隼雕","Bonelli's Eagle","Accipitriformes","LC",2,"Aquila_fasciata",NA,NA,NA,"Aquila_fasciata",TRUE,FALSE,FALSE,"Exact match"
"Aquila heliaca","白肩雕","Eastern Imperial Eagle","Accipitriformes","VU",2,"Aquila_heliaca",NA,NA,NA,"Aquila_heliaca",TRUE,FALSE,FALSE,"Exact match"
"Aviceda jerdoni","褐冠鹃隼","Jerdon's Baza","Accipitriformes","LC",2,"Aviceda_jerdoni",NA,NA,NA,"Aviceda_jerdoni",TRUE,FALSE,FALSE,"Exact match"
"Aviceda leuphotes","黑冠鹃隼","Black Baza","Accipitriformes","LC",4,"Aviceda_leuphotes",NA,NA,NA,"Aviceda_leuphotes",TRUE,FALSE,FALSE,"Exact match"
"Butastur indicus","灰脸鵟鹰","Grey-faced Buzzard","Accipitriformes","LC",2,"Butastur_indicus",NA,NA,NA,"Butastur_indicus",TRUE,FALSE,FALSE,"Exact match"
"Circaetus gallicus","短趾雕","Short-toed Snake-eagle","Accipitriformes","LC",3,"Circaetus_gallicus",NA,NA,NA,"Circaetus_gallicus",TRUE,FALSE,FALSE,"Exact match"
"Circus aeruginosus","白头鹞","Western Marsh Harrier","Accipitriformes","LC",2,"Circus_aeruginosus",NA,NA,NA,"Circus_aeruginosus",TRUE,FALSE,FALSE,"Exact match"
"Circus macrourus","草原鹞","Pallid Harrier","Accipitriformes","NT",1,"Circus_macrourus",NA,NA,NA,"Circus_macrourus",TRUE,FALSE,FALSE,"Exact match"
"Circus spilonotus","白腹鹞","Eastern Marsh-harrier","Accipitriformes","LC",1,"Circus_spilonotus",NA,NA,NA,"Circus_spilonotus",TRUE,FALSE,FALSE,"Exact match"
"Clanga clanga","乌雕","Greater Spotted Eagle","Accipitriformes","VU",1,"Clanga_clanga",NA,NA,NA,"Clanga_clanga",TRUE,FALSE,FALSE,"Exact match"
"Elanus caeruleus","黑翅鸢","Black-winged Kite","Accipitriformes","LC",8,"Elanus_caeruleus",NA,NA,NA,"Elanus_caeruleus",TRUE,FALSE,FALSE,"Exact match"
"Gypaetus barbatus","胡兀鹫","Bearded Vulture","Accipitriformes","NT",2,"Gypaetus_barbatus",NA,NA,NA,"Gypaetus_barbatus",TRUE,FALSE,FALSE,"Exact match"
"Gyps himalayensis","高山兀鹫","Himalayan Griffon","Accipitriformes","NT",2,"Gyps_himalayensis",NA,NA,NA,"Gyps_himalayensis",TRUE,FALSE,FALSE,"Exact match"
"Gyps tenuirostris","细嘴兀鹫","Slender-billed Vulture","Accipitriformes","CR",1,"Gyps_tenuirostris",NA,NA,NA,"Gyps_tenuirostris",TRUE,FALSE,FALSE,"Exact match"
"Haliaeetus leucoryphus","玉带海雕","Pallas's Fish-eagle","Accipitriformes","EN",1,"Haliaeetus_leucoryphus",NA,NA,NA,"Haliaeetus_leucoryphus",TRUE,FALSE,FALSE,"Exact match"
"Haliaeetus pelagicus","虎头海雕","Steller's Sea-eagle","Accipitriformes","VU",1,"Haliaeetus_pelagicus",NA,NA,NA,"Haliaeetus_pelagicus",TRUE,FALSE,FALSE,"Exact match"
"Haliastur indus","栗鸢","Brahminy Kite","Accipitriformes","LC",1,"Haliastur_indus",NA,NA,NA,"Haliastur_indus",TRUE,FALSE,FALSE,"Exact match"
"Hieraaetus pennatus","靴隼雕","Booted Eagle","Accipitriformes","LC",7,"Hieraaetus_pennatus",NA,NA,NA,"Hieraaetus_pennatus",TRUE,FALSE,FALSE,"Exact match"
"Ictinaetus malaiensis","林雕","Black Eagle","Accipitriformes","LC",2,"Ictinaetus_malaiensis",NA,NA,NA,"Ictinaetus_malaiensis",TRUE,FALSE,FALSE,"Exact match"
"Lophotriorchis kienerii","棕腹隼雕","Rufous-bellied Eagle","Accipitriformes","NT",1,"Lophotriorchis_kienerii",NA,NA,NA,"Lophotriorchis_kienerii",TRUE,FALSE,FALSE,"Exact match"
"Nisaetus nipalensis","鹰雕","Mountain Hawk-eagle","Accipitriformes","EN",2,"Nisaetus_nipalensis",NA,NA,NA,"Nisaetus_nipalensis",TRUE,FALSE,FALSE,"Exact match"
"Pernis ptilorhynchus","凤头蜂鹰","Oriental Honey-buzzard","Accipitriformes","LC",2,"Pernis_ptilorhynchus",NA,NA,NA,"Pernis_ptilorhynchus",TRUE,FALSE,FALSE,"Exact match"
"Spilornis cheela","蛇雕","Crested Serpent-eagle","Accipitriformes","LC",2,"Spilornis_cheela",NA,NA,NA,"Spilornis_cheela",TRUE,FALSE,FALSE,"Exact match"
"Aix galericulata","鸳鸯","Mandarin Duck","Anseriformes","LC",2,"Aix_galericulata",NA,NA,NA,"Aix_galericulata",TRUE,FALSE,FALSE,"Exact match"
"Anas carolinensis","美洲绿翅鸭","Green-Winged Teal","Anseriformes","LC",1,"Anas_carolinensis","Anas_crecca","Checklist-tree concept bridge","Tree follows a less split taxonomic concept than the checklist for this teal.","Anas_crecca",FALSE,TRUE,FALSE,"Bridged match"
"Anser albifrons","白额雁","Greater White-fronted Goose","Anseriformes","LC",1,"Anser_albifrons",NA,NA,NA,"Anser_albifrons",TRUE,FALSE,FALSE,"Exact match"
"Anser anser","灰雁","Greylag Goose","Anseriformes","LC",1,"Anser_anser",NA,NA,NA,"Anser_anser",TRUE,FALSE,FALSE,"Exact match"
"Anser caerulescens","雪雁","Snow Goose","Anseriformes","LC",4,"Anser_caerulescens",NA,NA,NA,"Anser_caerulescens",TRUE,FALSE,FALSE,"Exact match"
"Anser erythropus","小白额雁","Lesser White-fronted Goose","Anseriformes","VU",1,"Anser_erythropus",NA,NA,NA,"Anser_erythropus",TRUE,FALSE,FALSE,"Exact match"
"Anser fabalis","豆雁","Bean Goose","Anseriformes","LC",1,"Anser_fabalis",NA,NA,NA,"Anser_fabalis",TRUE,FALSE,FALSE,"Exact match"
"Anser indicus","斑头雁","Bar-headed Goose","Anseriformes","LC",2,"Anser_indicus",NA,NA,NA,"Anser_indicus",TRUE,FALSE,FALSE,"Exact match"
"Asarcornis scutulata","白翅栖鸭","White-winged Duck","Anseriformes","CR",1,"Asarcornis_scutulata",NA,NA,NA,"Asarcornis_scutulata",TRUE,FALSE,FALSE,"Exact match"
"Aythya collaris","环颈潜鸭","Ring-necked Duck","Anseriformes","LC",1,"Aythya_collaris",NA,NA,NA,"Aythya_collaris",TRUE,FALSE,FALSE,"Exact match"
"Aythya fuligula","凤头潜鸭","Tufted Duck","Anseriformes","LC",1,"Aythya_fuligula",NA,NA,NA,"Aythya_fuligula",TRUE,FALSE,FALSE,"Exact match"
"Aythya nyroca","白眼潜鸭","Ferruginous Duck","Anseriformes","NT",2,"Aythya_nyroca",NA,NA,NA,"Aythya_nyroca",TRUE,FALSE,FALSE,"Exact match"
"Branta bernicla","黑雁","Brent Goose","Anseriformes","LC",2,"Branta_bernicla",NA,NA,NA,"Branta_bernicla",TRUE,FALSE,FALSE,"Exact match"
"Branta canadensis","加拿大雁","Canada Goose","Anseriformes","LC",3,"Branta_canadensis",NA,NA,NA,"Branta_canadensis",TRUE,FALSE,FALSE,"Exact match"
"Branta hutchinsii","小美洲黑雁","Cackling Goose","Anseriformes","LC",3,"Branta_hutchinsii",NA,NA,NA,"Branta_hutchinsii",TRUE,FALSE,FALSE,"Exact match"
"Branta leucopsis","白颊黑雁","Barnacle Goose","Anseriformes","LC",1,"Branta_leucopsis",NA,NA,NA,"Branta_leucopsis",TRUE,FALSE,FALSE,"Exact match"
"Branta ruficollis","红胸黑雁","Red-breasted Goose","Anseriformes","VU",4,"Branta_ruficollis",NA,NA,NA,"Branta_ruficollis",TRUE,FALSE,FALSE,"Exact match"
"Clangula hyemalis","长尾鸭","Long-tailed Duck","Anseriformes","VU",7,"Clangula_hyemalis",NA,NA,NA,"Clangula_hyemalis",TRUE,FALSE,FALSE,"Exact match"
"Cygnus columbianus","小天鹅","Tundra Swan","Anseriformes","LC",1,"Cygnus_columbianus",NA,NA,NA,"Cygnus_columbianus",TRUE,FALSE,FALSE,"Exact match"
"Cygnus olor","疣鼻天鹅","Mute Swan","Anseriformes","LC",3,"Cygnus_olor",NA,NA,NA,"Cygnus_olor",TRUE,FALSE,FALSE,"Exact match"
"Dendrocygna javanica","栗树鸭","Lesser Whistling-duck","Anseriformes","LC",1,"Dendrocygna_javanica",NA,NA,NA,"Dendrocygna_javanica",TRUE,FALSE,FALSE,"Exact match"
"Histrionicus histrionicus","丑鸭","Harlequin Duck","Anseriformes","LC",3,"Histrionicus_histrionicus",NA,NA,NA,"Histrionicus_histrionicus",TRUE,FALSE,FALSE,"Exact match"
"Mareca falcata","罗纹鸭","Falcated Duck","Anseriformes","LC",3,"Mareca_falcata",NA,NA,NA,"Mareca_falcata",TRUE,FALSE,FALSE,"Exact match"
"Melanitta fusca","丝绒海番鸭","Velvet Scoter","Anseriformes","VU",2,"Melanitta_fusca",NA,NA,NA,"Melanitta_fusca",TRUE,FALSE,FALSE,"Exact match"
"Melanitta stejnegeri","斑脸海番鸭","Siberian Scoter","Anseriformes","LC",3,"Melanitta_stejnegeri",NA,NA,NA,"Melanitta_stejnegeri",TRUE,FALSE,FALSE,"Exact match"
"Mergus serrator","红胸秋沙鸭","Red-breasted Merganser","Anseriformes","LC",4,"Mergus_serrator",NA,NA,NA,"Mergus_serrator",TRUE,FALSE,FALSE,"Exact match"
"Netta rufina","赤嘴潜鸭","Red-crested Pochard","Anseriformes","LC",4,"Netta_rufina",NA,NA,NA,"Netta_rufina",TRUE,FALSE,FALSE,"Exact match"
"Oxyura leucocephala","白头硬尾鸭","White-headed Duck","Anseriformes","EN",1,"Oxyura_leucocephala",NA,NA,NA,"Oxyura_leucocephala",TRUE,FALSE,FALSE,"Exact match"
"Sibirionetta formosa","花脸鸭","Falcated Duck","Anseriformes","EN",2,"Sibirionetta_formosa",NA,NA,NA,"Sibirionetta_formosa",TRUE,FALSE,FALSE,"Exact match"
"Aerodramus brevirostris","短嘴金丝燕","Himalayan Swiftlet","Caprimulgiformes","LC",1,"Aerodramus_brevirostris",NA,NA,NA,"Aerodramus_brevirostris",TRUE,FALSE,FALSE,"Exact match"
"Caprimulgus macrurus","长尾夜鹰","Large-tailed Nightjar","Caprimulgiformes","LC",1,"Caprimulgus_macrurus",NA,NA,NA,"Caprimulgus_macrurus",TRUE,FALSE,FALSE,"Exact match"
"Hemiprocne coronata","凤头雨燕","Crested Treeswift","Caprimulgiformes","LC",1,"Hemiprocne_coronata",NA,NA,NA,"Hemiprocne_coronata",TRUE,FALSE,FALSE,"Exact match"
"Hirundapus caudacutus","白喉针尾雨燕","White-throated Needletail","Caprimulgiformes","LC",1,"Hirundapus_caudacutus",NA,NA,NA,"Hirundapus_caudacutus",TRUE,FALSE,FALSE,"Exact match"
"Anous stolidus","白顶玄燕鸥","Brown Noddy","Charadriiformes","LC",2,"Anous_stolidus",NA,NA,NA,"Anous_stolidus",TRUE,FALSE,FALSE,"Exact match"
"Arenaria interpres","翻石鹬","Ruddy Turnstone","Charadriiformes","NT",2,"Arenaria_interpres",NA,NA,NA,"Arenaria_interpres",TRUE,FALSE,FALSE,"Exact match"
"Brachyramphus perdix","长嘴海雀","Long-billed Murrelet","Charadriiformes","NT",1,"Brachyramphus_perdix",NA,NA,NA,"Brachyramphus_perdix",TRUE,FALSE,FALSE,"Exact match"
"Calidris acuminata","尖尾滨鹬","Sharp-tailed Sandpiper","Charadriiformes","VU",2,"Calidris_acuminata",NA,NA,NA,"Calidris_acuminata",TRUE,FALSE,FALSE,"Exact match"
"Calidris alba","三趾滨鹬","Sanderling","Charadriiformes","LC",1,"Calidris_alba",NA,NA,NA,"Calidris_alba",TRUE,FALSE,FALSE,"Exact match"
"Calidris alpina","黑腹滨鹬","Dunlin","Charadriiformes","NT",4,"Calidris_alpina",NA,NA,NA,"Calidris_alpina",TRUE,FALSE,FALSE,"Exact match"
"Calidris bairdii","黑腰滨鹬","Baird's Sandpiper","Charadriiformes","LC",1,"Calidris_bairdii",NA,NA,NA,"Calidris_bairdii",TRUE,FALSE,FALSE,"Exact match"
"Calidris melanotos","斑胸滨鹬","Pectoral Sandpiper","Charadriiformes","LC",5,"Calidris_melanotos",NA,NA,NA,"Calidris_melanotos",TRUE,FALSE,FALSE,"Exact match"
"Calidris minuta","小滨鹬","Little Stint","Charadriiformes","LC",10,"Calidris_minuta",NA,NA,NA,"Calidris_minuta",TRUE,FALSE,FALSE,"Exact match"
"Calidris pugnax","流苏鹬","Ruff","Charadriiformes","LC",5,"Calidris_pugnax",NA,NA,NA,"Calidris_pugnax",TRUE,FALSE,FALSE,"Exact match"
"Calidris pygmaea","勺嘴鹬","Spoon-billed Sandpiper","Charadriiformes","CR",1,"Calidris_pygmaea",NA,NA,NA,"Calidris_pygmaea",TRUE,FALSE,FALSE,"Exact match"
"Calidris subminuta","长趾滨鹬","Long-toed Stint","Charadriiformes","LC",2,"Calidris_subminuta",NA,NA,NA,"Calidris_subminuta",TRUE,FALSE,FALSE,"Exact match"
"Calidris tenuirostris","大滨鹬","Great Knot","Charadriiformes","EN",3,"Calidris_tenuirostris",NA,NA,NA,"Calidris_tenuirostris",TRUE,FALSE,FALSE,"Exact match"
"Charadrius asiaticus","红胸鸻","Caspian Plover","Charadriiformes","LC",1,"Charadrius_asiaticus","Anarhynchus_asiaticus","Genus update","Recent plover generic revision.","Anarhynchus_asiaticus",FALSE,TRUE,FALSE,"Bridged match"
"Charadrius atrifrons","蒙古沙鸻","Siberian Sandplover","Charadriiformes","LC",6,"Charadrius_atrifrons","Anarhynchus_atrifrons","Genus update","Recent plover generic revision.","Anarhynchus_atrifrons",FALSE,TRUE,FALSE,"Bridged match"
"Charadrius dealbatus","白脸鸻","White-faced Plover","Charadriiformes","LC",1,"Charadrius_dealbatus","Anarhynchus_dealbatus","Genus update","Recent plover generic revision.","Anarhynchus_dealbatus",FALSE,TRUE,FALSE,"Bridged match"
"Charadrius hiaticula","剑鸻","Common Ringed Plover","Charadriiformes","LC",1,"Charadrius_hiaticula",NA,NA,NA,"Charadrius_hiaticula",TRUE,FALSE,FALSE,"Exact match"
"Charadrius mongolus","蒙古沙鸻","Siberian Sandplover","Charadriiformes","EN",2,"Charadrius_mongolus","Anarhynchus_mongolus","Genus update","Recent plover generic revision.","Anarhynchus_mongolus",FALSE,TRUE,FALSE,"Bridged match"
"Charadrius placidus","长嘴剑鸻","Long-billed Plover","Charadriiformes","LC",1,"Charadrius_placidus",NA,NA,NA,"Charadrius_placidus",TRUE,FALSE,FALSE,"Exact match"
"Charadrius veredus","东方鸻","Oriental Plover","Charadriiformes","LC",4,"Charadrius_veredus","Anarhynchus_veredus","Genus update","Recent plover generic revision.","Anarhynchus_veredus",FALSE,TRUE,FALSE,"Bridged match"
"Chlidonias leucopterus","白翅浮鸥","White-winged Tern","Charadriiformes","LC",1,"Chlidonias_leucopterus",NA,NA,NA,"Chlidonias_leucopterus",TRUE,FALSE,FALSE,"Exact match"
"Chlidonias niger","黑浮鸥","Black Tern","Charadriiformes","LC",2,"Chlidonias_niger",NA,NA,NA,"Chlidonias_niger",TRUE,FALSE,FALSE,"Exact match"
"Gelochelidon nilotica","鸥嘴噪鸥","Common Gull-billed Tern","Charadriiformes","LC",2,"Gelochelidon_nilotica",NA,NA,NA,"Gelochelidon_nilotica",TRUE,FALSE,FALSE,"Exact match"
"Glareola lactea","灰燕鸻","Little Pratincole","Charadriiformes","LC",2,"Glareola_lactea",NA,NA,NA,"Glareola_lactea",TRUE,FALSE,FALSE,"Exact match"
"Gygis alba","白玄鸥","Atlantic White Tern","Charadriiformes","LC",1,"Gygis_alba",NA,NA,NA,"Gygis_alba",TRUE,FALSE,FALSE,"Exact match"
"Hydrocoloeus minutus","小鸥","Little Gull","Charadriiformes","LC",1,"Hydrocoloeus_minutus",NA,NA,NA,"Hydrocoloeus_minutus",TRUE,FALSE,FALSE,"Exact match"
"Hydrophasianus chirurgus","水雉","Pheasant-tailed Jacana","Charadriiformes","LC",7,"Hydrophasianus_chirurgus",NA,NA,NA,"Hydrophasianus_chirurgus",TRUE,FALSE,FALSE,"Exact match"
"Hydroprogne caspia","红嘴巨燕鸥","Caspian Tern","Charadriiformes","LC",3,"Hydroprogne_caspia",NA,NA,NA,"Hydroprogne_caspia",TRUE,FALSE,FALSE,"Exact match"
"Larus argentatus","西伯利亚银鸥","European Herring Gull","Charadriiformes","LC",1,"Larus_argentatus",NA,NA,NA,"Larus_argentatus",TRUE,FALSE,FALSE,"Exact match"
"Larus brunnicephalus","棕头鸥","Brown-headed Gull","Charadriiformes","LC",1,"Larus_brunnicephalus","Chroicocephalus_brunnicephalus","Genus update","Checklist gull genus differs from tree taxonomy.","Chroicocephalus_brunnicephalus",FALSE,TRUE,FALSE,"Bridged match"
"Larus cachinnans","黄腿银鸥","Caspian Gull","Charadriiformes","LC",1,"Larus_cachinnans",NA,NA,NA,"Larus_cachinnans",TRUE,FALSE,FALSE,"Exact match"
"Larus canus","普通海鸥","Mew Gull","Charadriiformes","LC",1,"Larus_canus",NA,NA,NA,"Larus_canus",TRUE,FALSE,FALSE,"Exact match"
"Larus crassirostris","黑尾鸥","Black-tailed Gull","Charadriiformes","LC",1,"Larus_crassirostris",NA,NA,NA,"Larus_crassirostris",TRUE,FALSE,FALSE,"Exact match"
"Larus fuscus","小黑背银鸥","Lesser Black-backed Gull","Charadriiformes","LC",3,"Larus_fuscus",NA,NA,NA,"Larus_fuscus",TRUE,FALSE,FALSE,"Exact match"
"Larus genei","细嘴鸥","Slender-billed Gull","Charadriiformes","LC",2,"Larus_genei","Chroicocephalus_genei","Genus update","Checklist gull genus differs from tree taxonomy.","Chroicocephalus_genei",FALSE,TRUE,FALSE,"Bridged match"
"Larus glaucescens","灰翅鸥","Glaucous-winged Gull","Charadriiformes","LC",2,"Larus_glaucescens",NA,NA,NA,"Larus_glaucescens",TRUE,FALSE,FALSE,"Exact match"
"Larus hyperboreus","北极鸥","Glaucous Gull","Charadriiformes","LC",3,"Larus_hyperboreus",NA,NA,NA,"Larus_hyperboreus",TRUE,FALSE,FALSE,"Exact match"
"Larus ichthyaetus","渔鸥","Pallas's Gull","Charadriiformes","LC",2,"Larus_ichthyaetus","Ichthyaetus_ichthyaetus","Genus update","Checklist gull genus differs from tree taxonomy.","Ichthyaetus_ichthyaetus",FALSE,TRUE,FALSE,"Bridged match"
"Larus relictus","遗鸥","Relict Gull","Charadriiformes","VU",1,"Larus_relictus","Ichthyaetus_relictus","Genus update","Checklist gull genus differs from tree taxonomy.","Ichthyaetus_relictus",FALSE,TRUE,FALSE,"Bridged match"
"Limnodromus scolopaceus","长嘴半蹼鹬","Long-billed Dowitcher","Charadriiformes","VU",6,"Limnodromus_scolopaceus",NA,NA,NA,"Limnodromus_scolopaceus",TRUE,FALSE,FALSE,"Exact match"
"Limnodromus semipalmatus","半蹼鹬","Asian Dowitcher","Charadriiformes","NT",2,"Limnodromus_semipalmatus",NA,NA,NA,"Limnodromus_semipalmatus",TRUE,FALSE,FALSE,"Exact match"
"Limosa lapponica","斑尾塍鹬","Bar-tailed Godwit","Charadriiformes","NT",1,"Limosa_lapponica",NA,NA,NA,"Limosa_lapponica",TRUE,FALSE,FALSE,"Exact match"
"Limosa limosa","黑尾塍鹬","Black-tailed Godwit","Charadriiformes","NT",1,"Limosa_limosa",NA,NA,NA,"Limosa_limosa",TRUE,FALSE,FALSE,"Exact match"
"Numenius madagascariensis","大杓鹬","Far Eastern Curlew","Charadriiformes","EN",1,"Numenius_madagascariensis",NA,NA,NA,"Numenius_madagascariensis",TRUE,FALSE,FALSE,"Exact match"
"Numenius minutus","小杓鹬","Little Curlew","Charadriiformes","LC",1,"Numenius_minutus",NA,NA,NA,"Numenius_minutus",TRUE,FALSE,FALSE,"Exact match"
"Numenius phaeopus","中杓鹬","Whimbrel","Charadriiformes","LC",1,"Numenius_phaeopus",NA,NA,NA,"Numenius_phaeopus",TRUE,FALSE,FALSE,"Exact match"
"Onychoprion aleuticus","白腰燕鸥","Aleutian Tern","Charadriiformes","VU",4,"Onychoprion_aleuticus",NA,NA,NA,"Onychoprion_aleuticus",TRUE,FALSE,FALSE,"Exact match"
"Onychoprion anaethetus","褐翅燕鸥","Bridled Tern","Charadriiformes","LC",4,"Onychoprion_anaethetus",NA,NA,NA,"Onychoprion_anaethetus",TRUE,FALSE,FALSE,"Exact match"
"Onychoprion fuscatus","乌燕鸥","Sooty Tern","Charadriiformes","LC",1,"Onychoprion_fuscatus",NA,NA,NA,"Onychoprion_fuscatus",TRUE,FALSE,FALSE,"Exact match"
"Phalaropus fulicarius","灰瓣蹼鹬","Red Phalarope","Charadriiformes","LC",4,"Phalaropus_fulicarius",NA,NA,NA,"Phalaropus_fulicarius",TRUE,FALSE,FALSE,"Exact match"
"Phalaropus lobatus","红颈瓣蹼鹬","Red-necked Phalarope","Charadriiformes","LC",5,"Phalaropus_lobatus",NA,NA,NA,"Phalaropus_lobatus",TRUE,FALSE,FALSE,"Exact match"
"Pluvialis apricaria","欧金鸻","Eurasian Golden Plover","Charadriiformes","LC",1,"Pluvialis_apricaria",NA,NA,NA,"Pluvialis_apricaria",TRUE,FALSE,FALSE,"Exact match"
"Recurvirostra avosetta","反嘴鹬","Pied Avocet","Charadriiformes","LC",2,"Recurvirostra_avosetta",NA,NA,NA,"Recurvirostra_avosetta",TRUE,FALSE,FALSE,"Exact match"
"Rissa tridactyla","三趾鸥","Black-legged Kittiwake","Charadriiformes","VU",7,"Rissa_tridactyla",NA,NA,NA,"Rissa_tridactyla",TRUE,FALSE,FALSE,"Exact match"
"Stercorarius parasiticus","短尾贼鸥","Arctic Jaeger","Charadriiformes","LC",8,"Stercorarius_parasiticus",NA,NA,NA,"Stercorarius_parasiticus",TRUE,FALSE,FALSE,"Exact match"
"Thalasseus bengalensis","小凤头燕鸥","Lesser Crested Tern","Charadriiformes","LC",2,"Thalasseus_bengalensis",NA,NA,NA,"Thalasseus_bengalensis",TRUE,FALSE,FALSE,"Exact match"
"Thalasseus bergii","大凤头燕鸥","Greater Crested Tern","Charadriiformes","LC",1,"Thalasseus_bergii",NA,NA,NA,"Thalasseus_bergii",TRUE,FALSE,FALSE,"Exact match"
"Tringa brevipes","灰尾漂鹬","Grey-tailed Tattler","Charadriiformes","LC",1,"Tringa_brevipes",NA,NA,NA,"Tringa_brevipes",TRUE,FALSE,FALSE,"Exact match"
"Vanellus cinereus","灰头麦鸡","Grey-headed Lapwing","Charadriiformes","LC",1,"Vanellus_cinereus",NA,NA,NA,"Vanellus_cinereus",TRUE,FALSE,FALSE,"Exact match"
"Vanellus vanellus","凤头麦鸡","Northern Lapwing","Charadriiformes","NT",1,"Vanellus_vanellus",NA,NA,NA,"Vanellus_vanellus",TRUE,FALSE,FALSE,"Exact match"
"Anastomus oscitans","钳嘴鹳","Asian Openbill","Ciconiiformes","LC",8,"Anastomus_oscitans",NA,NA,NA,"Anastomus_oscitans",TRUE,FALSE,FALSE,"Exact match"
"Ciconia boyciana","东方白鹳","Oriental Stork","Ciconiiformes","EN",3,"Ciconia_boyciana",NA,NA,NA,"Ciconia_boyciana",TRUE,FALSE,FALSE,"Exact match"
"Ciconia episcopus","白颈鹳","Asian Woollyneck","Ciconiiformes","NT",1,"Ciconia_episcopus",NA,NA,NA,"Ciconia_episcopus",TRUE,FALSE,FALSE,"Exact match"
"Ciconia nigra","黑鹳","Black Stork","Ciconiiformes","LC",1,"Ciconia_nigra",NA,NA,NA,"Ciconia_nigra",TRUE,FALSE,FALSE,"Exact match"
"Chalcophaps indica","绿翅金鸠","Grey-capped Emerald Dove","Columbiformes","LC",3,"Chalcophaps_indica",NA,NA,NA,"Chalcophaps_indica",TRUE,FALSE,FALSE,"Exact match"
"Columba oenas","欧鸽","Stock Dove","Columbiformes","LC",4,"Columba_oenas",NA,NA,NA,"Columba_oenas",TRUE,FALSE,FALSE,"Exact match"
"Geopelia striata","斑姬地鸠","Zebra Dove","Columbiformes","LC",1,"Geopelia_striata",NA,NA,NA,"Geopelia_striata",TRUE,FALSE,FALSE,"Exact match"
"Macropygia unchall","斑尾鹃鸠","Barred Cuckoo-Dove","Columbiformes","LC",3,"Macropygia_unchall",NA,NA,NA,"Macropygia_unchall",TRUE,FALSE,FALSE,"Exact match"
"Spilopelia chinensis","珠颈斑鸠","Eastern Spotted Dove","Columbiformes","LC",2,"Spilopelia_chinensis",NA,NA,NA,"Spilopelia_chinensis",TRUE,FALSE,FALSE,"Exact match"
"Spilopelia senegalensis","棕斑鸠","Laughing Dove","Columbiformes","LC",1,"Spilopelia_senegalensis",NA,NA,NA,"Spilopelia_senegalensis",TRUE,FALSE,FALSE,"Exact match"
"Streptopelia decaocto","灰斑鸠","Eurasian Collared-dove","Columbiformes","LC",1,"Streptopelia_decaocto",NA,NA,NA,"Streptopelia_decaocto",TRUE,FALSE,FALSE,"Exact match"
"Treron curvirostra","厚嘴绿鸠","Thick-billed Green-pigeon","Columbiformes","LC",1,"Treron_curvirostra",NA,NA,NA,"Treron_curvirostra",TRUE,FALSE,FALSE,"Exact match"
"Treron seimundi","白腹针尾绿鸠","Yellow-vented Green-pigeon","Columbiformes","LC",1,"Treron_seimundi",NA,NA,NA,"Treron_seimundi",TRUE,FALSE,FALSE,"Exact match"
"Treron sieboldii","红翅绿鸠","White-bellied Green-pigeon","Columbiformes","LC",3,"Treron_sieboldii",NA,NA,NA,"Treron_sieboldii",TRUE,FALSE,FALSE,"Exact match"
"Treron sphenurus","楔尾绿鸠","Wedge-tailed Green-pigeon","Columbiformes","LC",1,"Treron_sphenurus",NA,NA,NA,"Treron_sphenurus",TRUE,FALSE,FALSE,"Exact match"
"Alcedo hercules","斑头大翠鸟","Blyth's Kingfisher","Coraciiformes","NT",1,"Alcedo_hercules",NA,NA,NA,"Alcedo_hercules",TRUE,FALSE,FALSE,"Exact match"
"Ceryle rudis","斑鱼狗","Pied Kingfisher","Coraciiformes","LC",2,"Ceryle_rudis",NA,NA,NA,"Ceryle_rudis",TRUE,FALSE,FALSE,"Exact match"
"Coracias garrulus","蓝胸佛法僧","European Roller","Coraciiformes","LC",1,"Coracias_garrulus",NA,NA,NA,"Coracias_garrulus",TRUE,FALSE,FALSE,"Exact match"
"Halcyon coromanda","赤翡翠","Ruddy Kingfisher","Coraciiformes","LC",1,"Halcyon_coromanda",NA,NA,NA,"Halcyon_coromanda",TRUE,FALSE,FALSE,"Exact match"
"Halcyon smyrnensis","白胸翡翠","White-throated Kingfisher","Coraciiformes","LC",5,"Halcyon_smyrnensis",NA,NA,NA,"Halcyon_smyrnensis",TRUE,FALSE,FALSE,"Exact match"
