"species","species_cn","order","order_cn","family","family_cn","genus","genus_cn"
"Accipiter badius","褐耳鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter gentilis","苍鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter gularis","日本松雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter nisus","雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter soloensis","赤腹鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter trivirgatus","凤头鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Accipiter virgatus","松雀鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Accipiter","鹰属"
"Aegypius monachus","秃鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Aegypius","秃鹫属"
"Aquila chrysaetos","金雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属"
"Aquila fasciata","白腹隼雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属"
"Aquila heliaca","白肩雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属"
"Aquila nipalensis","草原雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Aquila","鵰属"
"Aviceda jerdoni","褐冠鹃隼","Accipitriformes","鹰形目","Accipitridae","鹰科","Aviceda","鹃隼属"
"Aviceda leuphotes","黑冠鹃隼","Accipitriformes","鹰形目","Accipitridae","鹰科","Aviceda","鹃隼属"
"Butastur indicus","灰脸鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属"
"Butastur liventer","棕翅鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属"
"Butastur teesa","白眼鵟鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Butastur","鵟鹰属"
"Buteo buteo","欧亚鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Buteo hemilasius","大鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Buteo japonicus","普通鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Buteo lagopus","毛脚鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Buteo refectus","喜山鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Buteo rufinus","棕尾鵟","Accipitriformes","鹰形目","Accipitridae","鹰科","Buteo","鵟属"
"Circaetus gallicus","短趾雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Circaetus","短趾鵰属"
"Circus aeruginosus","白头鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Circus cyaneus","白尾鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Circus macrourus","草原鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Circus melanoleucos","鹊鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Circus pygargus","乌灰鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Circus spilonotus","白腹鹞","Accipitriformes","鹰形目","Accipitridae","鹰科","Circus","鹞属"
"Clanga clanga","乌雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Clanga",NA
"Elanus caeruleus","黑翅鸢","Accipitriformes","鹰形目","Accipitridae","鹰科","Elanus","黑翅鸢属"
"Gypaetus barbatus","胡兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gypaetus","胡兀鹫属"
"Gyps bengalensis","白背兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gyps","兀鹫属"
"Gyps fulvus","兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gyps","兀鹫属"
"Gyps himalayensis","高山兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gyps","兀鹫属"
"Gyps tenuirostris","长嘴兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Gyps","兀鹫属"
"Haliaeetus albicilla","白尾海雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliaeetus","海鵰属"
"Haliaeetus humilis","渔雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliaeetus","海鵰属"
"Haliaeetus leucogaster","白腹海雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliaeetus","海鵰属"
"Haliaeetus leucoryphus","玉带海雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliaeetus","海鵰属"
"Haliaeetus pelagicus","虎头海雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliaeetus","海鵰属"
"Haliastur indus","栗鸢","Accipitriformes","鹰形目","Accipitridae","鹰科","Haliastur","栗鸢属"
"Hieraaetus pennatus","靴隼雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Hieraaetus","隼鵰属"
"Ictinaetus malaiensis","林雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Ictinaetus","林鵰属"
"Lophotriorchis kienerii","棕腹隼雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Lophotriorchis",NA
"Milvus migrans","黑鸢","Accipitriformes","鹰形目","Accipitridae","鹰科","Milvus","鸢属"
"Neophron percnopterus","白兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Neophron",NA
"Nisaetus cirrhatus","凤头鹰雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Nisaetus",NA
"Nisaetus nipalensis","鹰雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Nisaetus",NA
"Pernis apivorus","鹃头蜂鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Pernis","蜂鹰属"
"Pernis ptilorhynchus","凤头蜂鹰","Accipitriformes","鹰形目","Accipitridae","鹰科","Pernis","蜂鹰属"
"Sarcogyps calvus","黑兀鹫","Accipitriformes","鹰形目","Accipitridae","鹰科","Sarcogyps","黑兀鹫属"
"Spilornis cheela","蛇雕","Accipitriformes","鹰形目","Accipitridae","鹰科","Spilornis","蛇鵰属"
"Pandion haliaetus","鹗","Accipitriformes","鹰形目","Pandionidae","鹗科","Pandion","鹗属"
"Aix galericulata","鸳鸯","Anseriformes","雁形目","Anatidae","鸭科","Aix","鸳鸯属"
"Anas acuta","针尾鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anas crecca","绿翅鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anas luzonica","棕颈鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anas platyrhynchos","绿头鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anas poecilorhyncha","南亚斑嘴鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anas zonorhyncha","斑嘴鸭","Anseriformes","雁形目","Anatidae","鸭科","Anas","(河)鸭属"
"Anser albifrons","白额雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser anser","灰雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser caerulescens","雪雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser cygnoides","鸿雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser erythropus","小白额雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser fabalis","豆雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser indicus","斑头雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Anser serrirostris","短嘴豆雁","Anseriformes","雁形目","Anatidae","鸭科","Anser","雁属"
"Asarcornis scutulata","白翅栖鸭","Anseriformes","雁形目","Anatidae","鸭科","Asarcornis",NA
"Aythya affinis","小潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya baeri","青头潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya collaris","环颈潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya ferina","红头潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya fuligula","凤头潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya marila","斑背潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya nyroca","白眼潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Aythya valisineria","帆背潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Aythya","潜鸭属"
"Branta bernicla","黑雁","Anseriformes","雁形目","Anatidae","鸭科","Branta","黑雁属"
"Branta canadensis","加拿大黑雁","Anseriformes","雁形目","Anatidae","鸭科","Branta","黑雁属"
"Branta hutchinsii","小美洲黑雁","Anseriformes","雁形目","Anatidae","鸭科","Branta","黑雁属"
"Branta leucopsis","白颊黑雁","Anseriformes","雁形目","Anatidae","鸭科","Branta","黑雁属"
"Branta ruficollis","红胸黑雁","Anseriformes","雁形目","Anatidae","鸭科","Branta","黑雁属"
"Bucephala clangula","鹊鸭","Anseriformes","雁形目","Anatidae","鸭科","Bucephala","鹊鸭属"
"Clangula hyemalis","长尾鸭","Anseriformes","雁形目","Anatidae","鸭科","Clangula","长尾鸭属"
"Cygnus columbianus","小天鹅","Anseriformes","雁形目","Anatidae","鸭科","Cygnus","天鹅属"
"Cygnus cygnus","大天鹅","Anseriformes","雁形目","Anatidae","鸭科","Cygnus","天鹅属"
"Cygnus olor","疣鼻天鹅","Anseriformes","雁形目","Anatidae","鸭科","Cygnus","天鹅属"
"Dendrocygna javanica","栗树鸭","Anseriformes","雁形目","Anatidae","鸭科","Dendrocygna","树鸭属"
"Histrionicus histrionicus","丑鸭","Anseriformes","雁形目","Anatidae","鸭科","Histrionicus","丑鸭属"
"Mareca americana","绿眉鸭","Anseriformes","雁形目","Anatidae","鸭科","Mareca",NA
"Mareca falcata","罗纹鸭","Anseriformes","雁形目","Anatidae","鸭科","Mareca",NA
"Mareca penelope","赤颈鸭","Anseriformes","雁形目","Anatidae","鸭科","Mareca",NA
"Mareca strepera","赤膀鸭","Anseriformes","雁形目","Anatidae","鸭科","Mareca",NA
"Marmaronetta angustirostris","云石斑鸭","Anseriformes","雁形目","Anatidae","鸭科","Marmaronetta","云石斑鸭属"
"Melanitta americana","黑海番鸭","Anseriformes","雁形目","Anatidae","鸭科","Melanitta","海番鸭属"
"Melanitta fusca","丝绒海番鸭","Anseriformes","雁形目","Anatidae","鸭科","Melanitta","海番鸭属"
"Melanitta stejnegeri","斑脸海番鸭","Anseriformes","雁形目","Anatidae","鸭科","Melanitta","海番鸭属"
"Mergellus albellus","斑头秋沙鸭","Anseriformes","雁形目","Anatidae","鸭科","Mergellus",NA
"Mergus merganser","普通秋沙鸭","Anseriformes","雁形目","Anatidae","鸭科","Mergus","秋沙鸭属"
