"tree_label_final","order","family","genus","species_examples","pool_species_concepts","bridge_in_pool","new_record_species_concepts","new_record_species_list","new_record_species_cn","new_record_iucn","order_new","bridge_in_new_records","is_new_record","tip_index"
"Passerculus_sandwichensis","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis",1,FALSE,1,"Passerculus sandwichensis","稀树草鹀","LC","Passeriformes",FALSE,TRUE,1
"Zonotrichia_leucophrys","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,2
"Emberiza_hortulana","Passeriformes","Emberizidae","Emberiza","Emberiza hortulana",1,FALSE,1,"Emberiza hortulana","圃鹀","LC","Passeriformes",FALSE,TRUE,3
"Emberiza_buchanani","Passeriformes","Emberizidae","Emberiza","Emberiza buchanani",1,FALSE,1,"Emberiza buchanani","灰颈鹀","LC","Passeriformes",FALSE,TRUE,4
"Emberiza_citrinella","Passeriformes","Emberizidae","Emberiza","Emberiza citrinella",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,5
"Emberiza_leucocephalos","Passeriformes","Emberizidae","Emberiza","Emberiza leucocephalos",1,FALSE,1,"Emberiza leucocephalos","白头鹀","LC","Passeriformes",FALSE,TRUE,6
"Emberiza_stewarti","Passeriformes","Emberizidae","Emberiza","Emberiza stewarti",1,FALSE,1,"Emberiza stewarti","白顶鹀","LC","Passeriformes",FALSE,TRUE,7
"Emberiza_cia","Passeriformes","Emberizidae","Emberiza","Emberiza cia",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,8
"Emberiza_godlewskii","Passeriformes","Emberizidae","Emberiza","Emberiza godlewskii",1,FALSE,1,"Emberiza godlewskii","灰眉岩鹀","LC","Passeriformes",FALSE,TRUE,9
"Emberiza_cioides","Passeriformes","Emberizidae","Emberiza","Emberiza cioides",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,10
"Emberiza_jankowskii","Passeriformes","Emberizidae","Emberiza","Emberiza jankowskii",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,11
"Emberiza_koslowi","Passeriformes","Emberizidae","Emberiza","Emberiza koslowi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,12
"Emberiza_fucata","Passeriformes","Emberizidae","Emberiza","Emberiza fucata",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,13
"Emberiza_calandra","Passeriformes","Emberizidae","Emberiza","Emberiza calandra",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,14
"Emberiza_bruniceps","Passeriformes","Emberizidae","Emberiza","Emberiza bruniceps",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,15
"Emberiza_melanocephala","Passeriformes","Emberizidae","Emberiza","Emberiza melanocephala",1,FALSE,1,"Emberiza melanocephala","黑头鹀","LC","Passeriformes",FALSE,TRUE,16
"Emberiza_lathami","Passeriformes","Emberizidae","Emberiza","Emberiza lathami",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,17
"Emberiza_personata","Passeriformes","Emberizidae","Emberiza","Emberiza personata",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,18
"Emberiza_spodocephala","Passeriformes","Emberizidae","Emberiza","Emberiza spodocephala",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,19
"Emberiza_sulphurata","Passeriformes","Emberizidae","Emberiza","Emberiza sulphurata",1,FALSE,1,"Emberiza sulphurata","硫磺鹀","LC","Passeriformes",FALSE,TRUE,20
"Emberiza_pusilla","Passeriformes","Emberizidae","Emberiza","Emberiza pusilla",1,FALSE,1,"Emberiza pusilla","小鹀","LC","Passeriformes",FALSE,TRUE,21
"Emberiza_rustica","Passeriformes","Emberizidae","Emberiza","Emberiza rustica",1,FALSE,1,"Emberiza rustica","田鹀","VU","Passeriformes",FALSE,TRUE,22
"Emberiza_aureola","Passeriformes","Emberizidae","Emberiza","Emberiza aureola",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,23
"Emberiza_rutila","Passeriformes","Emberizidae","Emberiza","Emberiza rutila",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,24
"Emberiza_tristrami","Passeriformes","Emberizidae","Emberiza","Emberiza tristrami",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,25
"Emberiza_variabilis","Passeriformes","Emberizidae","Emberiza","Emberiza variabilis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,26
"Emberiza_chrysophrys","Passeriformes","Emberizidae","Emberiza","Emberiza chrysophrys",1,FALSE,1,"Emberiza chrysophrys","黄眉鹀","LC","Passeriformes",FALSE,TRUE,27
"Emberiza_pallasi","Passeriformes","Emberizidae","Emberiza","Emberiza pallasi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,28
"Emberiza_schoeniclus","Passeriformes","Emberizidae","Emberiza","Emberiza schoeniclus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,29
"Emberiza_yessoensis","Passeriformes","Emberizidae","Emberiza","Emberiza yessoensis",1,FALSE,1,"Emberiza yessoensis","红颈苇鹀","NT","Passeriformes",FALSE,TRUE,30
"Emberiza_elegans","Passeriformes","Emberizidae","Emberiza","Emberiza elegans",1,FALSE,1,"Emberiza elegans","黄喉鹀","LC","Passeriformes",FALSE,TRUE,31
"Emberiza_siemsseni","Passeriformes","Emberizidae","Emberiza","Emberiza siemsseni",1,FALSE,1,"Emberiza siemsseni","蓝鹀","LC","Passeriformes",FALSE,TRUE,32
"Plectrophenax_nivalis","Passeriformes","Calcariidae","Plectrophenax","Plectrophenax nivalis",1,FALSE,1,"Plectrophenax nivalis","雪鹀","LC","Passeriformes",FALSE,TRUE,33
"Calcarius_lapponicus","Passeriformes","Calcariidae","Calcarius","Calcarius lapponicus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,34
"Spinus_spinus","Passeriformes","Fringillidae","Spinus","Spinus spinus",1,FALSE,1,"Spinus spinus","黄雀","LC","Passeriformes",FALSE,TRUE,35
"Spinus_thibetanus","Passeriformes","Fringillidae","Spinus","Spinus thibetanus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,36
"Serinus_pusillus","Passeriformes","Fringillidae","Serinus","Serinus pusillus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,37
"Carduelis_carduelis","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis",1,FALSE,1,"Carduelis carduelis","红额金翅雀","LC","Passeriformes",FALSE,TRUE,38
"Loxia_curvirostra","Passeriformes","Fringillidae","Loxia","Loxia curvirostra",1,FALSE,1,"Loxia curvirostra","红交嘴雀","LC","Passeriformes",FALSE,TRUE,39
"Loxia_leucoptera","Passeriformes","Fringillidae","Loxia","Loxia leucoptera",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,40
"Acanthis_flammea","Passeriformes","Fringillidae","Acanthis","Acanthis flammea",1,FALSE,1,"Acanthis flammea","白腰朱顶雀","LC","Passeriformes",FALSE,TRUE,41
"Acanthis_hornemanni","Passeriformes","Fringillidae","Acanthis","Acanthis hornemanni",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,42
"Linaria_cannabina","Passeriformes","Fringillidae","Linaria","Linaria cannabina",1,FALSE,1,"Linaria cannabina","赤胸朱顶雀","LC","Passeriformes",FALSE,TRUE,43
"Linaria_flavirostris","Passeriformes","Fringillidae","Linaria","Linaria flavirostris",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,44
"Chloris_spinoides","Passeriformes","Fringillidae","Chloris","Chloris spinoides",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,45
"Chloris_ambigua","Passeriformes","Fringillidae","Chloris","Chloris ambigua",1,FALSE,1,"Chloris ambigua","黑头金翅雀","LC","Passeriformes",FALSE,TRUE,46
"Chloris_sinica","Passeriformes","Fringillidae","Chloris","Chloris sinica",1,FALSE,1,"Chloris sinica","金翅雀","LC","Passeriformes",FALSE,TRUE,47
"Chloris_chloris","Passeriformes","Fringillidae","Chloris","Chloris chloris",1,FALSE,1,"Chloris chloris","欧金翅雀","LC","Passeriformes",FALSE,TRUE,48
"Rhodospiza_obsoleta","Passeriformes","Fringillidae","Rhodospiza","Rhodospiza obsoleta",1,FALSE,1,"Rhodospiza obsoleta","巨嘴沙雀","LC","Passeriformes",FALSE,TRUE,49
"Leucosticte_arctoa","Passeriformes","Fringillidae","Leucosticte","Leucosticte arctoa",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,50
"Leucosticte_brandti","Passeriformes","Fringillidae","Leucosticte","Leucosticte brandti",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,51
"Leucosticte_nemoricola","Passeriformes","Fringillidae","Leucosticte","Leucosticte nemoricola",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,52
"Procarduelis_nipalensis","Passeriformes","Fringillidae","Procarduelis","Procarduelis nipalensis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,53
"Callacanthis_burtoni","Passeriformes","Fringillidae","Callacanthis","Callacanthis burtoni",1,FALSE,1,"Callacanthis burtoni","红眉金翅雀","LC","Passeriformes",FALSE,TRUE,54
"Pyrrhoplectes_epauletta","Passeriformes","Fringillidae","Pyrrhoplectes","Pyrrhoplectes epauletta",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,55
"Agraphospiza_rubescens","Passeriformes","Fringillidae","Agraphospiza","Agraphospiza rubescens",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,56
"Bucanetes_mongolicus","Passeriformes","Fringillidae","Bucanetes","Bucanetes mongolicus",1,FALSE,1,"Bucanetes mongolicus","蒙古沙雀","LC","Passeriformes",FALSE,TRUE,57
"Rhodopechys_sanguineus","Passeriformes","Fringillidae","Rhodopechys","Rhodopechys sanguineus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,58
"Pyrrhula_erythaca","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula erythaca",1,FALSE,1,"Pyrrhula erythaca","灰头灰雀","LC","Passeriformes",FALSE,TRUE,59
"Pyrrhula_erythrocephala","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula erythrocephala",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,60
"Pyrrhula_pyrrhula","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula",1,FALSE,1,"Pyrrhula pyrrhula","红腹灰雀","LC","Passeriformes",FALSE,TRUE,61
"Pyrrhula_nipalensis","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula nipalensis",1,FALSE,1,"Pyrrhula nipalensis","褐灰雀","LC","Passeriformes",FALSE,TRUE,62
"Pinicola_enucleator","Passeriformes","Fringillidae","Pinicola","Pinicola enucleator",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,63
"Carpodacus_dubius","Passeriformes","Fringillidae","Carpodacus","Carpodacus dubius",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,64
"Carpodacus_thura","Passeriformes","Fringillidae","Carpodacus","Carpodacus thura",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,65
"Carpodacus_trifasciatus","Passeriformes","Fringillidae","Carpodacus","Carpodacus trifasciatus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,66
"Carpodacus_roseus","Passeriformes","Fringillidae","Carpodacus","Carpodacus roseus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,67
"Carpodacus_sibiricus","Passeriformes","Fringillidae","Carpodacus","Carpodacus sibiricus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,68
"Carpodacus_puniceus","Passeriformes","Fringillidae","Carpodacus","Carpodacus puniceus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,69
"Carpodacus_subhimachalus","Passeriformes","Fringillidae","Carpodacus","Carpodacus subhimachalus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,70
"Carpodacus_roborowskii","Passeriformes","Fringillidae","Carpodacus","Carpodacus roborowskii",1,FALSE,1,"Carpodacus roborowskii","藏雀","LC","Passeriformes",FALSE,TRUE,71
"Carpodacus_sillemi","Passeriformes","Fringillidae","Carpodacus","Carpodacus sillemi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,72
"Carpodacus_stoliczkae","Passeriformes","Fringillidae","Carpodacus","Carpodacus stoliczkae",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,73
"Carpodacus_formosanus","Passeriformes","Fringillidae","Carpodacus","Carpodacus formosanus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,74
"Carpodacus_vinaceus","Passeriformes","Fringillidae","Carpodacus","Carpodacus vinaceus",1,FALSE,1,"Carpodacus vinaceus","酒红朱雀","LC","Passeriformes",FALSE,TRUE,75
"Carpodacus_rodopeplus","Passeriformes","Fringillidae","Carpodacus","Carpodacus rodopeplus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,76
"Carpodacus_rodochroa","Passeriformes","Fringillidae","Carpodacus","Carpodacus rodochroa",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,77
"Carpodacus_verreauxii","Passeriformes","Fringillidae","Carpodacus","Carpodacus verreauxii",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,78
"Carpodacus_edwardsii","Passeriformes","Fringillidae","Carpodacus","Carpodacus edwardsii",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,79
"Carpodacus_davidianus","Passeriformes","Fringillidae","Carpodacus","Carpodacus davidianus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,80
"Carpodacus_pulcherrimus","Passeriformes","Fringillidae","Carpodacus","Carpodacus pulcherrimus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,81
"Carpodacus_waltoni","Passeriformes","Fringillidae","Carpodacus","Carpodacus waltoni",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,82
"Carpodacus_grandis","Passeriformes","Fringillidae","Carpodacus","Carpodacus grandis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,83
"Carpodacus_rhodochlamys","Passeriformes","Fringillidae","Carpodacus","Carpodacus rhodochlamys",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,84
"Carpodacus_rubicilla","Passeriformes","Fringillidae","Carpodacus","Carpodacus rubicilla",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,85
"Carpodacus_rubicilloides","Passeriformes","Fringillidae","Carpodacus","Carpodacus rubicilloides",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,86
"Carpodacus_erythrinus","Passeriformes","Fringillidae","Carpodacus","Carpodacus erythrinus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,87
"Carpodacus_sipahi","Passeriformes","Fringillidae","Carpodacus","Carpodacus sipahi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,88
"Mycerobas_affinis","Passeriformes","Fringillidae","Mycerobas","Mycerobas affinis",1,FALSE,1,"Mycerobas affinis","黄颈拟蜡嘴雀","LC","Passeriformes",FALSE,TRUE,89
"Mycerobas_melanozanthos","Passeriformes","Fringillidae","Mycerobas","Mycerobas melanozanthos",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,90
"Mycerobas_carnipes","Passeriformes","Fringillidae","Mycerobas","Mycerobas carnipes",1,FALSE,1,"Mycerobas carnipes","白斑翅拟蜡嘴雀","LC","Passeriformes",FALSE,TRUE,91
"Eophona_migratoria","Passeriformes","Fringillidae","Eophona","Eophona migratoria",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,92
"Eophona_personata","Passeriformes","Fringillidae","Eophona","Eophona personata",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,93
"Coccothraustes_coccothraustes","Passeriformes","Fringillidae","Coccothraustes","Coccothraustes coccothraustes",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,94
"Fringilla_coelebs","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs",1,FALSE,1,"Fringilla coelebs","苍头燕雀","LC","Passeriformes",FALSE,TRUE,95
"Fringilla_montifringilla","Passeriformes","Fringillidae","Fringilla","Fringilla montifringilla",1,FALSE,1,"Fringilla montifringilla","燕雀","LC","Passeriformes",FALSE,TRUE,96
"Passer_domesticus","Passeriformes","Passeridae","Passer","Passer domesticus",1,FALSE,1,"Passer domesticus","家麻雀","LC","Passeriformes",FALSE,TRUE,97
"Passer_hispaniolensis","Passeriformes","Passeridae","Passer","Passer hispaniolensis",1,FALSE,1,"Passer hispaniolensis","黑胸麻雀","LC","Passeriformes",FALSE,TRUE,98
"Passer_ammodendri","Passeriformes","Passeridae","Passer","Passer ammodendri",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,99
"Passer_montanus","Passeriformes","Passeridae","Passer","Passer montanus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,100
"Passer_cinnamomeus","Passeriformes","Passeridae","Passer","Passer cinnamomeus",1,FALSE,1,"Passer cinnamomeus","山麻雀","LC","Passeriformes",FALSE,TRUE,101
"Pyrgilauda_blanfordi","Passeriformes","Passeridae","Pyrgilauda","Pyrgilauda blanfordi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,102
"Pyrgilauda_davidiana","Passeriformes","Passeridae","Pyrgilauda","Pyrgilauda davidiana",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,103
"Pyrgilauda_ruficollis","Passeriformes","Passeridae","Pyrgilauda","Pyrgilauda ruficollis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,104
"Montifringilla_adamsi","Passeriformes","Passeridae","Montifringilla","Montifringilla adamsi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,105
"Montifringilla_nivalis","Passeriformes","Passeridae","Montifringilla","Montifringilla nivalis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,106
"Montifringilla_henrici","Passeriformes","Passeridae","Montifringilla","Montifringilla henrici",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,107
"Onychostruthus_taczanowskii","Passeriformes","Passeridae","Onychostruthus","Onychostruthus taczanowskii",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,108
"Petronia_petronia","Passeriformes","Passeridae","Petronia","Petronia petronia",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,109
"Anthus_spinoletta","Passeriformes","Motacillidae","Anthus","Anthus spinoletta",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,110
"Anthus_pratensis","Passeriformes","Motacillidae","Anthus","Anthus pratensis",1,FALSE,1,"Anthus pratensis","草地鹨","LC","Passeriformes",FALSE,TRUE,111
"Anthus_rubescens","Passeriformes","Motacillidae","Anthus","Anthus rubescens",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,112
"Anthus_cervinus","Passeriformes","Motacillidae","Anthus","Anthus cervinus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,113
"Anthus_roseatus","Passeriformes","Motacillidae","Anthus","Anthus roseatus",1,FALSE,1,"Anthus roseatus","粉红胸鹨","LC","Passeriformes",FALSE,TRUE,114
"Anthus_hodgsoni","Passeriformes","Motacillidae","Anthus","Anthus hodgsoni",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,115
"Anthus_trivialis","Passeriformes","Motacillidae","Anthus","Anthus trivialis",1,FALSE,1,"Anthus trivialis","林鹨","LC","Passeriformes",FALSE,TRUE,116
"Anthus_gustavi","Passeriformes","Motacillidae","Anthus","Anthus gustavi",1,FALSE,1,"Anthus gustavi","北鹨","LC","Passeriformes",FALSE,TRUE,117
"Anthus_richardi","Passeriformes","Motacillidae","Anthus","Anthus richardi",1,FALSE,1,"Anthus richardi","田鹨","LC","Passeriformes",FALSE,TRUE,118
"Anthus_rufulus","Passeriformes","Motacillidae","Anthus","Anthus rufulus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,119
"Anthus_campestris","Passeriformes","Motacillidae","Anthus","Anthus campestris",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,120
"Anthus_godlewskii","Passeriformes","Motacillidae","Anthus","Anthus godlewskii",1,FALSE,1,"Anthus godlewskii","布莱氏鹨","LC","Passeriformes",FALSE,TRUE,121
"Anthus_sylvanus","Passeriformes","Motacillidae","Anthus","Anthus sylvanus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,122
"Motacilla_flava","Passeriformes","Motacillidae","Motacilla","Motacilla flava",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,123
"Motacilla_tschutschensis","Passeriformes","Motacillidae","Motacilla","Motacilla tschutschensis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,124
"Motacilla_citreola","Passeriformes","Motacillidae","Motacilla","Motacilla citreola",1,FALSE,1,"Motacilla citreola","黄头鹡鸰","LC","Passeriformes",FALSE,TRUE,125
"Motacilla_cinerea","Passeriformes","Motacillidae","Motacilla","Motacilla cinerea",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,126
"Motacilla_alba","Passeriformes","Motacillidae","Motacilla","Motacilla alba",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,127
"Motacilla_grandis","Passeriformes","Motacillidae","Motacilla","Motacilla grandis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,128
"Dendronanthus_indicus","Passeriformes","Motacillidae","Dendronanthus","Dendronanthus indicus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,129
"Prunella_montanella","Passeriformes","Prunellidae","Prunella","Prunella montanella",1,FALSE,1,"Prunella montanella","棕眉山岩鹨","LC","Passeriformes",FALSE,TRUE,130
"Prunella_atrogularis","Passeriformes","Prunellidae","Prunella","Prunella atrogularis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,131
"Prunella_fulvescens","Passeriformes","Prunellidae","Prunella","Prunella fulvescens",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,132
"Prunella_koslowi","Passeriformes","Prunellidae","Prunella","Prunella koslowi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,133
"Prunella_strophiata","Passeriformes","Prunellidae","Prunella","Prunella strophiata",1,FALSE,1,"Prunella strophiata","棕胸岩鹨","LC","Passeriformes",FALSE,TRUE,134
"Prunella_rubeculoides","Passeriformes","Prunellidae","Prunella","Prunella rubeculoides",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,135
"Prunella_immaculata","Passeriformes","Prunellidae","Prunella","Prunella immaculata",1,FALSE,1,"Prunella immaculata","栗背岩鹨","LC","Passeriformes",FALSE,TRUE,136
"Prunella_collaris","Passeriformes","Prunellidae","Prunella","Prunella collaris",1,FALSE,1,"Prunella collaris","领岩鹨","LC","Passeriformes",FALSE,TRUE,137
"Prunella_himalayana","Passeriformes","Prunellidae","Prunella","Prunella himalayana",1,FALSE,1,"Prunella himalayana","高原岩鹨","LC","Passeriformes",FALSE,TRUE,138
"Ploceus_manyar","Passeriformes","Ploceidae","Ploceus","Ploceus manyar",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,139
"Ploceus_philippinus","Passeriformes","Ploceidae","Ploceus","Ploceus philippinus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,140
"Lonchura_atricapilla","Passeriformes","Estrildidae","Lonchura","Lonchura atricapilla",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,141
"Lonchura_striata","Passeriformes","Estrildidae","Lonchura","Lonchura striata",1,FALSE,1,"Lonchura striata","白腰文鸟","LC","Passeriformes",FALSE,TRUE,142
"Lonchura_punctulata","Passeriformes","Estrildidae","Lonchura","Lonchura punctulata",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,143
"Euodice_malabarica","Passeriformes","Estrildidae","Euodice","Euodice malabarica",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,144
"Amandava_amandava","Passeriformes","Estrildidae","Amandava","Amandava amandava",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,145
"Estrilda_melpoda","Passeriformes","Estrildidae","Estrilda","Estrilda melpoda",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,146
"Erythrura_prasina","Passeriformes","Estrildidae","Erythrura","Erythrura prasina",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,147
