"species","species_cn","english_name","order","iucn","n_event_records"
"Accipiter badius","褐耳鹰","Accipiter badius","Accipitriformes","LC",1
"Accipiter gularis","日本松雀鹰","Japanese Sparrowhawk","Accipitriformes","LC",1
"Accipiter soloensis","赤腹鹰","Chinese Sparrowhawk","Accipitriformes","LC",3
"Accipiter trivirgatus","凤头鹰","Crested Goshawk","Accipitriformes","LC",7
"Accipiter virgatus","松雀鹰","Besra","Accipitriformes","LC",1
"Aquila fasciata","白腹隼雕","Bonelli's Eagle","Accipitriformes","LC",2
"Aquila heliaca","白肩雕","Eastern Imperial Eagle","Accipitriformes","VU",2
"Aviceda jerdoni","褐冠鹃隼","Jerdon's Baza","Accipitriformes","LC",2
"Aviceda leuphotes","黑冠鹃隼","Black Baza","Accipitriformes","LC",4
"Butastur indicus","灰脸鵟鹰","Grey-faced Buzzard","Accipitriformes","LC",2
"Circaetus gallicus","短趾雕","Short-toed Snake-eagle","Accipitriformes","LC",3
"Circus aeruginosus","白头鹞","Western Marsh Harrier","Accipitriformes","LC",2
"Circus macrourus","草原鹞","Pallid Harrier","Accipitriformes","NT",1
"Circus spilonotus","白腹鹞","Eastern Marsh-harrier","Accipitriformes","LC",1
"Clanga clanga","乌雕","Greater Spotted Eagle","Accipitriformes","VU",1
"Elanus caeruleus","黑翅鸢","Black-winged Kite","Accipitriformes","LC",8
"Gypaetus barbatus","胡兀鹫","Bearded Vulture","Accipitriformes","NT",2
"Gyps himalayensis","高山兀鹫","Himalayan Griffon","Accipitriformes","NT",2
"Gyps tenuirostris","细嘴兀鹫","Slender-billed Vulture","Accipitriformes","CR",1
"Haliaeetus leucoryphus","玉带海雕","Pallas's Fish-eagle","Accipitriformes","EN",1
"Haliaeetus pelagicus","虎头海雕","Steller's Sea-eagle","Accipitriformes","VU",1
"Haliastur indus","栗鸢","Brahminy Kite","Accipitriformes","LC",1
"Hieraaetus pennatus","靴隼雕","Booted Eagle","Accipitriformes","LC",7
"Ictinaetus malaiensis","林雕","Black Eagle","Accipitriformes","LC",2
"Lophotriorchis kienerii","棕腹隼雕","Rufous-bellied Eagle","Accipitriformes","NT",1
"Nisaetus nipalensis","鹰雕","Mountain Hawk-eagle","Accipitriformes","EN",2
"Pernis ptilorhynchus","凤头蜂鹰","Oriental Honey-buzzard","Accipitriformes","LC",2
"Spilornis cheela","蛇雕","Crested Serpent-eagle","Accipitriformes","LC",2
"Aix galericulata","鸳鸯","Mandarin Duck","Anseriformes","LC",2
"Anas carolinensis","美洲绿翅鸭","Green-Winged Teal","Anseriformes","LC",1
"Anser albifrons","白额雁","Greater White-fronted Goose","Anseriformes","LC",1
"Anser anser","灰雁","Greylag Goose","Anseriformes","LC",1
"Anser caerulescens","雪雁","Snow Goose","Anseriformes","LC",4
"Anser erythropus","小白额雁","Lesser White-fronted Goose","Anseriformes","VU",1
"Anser fabalis","豆雁","Bean Goose","Anseriformes","LC",1
"Anser indicus","斑头雁","Bar-headed Goose","Anseriformes","LC",2
"Asarcornis scutulata","白翅栖鸭","White-winged Duck","Anseriformes","CR",1
"Aythya collaris","环颈潜鸭","Ring-necked Duck","Anseriformes","LC",1
"Aythya fuligula","凤头潜鸭","Tufted Duck","Anseriformes","LC",1
"Aythya nyroca","白眼潜鸭","Ferruginous Duck","Anseriformes","NT",2
"Branta bernicla","黑雁","Brent Goose","Anseriformes","LC",2
"Branta canadensis","加拿大雁","Canada Goose","Anseriformes","LC",3
"Branta hutchinsii","小美洲黑雁","Cackling Goose","Anseriformes","LC",3
"Branta leucopsis","白颊黑雁","Barnacle Goose","Anseriformes","LC",1
"Branta ruficollis","红胸黑雁","Red-breasted Goose","Anseriformes","VU",4
"Clangula hyemalis","长尾鸭","Long-tailed Duck","Anseriformes","VU",7
"Cygnus columbianus","小天鹅","Tundra Swan","Anseriformes","LC",1
"Cygnus olor","疣鼻天鹅","Mute Swan","Anseriformes","LC",3
"Dendrocygna javanica","栗树鸭","Lesser Whistling-duck","Anseriformes","LC",1
"Histrionicus histrionicus","丑鸭","Harlequin Duck","Anseriformes","LC",3
"Mareca falcata","罗纹鸭","Falcated Duck","Anseriformes","LC",3
"Melanitta fusca","丝绒海番鸭","Velvet Scoter","Anseriformes","VU",2
"Melanitta stejnegeri","斑脸海番鸭","Siberian Scoter","Anseriformes","LC",3
"Mergus serrator","红胸秋沙鸭","Red-breasted Merganser","Anseriformes","LC",4
"Netta rufina","赤嘴潜鸭","Red-crested Pochard","Anseriformes","LC",4
"Oxyura leucocephala","白头硬尾鸭","White-headed Duck","Anseriformes","EN",1
"Sibirionetta formosa","花脸鸭","Falcated Duck","Anseriformes","EN",2
"Aerodramus brevirostris","短嘴金丝燕","Himalayan Swiftlet","Caprimulgiformes","LC",1
"Caprimulgus macrurus","长尾夜鹰","Large-tailed Nightjar","Caprimulgiformes","LC",1
"Hemiprocne coronata","凤头雨燕","Crested Treeswift","Caprimulgiformes","LC",1
"Hirundapus caudacutus","白喉针尾雨燕","White-throated Needletail","Caprimulgiformes","LC",1
"Anous stolidus","白顶玄燕鸥","Brown Noddy","Charadriiformes","LC",2
"Arenaria interpres","翻石鹬","Ruddy Turnstone","Charadriiformes","NT",2
"Brachyramphus perdix","长嘴海雀","Long-billed Murrelet","Charadriiformes","NT",1
"Calidris acuminata","尖尾滨鹬","Sharp-tailed Sandpiper","Charadriiformes","VU",2
"Calidris alba","三趾滨鹬","Sanderling","Charadriiformes","LC",1
"Calidris alpina","黑腹滨鹬","Dunlin","Charadriiformes","NT",4
"Calidris bairdii","黑腰滨鹬","Baird's Sandpiper","Charadriiformes","LC",1
"Calidris melanotos","斑胸滨鹬","Pectoral Sandpiper","Charadriiformes","LC",5
"Calidris minuta","小滨鹬","Little Stint","Charadriiformes","LC",10
"Calidris pugnax","流苏鹬","Ruff","Charadriiformes","LC",5
"Calidris pygmaea","勺嘴鹬","Spoon-billed Sandpiper","Charadriiformes","CR",1
"Calidris subminuta","长趾滨鹬","Long-toed Stint","Charadriiformes","LC",2
"Calidris tenuirostris","大滨鹬","Great Knot","Charadriiformes","EN",3
"Charadrius asiaticus","红胸鸻","Caspian Plover","Charadriiformes","LC",1
"Charadrius atrifrons","蒙古沙鸻","Siberian Sandplover","Charadriiformes","LC",6
"Charadrius dealbatus","白脸鸻","White-faced Plover","Charadriiformes","LC",1
"Charadrius hiaticula","剑鸻","Common Ringed Plover","Charadriiformes","LC",1
"Charadrius mongolus","蒙古沙鸻","Siberian Sandplover","Charadriiformes","EN",2
"Charadrius placidus","长嘴剑鸻","Long-billed Plover","Charadriiformes","LC",1
"Charadrius veredus","东方鸻","Oriental Plover","Charadriiformes","LC",4
