record_id,workbook_seq,species_cn,english_name,scientific_name_raw,scientific_name_field,scientific_name_draft,naming_time,order_raw,order_latin,family_raw,genus_raw,title,title_en,newdistribution_province_text,province_cn,province_en_raw,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,recordingtime,year,quote,authors,journal,migratory_status,species_raw_binomial,order,province,iucn,discover_reason,discovery_method,paper_id,correction_sources,correction_source_primary,canonical_species,canonical_species_cn,canonical_english_name,species,identity_change_flag,identity_source,identity_notes,duplicate_rank,earliest_year_in_group,keep_record,duplicate_group_size,duplicate_rule
850,850,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,NA,PASSERIFORMES,雀形目,树莺科,拟鹟莺属,河北省鸟类分布新记录——棕脸鹟莺,NA,唐山市曹妃甸区十一农场园艺队乔木林,河北省,Hebei,LC,分布变化,观察拍摄,118.275738,39.264459,2024 年 4 月 27 日,2024,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUKR4C-aK99vpMJ2VcLunluUqpFoUp2KUjjKpK4e5eggwk3IJ8gjjK5vF9WVg-5HIx6yO8qjLyjaq Fs 1zDECaklLYa4B-6TfER9B7LBAULot5d5qW sr2RCEUQErZi155-7wqJ1qyh5xjGYQ92QtfI3omarkgZdonQlirgNBjffQ==&uniplatform=NZKPT&language=CHS,"李志刚, 马志朋, 李全江, 王志强",四川动物,Not a Migrant,Abroscopus albogularis,Passeriformes,Hebei,LC,Range shift or distribution change,观察拍摄,河北省鸟类分布新记录——棕脸鹟莺,NA,NA,NA,NA,NA,Abroscopus albogularis,FALSE,raw_table,No external row-level identity correction applied.,1,2024,TRUE,1,Unique species-province combination; retained.
851,851,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,NA,PASSERIFORMES,雀形目,树莺科,拟鹟莺属,江苏省南部发现棕脸鹟莺,NA,南京市老山国家森林公园狮子岭,江苏省,Juangsu,LC,NA,观察拍摄,118.547222222222,32.0633333333333,2017 年4 月21 日,2019,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/18052?st=article issue,"周延, 韦铭, 鲁长虎",动物学杂志 Chinese Journal of Zoology,Not a Migrant,Abroscopus albogularis,Passeriformes,Jiangsu,LC,Unclear,观察拍摄,江苏省南部发现棕脸鹟莺,NA,NA,NA,NA,NA,Abroscopus albogularis,FALSE,raw_table,No external row-level identity correction applied.,1,2019,TRUE,1,Unique species-province combination; retained.
852,852,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,NA,PASSERIFORMES,雀形目,树莺科,拟鹟莺属,宁夏回族自治区鸟类新纪录——黑冠鹃隼、 绿翅短脚鹎和棕脸鹟莺,NA,六盘山国家级自然保护区,宁夏回族自治区,Ningxia,LC,NA,观察拍摄,106.176667,35.665278,44291,2024,https://ysdwxb.nefu.edu.cn/#/digest?ArticleID=1626,"黄君,贾旭,杨建祥,杨生文,郭志宏,王双贵,宋森.",野生动物学报,Not a Migrant,Abroscopus albogularis,Passeriformes,Ningxia,LC,Unclear,观察拍摄,宁夏回族自治区鸟类新纪录——黑冠鹃隼、 绿翅短脚鹎和棕脸鹟莺,NA,NA,NA,NA,NA,Abroscopus albogularis,FALSE,raw_table,No external row-level identity correction applied.,1,2024,TRUE,1,Unique species-province combination; retained.
853,853,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis subsp. fulvifacies,NA,PASSERIFORMES,雀形目,树莺科,拟鹟莺属,白眶鹟莺等12种上海市鸟类新记录,NA,南汇东滩,上海市,Shanghai,LC,分布变化,观察拍摄,121.967933333333,30.8839083333333,2013 年 4 月 16 日,2018,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULN7Pj6glk6gdg4DSFs17DHO0UmTzT3V7h8Cj4c13dOgZJy iHZMz it6tnf8rK9KHa6pyoYTc4bOGiShTXfXbReoeUtRL5coDQ5UAjktO31HX6hWlr78uaCRAcHAVEKYE3VahiRFLBJTpEkpwu6c8gYlah-GQA6JhHbuu1TDyXdA==&uniplatform=NZKPT&language=CHS,"施宏亮, 施剑勇, 袁晓, 薄顺奇",华东师范大学学报（自然科学版）,Not a Migrant,Abroscopus albogularis,Passeriformes,Shanghai,LC,Range shift or distribution change,观察拍摄,白眶鹟莺等12种上海市鸟类新记录,NA,NA,NA,NA,NA,Abroscopus albogularis,FALSE,raw_table,No external row-level identity correction applied.,1,2018,TRUE,1,Unique species-province combination; retained.
854,854,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,NA,PASSERIFORMES,雀形目,树莺科,拟鹟莺属,西藏南部 8 种鸟类的新分布记录,NA,墨脱县背崩乡附近,西藏自治区,Tibet,LC,NA,观察拍摄,95.3938888888889,29.4111111111111,2016 年 10 月 2 日,2017,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/17001?st=article issue,阙品甲 雷维蟠 张敬刚 史杰 董路 张正旺,动物学杂志 Chinese Journal of Zoology,Not a Migrant,Abroscopus albogularis,Passeriformes,Xizang,LC,Unclear,观察拍摄,西藏南部 8 种鸟类的新分布记录,NA,NA,NA,NA,NA,Abroscopus albogularis,FALSE,raw_table,No external row-level identity correction applied.,1,2017,TRUE,1,Unique species-province combination; retained.
515,515,白腰朱顶雀,Redpoll,Emberiza yessoensis,Emberiza yessoensis,Emberiza yessoensis,NA,PASSERIFORMES,雀形目,鹀科,鹀属,安徽省七种鸟类新纪录,NA,"安徽省滁州市定远县吴圩镇的一处沟渠,肥西县牛角大圩",安徽省,Anhui,NT,NA,观察拍摄,117.439758333333,32.286175,2016 年 3 月 19 日和 11 月 16 日,2017,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/17038?st=article issue,赵凯 张宏 顾长明 吴海龙,"动物学杂志 Chinese Journal of Zoology 2017, 52(4): 733",Full Migrant,Emberiza yessoensis,Passeriformes,Anhui,NT,Unclear,观察拍摄,安徽省七种鸟类新纪录,true_mismatch,true_mismatch,Acanthis flammea,白腰朱顶雀,Redpoll,Acanthis flammea,TRUE,true_mismatch,Canonical species updated from audit tables.,1,2017,TRUE,2,Retained as the earliest publication for this species-province combination.
516,516,极北朱顶雀,Redpoll,Emberiza yessoensis,Emberiza yessoensis,Emberiza yessoensis,NA,PASSERIFORMES,雀形目,鹀科,鹀属,安徽省七种鸟类新纪录,NA,"安徽省滁州市定远县吴圩镇的一处沟渠,肥西县牛角大圩",安徽省,Anhui,NT,NA,观察拍摄,117.268661111111,31.6675555555556,2016 年 3 月 19 日和 11 月 16 日,2017,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/17038?st=article issue,赵凯 张宏 顾长明 吴海龙,"动物学杂志 Chinese Journal of Zoology 2017, 52(4): 733",Full Migrant,Emberiza yessoensis,Passeriformes,Anhui,NT,Unclear,观察拍摄,安徽省七种鸟类新纪录,true_mismatch,true_mismatch,Acanthis flammea,极北朱顶雀,Redpoll,Acanthis flammea,TRUE,true_mismatch,Canonical species updated from audit tables.,2,2017,FALSE,2,Dropped because an earlier publication already established this provincial record.
523,523,白腰朱顶雀,Redpoll,Acanthis flammea,Acanthis flammea,Acanthis flammea,NA,PASSERIFORMES,雀形目,燕雀科,NA,青海发现极北朱顶雀和白腰朱顶雀,NA,青海省海东市平安县沙沟人工小型林场,青海省,Qinghai,LC,分布变化,观察拍摄,101.316666666667,34.15,2014 年3 月,2015,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/15012?st=article issue,"席文静, 鲍敏, 赵海瑜, 王岳邦, 张营, 陈振宁",动物学杂志 Chinese Journal of Zoology,Full Migrant,Acanthis flammea,Passeriformes,Qinghai,LC,Range shift or distribution change,观察拍摄,青海发现极北朱顶雀和白腰朱顶雀,NA,NA,NA,NA,NA,Acanthis flammea,FALSE,raw_table,No external row-level identity correction applied.,1,2015,TRUE,2,Retained as the earliest publication for this species-province combination.
524,524,极北朱顶雀,Redpoll,Acanthis flammea,Acanthis flammea,Acanthis flammea,NA,PASSERIFORMES,雀形目,燕雀科,NA,青海发现极北朱顶雀和白腰朱顶雀,NA,青海省大通县庙沟乡落叶松林内,青海省,Qinghai,LC,分布变化,观察拍摄,101.633333333333,36.9,2013 年9 月,2015,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/15012?st=article issue,"席文静, 鲍敏, 赵海瑜, 王岳邦, 张营, 陈振宁",动物学杂志 Chinese Journal of Zoology,Full Migrant,Acanthis flammea,Passeriformes,Qinghai,LC,Range shift or distribution change,观察拍摄,青海发现极北朱顶雀和白腰朱顶雀,NA,NA,NA,NA,NA,Acanthis flammea,FALSE,raw_table,No external row-level identity correction applied.,2,2015,FALSE,2,Dropped because an earlier publication already established this provincial record.
1,1,褐耳鹰,Accipiter badius,Accipiter badius,Accipiter badius,Accipiter badius,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,湖南省鸟类新纪录——褐耳鹰（Accipiter badius）,NA,湖南省永州市江华瑶族自治县涔天河国家湿地公园竹元寨村,湖南省,Hunan,LC,分布变化,观察拍摄,111.630113888889,25.1884388888889,45555,2025,NA,严许进，谢培丽，郑淑娴，吴涛,山东林业科技,NA,Accipiter badius,Accipitriformes,Hunan,LC,Range shift or distribution change,观察拍摄,湖南省鸟类新纪录——褐耳鹰（Accipiter badius）,NA,NA,NA,NA,NA,Accipiter badius,FALSE,raw_table,No external row-level identity correction applied.,1,2025,TRUE,1,Unique species-province combination; retained.
2,2,日本松雀鹰,Japanese Sparrowhawk,Accipiter gularis,Accipiter gularis,Accipiter gularis,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,阿尔金山鄄昆仑山鸟类区系调查,NA,新疆阿尔金山国家级自然保护区,新疆维吾尔自治区,Xinjiang,LC,分布变化,鸟类调查,88.36,36.47,2010-2012，9月,2013,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/20130110?st=article issue,马鸣 张同 张会斌 张翔 陈莹 李维东 刘鸣 丁鹏 徐峰 买尔旦·吐尔干,动物学杂志,Full Migrant,Accipiter gularis,Accipitriformes,Xinjiang,LC,Range shift or distribution change,鸟类调查,阿尔金山鄄昆仑山鸟类区系调查,NA,NA,NA,NA,NA,Accipiter gularis,FALSE,raw_table,No external row-level identity correction applied.,1,2013,TRUE,1,Unique species-province combination; retained.
