species,province,n_records_same_species_province
Acanthis flammea,Anhui,2
Acanthis flammea,Qinghai,2
Amaurornis phoenicurus,Anhui,2
Amaurornis phoenicurus,Jilin,2
Anastomus oscitans,Zhejiang,2
Anthreptes malacensis,Yunnan,2
Anthus gustavi,Xinjiang,2
Calidris melanotos,Jilin,2
Calidris minuta,Tianjin,2
Calidris minuta,Yunnan,2
Charadrius atrifrons,Guizhou,2
Charadrius atrifrons,Yunnan,2
Charadrius mongolus,Shaanxi,2
Ciconia nigra,Xizang,2
Clamator coromandus,Heilongjiang,2
Clamator coromandus,Liaoning,2
Clamator jacobinus,Yunnan,2
Cyanoderma pyrrhops,Xizang,2
Cygnus olor,Jilin,2
Elanus caeruleus,Inner Mongolia,2
Emberiza chrysophrys,Gansu,2
Ficedula elisae,Jiangxi,2
Ficedula parva,Hunan,2
Gavia stellata,Anhui,2
Halcyon smyrnensis,Xizang,3
Haliastur indus,Hunan,2
Ianthocincla lunulata,Ningxia,2
Lonchura striata,Gansu,2
Melanitta stejnegeri,Guizhou,2
Nisaetus nipalensis,Gansu,2
Oenanthe deserti,Shanghai,2
Oroanassa magnifica,Guangdong,2
Oroanassa magnifica,Guizhou,2
Pardaliparus venustulus,Jilin,2
Pernis ptilorhynchus,Tianjin,2
Phoenicopterus roseus,Anhui,3
Phoenicopterus roseus,Jiangsu,2
Phoenicopterus roseus,Liaoning,2
Phoenicopterus roseus,Shandong,2
Phoenicopterus roseus,Sichuan,2
Phoenicopterus roseus,Tianjin,2
Phylloscopus borealoides,Zhejiang,2
Phylloscopus castaniceps,Heilongjiang,2
Phylloscopus ricketti,Anhui,2
Phylloscopus yunnanensis,Jiangxi,2
Prinia atrogularis,Hunan,2
Prunella immaculata,Shaanxi,2
Rallina eurizonoides,Jiangxi,2
Rallina fasciata,Yunnan,2
Remiz coronatus,Inner Mongolia,2
Spodiopsar sericeus,Jilin,2
Sula dactylatra,Zhejiang,2
Tarsiger chrysaeus,Hunan,2
Zoothera mollissima,Hunan,2
