species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Calidris minuta,Charadriiformes,21.1,3,Grassland,Carnivore,Aquatic predator,Terrestrial,71.29,95.22,P,食肉，食虫,14,LC,1.32428245529769,Full migrant,LC,LC/NE,Carnivore,10,1
Turdus boulboul,Passeriformes,97.1,2,Forest,Omnivore,Invertivore,Insessorial,24.7,97.64,S,杂食性,9,LC,1.987219229908,Partial migrant,LC,LC/NE,Omnivore,10,1
Phoenicopterus roseus,Phoenicopteriformes,3031.59,2,Wetland,Carnivore,Aquatic predator,Terrestrial,-8.68,28.91,NA,NA,NA,LC,3.4816704658328,Partial migrant,LC,LC/NE,Carnivore,10,1
Spodiopsar sericeus,Passeriformes,65,2,Shrubland,Omnivore,Invertivore,Insessorial,27.11,112,RSW,杂食性,26,LC,1.81291335664286,Partial migrant,LC,LC/NE,Omnivore,9,1
Phoenicopterus roseus,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1
Elanus caeruleus,Accipitriformes,259.76,2,Grassland,Carnivore,Vertivore,Aerial,3.69,41.21,RSP,食肉，食虫,20,LC,2.41457227561795,Partial migrant,LC,LC/NE,Carnivore,8,1
Stercorarius parasiticus,Charadriiformes,444.31,3,Marine,Carnivore,Aquatic predator,Aerial,68.31,-11.33,P,食肉,8,LC,2.64768608793352,Full migrant,LC,LC/NE,Carnivore,8,1
Erithacus rubecula,Passeriformes,17.7,3,Forest,Carnivore,Omnivore,Generalist,53.82,30.86,RV,杂食性,3,LC,1.24797326636181,Full migrant,LC,LC/NE,Carnivore,8,1
Phylloscopus collybita,Passeriformes,8.3,3,Forest,Carnivore,Invertivore,Insessorial,53.49,26.75,SPV,食虫,6,LC,0.919078092376074,Full migrant,LC,LC/NE,Carnivore,8,1
Accipiter trivirgatus,Accipitriformes,265.04,1,Forest,Carnivore,Vertivore,Insessorial,13.91,101.71,R,食肉，食虫,22,LC,2.4233114228739,Resident/low mobility,LC,LC/NE,Carnivore,7,1
Hieraaetus pennatus,Accipitriformes,823.75,3,Forest,Carnivore,Vertivore,Generalist,42.1,55.17,RP,食肉,11,LC,2.91579542760207,Full migrant,LC,LC/NE,Carnivore,7,1
Clangula hyemalis,Anseriformes,871,3,Wetland,Carnivore,Aquatic predator,Aquatic,68.24,-27.99,WP,食肉，食虫,19,VU,2.94001815500766,Full migrant,Threatened,Threatened/DD,Carnivore,7,1
Hydrophasianus chirurgus,Charadriiformes,160.03,2,Wetland,Omnivore,Aquatic predator,Terrestrial,23.9,94.46,RS,杂食性,23,LC,2.20420140523815,Partial migrant,LC,LC/NE,Omnivore,7,1
Rissa tridactyla,Charadriiformes,415.99,2,Marine,Carnivore,Aquatic predator,Aerial,59.56,-52.28,WP,食肉,16,VU,2.61908289073006,Partial migrant,Threatened,Threatened/DD,Carnivore,7,1
Ficedula parva,Passeriformes,10.8,3,Woodland,Carnivore,Invertivore,Insessorial,54,34.95,VW,食虫,8,LC,1.03342375548695,Full migrant,LC,LC/NE,Carnivore,7,1
Oroanassa magnifica,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
Charadrius atrifrons,Charadriiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,6,1
Limnodromus scolopaceus,Charadriiformes,104.4,3,Wetland,Carnivore,Aquatic predator,Terrestrial,68.11,18.59,PWV,食虫,12,NT,2.01870049866624,Full migrant,NT,NT,Carnivore,6,1
Artamus fuscus,Passeriformes,39.8,1,Woodland,Carnivore,Invertivore,Aerial,19.83,91.87,R,食虫,5,LC,1.59988307207369,Resident/low mobility,LC,LC/NE,Carnivore,6,1
Eumyias thalassinus,Passeriformes,18.1,1,Forest,Carnivore,Invertivore,Insessorial,17.79,104.13,SWPV,食虫,19,LC,1.25767857486918,Resident/low mobility,LC,LC/NE,Carnivore,6,1
Fringilla coelebs,Passeriformes,23.81,2,Forest,Omnivore,Invertivore,Generalist,52.79,39.43,WPV,杂食性,10,LC,1.37675939540488,Partial migrant,LC,LC/NE,Omnivore,6,1
Lanius schach,Passeriformes,51.51,2,Shrubland,Carnivore,Invertivore,Insessorial,23.44,92.75,RS,食虫，食肉,27,LC,1.71189154988058,Partial migrant,LC,LC/NE,Carnivore,6,1
Otocichla mupinensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
Calidris melanotos,Charadriiformes,79.73,3,Wetland,Carnivore,Aquatic predator,Terrestrial,69.87,-13.6,P,杂食性,10,LC,1.90162176409336,Full migrant,LC,LC/NE,Carnivore,5,1
Calidris pugnax,Charadriiformes,131.68,3,Wetland,Carnivore,Aquatic predator,Terrestrial,64.07,75.55,WP,食虫,23,LC,2.11951981786819,Full migrant,LC,LC/NE,Carnivore,5,1
Phalaropus lobatus,Charadriiformes,36.68,3,Wetland,Carnivore,Aquatic predator,Terrestrial,65.91,-35.96,WP,食虫,26,LC,1.56442932699798,Full migrant,LC,LC/NE,Carnivore,5,1
Anastomus oscitans,Ciconiiformes,1590,2,Wetland,Carnivore,Aquatic predator,Terrestrial,20.66,85.13,V,食肉,6,LC,3.20139712432045,Partial migrant,LC,LC/NE,Carnivore,5,1
Halcyon smyrnensis,Coraciiformes,91.4,2,Human Modified,Carnivore,Omnivore,Insessorial,21.21,83.74,RV,食肉，食虫,17,LC,1.9609461957338301,Partial migrant,LC,LC/NE,Carnivore,5,1
Clamator coromandus,Cuculiformes,74.59,3,Woodland,Carnivore,Invertivore,Insessorial,24.55,100.85,RSPV,食虫,25,LC,1.87268060715193,Full migrant,LC,LC/NE,Carnivore,5,1
Abroscopus albogularis,Passeriformes,4.84,1,Forest,Carnivore,Invertivore,Insessorial,24.78,105.57,RS,食虫,19,LC,0.684845361644412,Resident/low mobility,LC,LC/NE,Carnivore,5,1
Anthus gustavi,Passeriformes,19.8,3,Shrubland,Carnivore,Invertivore,Terrestrial,65.91,119.79,SP,食虫,19,LC,1.29666519026153,Full migrant,LC,LC/NE,Carnivore,5,1
Oenanthe deserti,Passeriformes,19.84,2,Grassland,Carnivore,Invertivore,Insessorial,38.87,75.71,RV,食虫,9,LC,1.29754166781816,Partial migrant,LC,LC/NE,Carnivore,5,1
Phylloscopus borealoides,Passeriformes,9.8,3,Forest,Carnivore,Invertivore,Insessorial,41.75,140.33,WP,食虫,5,LC,0.991226075692495,Full migrant,LC,LC/NE,Carnivore,5,1
Phylloscopus castaniceps,Passeriformes,5.3,2,Forest,Carnivore,Invertivore,Insessorial,23.28,102.4,NA,NA,NA,LC,0.724275869600789,Partial migrant,LC,LC/NE,Carnivore,5,1
Phylloscopus intermedius,Passeriformes,6.92,2,Forest,Carnivore,Invertivore,Insessorial,26.29,99.39,NA,NA,NA,LC,0.840106094456758,Partial migrant,LC,LC/NE,Carnivore,5,1
Phylloscopus tephrocephalus,Passeriformes,7.3,2,Forest,Carnivore,Invertivore,Insessorial,28.71,103.05,NA,NA,NA,LC,0.863322860120456,Partial migrant,LC,LC/NE,Carnivore,5,1
Pycnonotus sinensis,Passeriformes,34.2,3,Human Modified,Herbivore,Frugivore,Insessorial,30.71,112.66,RSWP,杂食性,28,LC,1.53402610605614,Full migrant,LC,LC/NE,Herbivore,5,1
Tarsiger chrysaeus,Passeriformes,13.8,2,Forest,Carnivore,Invertivore,Terrestrial,28.06,93.55,RSW,杂食性,8,LC,1.13987908640124,Partial migrant,LC,LC/NE,Carnivore,5,1
Zoothera mollissima,Passeriformes,98.19,1,Shrubland,Omnivore,Invertivore,Terrestrial,29.59,92.85,RS,食虫,6,LC,1.99206726002767,Resident/low mobility,LC,LC/NE,Omnivore,5,1
Aviceda leuphotes,Accipitriformes,193.98,3,Forest,Carnivore,Invertivore,Insessorial,23.21,103.96,RSP,食虫，食肉,21,LC,2.2877569549952,Full migrant,LC,LC/NE,Carnivore,4,1
Anser caerulescens,Anseriformes,2636.15,3,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,72.41,-90.29,W,杂食性,9,LC,3.42097011848603,Full migrant,LC,LC/NE,Herbivore,4,1
Branta ruficollis,Anseriformes,1226.47,3,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,71.96,90.31,VW,杂食性,8,VU,3.08865692963674,Full migrant,Threatened,Threatened/DD,Herbivore,4,1
Mergus serrator,Anseriformes,1015.17,3,Wetland,Carnivore,Aquatic predator,Aquatic,60.86,26.86,SWPV,食肉，食虫,23,LC,3.00653877513574,Full migrant,LC,LC/NE,Carnivore,4,1
Netta rufina,Anseriformes,1118,2,Wetland,Herbivore,Herbivore aquatic,Aquatic,46.6,71.79,SWPV,杂食性,19,LC,3.0484418035504,Partial migrant,LC,LC/NE,Herbivore,4,1
Calidris alpina,Charadriiformes,51.89,3,Wetland,Carnivore,Aquatic predator,Terrestrial,68.24,43.99,WP,食虫,28,NT,1.71508367069493,Full migrant,NT,NT,Carnivore,4,1
Charadrius veredus,Charadriiformes,95,3,Wetland,Carnivore,Omnivore,Terrestrial,47.51,105.58,SP,食虫,31,LC,1.97772360528885,Full migrant,LC,LC/NE,Carnivore,4,1
Onychoprion aleuticus,Charadriiformes,120,3,Coastal,Carnivore,Aquatic predator,Aerial,55.49,-13.03,WP,食肉,4,VU,2.07918124604762,Full migrant,Threatened,Threatened/DD,Carnivore,4,1
Onychoprion anaethetus,Charadriiformes,119.42,2,Marine,Carnivore,Aquatic predator,Aerial,-1.01,91.99,RS,食肉,7,LC,2.07707706684576,Partial migrant,LC,LC/NE,Carnivore,4,1
Phalaropus fulicarius,Charadriiformes,55.59,3,Marine,Carnivore,Aquatic predator,Terrestrial,69.97,-2.63,WPV,食虫,15,LC,1.74499667403856,Full migrant,LC,LC/NE,Carnivore,4,1
Eudynamys scolopaceus,Cuculiformes,194.92,2,Woodland,Herbivore,Frugivore,Insessorial,19.56,97.74,RSP,杂食性,25,LC,2.28985640270926,Partial migrant,LC,LC/NE,Herbivore,4,1
Grus canadensis,Gruiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Rallina eurizonoides,Gruiformes,109,1,Forest,Omnivore,Omnivore,Terrestrial,18.18,103.78,RSV,食虫，食肉,9,LC,2.03742649794062,Resident/low mobility,LC,LC/NE,Omnivore,4,1
Aegithalos concinnus,Passeriformes,6.1,1,Forest,Carnivore,Invertivore,Insessorial,27.24,107.84,R,食虫,22,LC,0.785329835010767,Resident/low mobility,LC,LC/NE,Carnivore,4,1
Lonchura striata,Passeriformes,12.3,1,Shrubland,Herbivore,Granivore,Insessorial,19.24,100.4,R,杂食性,23,LC,1.0899051114394,Resident/low mobility,LC,LC/NE,Herbivore,4,1
Paradoxornis heudei,Passeriformes,32,2,Wetland,Carnivore,Invertivore,Insessorial,45.02,124.25,R,食虫,13,NT,1.50514997831991,Partial migrant,NT,NT,Carnivore,4,1
Phylloscopus affinis,Passeriformes,6.96,3,Shrubland,Carnivore,Invertivore,Insessorial,31.36,96.3,S,食虫,1,LC,0.842609239610562,Full migrant,LC,LC/NE,Carnivore,4,1
Phylloscopus soror,Passeriformes,7.3,3,Forest,Carnivore,Invertivore,Insessorial,30.49,108.14,NA,NA,NA,LC,0.863322860120456,Full migrant,LC,LC/NE,Carnivore,4,1
Prinia atrogularis,Passeriformes,11.8,1,Grassland,Carnivore,Invertivore,Insessorial,27.72,92.73,R,NA,9,LC,1.07188200730613,Resident/low mobility,LC,LC/NE,Carnivore,4,1
Prinia flaviventris,Passeriformes,7,1,Shrubland,Carnivore,Invertivore,Insessorial,13.87,100.1,R,杂食性,11,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,4,1
Prinia inornata,Passeriformes,7,1,Shrubland,Carnivore,Invertivore,Generalist,22.26,93,R,食虫,19,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,4,1
Remiz consobrinus,Passeriformes,9.1,3,Wetland,Omnivore,Invertivore,Insessorial,46.67,125.75,SWPV,杂食性,25,LC,0.959041392321094,Full migrant,LC,LC/NE,Omnivore,4,1
Remiz coronatus,Passeriformes,6.9,3,Riverine,Omnivore,Invertivore,Insessorial,46.84,88.18,SP,杂食性,2,LC,0.838849090737255,Full migrant,LC,LC/NE,Omnivore,4,1
Sturnus vulgaris,Passeriformes,77.14,2,Human Modified,Omnivore,Omnivore,Insessorial,50.32,52.41,SPV,杂食性,26,LC,1.88727963453002,Partial migrant,LC,LC/NE,Omnivore,4,1
Turdus rubrocanus,Passeriformes,92.2,1,Forest,Omnivore,Invertivore,Generalist,31.88,100.16,R,杂食性,13,LC,1.96473092105363,Resident/low mobility,LC,LC/NE,Omnivore,4,1
Fregata ariel,Suliformes,804.32,3,Marine,Carnivore,Aquatic predator,Aerial,-2.33,28,VSP,食肉,11,LC,2.905428867884,Full migrant,LC,LC/NE,Carnivore,4,1
Sula sula,Suliformes,1031.1,2,Marine,Carnivore,Aquatic predator,Aerial,-1.92,-3.71,RSWV,食肉,5,LC,3.01330078685689,Partial migrant,LC,LC/NE,Carnivore,4,1
Accipiter soloensis,Accipitriformes,164.77,3,Forest,Carnivore,Vertivore,Insessorial,31.97,117.13,RSWP,食肉，食虫,27,LC,2.21687814170286,Full migrant,LC,LC/NE,Carnivore,3,1
Circaetus gallicus,Accipitriformes,1699.12,3,Woodland,Carnivore,Vertivore,Aerial,40.79,51.26,RP,食肉,8,LC,3.23022405191052,Full migrant,LC,LC/NE,Carnivore,3,1
Branta canadensis,Anseriformes,2811.68,3,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,53.3,-104.21,V,杂食性,1,LC,3.44896589168836,Full migrant,LC,LC/NE,Herbivore,3,1
Branta hutchinsii,Anseriformes,2811.68,3,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,66.72,-124.78,V,杂食性,3,LC,3.44896589168836,Full migrant,LC,LC/NE,Herbivore,3,1
Cygnus olor,Anseriformes,10682.04,3,Wetland,Herbivore,Herbivore aquatic,Aquatic,49.96,41.72,SPV,杂食性,18,LC,4.02865419989662,Full migrant,LC,LC/NE,Herbivore,3,1
Histrionicus histrionicus,Anseriformes,561.57,2,Marine,Carnivore,Aquatic predator,Aquatic,59.49,20.66,P,食肉，食虫,9,LC,2.74940389901053,Partial migrant,LC,LC/NE,Carnivore,3,1
Mareca falcata,Anseriformes,645.83,3,Wetland,Herbivore,Herbivore aquatic,Aquatic,54.68,122.38,SWP,杂食性,32,LC,2.81011821493299,Full migrant,LC,LC/NE,Herbivore,3,1
Melanitta stejnegeri,Anseriformes,1800.17,3,Wetland,Carnivore,Aquatic predator,Aquatic,61.1,127.95,NA,NA,NA,LC,3.2553135198676,Full migrant,LC,LC/NE,Carnivore,3,1
Anastomus oscitans,Charadriiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Calidris tenuirostris,Charadriiformes,192,3,Grassland,Carnivore,Aquatic predator,Terrestrial,64.67,135.1,WPV,食虫,19,EN,2.28330122870355,Full migrant,Threatened,Threatened/DD,Carnivore,3,1
Hydroprogne caspia,Charadriiformes,655,3,Wetland,Carnivore,Aquatic predator,Aerial,7.58,76.67,SWPR,食肉,20,LC,2.81624129999178,Full migrant,LC,LC/NE,Carnivore,3,1
Larus fuscus,Charadriiformes,762.36,2,Coastal,Carnivore,Aquatic predator,Generalist,66.29,57.44,WP,食肉,10,LC,2.88216010138289,Partial migrant,LC,LC/NE,Carnivore,3,1
Larus hyperboreus,Charadriiformes,1529.04,3,Coastal,Carnivore,Omnivore,Generalist,74.66,-40.85,WPV,食肉，食虫，食腐,16,LC,3.18441884679365,Full migrant,LC,LC/NE,Carnivore,3,1
Ciconia boyciana,Ciconiiformes,4847.74,3,Wetland,Carnivore,Aquatic predator,Terrestrial,47.77,130.95,SWP,食肉，食虫,25,EN,3.68553931916292,Full migrant,Threatened,Threatened/DD,Carnivore,3,1
Chalcophaps indica,Columbiformes,136.54,1,Forest,Herbivore,Omnivore,Generalist,11.66,104.11,R,食果实，食种子,10,LC,2.13525989851566,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Columba oenas,Columbiformes,290.79,1,Woodland,Herbivore,Omnivore,Terrestrial,50.84,35.32,R,食茎叶，食果实，食种子,2,LC,2.46357946745697,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Macropygia unchall,Columbiformes,168,1,Forest,Herbivore,Omnivore,Insessorial,22.97,103.4,RS,食果实，食种子,12,LC,2.22530928172586,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Treron sieboldii,Columbiformes,245,2,Forest,Herbivore,Frugivore,Insessorial,28.01,116.78,RP,食果实，食种子,13,LC,2.38916608436453,Partial migrant,LC,LC/NE,Herbivore,3,1
Megaceryle lugubris,Coraciiformes,270.99,1,Riverine,Carnivore,Aquatic predator,Insessorial,29.15,109.71,R,食肉,27,LC,2.43295326495208,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Clamator jacobinus,Cuculiformes,79.37,3,Grassland,Carnivore,Invertivore,Insessorial,3,38.05,NA,NA,NA,LC,1.89965638030564,Full migrant,LC,LC/NE,Carnivore,3,1
Gavia adamsii,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Lophura nycthemera,Galliformes,1230,1,Forest,Herbivore,Omnivore,Terrestrial,21.5,103.56,R,杂食性,11,LC,3.0899051114394,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Gavia adamsii,Gaviiformes,4944.34,3,Wetland,Carnivore,Aquatic predator,Aquatic,69.55,20.13,PW,食肉,4,NT,3.69410832758375,Full migrant,NT,NT,Carnivore,3,1
Gavia arctica,Gaviiformes,2251.1,3,Wetland,Carnivore,Aquatic predator,Aquatic,61.61,90.85,WP,食肉，食虫,12,LC,3.35239478797411,Full migrant,LC,LC/NE,Carnivore,3,1
Amaurornis phoenicurus,Gruiformes,180,1,Wetland,Carnivore,Aquatic predator,Terrestrial,19.12,99.24,RS,杂食性,31,LC,2.25527250510331,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Grus vipio,Gruiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Rallina fasciata,Gruiformes,100,1,Wetland,Carnivore,Omnivore,Terrestrial,4.3,108.5,V,杂食性,1,LC,2,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Rallus aquaticus,Gruiformes,110.67,2,Wetland,Carnivore,Aquatic predator,Terrestrial,47.32,48.39,R,杂食性,4,LC,2.04402990994647,Partial migrant,LC,LC/NE,Carnivore,3,1
Bombycilla japonica,Passeriformes,42.3,2,Forest,Omnivore,Frugivore,Insessorial,52.34,131.42,SWPV,杂食性,27,NT,1.62634036737504,Partial migrant,NT,NT,Omnivore,3,1
Bucanetes mongolicus,Passeriformes,21.5,2,Desert,Herbivore,Granivore,Terrestrial,41.69,85.41,RV,食种子，食果实，食茎叶,9,LC,1.33243845991561,Partial migrant,LC,LC/NE,Herbivore,3,1
Emberiza chrysophrys,Passeriformes,17.97,3,Forest,Omnivore,Omnivore,Terrestrial,59.19,114.08,WP,杂食性,27,LC,1.25454807710897,Full migrant,LC,LC/NE,Omnivore,3,1
Emberiza elegans,Passeriformes,16.84,2,Woodland,Omnivore,Omnivore,Terrestrial,39.44,120.22,SWP,杂食性,30,LC,1.22634208716363,Partial migrant,LC,LC/NE,Omnivore,3,1
Emberiza leucocephalos,Passeriformes,28.5,3,Forest,Omnivore,Omnivore,Terrestrial,56.37,101.24,RSWV,杂食性,18,LC,1.45484486000851,Full migrant,LC,LC/NE,Omnivore,3,1
Ficedula elisae,Passeriformes,13.1,3,Forest,Carnivore,Invertivore,Insessorial,39.35,114.86,SPW,食虫,11,LC,1.11727129565576,Full migrant,LC,LC/NE,Carnivore,3,1
Ficedula narcissina,Passeriformes,13.1,3,Forest,Carnivore,Invertivore,Insessorial,40.79,138.04,WP,食虫,15,LC,1.11727129565576,Full migrant,LC,LC/NE,Carnivore,3,1
Ficedula tricolor,Passeriformes,8.26,1,Forest,Carnivore,Invertivore,Insessorial,27.55,99.72,SP,食虫,11,LC,0.916980047320382,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Garrulax monileger,Passeriformes,83.7,1,Forest,Carnivore,Invertivore,Generalist,21.73,103.79,R,杂食性,12,LC,1.92272545799326,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Gracupica nigricollis,Passeriformes,156.92,1,Grassland,Carnivore,Invertivore,Insessorial,20.71,104.39,R,杂食性,19,LC,2.1956782994575,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Ianthocincla lunulata,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,3,1
Muscicapa ferruginea,Passeriformes,12,1,Forest,Carnivore,Invertivore,Insessorial,28.15,101.97,SWP,食虫,15,LC,1.07918124604762,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Pericrocotus ethologus,Passeriformes,18.97,3,Forest,Carnivore,Invertivore,Insessorial,29.06,100.65,SWV,食虫,18,LC,1.27806733088866,Full migrant,LC,LC/NE,Carnivore,3,1
Phoenicurus ochruros,Passeriformes,16.5,2,Rock,Omnivore,Invertivore,Insessorial,42.46,61.96,SWPV,食虫,19,LC,1.21748394421391,Partial migrant,LC,LC/NE,Omnivore,3,1
Phylloscopus ricketti,Passeriformes,6.3,1,Forest,Carnivore,Invertivore,Insessorial,28.79,109.81,SW,食虫,16,LC,0.799340549453582,Resident/low mobility,LC,LC/NE,Carnivore,3,1
Pteruthius xanthochlorus,Passeriformes,14.3,1,Forest,Omnivore,Invertivore,Insessorial,29.11,96.27,R,杂食性,8,LC,1.15533603746506,Resident/low mobility,LC,LC/NE,Omnivore,3,1
Pycnonotus jocosus,Passeriformes,29.47,1,Shrubland,Herbivore,Omnivore,Insessorial,20.23,93.52,RW,杂食性,15,LC,1.46938013584993,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Pyrrhula nipalensis,Passeriformes,24.6,1,Forest,Herbivore,Omnivore,Insessorial,25.95,103.23,R,杂食性,10,LC,1.39093510710338,Resident/low mobility,LC,LC/NE,Herbivore,3,1
Spizixos semitorques,Passeriformes,39,1,Shrubland,Omnivore,Omnivore,Insessorial,28.41,111.05,R,杂食性,18,LC,1.5910646070265,Resident/low mobility,LC,LC/NE,Omnivore,3,1
Bubulcus ibis,Pelecaniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Pelecanus onocrotalus,Pelecaniformes,9322.31,2,Wetland,Carnivore,Aquatic predator,Aquatic,27.38,40.85,SWPV,食肉,9,LC,3.96952354067454,Partial migrant,LC,LC/NE,Carnivore,3,1
Otus semitorques,Procellariiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Tyto alba,Strigiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Aquila fasciata,Accipitriformes,1936.49,2,Rock,Carnivore,Vertivore,Aerial,27.52,62.08,RPV,食肉，食虫,16,LC,3.28701525863889,Partial migrant,LC,LC/NE,Carnivore,2,1
Aquila heliaca,Accipitriformes,3125.21,3,Woodland,Carnivore,Vertivore,Generalist,49.87,70.89,RWPV,食肉，食腐,26,VU,3.49487920528872,Full migrant,Threatened,Threatened/DD,Carnivore,2,1
Aviceda jerdoni,Accipitriformes,363,1,Forest,Carnivore,Omnivore,Insessorial,6.17,107.44,R,食肉，食虫,6,LC,2.55990662503611,Resident/low mobility,LC,LC/NE,Carnivore,2,1
Butastur indicus,Accipitriformes,414.6,3,Woodland,Carnivore,Vertivore,Insessorial,44.31,129.81,SWP,食肉，食虫，食腐,28,LC,2.61762929775784,Full migrant,LC,LC/NE,Carnivore,2,1
Circus aeruginosus,Accipitriformes,704.07,2,Wetland,Carnivore,Vertivore,Aerial,50.03,51.14,SWP,食肉，食腐,21,LC,2.84761583968535,Partial migrant,LC,LC/NE,Carnivore,2,1
Gypaetus barbatus,Accipitriformes,5694.98,2,Rock,Scavenger,Scavenger,Terrestrial,34.75,76.41,RP,食腐,14,NT,3.75549220323428,Partial migrant,NT,NT,Scavenger,2,1
Gyps himalayensis,Accipitriformes,9797.95,1,Rock,Scavenger,Scavenger,Terrestrial,34.8,88.99,RW,食腐,10,NT,3.99113521887419,Resident/low mobility,NT,NT,Scavenger,2,1
Ictinaetus malaiensis,Accipitriformes,1028,1,Forest,Carnivore,Vertivore,Aerial,9.61,101.89,NA,NA,NA,LC,3.01199311465926,Resident/low mobility,LC,LC/NE,Carnivore,2,1
Nisaetus nipalensis,Accipitriformes,3004.99,1,Forest,Carnivore,Vertivore,Insessorial,26.77,106.31,R,食肉，食虫,17,NT,3.47784303109681,Resident/low mobility,NT,NT,Carnivore,2,1
Pernis ptilorhynchus,Accipitriformes,1141.13,1,Woodland,Carnivore,Invertivore,Insessorial,32.05,103.73,RSWP,食虫,34,LC,3.05733512300419,Resident/low mobility,LC,LC/NE,Carnivore,2,1
Spilornis cheela,Accipitriformes,597.74,1,Forest,Carnivore,Vertivore,Insessorial,16.74,98.68,R,食肉,20,LC,2.7765123192401,Resident/low mobility,LC,LC/NE,Carnivore,2,1
Aix galericulata,Anseriformes,567.04,3,Forest,Herbivore,Herbivore aquatic,Generalist,45.58,131.94,SWPV,杂食性,32,LC,2.75361369587094,Full migrant,LC,LC/NE,Herbivore,2,1
Anser indicus,Anseriformes,2212.55,3,Wetland,Herbivore,Herbivore terrestrial,Terrestrial,41.25,86.98,SWP,杂食性,17,LC,3.34489309382353,Full migrant,LC,LC/NE,Herbivore,2,1
Aythya nyroca,Anseriformes,574,3,Wetland,Herbivore,Herbivore aquatic,Aquatic,46.16,49.61,SWP,杂食性,29,NT,2.75891189239797,Full migrant,NT,NT,Herbivore,2,1
Branta bernicla,Anseriformes,1277.91,3,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,74.79,-22.74,PWV,杂食性,13,LC,3.10650026862698,Full migrant,LC,LC/NE,Herbivore,2,1
Melanitta fusca,Anseriformes,1800.17,3,Wetland,Carnivore,Aquatic predator,Aquatic,62.27,68.59,WPV,杂食性,21,VU,3.2553135198676,Full migrant,Threatened,Threatened/DD,Carnivore,2,1
Sibirionetta formosa,Anseriformes,433.98,3,Wetland,Herbivore,Herbivore aquatic,Aquatic,64.58,140.97,WP,杂食性,31,LC,2.63746971548076,Full migrant,LC,LC/NE,Herbivore,2,1
Anous stolidus,Charadriiformes,177.77,2,Marine,Carnivore,Aquatic predator,Aerial,-4.29,17.29,S,食肉,5,LC,2.24985847241737,Partial migrant,LC,LC/NE,Carnivore,2,1
Arenaria interpres,Charadriiformes,135.98,3,Coastal,Carnivore,Aquatic predator,Terrestrial,72.47,-51.71,WP,杂食性,34,NT,2.13347503683809,Full migrant,NT,NT,Carnivore,2,1
Calidris acuminata,Charadriiformes,66.08,3,Wetland,Carnivore,Aquatic predator,Terrestrial,70.74,144.88,WP,食虫,30,VU,1.82007003431233,Full migrant,Threatened,Threatened/DD,Carnivore,2,1
Calidris subminuta,Charadriiformes,30.2,3,Wetland,Carnivore,Aquatic predator,Terrestrial,59.65,118.94,WP,食虫,34,LC,1.48000694295715,Full migrant,LC,LC/NE,Carnivore,2,1
