species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Schoeniparus variegaticeps,Passeriformes,13.16,1,Forest,Carnivore,Invertivore,Insessorial,27,107.87,R,食虫,2,LC,1.11925588927794,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Serilophus lunatus,Passeriformes,34,1,Forest,Carnivore,Invertivore,Insessorial,17.07,101.68,R,食虫,4,LC,1.53147891704226,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Serinus pusillus,Passeriformes,11.54,2,Rock,Herbivore,Granivore,Terrestrial,37.3,67.06,R,杂食性,2,LC,1.06220580881971,Partial migrant,LC,LC/NE,Herbivore,0,0
Sinosuthora alphonsiana,Passeriformes,10.5,1,Shrubland,Herbivore,Omnivore,Insessorial,26.42,104.62,R,杂食性,3,NA,1.02118929906994,Resident/low mobility,Unknown,Unknown,Herbivore,0,0
Sinosuthora brunnea,Passeriformes,9.25,1,Shrubland,Omnivore,Granivore,Insessorial,25.21,98.41,R,杂食性,2,NA,0.966141732739033,Resident/low mobility,Unknown,Unknown,Omnivore,0,0
Sinosuthora conspicillata,Passeriformes,8.5,1,Forest,Omnivore,Omnivore,Insessorial,33.7,105.32,R,杂食性,8,NA,0.929418925714293,Resident/low mobility,Unknown,Unknown,Omnivore,0,0
Sinosuthora przewalskii,Passeriformes,8.5,1,Forest,Omnivore,Omnivore,Insessorial,33.68,104.41,R,食虫,2,NA,0.929418925714293,Resident/low mobility,Unknown,Unknown,Omnivore,0,0
Sinosuthora webbiana,Passeriformes,10.9,1,Shrubland,Herbivore,Omnivore,Insessorial,33.65,114.57,R,杂食性,28,NA,1.03742649794062,Resident/low mobility,Unknown,Unknown,Herbivore,0,0
Sinosuthora zappeyi,Passeriformes,9.5,1,Shrubland,Omnivore,Invertivore,Insessorial,27.85,103.57,R,杂食性,3,NA,0.977723605288848,Resident/low mobility,Unknown,Unknown,Omnivore,0,0
Sitta europaea,Passeriformes,20.37,1,Forest,Carnivore,Invertivore,Insessorial,52.64,82.46,R,食虫,26,LC,1.30899102900016,Resident/low mobility,LC,LC/NE,Carnivore,0,0
