record_id,species,province,longitude,latitude,longitude_out_of_range,latitude_out_of_range
977,Oroanassa magnifica,Guangdong,114.15,24.9,FALSE,FALSE
78,Anser caerulescens,Shandong,118.983333333333,37.7666666666667,FALSE,FALSE
225,Arenaria interpres,Xinjiang,83.82097,42.89432,FALSE,FALSE
534,Chloris chloris,Xinjiang,82.27,43.33,FALSE,FALSE
1017,Phoenicopterus roseus,Xinjiang,87.9333333333333,43.9833333333333,FALSE,FALSE
745,Napothera malacoptila,Yunnan,98.34,27.88,FALSE,FALSE
8,Accipiter trivirgatus,Fujian,119.33,25.6,FALSE,FALSE
1074,Sula sula,Fujian,116.09428,37.44656,FALSE,FALSE
419,Rallina fasciata,Guangdong,114.669444444444,22.4025,FALSE,FALSE
145,Charadrius atrifrons,Hubei,94.332486,39.951323,FALSE,FALSE
572,Ianthocincla lunulata,Hubei,110.27643,31.299174,FALSE,FALSE
76,Anser caerulescens,Jilin,122.074222222222,44.9,FALSE,FALSE
67,Pernis ptilorhynchus,Tianjin,117.82,39.33,FALSE,FALSE
306,Ciconia boyciana,Tianjin,117.483333333333,38.75,FALSE,FALSE
568,Lanius schach,Tianjin,117,39.14,FALSE,FALSE
880,Spodiopsar sericeus,Tianjin,117.31,39.08,FALSE,FALSE
963,Oroanassa magnifica,Xinjiang,83.6666666666667,39.1666666666667,FALSE,FALSE
673,Myophonus caeruleus,Guangxi,108.26,22.08,FALSE,FALSE
407,Amaurornis phoenicurus,Jilin,123.418532374497,46.3862863090179,FALSE,FALSE
403,Grus virgo,Tianjin,117.41,39.3,FALSE,FALSE
711,Paradoxornis heudei,Tianjin,117.61,39.29,FALSE,FALSE
754,Phylloscopus burkii,Tianjin,117.21,38.96,FALSE,FALSE
886,Sturnus vulgaris,Tianjin,117.19937,39.085099,FALSE,FALSE
969,Bubulcus ibis,Tianjin,117.4,39.24,FALSE,FALSE
1046,Athene noctua,Yunnan,99.26,28.35,FALSE,FALSE
353,Clamator jacobinus,Beijing,115.433333333333,39.9666666666667,FALSE,FALSE
828,Pycnonotus sinensis,Beijing,116.62,40.36,FALSE,FALSE
675,Niltava grandis,Guangxi,106.34503,24.516148,FALSE,FALSE
970,Egretta eulophotes,Guangxi,108.305833333333,21.6741666666667,FALSE,FALSE
349,Clamator coromandus,Hebei,117.304166666667,38.3847222222222,FALSE,FALSE
758,Phylloscopus castaniceps,Heilongjiang,125.25,49.09,FALSE,FALSE
46,Gyps himalayensis,Liaoning,121.02,42.05,FALSE,FALSE
593,Anthus gustavi,Liaoning,121.633333333333,38.8666666666667,FALSE,FALSE
573,Ianthocincla lunulata,Liaoning,121.633333333333,38.8666666666667,FALSE,FALSE
352,Clamator jacobinus,Zhejiang,102.27,30.18,FALSE,FALSE
735,Passer cinnamomeus,Beijing,115.475194444444,39.7685555555556,FALSE,FALSE
1059,Tyto alba,Guangxi,109.51209,18.25248,FALSE,FALSE
699,Aethopyga christinae,Hubei,110.537333333333,30.0736666666667,FALSE,FALSE
995,Phoenicopterus roseus,Sichuan,106.089,30.815447,FALSE,FALSE
571,Lanius tephronotus,Xinjiang,75.4027222222222,37.3726388888889,FALSE,FALSE
79,Anser erythropus,Yunnan,100.083333333333,26.7333333333333,FALSE,FALSE
411,Coturnicops exquisitus,Yunnan,100.353888888889,25.2958333333333,FALSE,FALSE
1035,Phoebastria immutabilis,Fujian,119.29659,26.09982,FALSE,FALSE
589,Helopsaltes pleskei,Guangxi,106.76649,22.09439,FALSE,FALSE
896,Mixornis gularis,Guangxi,106.957666666667,22.4744,FALSE,FALSE
1045,Asio flammeus,Guangxi,107.07668,22.14016,FALSE,FALSE
1062,Tyto longimembris,Hebei,117.5,38.15,FALSE,FALSE
469,Prinia flaviventris,Shaanxi,107.8,34.0166666666667,FALSE,FALSE
188,Hydroprogne caspia,Yunnan,102.64068,25.00224,FALSE,FALSE
873,Gracupica nigricollis,Chongqing,106.5,29.51,FALSE,FALSE
86,Aythya nyroca,Fujian,119.52324,25.96283,FALSE,FALSE
184,Gygis alba,Fujian,119.73637,25.61351,FALSE,FALSE
193,Larus cachinnans,Fujian,119.29659,26.09982,FALSE,FALSE
331,Alcedo hercules,Fujian,117.29652,26.508325,FALSE,FALSE
345,Todiramphus chloris,Fujian,119.67,26.01,FALSE,FALSE
1064,Fregata andrewsi,Fujian,119.22736,25.888656,FALSE,FALSE
533,Chloris ambigua,Guangxi,105.19576,24.973891,FALSE,FALSE
608,Copsychus saularis,Guangxi,108.3,22.85,FALSE,FALSE
894,Cyanoderma rufifrons,Guangxi,106.85455,22.34262,FALSE,FALSE
907,Otocichla mupinensis,Guangxi,104.955,24.61493,FALSE,FALSE
729,Parus monticolus,Guangxi,106.085,23.36,FALSE,FALSE
747,Phylloscopus castaniceps,Guangxi,106.88,22.35,FALSE,FALSE
713,Suthora alphonsiana,Guangxi,105.09383,24.48957,FALSE,FALSE
1025,Picumnus innominatus,Guangxi,106.41769,23.13402,FALSE,FALSE
1044,Syrrhaptes paradoxus,Guangxi,107.133333333333,22.2,FALSE,FALSE
85,Aythya fuligula,Hainan,109.17361,18.74986,FALSE,FALSE
143,Charadrius asiaticus,Hainan,110.5865823,19.9672118,FALSE,FALSE
157,Charadrius placidus,Hainan,108.94,18.09,FALSE,FALSE
158,Charadrius veredus,Hainan,110.7949011,19.5388959,FALSE,FALSE
195,Larus crassirostris,Hainan,109.69077,19.91243,FALSE,FALSE
163,Vanellus cinereus,Hainan,110.12,19,FALSE,FALSE
166,Vanellus vanellus,Hainan,110.5865823,19.9672118,FALSE,FALSE
535,Chloris sinica,Hainan,109.7,19.9,FALSE,FALSE
488,Emberiza chrysophrys,Hainan,110.333333333333,20,FALSE,FALSE
871,Gracupica nigricollis,Hainan,110.5865823,19.9672118,FALSE,FALSE
822,Pycnonotus aurigaster,Hainan,110.333333333333,20,FALSE,FALSE
562,Riparia riparia,Hainan,110.01,19.97,FALSE,FALSE
324,Streptopelia decaocto,Heilongjiang,125.262222222222,49.1,FALSE,FALSE
525,Bucanetes mongolicus,Heilongjiang,101.06188,41.971086,FALSE,FALSE
862,Spodiopsar sericeus,Heilongjiang,126.66285,45.74208,FALSE,FALSE
980,Oroanassa magnifica,Hunan,113.64317,28.16378,FALSE,FALSE
322,Spilopelia chinensis,Inner Mongolia,111.724833333333,40.8074166666667,FALSE,FALSE
287,Stercorarius parasiticus,Liaoning,124.03,39.82,FALSE,FALSE
471,Prinia inornata,Liaoning,123.619033768175,39.933110384813,FALSE,FALSE
830,Pycnonotus sinensis,Liaoning,121.59,38.92,FALSE,FALSE
961,Ardea intermedia,Liaoning,124.19,39.97,FALSE,FALSE
833,Remiz coronatus,Qinghai,101.75,36.63,FALSE,FALSE
429,Acrocephalus concinens,Shanghai,121.3973,31.6229,FALSE,FALSE
590,Helopsaltes pleskei,Shanghai,121.91,31.52,FALSE,FALSE
591,Helopsaltes pryeri,Shanghai,121.3973,31.6229,FALSE,FALSE
381,Gavia adamsii,Sichuan,104.28249,30.97706,FALSE,FALSE
42,Elanus caeruleus,Tianjin,117.11,39.17,FALSE,FALSE
971,Egretta eulophotes,Tianjin,117.80577,39.257647,FALSE,FALSE
521,Lonchura striata,Xizang,95.15,29.2333333333333,FALSE,FALSE
983,Oroanassa magnifica,Yunnan,101.55,24.03,FALSE,FALSE
1041,Otus semitorques,Yunnan,103.23098,22.903222,FALSE,FALSE
514,Emberiza sulphurata,Zhejiang,122.066666666667,30.5666666666667,FALSE,FALSE
753,Phylloscopus borealoides,Zhejiang,122.066666666667,30.5666666666667,FALSE,FALSE
82,Anser indicus,Chongqing,106.433333333333,29.8419444444444,FALSE,FALSE
63,Nisaetus nipalensis,Gansu,104.705468,32.929844,FALSE,FALSE
470,Prinia inornata,Hainan,109.106039183255,19.0094632635263,FALSE,FALSE
764,Phylloscopus collybita,Henan,114.283333333333,32.1,FALSE,FALSE
660,Larvivora cyane,Hunan,113.21,28.2,FALSE,FALSE
295,Anastomus oscitans,Inner Mongolia,110.01,41.53,FALSE,FALSE
117,Mareca falcata,Jilin,122.348416666667,45.0541944444444,FALSE,FALSE
12,Accipiter trivirgatus,Shaanxi,107.666666666667,33.55,FALSE,FALSE
274,Numenius madagascariensis,Shaanxi,107.52,33.19,FALSE,FALSE
435,Aegithalos bonvaloti,Shaanxi,107.75,34.16,FALSE,FALSE
597,Anthus godlewskii,Shaanxi,107.98,33.53,FALSE,FALSE
637,Ficedula parva,Shaanxi,107.98,33.53,FALSE,FALSE
662,Monticola rufiventris,Shaanxi,107.76,33.6,FALSE,FALSE
811,Prunella immaculata,Shaanxi,107.766666666667,33.9166666666667,FALSE,FALSE
919,Turdus boulboul,Shaanxi,107.98,33.53,FALSE,FALSE
957,Yuhina nigrimenta,Shaanxi,107.25,32.55,FALSE,FALSE
943,Zoothera mollissima,Shaanxi,107.891657287872,34.1039140027229,FALSE,FALSE
1033,Podiceps nigricollis,Shaanxi,106.9,32.95,FALSE,FALSE
366,Lophura nycthemera,Shanxi,111.316666666667,34.9666666666667,FALSE,FALSE
367,Chrysolophus pictus,Sichuan,111.316666666667,34.9666666666667,FALSE,FALSE
807,Pitta sordida,Sichuan,102.98,31.5,FALSE,FALSE
715,Suthora przewalskii,Sichuan,104.76222,32.579169,FALSE,FALSE
241,Calidris minuta,Tianjin,117.68,39.11,FALSE,FALSE
257,Calidris pugnax,Tianjin,117.49,38.46,FALSE,FALSE
583,Pterorhinus gularis,Yunnan,101.51,22.48,FALSE,FALSE
945,Zoothera monticola,Yunnan,97.8333333333333,24.0166666666667,FALSE,FALSE
1050,Glaucidium cuculoides,Beijing,116.37415,39.90711,FALSE,FALSE
101,Clangula hyemalis,Gansu,40.15,40.15,TRUE,FALSE
214,Rissa tridactyla,Gansu,103.79047,29.48523,FALSE,FALSE
1032,Podiceps grisegena,Gansu,101.100270186076,38.8623471654714,FALSE,FALSE
574,Garrulax maesi,Guangdong,113.2292844,24.3732841,FALSE,FALSE
773,Phylloscopus intermedius,Guangxi,106.41769,23.13402,FALSE,FALSE
900,Stachyris nonggangensis,Guangxi,117.19937,39.085099,FALSE,FALSE
1021,Psilopogon faiostrictus,Guangxi,106.85455,22.34262,FALSE,FALSE
979,Oroanassa magnifica,Guizhou,108.275,26.4333333333333,FALSE,FALSE
645,Ficedula parva,Hebei,118.91252,39.42564,FALSE,FALSE
883,Sturnus vulgaris,Heilongjiang,124.216666666667,47.2,FALSE,FALSE
10,Accipiter trivirgatus,Henan,114.249433333333,31.9506333333333,FALSE,FALSE
98,Branta ruficollis,Henan,112.775833333333,35,FALSE,FALSE
709,Paradoxornis heudei,Henan,112.635555555556,34.8516666666667,FALSE,FALSE
648,Ficedula parva,Hong Kong,114.255833333333,22.165,FALSE,FALSE
335,Halcyon coromanda,Shandong,119.547665645881,35.4666666666667,FALSE,FALSE
639,Ficedula parva,Xinjiang,81.4824722222222,36.1876666666667,FALSE,FALSE
814,Prunella montanella,Xinjiang,87.5418333333333,44.1755277777778,FALSE,FALSE
176,Chlidonias leucopterus,Yunnan,102.69053,24.810808,FALSE,FALSE
402,Grus virgo,Beijing,116.116666666667,33,FALSE,FALSE
638,Ficedula parva,Chongqing,108.88612,29.32393,FALSE,FALSE
903,Geokichla citrina,Chongqing,108.99573,30.67213,FALSE,FALSE
905,Grandala coelicolor,Chongqing,107.57349,29.26961,FALSE,FALSE
466,Prinia atrogularis,Chongqing,109.083333333333,31.1166666666667,FALSE,FALSE
204,Onychoprion aleuticus,Fujian,117.674166666667,23.7844444444444,FALSE,FALSE
482,Podoces biddulphi,Gansu,93.4666666666667,40.2833333333333,FALSE,FALSE
988,Mycteria leucocephala,Guizhou,106.70722,26.5982,FALSE,FALSE
74,Anser anser,Hainan,110.58,19.8977222222222,FALSE,FALSE
659,Larvivora cyane,Hainan,110.31,21.04,FALSE,FALSE
653,Ficedula tricolor,Inner Mongolia,118.719166666667,44.2166666666667,FALSE,FALSE
380,Gavia adamsii,Jiangsu,119.820966666667,34,FALSE,FALSE
576,Garrulax monileger,Jiangsu,118.84,32.07,FALSE,FALSE
585,Locustella davidi,Jiangsu,118.8533,32.070475,FALSE,FALSE
582,Pterorhinus berthemyi,Jiangsu,118.86,32.06,FALSE,FALSE
283,Phalaropus lobatus,Jiangxi,113,25,FALSE,FALSE
416,Rallina eurizonoides,Jiangxi,113,25,FALSE,FALSE
567,Lanius schach,Jiangxi,114.39875,26.24847,FALSE,FALSE
