order,color
Passeriformes,#00bfc4
Charadriiformes,#be84db
Accipitriformes,#f8766d
Anseriformes,#7ad151
Pelecaniformes,#f1b722
Columbiformes,#619cff
Gruiformes,#F29FB7
Coraciiformes,#F4B183
Piciformes,#C4A46B
Strigiformes,#B7C36B
Cuculiformes,#9DCC8A
Galliformes,#78C8A0
Ciconiiformes,#5FCFCF
Gaviiformes,#7FB3FF
Suliformes,#C3A4FF
Caprimulgiformes,#E2A9E5
