order,rank
Passeriformes,1
Charadriiformes,2
Accipitriformes,3
Anseriformes,4
Pelecaniformes,5
Columbiformes,6
Gruiformes,7
Coraciiformes,8
Piciformes,9
Strigiformes,10
Cuculiformes,11
Galliformes,12
Ciconiiformes,13
Gaviiformes,14
Suliformes,15
Caprimulgiformes,16
