metric,value
docx_path,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/results/bird_new_records_full_manuscript_english.docx
markdown_path,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/results/bird_new_records_full_manuscript_english.md
n_main_figures,4
n_supplementary_figures,1
n_tables,3
n_embedded_media_files,5
n_references,14
