species,order,direction
Hemixos castanonotus,Passeriformes,Northeast
Acridotheres tristis,Passeriformes,East
Phylloscopus affinis,Passeriformes,East
Locustella mandelli,Passeriformes,North
Prunella strophiata,Passeriformes,East
Dicrurus hottentottus,Passeriformes,Northeast
Galerida cristata,Passeriformes,East
Aegithalos fuliginosus,Passeriformes,East
Cyornis rubeculoides,Passeriformes,East
Emberiza godlewskii,Passeriformes,Southeast
Turdus boulboul,Passeriformes,East
Phylloscopus ricketti,Passeriformes,East
Pyrrhula nipalensis,Passeriformes,Northeast
Rhodospiza obsoleta,Passeriformes,East
Phoenicurus schisticeps,Passeriformes,East
Prunella himalayana,Passeriformes,East
Cyanoderma pyrrhops,Passeriformes,East
Machlolophus xanthogenys,Passeriformes,Northeast
Pnoepyga immaculata,Passeriformes,East
Anthus gustavi,Passeriformes,Southwest
Erithacus rubecula,Passeriformes,East
Phoenicurus leucocephalus,Passeriformes,West
Spinus spinus,Passeriformes,Southeast
Anthreptes malacensis,Passeriformes,North
Larvivora akahige,Passeriformes,Southwest
Spilornis cheela,Accipitriformes,Northeast
Branta ruficollis,Anseriformes,South
Cygnus columbianus,Anseriformes,Southeast
Phalaropus fulicarius,Charadriiformes,East
Calidris alpina,Charadriiformes,Southeast
Calidris falcinellus,Charadriiformes,East
Calidris tenuirostris,Charadriiformes,Southwest
Limosa limosa,Charadriiformes,East
Limnodromus semipalmatus,Charadriiformes,Southwest
Ciconia episcopus,Ciconiiformes,Northeast
Chalcophaps indica,Columbiformes,Northeast
Treron sieboldii,Columbiformes,Southwest
Ceryle rudis,Coraciiformes,Northeast
Regulus regulus,Passeriformes,East
Turdus mandarinus,Passeriformes,Northeast
Lonchura striata,Passeriformes,North
Pycnonotus jocosus,Passeriformes,East
Phylloscopus affinis,Passeriformes,Northeast
Phylloscopus tenellipes,Passeriformes,Southwest
Pitta nympha,Passeriformes,Northwest
Motacilla citreola,Passeriformes,Southeast
Pyrrhula erythaca,Passeriformes,East
Dicaeum cruentatum,Passeriformes,Northeast
Dicaeum minullum,Passeriformes,Northeast
Ficedula narcissina,Passeriformes,Southwest
Timalia pileata,Passeriformes,East
Fringilla montifringilla,Passeriformes,Southeast
Muscicapa dauurica,Passeriformes,West
Leptopoecile elegans,Passeriformes,South
Otus spilocephalus,Strigiformes,East
Fregata ariel,Suliformes,Northeast
Accipiter virgatus,Accipitriformes,Northeast
Hieraaetus pennatus,Accipitriformes,East
Neophron percnopterus,Accipitriformes,Northeast
Vanellus leucurus,Charadriiformes,East
Crex crex,Gruiformes,Southeast
Phylloscopus tephrocephalus,Passeriformes,East
Turdus pilaris,Passeriformes,East
Heterophasia desgodinsi,Passeriformes,Northeast
Ficedula elisae,Passeriformes,South
Phylloscopus yunnanensis,Passeriformes,Southeast
Pardaliparus venustulus,Passeriformes,Northeast
Phylloscopus ogilviegranti,Passeriformes,North
Oenanthe deserti,Passeriformes,East
Turdus feae,Passeriformes,Southwest
Calonectris leucomelas,Procellariiformes,Northwest
Otus semitorques,Strigiformes,Southwest
Fregata ariel,Suliformes,East
Butastur indicus,Accipitriformes,Southwest
Gyps himalayensis,Accipitriformes,Southeast
Accipiter gularis,Accipitriformes,Southwest
Onychoprion anaethetus,Charadriiformes,Northeast
Thalasseus bergii,Charadriiformes,Northeast
Calidris minuta,Charadriiformes,South
Charadrius mongolus,Charadriiformes,South
Limosa lapponica,Charadriiformes,Southeast
Numenius phaeopus,Charadriiformes,East
Perdix hodgsoniae,Galliformes,Southeast
Leucogeranus leucogeranus,Gruiformes,Southwest
Emberiza leucocephalos,Passeriformes,Southeast
Phylloscopus soror,Passeriformes,Northeast
Cephalopyrus flammiceps,Passeriformes,East
Rubigula flaviventris,Passeriformes,Northeast
Pycnonotus jocosus,Passeriformes,Northeast
Lanius tephronotus,Passeriformes,East
Emberiza siemsseni,Passeriformes,East
Bombycilla japonica,Passeriformes,Southwest
Phoenicurus ochruros,Passeriformes,East
Phylloscopus soror,Passeriformes,East
Sittiparus varius,Passeriformes,Southwest
Monticola gularis,Passeriformes,Southwest
Cecropis daurica,Passeriformes,Northeast
Emberiza stewarti,Passeriformes,East
Phylloscopus coronatus,Passeriformes,West
Sylvia atricapilla,Passeriformes,East
Muscicapa ferruginea,Passeriformes,East
Plegadis falcinellus,Pelecaniformes,Northeast
Ardenna pacifica,Procellariiformes,East
Elanus caeruleus,Accipitriformes,East
Histrionicus histrionicus,Anseriformes,East
Hirundapus caudacutus,Caprimulgiformes,South
Limnodromus scolopaceus,Charadriiformes,East
Tringa brevipes,Charadriiformes,Southwest
Leptoptilos javanicus,Ciconiiformes,North
Halcyon smyrnensis,Coraciiformes,Northeast
Falco severus,Falconiformes,Northwest
Turdus cardis,Passeriformes,Northwest
Cyornis poliogenys,Passeriformes,East
Phylloscopus cantator,Passeriformes,East
Emberiza pallasi,Passeriformes,Southwest
Emberiza yessoensis,Passeriformes,Southwest
Ficedula tricolor,Passeriformes,East
