order,rank
Passeriformes,1
Charadriiformes,2
Accipitriformes,3
Anseriformes,4
Pelecaniformes,5
Columbiformes,6
Gruiformes,7
Coraciiformes,8
Strigiformes,9
Galliformes,10
Cuculiformes,11
Piciformes,12
Gaviiformes,13
Ciconiiformes,14
Procellariiformes,15
Suliformes,16
