order,color
Passeriformes,#00bfc4
Charadriiformes,#be84db
Accipitriformes,#f8766d
Anseriformes,#7ad151
Pelecaniformes,#f1b722
Columbiformes,#619cff
Gruiformes,#F29FB7
Coraciiformes,#F4B183
Strigiformes,#C4A46B
Galliformes,#B7C36B
Cuculiformes,#9DCC8A
Piciformes,#78C8A0
Gaviiformes,#5FCFCF
Ciconiiformes,#7FB3FF
Procellariiformes,#C3A4FF
Suliformes,#E2A9E5
