order,n_new_species,n_species_total_order,prop_new,lower_prop,upper_prop,position_status,label
Passeriformes,317,859,0.369033760186263,0.3573923166472643,0.42258440046565776,Within 95% CI,PASSERIFORMES
Charadriiformes,72,142,0.507042253521127,0.30985915492957744,0.47183098591549294,Above 95% CI,CHARADRIIFORMES
Anseriformes,32,58,0.551724137931034,0.25862068965517243,0.5172413793103449,Above 95% CI,ANSERIFORMES
Accipitriformes,29,55,0.527272727272727,0.2727272727272727,0.5272727272727272,Within 95% CI,ACCIPITRIFORMES
Pelecaniformes,22,35,0.628571428571429,0.22857142857142856,0.5428571428571428,Above 95% CI,PELECANIFORMES
Gruiformes,17,29,0.586206896551724,0.20689655172413793,0.5862068965517241,Within 95% CI,GRUIFORMES
Columbiformes,11,34,0.323529411764706,0.23529411764705882,0.5588235294117647,Within 95% CI,COLUMBIFORMES
Strigiformes,11,32,0.34375,0.21875,0.5625,Within 95% CI,STRIGIFORMES
Galliformes,11,64,0.171875,0.265625,0.515625,Below 95% CI,GALLIFORMES
Coraciiformes,9,23,0.391304347826087,0.21739130434782608,0.6086956521739131,Within 95% CI,CORACIIFORMES
Piciformes,8,43,0.186046511627907,0.2558139534883721,0.5348837209302325,Below 95% CI,PICIFORMES
Suliformes,7,13,0.538461538461538,0.15384615384615385,0.6923076923076923,Within 95% CI,SULIFORMES
Cuculiformes,6,20,0.3,0.2,0.6,Within 95% CI,CUCULIFORMES
Procellariiformes,6,19,0.31578947368421,0.15789473684210525,0.631578947368421,Within 95% CI,PROCELLARIIFORMES
Ciconiiformes,5,7,0.714285714285714,0,0.7142857142857143,Within 95% CI,CICONIIFORMES
Gaviiformes,4,4,1,-0,0.75,Above 95% CI,GAVIIFORMES
Caprimulgiformes,4,22,0.181818181818182,0.18181818181818182,0.5909090909090909,Within 95% CI,CAPRIMULGIFORMES
Podicipediformes,3,5,0.6,-0,0.8,Within 95% CI,PODICIPEDIFORMES
Falconiformes,2,12,0.166666666666667,0.16666666666666666,0.6666666666666666,Within 95% CI,FALCONIFORMES
Phoenicopteriformes,1,1,1,-0,1,Above 95% CI,PHOENICOPTERIFORMES
Otidiformes,1,3,0.333333333333333,-0,1,Within 95% CI,OTIDIFORMES
Pterocliformes,1,3,0.333333333333333,-0,1,Within 95% CI,PTEROCLIFORMES
Trogoniformes,1,3,0.333333333333333,-0,1,Within 95% CI,TROGONIFORMES
