"Order","Number of newly recorded bird species","Number of papers","Proportion of newly recorded bird species","Proportion of newly recorded bird species to total species in the order"
"Passeriformes",317,391,"54.7%","36.9%"
"Charadriiformes",72,130,"12.4%","50.7%"
"Anseriformes",32,66,"5.5%","55.2%"
"Accipitriformes",29,62,"5.0%","52.7%"
"Pelecaniformes",22,44,"3.8%","62.9%"
"Gruiformes",17,33,"2.9%","58.6%"
"Columbiformes",11,18,"1.9%","32.4%"
"Strigiformes",11,18,"1.9%","34.4%"
"Galliformes",11,13,"1.9%","17.2%"
"Coraciiformes",9,16,"1.6%","39.1%"
"Piciformes",8,11,"1.4%","18.6%"
"Suliformes",7,15,"1.2%","53.8%"
"Cuculiformes",6,12,"1.0%","30.0%"
"Procellariiformes",6,9,"1.0%","31.6%"
"Ciconiiformes",5,11,"0.9%","71.4%"
"Gaviiformes",4,9,"0.7%","100.0%"
"Caprimulgiformes",4,4,"0.7%","18.2%"
"Podicipediformes",3,5,"0.5%","60.0%"
"Falconiformes",2,2,"0.3%","16.7%"
"Phoenicopteriformes",1,13,"0.2%","100.0%"
"Otidiformes",1,1,"0.2%","33.3%"
"Pterocliformes",1,1,"0.2%","33.3%"
"Trogoniformes",1,1,"0.2%","33.3%"
"Total",580,785,"100.0%","38.6%"
