"order","n_species_pool"
"Accipitriformes",55
"Anseriformes",58
"Bucerotiformes",6
"Caprimulgiformes",22
"Charadriiformes",142
"Ciconiiformes",7
"Columbiformes",34
"Coraciiformes",23
"Cuculiformes",20
"Falconiformes",12
"Galliformes",64
"Gaviiformes",4
"Gruiformes",29
"Otidiformes",3
"Passeriformes",859
"Pelecaniformes",35
"Phaethontiformes",3
"Phoenicopteriformes",1
"Piciformes",43
"Podicipediformes",5
"Procellariiformes",19
"Psittaciformes",9
"Pterocliformes",3
"Strigiformes",32
"Suliformes",13
"Trogoniformes",3
