"model","n_species","n_new_record_species","bayes_r2","phylogenetic_lambda","max_rhat","min_bulk_ess","min_tail_ess"
"Continuous phylogenetic",768,288,0.147575071414285,0.247010489408089,1.00519636287772,545.244415173822,1290.88239494881
"Categorical phylogenetic",827,303,0.105468055731494,0.171905355139927,1.00298656557956,564.468524015763,957.116922791662
