"province","n_records","n_species","current_report_sum","historical_report_sum","current_user_sum","historical_user_sum","historical_report_annual","current_report_annual","historical_user_annual","current_user_annual","gdp_per_capita","area_km2","habitat_heterogeneity","human_density","population_10k","reference_mammal_richness","new_record_density_100k","log_new_record_density","historical_report_density","current_report_density","historical_user_density","current_user_density","z_hist_report_density","z_curr_report_density","z_gdp_per_capita","z_area_km2","z_habitat_heterogeneity","z_curr_user_density","fitted_primary","resid_primary","std_resid_primary","cooks_d_primary","hat_primary","dffits_primary"
"Anhui",42,42,11890,0,1875,0,0,475.6,0,75,73811,140100,1.449954,436,6103,100,29.9785867237687,3.43329621496069,0,339.471805852962,0,53.5331905781585,-0.182574185835055,-0.279649923860845,-0.316376674338375,-0.39601498821096,-0.690831575913822,-0.276100240578334,3.07053666620688,0.362759548753816,0.588349569003665,0.00431423491870023,0.0695768359221839,0.158650179086242
"Beijing",18,18,91903,0,6435,0,0,3676.12,0,257.4,190064,16418,1.8031313,1333,2189,53,109.635765623097,4.70624341496014,0,22390.7905956877,0,1567.79144841028,-0.182574185835055,2.42226482315861,2.86944129807576,-0.745103274173293,0.347868271215383,2.26890192309612,4.9247196480516,-0.218476233091463,-0.433081142732136,0.0189285679287931,0.377149901011644,-0.331204681048136
"Chongqing",12,12,5868,0,865,0,0,234.72,0,34.6,90874,82370,1.7804821,389,3205,113,14.5684108291854,2.74524391443162,0,284.958115818866,0,42.0055845574845,-0.182574185835055,-0.286329403869337,0.151220824765325,-0.55895597193216,0.281256627212219,-0.295474599022714,3.20167319671315,-0.456429282281527,-0.739178431875331,0.00652135590121368,0.0668271119306861,-0.195886089398742
"Fujian",16,16,34551,0,3714,0,0,1382.04,0,148.56,127852,124000,1.5363476,335,4154,111,12.9032258064516,2.6321208856186,0,1114.54838709677,0,119.806451612903,-0.182574185835055,-0.184680962371908,1.16457254028174,-0.441456696818466,-0.436746675460305,-0.16471528239514,3.35173263103899,-0.719611745420392,-1.29424312941825,0.0898017925379531,0.243378918751327,-0.7450526216429
"Gansu",50,50,7967,0,1212,0,0,318.68,0,48.48,44771,425800,2.0127174,59,2502,178,11.7426021606388,2.54495088051511,0,74.8426491310475,0,11.3856270549554,-0.182574185835055,-0.312074534282235,-1.11219402028993,0.410363654594289,0.964264200484921,-0.346937325207295,2.42104341112567,0.123907469389439,0.209635453229527,0.00124190924218071,0.144974241280968,0.0845817838594226
"Guangdong",13,13,91060,0,8895,0,0,3642.4,0,355.8,102465,179725,1.8012818,701,12601,139,7.23327305605787,2.10818363381245,0,2026.65182918347,0,197.969119488107,-0.182574185835055,-0.0729223068253147,0.468862658681458,-0.284174758175405,0.342428863395952,-0.0333478899229009,3.18372832968421,-1.07554469587176,-1.74534488662528,0.0385599438486265,0.0705883815445252,-0.503937457616767
"Guangxi",38,38,16122,0,2445,0,0,644.88,0,97.8,52469,237600,1.6009697,211,5013,157,15.993265993266,2.83281714753756,0,271.414141414141,0,41.1616161616162,-0.182574185835055,-0.287988926572997,-0.90123665358418,-0.1208245168301,-0.246692089870665,-0.296893050190108,2.80722080220815,0.0255963453294137,0.0418003828638548,2.61099960556258e-05,0.0822823386857387,0.0122533019309264
"Guizhou",33,33,5045,0,1096,0,0,201.8,0,43.84,52291,176167,1.830618,219,3856,166,18.7322256722315,2.98225312017166,0,114.550398201706,0,24.8854779839584,-0.182574185835055,-0.307209203831595,-0.906114597371349,-0.294217093531027,0.428707076790052,-0.324248229971465,2.87759251392071,0.104660606250951,0.171950691882588,0.000506968859732676,0.093281818366292,0.0540246853211606
"Hainan",31,31,12207,0,1702,0,0,488.28,0,68.08,67633,35400,1.7431838,285,1008,90,87.5706214689266,4.4838002164947,0,1379.32203389831,0,192.316384180791,-0.182574185835055,-0.15223864779955,-0.485679689603139,-0.691527217478406,0.171561755802932,-0.04284839851408,3.24708609723246,1.23671411926225,2.00710541932366,0.0511533671727595,0.0707941005179751,0.594526218159185
"Hebei",13,13,7935,0,2102,0,0,317.4,0,84.08,56789,188800,1.7514692,395,7461,66,6.88559322033898,2.06503745161664,0,168.114406779661,0,44.5338983050847,-0.182574185835055,-0.30064608685589,-0.782850602120312,-0.258560875839186,0.19592924406847,-0.291225281626022,2.88532026858493,-0.820282816968286,-1.33171380636298,0.0227339066909232,0.0714204579099211,-0.375699541700975
