"term","estimate","std.error","statistic","p.value","conf.low","conf.high","predictor","significant","model"
"z_hist_report_density",0.0622680974095921,0.139267390933794,0.447111825618916,0.65880337939038,-0.210695988820645,0.335232183639829,"Historical survey effort",FALSE,"Primary report-effort"
"z_curr_report_density",0.447993419836136,0.196822207907061,2.27613247813823,0.0320493810240451,0.0622218923382965,0.833764947333975,"Current survey effort",TRUE,"Primary report-effort"
"z_gdp_per_capita",0.148626124639252,0.203748413405246,0.729459052736974,0.472780686672055,-0.25072076563503,0.547973014913534,"Per capita GDP",FALSE,"Primary report-effort"
"z_area_km2",-0.578269251480314,0.123645255856262,-4.67684139982331,9.44471496976744e-05,-0.820613952958589,-0.33592455000204,"Area",TRUE,"Primary report-effort"
"z_habitat_heterogeneity",-0.0304417553690589,0.125595387391691,-0.242379565056166,0.810545369337452,-0.276608714656774,0.215725203918656,"Habitat heterogeneity",FALSE,"Primary report-effort"
"z_hist_report_density",0.0725752821783775,0.136788458138144,0.530565832572532,0.600595166334726,-0.195530095772385,0.34068066012914,"Historical survey effort",NA,"Alternative user-effort"
"z_curr_user_density",0.490035754671475,0.196189137321544,2.49777210584463,0.0197518729790093,0.105505045521248,0.874566463821702,"Current user effort",NA,"Alternative user-effort"
"z_gdp_per_capita",0.115707547798538,0.201713969140788,0.573621887920804,0.571560485587698,-0.279651831717407,0.511066927314483,"Per capita GDP",NA,"Alternative user-effort"
"z_area_km2",-0.568041704438263,0.121675317524211,-4.66850398253724,9.6471408554998e-05,-0.806525326785717,-0.32955808209081,"Area",NA,"Alternative user-effort"
"z_habitat_heterogeneity",-0.0202060277458256,0.12386062371654,-0.163135200998728,0.871777885414284,-0.262972850230245,0.222560794738594,"Habitat heterogeneity",NA,"Alternative user-effort"
"z_hist_report_density",0.154051512829128,0.116648574597328,1.32064633760777,0.200193624622579,-0.0745796933816351,0.382682719039892,"Historical survey effort",NA,"Influence-filtered"
"z_curr_report_density",0.597345927591676,0.167259797214063,3.57136584846615,0.00170510653560885,0.269516725052114,0.925175130131239,"Current survey effort",NA,"Influence-filtered"
"z_gdp_per_capita",-0.0481591808694229,0.174381402288803,-0.276171542591817,0.784994076349309,-0.389946729355477,0.293628367616631,"Per capita GDP",NA,"Influence-filtered"
"z_area_km2",-0.705211901024324,0.153285570615114,-4.60064113141509,0.000139129213289508,-1.00565161942995,-0.404772182618702,"Area",NA,"Influence-filtered"
"z_habitat_heterogeneity",0.0742888176546657,0.10606660680487,0.700397796182301,0.491020356842764,-0.13360173168288,0.282179366992211,"Habitat heterogeneity",NA,"Influence-filtered"
