"term","independent_r2","percent","iteration","predictor"
"z_habitat_heterogeneity",0.0131453879529371,1.62139345742197,15,"Habitat heterogeneity"
"z_hist_report_density",0,0,16,"Historical survey effort"
"z_curr_report_density",0.169745973415548,22.5928331728477,16,"Current survey effort"
"z_gdp_per_capita",0.173403864953659,23.0796908674488,16,"Per capita GDP"
"z_area_km2",0.346596033564354,46.1312053954908,16,"Area"
"z_habitat_heterogeneity",0.061580763893372,8.19627056421264,16,"Habitat heterogeneity"
"z_hist_report_density",0.00523360517843667,0.85607166914182,17,"Historical survey effort"
"z_curr_report_density",0.192884668776913,31.5505458898683,17,"Current survey effort"
"z_gdp_per_capita",0.121369584238916,19.8526749764287,17,"Per capita GDP"
"z_area_km2",0.281626761127949,46.0662742514759,17,"Area"
"z_habitat_heterogeneity",0.0102366690206376,1.6744332130853,17,"Habitat heterogeneity"
"z_hist_report_density",0.0176168730924216,2.22475086985388,18,"Historical survey effort"
"z_curr_report_density",0.133374821730539,16.843270034639,18,"Current survey effort"
"z_gdp_per_capita",0.263913141085828,33.3283317145051,18,"Per capita GDP"
"z_area_km2",0.340478429523084,42.9973967726326,18,"Area"
"z_habitat_heterogeneity",0.0364749750181528,4.60625060836944,18,"Habitat heterogeneity"
"z_hist_report_density",0.00622277393611673,0.94777987605591,19,"Historical survey effort"
"z_curr_report_density",0.126522691056252,19.2704510365657,19,"Current survey effort"
"z_gdp_per_capita",0.198227000537644,30.1916097112384,19,"Per capita GDP"
"z_area_km2",0.307139232187182,46.7798423022793,19,"Area"
"z_habitat_heterogeneity",0.0184515078672258,2.81031707386066,19,"Habitat heterogeneity"
"z_hist_report_density",0.00683060190732705,1.02904364690192,20,"Historical survey effort"
"z_curr_report_density",0.153653021668967,23.1481307095539,20,"Current survey effort"
"z_gdp_per_capita",0.20521279410187,30.9157120995444,20,"Per capita GDP"
"z_area_km2",0.28829195955627,43.4317522026952,20,"Area"
"z_habitat_heterogeneity",0.0097931764335285,1.47536134130465,20,"Habitat heterogeneity"
"z_hist_report_density",0.00975181181201632,1.5528861667432,21,"Historical survey effort"
"z_curr_report_density",0.281447278045152,44.8178854523523,21,"Current survey effort"
"z_gdp_per_capita",0.037100409183728,5.90789827700862,21,"Per capita GDP"
"z_area_km2",0.287098300078342,45.7177586361732,21,"Area"
"z_habitat_heterogeneity",0.012582024570503,2.00357146772271,21,"Habitat heterogeneity"
"z_hist_report_density",0.00733681492610896,0.916674021614847,22,"Historical survey effort"
"z_curr_report_density",0.264867925566183,33.0930450026087,22,"Current survey effort"
"z_gdp_per_capita",0.200101409595707,25.0010073461368,22,"Per capita GDP"
"z_area_km2",0.304566770552827,38.0530855997716,22,"Area"
"z_habitat_heterogeneity",0.0235004676203747,2.93618802986805,22,"Habitat heterogeneity"
"z_hist_report_density",0,0,23,"Historical survey effort"
"z_curr_report_density",0.331791528866015,42.8188818026668,23,"Current survey effort"
"z_gdp_per_capita",0.121553297907939,15.6868872259429,23,"Per capita GDP"
"z_area_km2",0.263942543644934,34.0627279353824,23,"Area"
"z_habitat_heterogeneity",0.057584636736962,7.43150303600786,23,"Habitat heterogeneity"
"z_hist_report_density",0.0383797260695784,4.98406066775703,24,"Historical survey effort"
"z_curr_report_density",0.333581654998242,43.3195172666927,24,"Current survey effort"
"z_gdp_per_capita",0.202655537011068,26.3172147005149,24,"Per capita GDP"
"z_area_km2",0.187134315241306,24.3016007589781,24,"Area"
"z_habitat_heterogeneity",0.00829810251283708,1.0776066060573,24,"Habitat heterogeneity"
"z_hist_report_density",0,0,25,"Historical survey effort"
"z_curr_report_density",0.298878920336386,37.1835934032205,25,"Current survey effort"
"z_gdp_per_capita",0.182484012876918,22.7028769033508,25,"Per capita GDP"
"z_area_km2",0.313644922246232,39.0206350071881,25,"Area"
"z_habitat_heterogeneity",0.00878460508974591,1.09289468624063,25,"Habitat heterogeneity"
"z_hist_report_density",0.0174826855458195,2.6625250405902,26,"Historical survey effort"
"z_curr_report_density",0.254439996219709,38.7499311525765,26,"Current survey effort"
"z_gdp_per_capita",0.062191477016742,9.47144901933906,26,"Per capita GDP"
"z_area_km2",0.294203112772473,44.8056537265581,26,"Area"
"z_habitat_heterogeneity",0.0283032401510973,4.3104410609361,26,"Habitat heterogeneity"
"z_hist_report_density",0.0220463736727118,3.5495534802327,27,"Historical survey effort"
"z_curr_report_density",0.199993060713292,32.1996748860301,27,"Current survey effort"
"z_gdp_per_capita",0.104842102660523,16.8799937757653,27,"Per capita GDP"
"z_area_km2",0.28669874309185,46.1596331635995,27,"Area"
"z_habitat_heterogeneity",0.0075224527965427,1.21114469437231,27,"Habitat heterogeneity"
"z_hist_report_density",0.00757311731093076,1.04581041247737,28,"Historical survey effort"
"z_curr_report_density",0.249034369610267,34.3904268361514,28,"Current survey effort"
"z_gdp_per_capita",0.248622811247236,34.3335926417598,28,"Per capita GDP"
"z_area_km2",0.171770933381459,23.7207246785946,28,"Area"
"z_habitat_heterogeneity",0.0471374096968645,6.50944543101684,28,"Habitat heterogeneity"
"z_hist_report_density",0.0127783605149781,1.6048773009035,29,"Historical survey effort"
"z_curr_report_density",0.206231830473433,25.9013496342224,29,"Current survey effort"
"z_gdp_per_capita",0.136206359616655,17.1066150881596,29,"Per capita GDP"
"z_area_km2",0.437797529458026,54.9844650724365,29,"Area"
"z_habitat_heterogeneity",0.00320632306581359,0.402692904277975,29,"Habitat heterogeneity"
"z_hist_report_density",0.00735641051298323,1.09009004767593,30,"Historical survey effort"
"z_curr_report_density",0.205684855313001,30.4788610340128,30,"Current survey effort"
"z_gdp_per_capita",0.174938939601721,25.9228596166914,30,"Per capita GDP"
"z_area_km2",0.283911222740885,42.0706263995371,30,"Area"
"z_habitat_heterogeneity",0.00295286828811617,0.437562902082793,30,"Habitat heterogeneity"
"z_hist_report_density",0,0,31,"Historical survey effort"
"z_curr_report_density",0.242888163001094,35.9111585827179,31,"Current survey effort"
"z_gdp_per_capita",0.183988172154961,27.2027600932181,31,"Per capita GDP"
"z_area_km2",0.22376921652536,33.08441103627,31,"Area"
"z_habitat_heterogeneity",0.025712919019619,3.80167028779399,31,"Habitat heterogeneity"
"z_hist_report_density",0.010437966916452,1.27838920217621,32,"Historical survey effort"
"z_curr_report_density",0.323857624190783,39.6644378279623,32,"Current survey effort"
"z_gdp_per_capita",0.247181971858509,30.2735931552417,32,"Per capita GDP"
"z_area_km2",0.215637553700603,26.4101929466784,32,"Area"
"z_habitat_heterogeneity",0.0193785535464024,2.37338686794143,32,"Habitat heterogeneity"
"z_hist_report_density",0,0,33,"Historical survey effort"
"z_curr_report_density",0.15988416991776,21.4313627256332,33,"Current survey effort"
"z_gdp_per_capita",0.0984708993373957,13.1993402642961,33,"Per capita GDP"
"z_area_km2",0.464379219439307,62.2468096695839,33,"Area"
"z_habitat_heterogeneity",0.0232946594625705,3.12248734048684,33,"Habitat heterogeneity"
"z_hist_report_density",0.0069444131907507,0.931263569904673,34,"Historical survey effort"
"z_curr_report_density",0.180328848807278,24.1825598339594,34,"Current survey effort"
"z_gdp_per_capita",0.17069855742242,22.8911131288252,34,"Per capita GDP"
"z_area_km2",0.367221155409908,49.2452961449694,34,"Area"
"z_habitat_heterogeneity",0.0205049580826157,2.74976732234133,34,"Habitat heterogeneity"
"z_hist_report_density",0.010150093687891,1.44761020601737,35,"Historical survey effort"
"z_curr_report_density",0.239325578989302,34.1327047177152,35,"Current survey effort"
"z_gdp_per_capita",0.137476699510963,19.6069789522311,35,"Per capita GDP"
