"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","z_log_mass","z_log_hwi","z_log_range_provinces","z_log_clutch_size","z_log_n_congeners"
"Accipiter badius","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter badius","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,131.15,32.9,"Shrubland",2,"3","Carnivore","Vertivore",22374973,8.23,44.98,"否","食肉，食虫","3-4","RP",11,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.11776829492637,3.5234150143864,2.484906649788,1.50407739677627,1.94591014905531,"Accipiter_badius",0.261235036172116,0.307246098922119,0.311025322273778,-0.195966294958842,0.451030460808055
"Accipiter gentilis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gentilis","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,866.04,36.3,"Forest",1,"2","Carnivore","Vertivore",31775270.74,54.91,19.06,"否","食肉","2","SWP",34,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.9375379513454,3.61899332664977,3.55534806148941,1.09861228866811,1.94591014905531,"Accipiter_gentilis",1.33205272611035,0.499848715866532,1.38421084243174,-1.31556032589471,0.451030460808055
"Accipiter gularis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gularis","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,120.66,33.2,"Forest",1,"3","Carnivore","Vertivore",4785704.92,49.07,117.11,"否","食肉，食虫","5-6","SWPV",29,5.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.08156332098039,3.53222564406856,3.40119738166216,1.87180217690159,1.94591014905531,"Accipiter_gularis",0.213942572659293,0.32500065320882,1.22966499274327,0.819416929448424,0.451030460808055
"Accipiter nisus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter nisus","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,220.79,35.5,"Forest",1,"2","Carnivore","Vertivore",23601609.31,54.67,77.29,"否","食肉，食虫","3-4","RSWP",34,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.3439793994776,3.59731226058845,3.55534806148941,1.50407739677627,1.94591014905531,"Accipiter_nisus",0.556721518889773,0.456158573587715,1.38421084243174,-0.195966294958842,0.451030460808055
"Accipiter soloensis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter soloensis","Accipitriformes","Accipitridae","Accipiter",7,6,3,1,164.77,39,"Forest",1,"3","Carnivore","Vertivore",2375886.74,31.97,117.13,"否","食肉，食虫","2-5","RSWP",27,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.21687814170286,3.68887945411394,3.3322045101752,1.50407739677627,1.94591014905531,"Accipiter_soloensis",0.390696496893809,0.640678269339078,1.16049525597437,-0.195966294958842,0.451030460808055
"Accipiter trivirgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter trivirgatus","Accipitriformes","Accipitridae","Accipiter",7,6,7,1,265.04,23,"Forest",1,"1","Carnivore","Vertivore",3366430.69,13.91,101.71,"否","食肉，食虫","2-3","R",22,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.4233114228739,3.17805383034795,3.13549421592915,1.25276296849537,1.94591014905531,"Accipiter_trivirgatus",0.660348352801196,-0.388701195622484,0.963280689027329,-0.889910430137798,0.451030460808055
"Accipiter virgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter virgatus","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,116.99,27.4,"Forest",1,"2","Carnivore","Vertivore",4398429.71,22.08,101.25,"否","食肉，食虫","3-4","R",25,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.06814874097329,3.34638914516716,3.25809653802148,1.50407739677627,1.94591014905531,"Accipiter_virgatus",0.1964198826424,-0.0494838419093913,1.08619730582572,-0.195966294958842,0.451030460808055
"Aegypius monachus","Aves","ACCIPITRIFORMES","Accipitridae","Aegypius","Aegypius monachus","Accipitriformes","Accipitridae","Aegypius",1,0,0,0,9320.55,41.1,"Forest",2,"1","Scavenger","Scavenger",7718571.19,41.63,87.87,"否","食腐","1","RW",34,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.969441540564,3.74004774068834,3.55534806148941,0.693147180559945,0,"Aegypius_monachus",2.67996870347513,0.743788961141578,1.38421084243174,-2.43515435683057,-1.47201845540291
"Aquila chrysaetos","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila chrysaetos","Accipitriformes","Accipitridae","Aquila",4,3,0,0,4247.97,36.7,"Grassland",3,"2","Carnivore","Vertivore",39450257.98,50.67,38.05,"否","食肉，食腐","2","RSW",31,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.62818144101116,3.62966009445396,3.46573590279973,1.09861228866811,1.38629436111989,"Aquila_chrysaetos",2.23420037256672,0.521343627680473,1.29436896030294,-1.31556032589471,-0.102010765173633
"Aquila fasciata","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila fasciata","Accipitriformes","Accipitridae","Aquila",4,3,2,1,1936.49,37.3,"Rock",3,"2","Carnivore","Vertivore",5630034.84,27.52,62.08,"否","食肉，食虫","2","RPV",16,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.28701525863889,3.6454498961866,2.83321334405622,1.09861228866811,1.38629436111989,"Aquila_fasciata",1.78855472023951,0.55316211309544,0.660224911131802,-1.31556032589471,-0.102010765173633
"Aquila heliaca","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila heliaca","Accipitriformes","Accipitridae","Aquila",4,3,2,1,3125.21,39.5,"Woodland",1,"3","Carnivore","Vertivore",9556213.62,49.87,70.89,"否","食肉，食腐","2-3","RWPV",26,2.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",3.49487920528872,3.70130197411249,3.29583686600433,1.25276296849537,1.38629436111989,"Aquila_heliaca",2.06007537171778,0.665711248098669,1.12403438226396,-0.889910430137798,-0.102010765173633
"Aquila nipalensis","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila nipalensis","Accipitriformes","Accipitridae","Aquila",4,3,0,0,2714.33,40.5,"Grassland",3,"3","Carnivore","Vertivore",6933240.92,43.73,85.14,"否","食肉，食虫，食腐","2","SWP",26,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.4336626467381,3.72569342723665,3.29583686600433,1.09861228866811,1.38629436111989,"Aquila_nipalensis",1.98011172180728,0.714863169612465,1.12403438226396,-1.31556032589471,-0.102010765173633
"Aviceda jerdoni","Aves","ACCIPITRIFORMES","Accipitridae","Aviceda","Aviceda jerdoni","Accipitriformes","Accipitridae","Aviceda",2,1,2,1,363,25.6,"Forest",2,"1","Carnivore","Omnivore",1592906.95,6.17,107.44,"否","食肉，食虫","2-3","R",6,2.5,"Non_endemic","Resident_low","Omnivore","Forest_primary",2.55990662503611,3.28091121578765,1.94591014905531,1.25276296849537,0.693147180559945,"Aviceda_jerdoni",0.838774765258232,-0.181430308131188,-0.229352912049878,-0.889910430137798,-0.787014610288271
"Aviceda leuphotes","Aves","ACCIPITRIFORMES","Accipitridae","Aviceda","Aviceda leuphotes","Accipitriformes","Accipitridae","Aviceda",2,1,4,1,193.98,35.3,"Forest",2,"3","Carnivore","Invertivore",3528791.57,23.21,103.96,"否","食虫，食肉","2-3","RSP",21,2.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.2877569549952,3.5918177412708,3.09104245335832,1.25276296849537,0.693147180559945,"Aviceda_leuphotes",0.48328139134674,0.445086409051964,0.918714973038544,-0.889910430137798,-0.787014610288271
"Butastur indicus","Aves","ACCIPITRIFORMES","Accipitridae","Butastur","Butastur indicus","Accipitriformes","Accipitridae","Butastur",3,2,2,1,414.6,46.9,"Woodland",2,"3","Carnivore","Vertivore",1828306.34,44.31,129.81,"否","食肉，食虫，食腐","3-4","SWP",28,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.61762929775784,3.86911550441687,3.36729582998647,1.50407739677627,1.09861228866811,"Butastur_indicus",0.914174554183023,1.00387713876895,1.19567653342965,-0.195966294958842,-0.386313048046404
"Butastur liventer","Aves","ACCIPITRIFORMES","Accipitridae","Butastur","Butastur liventer","Accipitriformes","Accipitridae","Butastur",3,2,0,0,337.99,42,"Woodland",3,"1","Carnivore","Vertivore",1357262.8,12.53,104.1,"否","食肉","2～3","S",1,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.52890385113841,3.76120011569356,0.693147180559945,1.25276296849537,1.09861228866811,"Butastur_liventer",0.79827763479376,0.786413722806865,-1.48532737574557,-0.889910430137798,-0.386313048046404
"Butastur teesa","Aves","ACCIPITRIFORMES","Accipitridae","Butastur","Butastur teesa","Accipitriformes","Accipitridae","Butastur",3,2,0,0,325,44.5,"Woodland",3,"1","Carnivore","Vertivore",3969936.2,23.18,78.91,"否","食肉、食虫","1～4","R",1,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.51188336097887,3.8177123259569,0.693147180559945,1.25276296849537,1.09861228866811,"Butastur_teesa",0.776044752896344,0.900293109545153,-1.48532737574557,-0.889910430137798,-0.386313048046404
"Buteo buteo","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo buteo","Accipitriformes","Accipitridae","Buteo",6,5,0,0,759.1,38.3,"Grassland",3,"2","Carnivore","Vertivore",11719424.27,52.89,40.23,"否","食肉","2-3","WP",2,2.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.88029899142575,3.67122451887522,1.09861228866811,1.25276296849537,1.79175946922805,"Buteo_buteo",1.25728478324289,0.605101299538732,-1.07882284575047,-0.889910430137798,0.298690797068234
"Buteo hemilasius","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo hemilasius","Accipitriformes","Accipitridae","Buteo",6,5,0,0,1358.89,38.2,"Grassland",3,"1","Carnivore","Vertivore",5366251.83,42.4,100.83,"否","食肉","2-4","RSWP",26,3,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.13318430270269,3.66867674679642,3.29583686600433,1.38629436111989,1.79175946922805,"Buteo_hemilasius",1.58761423947548,0.599967210453727,1.12403438226396,-0.521195719216021,0.298690797068234
"Buteo japonicus","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo japonicus","Accipitriformes","Accipitridae","Buteo",6,5,0,0,759.1,41.2,"Grassland",3,"2","Carnivore","Vertivore",4465171.4,54.33,126.58,"否","食肉","2-3","SWP",34,2.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.88029899142575,3.74242022104197,3.55534806148941,1.25276296849537,1.79175946922805,"Buteo_japonicus",1.25728478324289,0.748569814809504,1.38421084243174,-0.889910430137798,0.298690797068234
"Buteo lagopus","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo lagopus","Accipitriformes","Accipitridae","Buteo",6,5,0,0,949.76,42.1,"Grassland",3,"3","Carnivore","Vertivore",9709846.76,67.33,2.14,"否","食肉","3-4","WPV",22,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.9776138749269,3.7635229971097,3.13549421592915,1.50407739677627,1.79175946922805,"Buteo_lagopus",1.38440158725159,0.791094628223642,0.963280689027329,-0.195966294958842,0.298690797068234
"Buteo rufinus","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo rufinus","Accipitriformes","Accipitridae","Buteo",6,5,0,0,1166.18,40.5,"Grassland",3,"3","Carnivore","Vertivore",8574436.83,40.86,49.85,"否","食肉，食腐","4","RWP",6,4,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.06676558899369,3.72569342723665,1.94591014905531,1.6094379124341,1.79175946922805,"Buteo_rufinus",1.50085531515371,0.714863169612465,-0.229352912049878,0.0949613386844429,0.298690797068234
"Circaetus gallicus","Aves","ACCIPITRIFORMES","Accipitridae","Circaetus","Circaetus gallicus","Accipitriformes","Accipitridae","Circaetus",1,0,3,1,1699.12,40.5,"Woodland",3,"3","Carnivore","Vertivore",12695589.93,40.79,51.26,"否","食肉","1","RP",8,1,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",3.23022405191052,3.72569342723665,2.19722457733622,0.693147180559945,0,"Circaetus_gallicus",1.71437165146952,0.714863169612465,0.0226057682567446,-2.43515435683057,-1.47201845540291
"Circus aeruginosus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus aeruginosus","Accipitriformes","Accipitridae","Circus",6,5,2,1,704.07,45.6,"Wetland",3,"2","Carnivore","Vertivore",13390803.81,50.03,51.14,"否","食肉，食腐","4-5","SWP",21,4.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.84761583968535,3.8416005411316,3.09104245335832,1.70474809223843,1.79175946922805,"Circus_aeruginosus",1.21459267238892,0.948430941735575,0.918714973038544,0.358137395668069,0.298690797068234
"Circus cyaneus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus cyaneus","Accipitriformes","Accipitridae","Circus",6,5,0,0,392.98,44.7,"Grassland",3,"3","Carnivore","Vertivore",17331412.86,58.07,84.36,"否","食肉，食虫","4-5","SWP",34,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.59437044831268,3.82209829790016,3.55534806148941,1.70474809223843,1.79175946922805,"Circus_cyaneus",0.883792864352872,0.909131408256558,1.38421084243174,0.358137395668069,0.298690797068234
"Circus macrourus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus macrourus","Accipitriformes","Accipitridae","Circus",6,5,1,1,384.36,52.4,"Grassland",3,"3","Carnivore","Vertivore",6168290.72,51.02,62.85,"否","食肉，食虫","3-5","SWP",13,4,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.58473818471145,3.97781074596615,2.63905732961526,1.6094379124341,1.79175946922805,"Circus_macrourus",0.8712107955027,1.22291205867955,0.465571171962248,0.0949613386844429,0.298690797068234
"Circus melanoleucos","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus melanoleucos","Accipitriformes","Accipitridae","Circus",6,5,0,0,336.3,50.5,"Grassland",3,"3","Carnivore","Vertivore",1811211.65,49.1,122.04,"否","食肉，食虫","4-5","SWP",29,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.52672686731464,3.94158180766969,3.40119738166216,1.70474809223843,1.79175946922805,"Circus_melanoleucos",0.795433966732918,1.14990607897792,1.22966499274327,0.358137395668069,0.298690797068234
"Circus pygargus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus pygargus","Accipitriformes","Accipitridae","Circus",6,5,0,0,310.75,52,"Grassland",3,"3","Carnivore","Vertivore",6837154.32,49.91,45.8,"否","食肉，食虫","3-6","SW",5,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.49241113731368,3.97029191355212,1.79175946922805,1.70474809223843,1.79175946922805,"Circus_pygargus",0.750609313319079,1.20776064236957,-0.383898761738348,0.358137395668069,0.298690797068234
"Circus spilonotus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus spilonotus","Accipitriformes","Accipitridae","Circus",6,5,1,1,558.78,47.7,"Wetland",3,"3","Carnivore","Vertivore",5723030.46,52.88,121.45,"否","食肉，食腐","4-5","SWP",34,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.74724085333857,3.88567903008854,3.55534806148941,1.70474809223843,1.79175946922805,"Circus_spilonotus",1.08347863301722,1.03725477763539,1.38421084243174,0.358137395668069,0.298690797068234
"Clanga clanga","Aves","ACCIPITRIFORMES","Accipitridae","Clanga","Clanga clanga","Accipitriformes","Accipitridae","Clanga",1,0,1,1,2154.29,37.9,"Wetland",3,"3","Carnivore","Vertivore",8980278.98,55.15,73.97,"否","食肉，食腐","2","RWP",27,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.3333041654997,3.6609942506244,3.3322045101752,1.09861228866811,0,"Clanga_clanga",1.84901924210408,0.584485990579091,1.16049525597437,-1.31556032589471,-1.47201845540291
"Elanus caeruleus","Aves","ACCIPITRIFORMES","Accipitridae","Elanus","Elanus caeruleus","Accipitriformes","Accipitridae","Elanus",1,0,8,1,259.76,45.2,"Grassland",3,"2","Carnivore","Vertivore",26685941.8,3.69,41.21,"否","食肉，食虫","3-5","RSP",20,4,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.41457227561795,3.83297979808769,3.04452243772342,1.6094379124341,0,"Elanus_caeruleus",0.648932910178528,0.93105903349674,0.87207570195734,0.0949613386844429,-1.47201845540291
"Gypaetus barbatus","Aves","ACCIPITRIFORMES","Accipitridae","Gypaetus","Gypaetus barbatus","Accipitriformes","Accipitridae","Gypaetus",1,0,2,1,5694.98,49.5,"Rock",3,"2","Scavenger","Scavenger",8369572.33,34.75,76.41,"否","食腐","2","RP",14,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.75549220323428,3.92197333628131,2.70805020110221,1.09861228866811,0,"Gypaetus_barbatus",2.4004990581067,1.11039248207244,0.534740908731147,-1.31556032589471,-1.47201845540291
"Gyps bengalensis","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps bengalensis","Accipitriformes","Accipitridae","Gyps",4,3,0,0,4385,38.8,"Grassland",3,"1","Scavenger","Scavenger",3047965.15,23.99,83.33,"否","食肉、食虫","1～2","R",1,1.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.64196959770206,3.68386691229039,0.693147180559945,0.916290731874155,1.38629436111989,"Gyps_bengalensis",2.25221104419948,0.630577351569179,-1.48532737574557,-1.81899729893011,-0.102010765173633
"Gyps fulvus","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps fulvus","Accipitriformes","Accipitridae","Gyps",4,3,0,0,7435.99,39.2,"Grassland",3,"1","Scavenger","Scavenger",3487541.03,36.3,52.81,"否","食腐","1","R",2,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.87133879705632,3.69386699562498,1.09861228866811,0.693147180559945,1.38629436111989,"Gyps_fulvus",2.55182276350661,0.650728808257343,-1.07882284575047,-2.43515435683057,-0.102010765173633
"Gyps himalayensis","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps himalayensis","Accipitriformes","Accipitridae","Gyps",4,3,2,1,9797.95,35.5,"Rock",3,"1","Scavenger","Scavenger",3859146.13,34.8,88.99,"否","食腐","1","RW",10,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.99113521887419,3.59731226058845,2.39789527279837,0.693147180559945,1.38629436111989,"Gyps_himalayensis",2.70830590077499,0.456158573587715,0.223790889026419,-2.43515435683057,-0.102010765173633
"Haliaeetus albicilla","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus albicilla","Accipitriformes","Accipitridae","Haliaeetus",5,4,0,0,4729.27,38,"Rock",3,"2","Carnivore","Aquatic predator",17404346.92,59.89,91.01,"否","食肉，食腐","2","SWP",33,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.67479410914395,3.66356164612965,3.52636052461616,1.09861228866811,1.6094379124341,"Haliaeetus_albicilla",2.29508780505582,0.589659623397372,1.35514899514393,-1.31556032589471,0.118511217674641
"Haliaeetus leucogaster","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus leucogaster","Accipitriformes","Accipitridae","Haliaeetus",5,4,0,0,2827.01,41.3,"Coastal",2,"1","Carnivore","Aquatic predator",5127370.7,-9.12,123.68,"否","食肉，食腐","2","RV",8,2,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.4513273447248,3.74478708605223,2.19722457733622,1.09861228866811,1.6094379124341,"Haliaeetus_leucogaster",2.00318609513088,0.753339352836868,0.0226057682567446,-1.31556032589471,0.118511217674641
"Haliaeetus leucoryphus","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus leucoryphus","Accipitriformes","Accipitridae","Haliaeetus",5,4,1,1,2885.92,42.8,"Wetland",3,"3","Carnivore","Aquatic predator",533825.64,27.12,85.7,"否","食肉","2-4","SWP",22,3,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.46028428793554,3.7796338173824,3.13549421592915,1.38629436111989,1.6094379124341,"Haliaeetus_leucoryphus",2.01488603201282,0.823560007368365,0.963280689027329,-0.521195719216021,0.118511217674641
"Haliaeetus pelagicus","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus pelagicus","Accipitriformes","Accipitridae","Haliaeetus",5,4,1,1,7756.99,31.1,"Wetland",3,"3","Carnivore","Aquatic predator",1293649.63,58.65,151.19,"否","食肉，食腐","2","WPV",9,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.88969323156954,3.46885603013597,2.30258509299405,1.09861228866811,1.6094379124341,"Haliaeetus_pelagicus",2.57579809976316,0.197302714323452,0.128236378736056,-1.31556032589471,0.118511217674641
"Haliastur indus","Aves","ACCIPITRIFORMES","Accipitridae","Haliastur","Haliastur indus","Accipitriformes","Accipitridae","Haliastur",1,0,1,1,529,36.4,"Coastal",2,"1","Carnivore","Omnivore",8840397.2,9.01,106.46,"否","食肉，食虫","2-3","RSWPV",12,2.5,"Non_endemic","Resident_low","Omnivore","Non_forest",2.72345567203519,3.62167070442049,2.56494935746154,1.25276296849537,0,"Haliastur_indus",1.05240942632164,0.505243977123792,0.391273221813596,-0.889910430137798,-1.47201845540291
"Hieraaetus pennatus","Aves","ACCIPITRIFORMES","Accipitridae","Hieraaetus","Hieraaetus pennatus","Accipitriformes","Accipitridae","Hieraaetus",1,0,7,1,823.75,42,"Forest",1,"3","Carnivore","Vertivore",6138248.03,42.1,55.17,"否","食肉","2","RP",11,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.91579542760207,3.76120011569356,2.484906649788,1.09861228866811,0,"Hieraaetus_pennatus",1.30365172484621,0.786413722806865,0.311025322273778,-1.31556032589471,-1.47201845540291
"Lophotriorchis kienerii","Aves","ACCIPITRIFORMES","Accipitridae","Lophotriorchis","Lophotriorchis kienerii","Accipitriformes","Accipitridae","Lophotriorchis",1,0,1,1,799,35.9,"Forest",2,"1","Carnivore","Vertivore",3758691.08,9.42,104.2,"否","食肉","1","R",1,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.90254677931399,3.60821155104648,0.693147180559945,0.693147180559945,0,"Lophotriorchis_kienerii",1.28634578183704,0.478122048515693,-1.48532737574557,-2.43515435683057,-1.47201845540291
"Milvus migrans","Aves","ACCIPITRIFORMES","Accipitridae","Milvus","Milvus migrans","Accipitriformes","Accipitridae","Milvus",1,0,0,0,734.1,48.1,"Woodland",3,"3","Omnivore","Omnivore",59168603.49,26.77,69.99,"否","食肉，食虫","2-3","RSWP",34,2.5,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",2.86575522407145,3.89385903480047,3.55534806148941,1.25276296849537,0,"Milvus_migrans",1.23828710110207,1.05373854133478,1.38421084243174,-0.889910430137798,-1.47201845540291
"Neophron percnopterus","Aves","ACCIPITRIFORMES","Accipitridae","Neophron","Neophron percnopterus","Accipitriformes","Accipitridae","Neophron",1,0,0,0,2082,48,"Grassland",3,"3","Omnivore","Scavenger",14111672.38,27.02,47.48,"否","食肉","2","P",1,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.31848072517452,3.89182029811063,0.693147180559945,1.09861228866811,0,"Neophron_percnopterus",1.82965623933658,1.04963022416087,-1.48532737574557,-1.31556032589471,-1.47201845540291
"Nisaetus cirrhatus","Aves","ACCIPITRIFORMES","Accipitridae","Nisaetus","Nisaetus cirrhatus","Accipitriformes","Accipitridae","Nisaetus",2,1,0,0,1475.12,27.9,"Forest",1,"1","Carnivore","Vertivore",4408300.11,13.11,94.36,"否","食肉","1","R",2,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.16882735130943,3.36384159511839,1.09861228866811,0.693147180559945,0.693147180559945,"Nisaetus_cirrhatus",1.6341726924172,-0.0143149060588056,-1.07882284575047,-2.43515435683057,-0.787014610288271
"Nisaetus nipalensis","Aves","ACCIPITRIFORMES","Accipitridae","Nisaetus","Nisaetus nipalensis","Accipitriformes","Accipitridae","Nisaetus",2,1,2,1,3004.99,25.1,"Forest",1,"1","Carnivore","Vertivore",2149247.14,26.77,106.31,"否","食肉，食虫","2","R",17,2,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.47784303109681,3.26193531432865,2.89037175789616,1.09861228866811,0.693147180559945,"Nisaetus_nipalensis",2.03782200267598,-0.219669195106018,0.71752985226887,-1.31556032589471,-0.787014610288271
"Pernis apivorus","Aves","ACCIPITRIFORMES","Accipitridae","Pernis","Pernis apivorus","Accipitriformes","Accipitridae","Pernis",2,1,0,0,754.37,37.9,"Forest",1,"3","Carnivore","Invertivore",9317297.54,54.03,38.95,"否","食肉","2-3","P",1,2.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.87758440892662,3.6609942506244,0.693147180559945,1.25276296849537,0.693147180559945,"Pernis_apivorus",1.25373888112501,0.584485990579091,-1.48532737574557,-0.889910430137798,-0.787014610288271
"Pernis ptilorhynchus","Aves","ACCIPITRIFORMES","Accipitridae","Pernis","Pernis ptilorhynchus","Accipitriformes","Accipitridae","Pernis",2,1,2,1,1141.13,32,"Woodland",2,"1","Carnivore","Invertivore",11263289.52,32.05,103.73,"否","食虫","2","RSWP",34,2,"Non_endemic","Resident_low","Invertebrate","Forest_primary",3.05733512300419,3.49650756146648,3.55534806148941,1.09861228866811,0.693147180559945,"Pernis_ptilorhynchus",1.48853684285258,0.253024113568309,1.38421084243174,-1.31556032589471,-0.787014610288271
"Sarcogyps calvus","Aves","ACCIPITRIFORMES","Accipitridae","Sarcogyps","Sarcogyps calvus","Accipitriformes","Accipitridae","Sarcogyps",1,0,0,0,4469.89,44,"Human Modified",3,"1","Scavenger","Scavenger",2166730.6,24.15,83.35,"否","食腐","1","R",1,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.65029683566419,3.80666248977032,0.693147180559945,0.693147180559945,0,"Sarcogyps_calvus",2.26308843353483,0.878026265572443,-1.48532737574557,-2.43515435683057,-1.47201845540291
"Spilornis cheela","Aves","ACCIPITRIFORMES","Accipitridae","Spilornis","Spilornis cheela","Accipitriformes","Accipitridae","Spilornis",1,0,2,1,597.74,30.1,"Forest",1,"1","Carnivore","Vertivore",6837152.16,16.74,98.68,"否","食肉","1","R",20,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.7765123192401,3.43720781918519,3.04452243772342,0.693147180559945,0,"Spilornis_cheela",1.12171425597832,0.133527490568368,0.87207570195734,-2.43515435683057,-1.47201845540291
