"province","n_records","n_species","current_report_sum","historical_report_sum","current_user_sum","historical_user_sum","historical_report_annual","current_report_annual","historical_user_annual","current_user_annual","gdp_per_capita","area_km2","habitat_heterogeneity","human_density","population_10k","reference_mammal_richness","new_record_density_100k","log_new_record_density","historical_report_density","current_report_density","historical_user_density","current_user_density"
"Anhui",42,42,11890,0,1875,0,0,475.6,0,75,73811,140100,1.449954,436,6103,100,29.9785867237687,3.43329621496069,0,339.471805852962,0,53.5331905781585
"Beijing",18,18,91903,0,6435,0,0,3676.12,0,257.4,190064,16418,1.8031313,1333,2189,53,109.635765623097,4.70624341496014,0,22390.7905956877,0,1567.79144841028
"Chongqing",12,12,5868,0,865,0,0,234.72,0,34.6,90874,82370,1.7804821,389,3205,113,14.5684108291854,2.74524391443162,0,284.958115818866,0,42.0055845574845
"Fujian",16,16,34551,0,3714,0,0,1382.04,0,148.56,127852,124000,1.5363476,335,4154,111,12.9032258064516,2.6321208856186,0,1114.54838709677,0,119.806451612903
"Gansu",50,50,7967,0,1212,0,0,318.68,0,48.48,44771,425800,2.0127174,59,2502,178,11.7426021606388,2.54495088051511,0,74.8426491310475,0,11.3856270549554
"Guangdong",13,13,91060,0,8895,0,0,3642.4,0,355.8,102465,179725,1.8012818,701,12601,139,7.23327305605787,2.10818363381245,0,2026.65182918347,0,197.969119488107
"Guangxi",38,38,16122,0,2445,0,0,644.88,0,97.8,52469,237600,1.6009697,211,5013,157,15.993265993266,2.83281714753756,0,271.414141414141,0,41.1616161616162
"Guizhou",33,33,5045,0,1096,0,0,201.8,0,43.84,52291,176167,1.830618,219,3856,166,18.7322256722315,2.98225312017166,0,114.550398201706,0,24.8854779839584
"Hainan",31,31,12207,0,1702,0,0,488.28,0,68.08,67633,35400,1.7431838,285,1008,90,87.5706214689266,4.4838002164947,0,1379.32203389831,0,192.316384180791
"Hebei",13,13,7935,0,2102,0,0,317.4,0,84.08,56789,188800,1.7514692,395,7461,66,6.88559322033898,2.06503745161664,0,168.114406779661,0,44.5338983050847
"Heilongjiang",21,21,3540,0,565,0,0,141.6,0,22.6,49925,473000,1.4265208,67,3185,92,4.43974630021142,1.69373242378981,0,29.9365750528541,0,4.77801268498943
"Henan",38,38,9853,0,2053,0,0,394.12,0,82.12,61737,167000,1.2584924,595,9937,69,22.7544910179641,3.16777160809758,0,236,0,49.1736526946108
"Hong Kong",1,1,2580,0,724,0,0,103.2,0,28.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hubei",35,35,40098,0,3660,0,0,1603.92,0,146.4,93043,185900,1.9581408,311,5775,102,18.8273265196342,2.98706111345448,0,862.786444324906,0,78.7520172135557
