species,scenario,cell_threshold,n_provinces,suitable_area_km2
Accipiter trivirgatus,current,3,33,2908259.7364402744
Accipiter trivirgatus,current,10,33,2908259.7364402744
Accipiter trivirgatus,current,20,33,2908259.7364402744
Accipiter trivirgatus,current,50,32,2908259.7364402744
Aegithalos fuliginosus,current,3,30,2473497.2010514056
Aegithalos fuliginosus,current,10,29,2473497.2010514056
Aegithalos fuliginosus,current,20,28,2473497.2010514056
Aegithalos fuliginosus,current,50,24,2473497.2010514056
Anser erythropus,current,3,33,3919496.1711537745
Anser erythropus,current,10,33,3919496.1711537745
Anser erythropus,current,20,33,3919496.1711537745
Anser erythropus,current,50,32,3919496.1711537745
Aquila heliaca,current,3,29,3379648.640154549
Aquila heliaca,current,10,28,3379648.640154549
Aquila heliaca,current,20,27,3379648.640154549
Aquila heliaca,current,50,27,3379648.640154549
Aythya nyroca,current,3,32,1646754.3962307516
Aythya nyroca,current,10,32,1646754.3962307516
Aythya nyroca,current,20,30,1646754.3962307516
Aythya nyroca,current,50,30,1646754.3962307516
Bombycilla japonica,current,3,31,719529.3129089702
Bombycilla japonica,current,10,27,719529.3129089702
Bombycilla japonica,current,20,26,719529.3129089702
Bombycilla japonica,current,50,22,719529.3129089702
Carpodacus vinaceus,current,3,32,4839815.640439537
Carpodacus vinaceus,current,10,32,4839815.640439537
Carpodacus vinaceus,current,20,32,4839815.640439537
Carpodacus vinaceus,current,50,31,4839815.640439537
Certhia tianquanensis,current,3,7,477458.34468986053
Certhia tianquanensis,current,10,7,477458.34468986053
Certhia tianquanensis,current,20,7,477458.34468986053
Certhia tianquanensis,current,50,7,477458.34468986053
Chrysolophus pictus,current,3,23,1393661.2936404417
Chrysolophus pictus,current,10,22,1393661.2936404417
Chrysolophus pictus,current,20,22,1393661.2936404417
Chrysolophus pictus,current,50,22,1393661.2936404417
Ciconia boyciana,current,3,32,6288716.857113045
Ciconia boyciana,current,10,32,6288716.857113045
Ciconia boyciana,current,20,31,6288716.857113045
Ciconia boyciana,current,50,31,6288716.857113045
Ciconia nigra,current,3,17,1289137.212887488
Ciconia nigra,current,10,17,1289137.212887488
Ciconia nigra,current,20,17,1289137.212887488
Ciconia nigra,current,50,17,1289137.212887488
Circus macrourus,current,3,10,1213606.7418799133
Circus macrourus,current,10,10,1213606.7418799133
Circus macrourus,current,20,10,1213606.7418799133
Circus macrourus,current,50,10,1213606.7418799133
Clanga clanga,current,3,31,3867982.838835359
Clanga clanga,current,10,31,3867982.838835359
Clanga clanga,current,20,30,3867982.838835359
Clanga clanga,current,50,29,3867982.838835359
Crex crex,current,3,33,2037135.2930983144
Crex crex,current,10,33,2037135.2930983144
Crex crex,current,20,33,2037135.2930983144
Crex crex,current,50,31,2037135.2930983144
Crossoptilon mantchuricum,current,3,30,2455827.2472843667
Crossoptilon mantchuricum,current,10,30,2455827.2472843667
Crossoptilon mantchuricum,current,20,29,2455827.2472843667
Crossoptilon mantchuricum,current,50,25,2455827.2472843667
Cygnus columbianus,current,3,33,6546728.766845473
Cygnus columbianus,current,10,33,6546728.766845473
Cygnus columbianus,current,20,33,6546728.766845473
Cygnus columbianus,current,50,32,6546728.766845473
Cygnus cygnus,current,3,29,7514842.17420678
Cygnus cygnus,current,10,28,7514842.17420678
Cygnus cygnus,current,20,28,7514842.17420678
Cygnus cygnus,current,50,27,7514842.17420678
Cygnus olor,current,3,32,3089284.59222349
Cygnus olor,current,10,32,3089284.59222349
Cygnus olor,current,20,32,3089284.59222349
Cygnus olor,current,50,32,3089284.59222349
Dicrurus remifer,current,3,13,401025.48224888614
Dicrurus remifer,current,10,12,401025.48224888614
Dicrurus remifer,current,20,10,401025.48224888614
Dicrurus remifer,current,50,10,401025.48224888614
Egretta eulophotes,current,3,31,2898981.238532136
Egretta eulophotes,current,10,30,2898981.238532136
Egretta eulophotes,current,20,30,2898981.238532136
Egretta eulophotes,current,50,29,2898981.238532136
Emberiza siemsseni,current,3,26,1299400.3697486348
Emberiza siemsseni,current,10,24,1299400.3697486348
Emberiza siemsseni,current,20,24,1299400.3697486348
Emberiza siemsseni,current,50,21,1299400.3697486348
Emberiza yessoensis,current,3,27,2425615.0248397086
Emberiza yessoensis,current,10,27,2425615.0248397086
Emberiza yessoensis,current,20,26,2425615.0248397086
Emberiza yessoensis,current,50,26,2425615.0248397086
Ficedula albicilla,current,3,33,9497588.343125427
Ficedula albicilla,current,10,33,9497588.343125427
Ficedula albicilla,current,20,33,9497588.343125427
Ficedula albicilla,current,50,33,9497588.343125427
Garrulax canorus,current,3,25,1688956.1253803347
Garrulax canorus,current,10,25,1688956.1253803347
Garrulax canorus,current,20,23,1688956.1253803347
Garrulax canorus,current,50,23,1688956.1253803347
Garrulax maesi,current,3,11,295158.48071114114
Garrulax maesi,current,10,10,295158.48071114114
Garrulax maesi,current,20,10,295158.48071114114
Garrulax maesi,current,50,9,295158.48071114114
Glaucidium cuculoides,current,3,17,805527.6992702278
Glaucidium cuculoides,current,10,15,805527.6992702278
Glaucidium cuculoides,current,20,14,805527.6992702278
Glaucidium cuculoides,current,50,14,805527.6992702278
Gracupica nigricollis,current,3,23,4026181.0063192905
Gracupica nigricollis,current,10,22,4026181.0063192905
Gracupica nigricollis,current,20,22,4026181.0063192905
Gracupica nigricollis,current,50,21,4026181.0063192905
Grus japonensis,current,3,27,2162213.9732896094
Grus japonensis,current,10,27,2162213.9732896094
Grus japonensis,current,20,26,2162213.9732896094
Grus japonensis,current,50,26,2162213.9732896094
Grus monacha,current,3,18,2204500.3611573447
Grus monacha,current,10,18,2204500.3611573447
Grus monacha,current,20,18,2204500.3611573447
Grus monacha,current,50,18,2204500.3611573447
Grus nigricollis,current,3,24,4057546.968105426
Grus nigricollis,current,10,23,4057546.968105426
Grus nigricollis,current,20,23,4057546.968105426
Grus nigricollis,current,50,21,4057546.968105426
Grus vipio,current,3,32,3379911.303451893
Grus vipio,current,10,32,3379911.303451893
Grus vipio,current,20,32,3379911.303451893
Grus vipio,current,50,29,3379911.303451893
Gypaetus barbatus,current,3,9,1348992.5713631436
Gypaetus barbatus,current,10,9,1348992.5713631436
Gypaetus barbatus,current,20,8,1348992.5713631436
Gypaetus barbatus,current,50,8,1348992.5713631436
Gyps himalayensis,current,3,13,828610.7419405377
Gyps himalayensis,current,10,13,828610.7419405377
Gyps himalayensis,current,20,13,828610.7419405377
Gyps himalayensis,current,50,13,828610.7419405377
Haliaeetus leucoryphus,current,3,17,2498210.974726738
Haliaeetus leucoryphus,current,10,15,2498210.974726738
Haliaeetus leucoryphus,current,20,15,2498210.974726738
Haliaeetus leucoryphus,current,50,14,2498210.974726738
Larus relictus,current,3,32,2837277.0273565846
Larus relictus,current,10,31,2837277.0273565846
Larus relictus,current,20,31,2837277.0273565846
Larus relictus,current,50,31,2837277.0273565846
Leucogeranus leucogeranus,current,3,19,1611909.7710229307
Leucogeranus leucogeranus,current,10,19,1611909.7710229307
Leucogeranus leucogeranus,current,20,18,1611909.7710229307
Leucogeranus leucogeranus,current,50,16,1611909.7710229307
Limnodromus semipalmatus,current,3,33,4016768.273017788
Limnodromus semipalmatus,current,10,33,4016768.273017788
Limnodromus semipalmatus,current,20,33,4016768.273017788
Limnodromus semipalmatus,current,50,32,4016768.273017788
Lophura nycthemera,current,3,20,2223386.698920488
Lophura nycthemera,current,10,20,2223386.698920488
Lophura nycthemera,current,20,20,2223386.698920488
Lophura nycthemera,current,50,20,2223386.698920488
Moupinia poecilotis,current,3,25,1010583.2322858722
Moupinia poecilotis,current,10,22,1010583.2322858722
Moupinia poecilotis,current,20,22,1010583.2322858722
Moupinia poecilotis,current,50,17,1010583.2322858722
Otocichla mupinensis,current,3,32,1689918.120625778
Otocichla mupinensis,current,10,31,1689918.120625778
Otocichla mupinensis,current,20,31,1689918.120625778
Otocichla mupinensis,current,50,30,1689918.120625778
Otus semitorques,current,3,29,2195031.658334164
Otus semitorques,current,10,26,2195031.658334164
Otus semitorques,current,20,26,2195031.658334164
Otus semitorques,current,50,24,2195031.658334164
Parayuhina diademata,current,3,21,592548.0617428399
Parayuhina diademata,current,10,20,592548.0617428399
Parayuhina diademata,current,20,17,592548.0617428399
Parayuhina diademata,current,50,14,592548.0617428399
Pardaliparus venustulus,current,3,30,2846830.480351535
Pardaliparus venustulus,current,10,30,2846830.480351535
Pardaliparus venustulus,current,20,27,2846830.480351535
Pardaliparus venustulus,current,50,27,2846830.480351535
Parus monticolus,current,3,29,2691180.2189030433
Parus monticolus,current,10,28,2691180.2189030433
Parus monticolus,current,20,26,2691180.2189030433
Parus monticolus,current,50,23,2691180.2189030433
Pericrocotus ethologus,current,3,23,2162578.193883656
Pericrocotus ethologus,current,10,22,2162578.193883656
Pericrocotus ethologus,current,20,22,2162578.193883656
Pericrocotus ethologus,current,50,22,2162578.193883656
Phasianus colchicus,current,3,33,3491408.5909994976
Phasianus colchicus,current,10,33,3491408.5909994976
Phasianus colchicus,current,20,32,3491408.5909994976
Phasianus colchicus,current,50,32,3491408.5909994976
Phylloscopus omeiensis,current,3,22,1001673.2455695499
Phylloscopus omeiensis,current,10,19,1001673.2455695499
Phylloscopus omeiensis,current,20,19,1001673.2455695499
Phylloscopus omeiensis,current,50,16,1001673.2455695499
Phylloscopus yunnanensis,current,3,7,908133.8476818629
Phylloscopus yunnanensis,current,10,7,908133.8476818629
Phylloscopus yunnanensis,current,20,7,908133.8476818629
Phylloscopus yunnanensis,current,50,7,908133.8476818629
Platalea minor,current,3,33,3000707.540366251
Platalea minor,current,10,33,3000707.540366251
Platalea minor,current,20,33,3000707.540366251
Platalea minor,current,50,32,3000707.540366251
Podiceps nigricollis,current,3,25,4267116.792750172
Podiceps nigricollis,current,10,25,4267116.792750172
Podiceps nigricollis,current,20,25,4267116.792750172
Podiceps nigricollis,current,50,25,4267116.792750172
Pseudopodoces humilis,current,3,21,2724884.7718074145
Pseudopodoces humilis,current,10,19,2724884.7718074145
Pseudopodoces humilis,current,20,17,2724884.7718074145
Pseudopodoces humilis,current,50,14,2724884.7718074145
Sibirionetta formosa,current,3,33,1848357.804657517
Sibirionetta formosa,current,10,33,1848357.804657517
Sibirionetta formosa,current,20,33,1848357.804657517
Sibirionetta formosa,current,50,31,1848357.804657517
Sitta villosa,current,3,29,3989626.5213570236
Sitta villosa,current,10,29,3989626.5213570236
Sitta villosa,current,20,29,3989626.5213570236
Sitta villosa,current,50,29,3989626.5213570236
Spizixos semitorques,current,3,26,1758466.1403018055
Spizixos semitorques,current,10,25,1758466.1403018055
Spizixos semitorques,current,20,23,1758466.1403018055
Spizixos semitorques,current,50,23,1758466.1403018055
Syrmaticus humiae,current,3,11,251693.1444034471
Syrmaticus humiae,current,10,11,251693.1444034471
Syrmaticus humiae,current,20,10,251693.1444034471
Syrmaticus humiae,current,50,10,251693.1444034471
Syrmaticus reevesii,current,3,19,1195742.994167844
Syrmaticus reevesii,current,10,18,1195742.994167844
Syrmaticus reevesii,current,20,18,1195742.994167844
Syrmaticus reevesii,current,50,18,1195742.994167844
Syrrhaptes paradoxus,current,3,17,408979.8095414808
Syrrhaptes paradoxus,current,10,15,408979.8095414808
Syrrhaptes paradoxus,current,20,15,408979.8095414808
Syrrhaptes paradoxus,current,50,14,408979.8095414808
Tetrax tetrax,current,3,33,2320182.9803890153
Tetrax tetrax,current,10,32,2320182.9803890153
Tetrax tetrax,current,20,32,2320182.9803890153
Tetrax tetrax,current,50,32,2320182.9803890153
Tragopan caboti,current,3,15,929817.9532592684
Tragopan caboti,current,10,13,929817.9532592684
Tragopan caboti,current,20,13,929817.9532592684
Tragopan caboti,current,50,13,929817.9532592684
Tragopan temminckii,current,3,18,1387512.1909371954
Tragopan temminckii,current,10,18,1387512.1909371954
Tragopan temminckii,current,20,18,1387512.1909371954
Tragopan temminckii,current,50,16,1387512.1909371954
Tringa guttifer,current,3,33,5146930.207062169
Tringa guttifer,current,10,32,5146930.207062169
Tringa guttifer,current,20,30,5146930.207062169
Tringa guttifer,current,50,30,5146930.207062169
