species,scenario,gcm,raster_type,raster_path
Phasianus colchicus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/phasianus_colchicus/phasianus_colchicus_current_probability.tif
Phasianus colchicus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/phasianus_colchicus/phasianus_colchicus_current_binary.tif
Chrysolophus pictus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/chrysolophus_pictus/chrysolophus_pictus_current_probability.tif
Chrysolophus pictus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/chrysolophus_pictus/chrysolophus_pictus_current_binary.tif
Lophura nycthemera,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/lophura_nycthemera/lophura_nycthemera_current_probability.tif
Lophura nycthemera,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/lophura_nycthemera/lophura_nycthemera_current_binary.tif
Tragopan temminckii,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/tragopan_temminckii/tragopan_temminckii_current_probability.tif
Tragopan temminckii,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/tragopan_temminckii/tragopan_temminckii_current_binary.tif
Syrmaticus reevesii,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/syrmaticus_reevesii/syrmaticus_reevesii_current_probability.tif
Syrmaticus reevesii,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/syrmaticus_reevesii/syrmaticus_reevesii_current_binary.tif
Tragopan caboti,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/tragopan_caboti/tragopan_caboti_current_probability.tif
Tragopan caboti,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/tragopan_caboti/tragopan_caboti_current_binary.tif
Cygnus cygnus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_cygnus/cygnus_cygnus_current_probability.tif
