algorithm,mean_auc,mean_tss,mean_threshold,available,species
GAM,0.64818071561939,0.14953345753831868,0.056320561561768456,TRUE,Phasianus colchicus
GBM,0.6495590988605491,0.05739462829244153,0.03643791125640688,TRUE,Phasianus colchicus
GLM,0.6728517044586151,0.17077677257570015,0.21481779622023064,TRUE,Phasianus colchicus
MaxEnt,NA,NA,NA,TRUE,Phasianus colchicus
RF,0.6518791684789473,0.03828174673821816,0.0032,TRUE,Phasianus colchicus
GAM,0.7518803728384716,0.4668551612464897,0.17163151732532472,TRUE,Chrysolophus pictus
GBM,0.6641920223500518,0.3395503782045476,0.06148565488995975,TRUE,Chrysolophus pictus
GLM,0.6919372673022919,0.34845733183360006,0.176368648917804,TRUE,Chrysolophus pictus
MaxEnt,NA,NA,NA,TRUE,Chrysolophus pictus
RF,0.6115225051050065,0.2914800580769191,0.061560000000000004,TRUE,Chrysolophus pictus
GAM,0.6000555308183879,0.18972026386312096,0.12215290550597105,TRUE,Lophura nycthemera
GBM,0.5836995877138734,0.19801401772830346,0.02305024685368913,TRUE,Lophura nycthemera
GLM,0.7065172294372294,0.3151917130488559,0.12173749107974216,TRUE,Lophura nycthemera
MaxEnt,NA,NA,NA,TRUE,Lophura nycthemera
RF,0.5810676685219542,0.17120366934652642,0.015419999999999998,TRUE,Lophura nycthemera
GAM,0.6485114928600234,0.3089602600067293,0.1538181165373167,TRUE,Tragopan temminckii
GBM,0.6037683363423751,0.2757760315890274,0.03136404811543293,TRUE,Tragopan temminckii
GLM,0.6105924480464122,0.17104780069728703,0.11482264119826566,TRUE,Tragopan temminckii
MaxEnt,NA,NA,NA,TRUE,Tragopan temminckii
RF,0.5825614012001263,0.21617831185532427,0.010800000000000006,TRUE,Tragopan temminckii
GAM,0.743741455902199,0.5052414860681114,0.114767278117963,TRUE,Syrmaticus reevesii
GBM,0.6621327014368501,0.37766595221084387,0.043186417296446525,TRUE,Syrmaticus reevesii
GLM,0.7269554941652775,0.43247447805032946,0.12886236362218317,TRUE,Syrmaticus reevesii
MaxEnt,NA,NA,NA,TRUE,Syrmaticus reevesii
RF,0.6638601119314123,0.37250543780265144,0.05092000000000007,TRUE,Syrmaticus reevesii
GAM,0.8142561274509804,0.48114215686274514,0.05092082449993555,TRUE,Tragopan caboti
GBM,0.7899240196078431,0.3431666666666667,0.1198773697623543,TRUE,Tragopan caboti
GLM,0.7839797794117647,0.47431372549019607,0.08082018186698756,TRUE,Tragopan caboti
MaxEnt,NA,NA,NA,TRUE,Tragopan caboti
RF,0.7690419730392157,0.3910294117647059,0.027820000000000025,TRUE,Tragopan caboti
GAM,0.634999237804878,0.06260501355013548,0.02011862819680349,TRUE,Cygnus cygnus
GBM,0.7303432249322493,-0.0012730352303523152,0.11352372453529506,TRUE,Cygnus cygnus
GLM,0.716889210704607,0.002355013550135454,0.14398630371992197,TRUE,Cygnus cygnus
MaxEnt,NA,NA,NA,TRUE,Cygnus cygnus
RF,0.6826845697831978,0.04348780487804875,0.0032,TRUE,Cygnus cygnus
GAM,0.662930829228243,0.3441034482758621,0.0413971829809474,TRUE,Syrmaticus humiae
GBM,0.719280172413793,0.43589655172413794,0.06800011815939465,TRUE,Syrmaticus humiae
GLM,0.5793908045977011,0.3028817733990148,0.025744614214405485,TRUE,Syrmaticus humiae
MaxEnt,NA,NA,NA,TRUE,Syrmaticus humiae
RF,0.6480939381499726,0.35085112205801866,0.0204,TRUE,Syrmaticus humiae
GAM,0.7616883333333333,0.20016666666666666,0.17229154950365685,TRUE,Pardaliparus venustulus
GBM,0.6771733333333333,0.16583333333333333,0.008080338701175725,TRUE,Pardaliparus venustulus
GLM,0.7398775,0.2916666666666667,0.09121556475088204,TRUE,Pardaliparus venustulus
MaxEnt,NA,NA,NA,TRUE,Pardaliparus venustulus
RF,0.6751575000000001,0.2,0.0138,TRUE,Pardaliparus venustulus
GAM,0.70333828320802,0.48738095238095236,0.017717426774738976,TRUE,Phylloscopus yunnanensis
GBM,0.6853761904761905,0.45533333333333337,0.003518643166179278,TRUE,Phylloscopus yunnanensis
GLM,0.7261780701754386,0.5398571428571428,0.044812681134879524,TRUE,Phylloscopus yunnanensis
MaxEnt,NA,NA,NA,TRUE,Phylloscopus yunnanensis
RF,0.7105489348370927,0.4826666666666667,0.006960000000000003,TRUE,Phylloscopus yunnanensis
GAM,0.6099850877192983,0.11401503759398499,0.08183157434778397,TRUE,Gracupica nigricollis
GBM,0.6513938596491228,0.14075187969924818,0.003993024015707846,TRUE,Gracupica nigricollis
GLM,0.5749305764411028,0.17194736842105268,0.03488934488146302,TRUE,Gracupica nigricollis
MaxEnt,NA,NA,NA,TRUE,Gracupica nigricollis
RF,0.6199871553884712,0.11537593984962409,0.0032,TRUE,Gracupica nigricollis
GAM,0.6752339285714286,0.287,0.09799632606166825,TRUE,Grus nigricollis
GBM,0.651375,0.17850000000000005,0.05890884451914668,TRUE,Grus nigricollis
GLM,0.6443053571428572,0.28847619047619044,0.034312226954062885,TRUE,Grus nigricollis
MaxEnt,NA,NA,NA,TRUE,Grus nigricollis
RF,0.646266369047619,0.07399999999999998,0.0021000000000000055,TRUE,Grus nigricollis
GAM,0.7093267857142858,0.31999999999999995,0.036391898873765906,TRUE,Podiceps nigricollis
GBM,0.6596720238095238,0.17950000000000002,0.05143464090012583,TRUE,Podiceps nigricollis
GLM,0.6669630952380953,0.28847619047619044,0.03544177093780824,TRUE,Podiceps nigricollis
MaxEnt,NA,NA,NA,TRUE,Podiceps nigricollis
RF,0.6327255952380952,0.15350000000000003,0.014100000000000012,TRUE,Podiceps nigricollis
GAM,0.6447416361416362,0.16145421245421238,0.02728225866792557,TRUE,Ciconia boyciana
GBM,0.7012472527472527,0.08932234432234429,0.026182059792757572,TRUE,Ciconia boyciana
GLM,0.6436130647130647,0.21582173382173378,0.0280443282199032,TRUE,Ciconia boyciana
MaxEnt,NA,NA,NA,TRUE,Ciconia boyciana
RF,0.6689931013431013,0.03623076923076925,0.0011600000000000009,TRUE,Ciconia boyciana
GAM,0.6123752164502164,0.31206493506493505,0.027517936210016764,TRUE,Pseudopodoces humilis
GBM,0.6446609307359308,0.19814285714285712,0.05227518568855144,TRUE,Pseudopodoces humilis
GLM,0.6106794372294372,0.3188181818181818,0.0470352279762652,TRUE,Pseudopodoces humilis
