new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Abroscopus albogularis,Passeriformes,5,2017,Hebei | Jiangsu | Ningxia | Shanghai | Tibet,Garrulax albogularis,matched,auto_epithet_same_order,High-confidence auto candidate; review basis Avibase/IOC + BirdLife,auto_high_confidence,candidate,candidate,,NA,TRUE
Acanthis flammea,Passeriformes,1,2015,Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Accipiter badius,Accipitriformes,1,2025,Hunan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Accipiter nisus | Accipiter trivirgatus | Accipiter gentilis | Accipiter virgatus affinis | Accipiter soloensis,same genus Accipiter nisus | Accipiter trivirgatus | Accipiter gentilis | Accipiter virgatus affinis | Accipiter soloensis,FALSE
Accipiter gularis,Accipitriformes,1,2013,Xinjiang,Yuhina gularis gularis,matched,auto_epithet_unique,Auto candidate; cross-check with Avibase/IOC + BirdLife recommended,auto_medium_confidence,candidate,candidate,,NA,TRUE
Accipiter soloensis,Accipitriformes,3,2015,Gansu | Heilongjiang | Inner Mongolia,Accipiter soloensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter trivirgatus,Accipitriformes,7,2001,Anhui | Beijing | Fujian | Gansu | Henan | Liaoning | Shaanxi,Accipiter trivirgatus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Accipiter virgatus,Accipitriformes,1,2012,Anhui,Accipiter virgatus affinis,matched,auto_epithet_unique,Auto candidate; cross-check with Avibase/IOC + BirdLife recommended,auto_medium_confidence,candidate,candidate,,NA,TRUE
Acridotheres cristatellus,Passeriformes,1,2023,Jilin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Acridotheres tristis,Passeriformes,4,2010,Chongqing | Guizhou | Jiangxi | Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Acrocephalus agricola,Passeriformes,1,2023,Inner Mongolia,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus bistrigiceps,Passeriformes,2,2017,Guizhou | Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
Acrocephalus concinens,Passeriformes,1,2006,Shanghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Acrocephalus sorghophilus | Acrocephalus tangorum,same genus Acrocephalus sorghophilus | Acrocephalus tangorum,FALSE
