"record_id","species","order_raw","order_cn","family","genus","province_cn","province_en_raw","year","iucn_raw","longitude","latitude","order","province","iucn"
1,"Accipiter badius","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","湖南省","Hunan",2025,"LC",111.630113888889,25.1884388888889,"Accipitriformes","Hunan","LC"
2,"Accipiter gularis","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","新疆维吾尔自治区","Xinjiang",2013,"LC",88.36,36.47,"Accipitriformes","Xinjiang","LC"
3,"Accipiter soloensis","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","甘肃省","Gansu",2015,"LC",116.216666666667,33.7,"Accipitriformes","Gansu","LC"
4,"Accipiter soloensis","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","黑龙江省","Heilongjiang",2020,"LC",125.250472222222,49.0878333333333,"Accipitriformes","Heilongjiang","LC"
5,"Accipiter soloensis","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","内蒙古自治区","Inner Mongolia",2023,"LC",105.66,38.11,"Accipitriformes","Inner Mongolia","LC"
8,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","福建省","Fujian",2001,"LC",119.33,25.6,"Accipitriformes","Fujian","LC"
12,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","陕西省","Shaanxi",2007,"LC",107.666666666667,33.55,"Accipitriformes","Shaanxi","LC"
10,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","河南省","Henan",2008,"LC",114.249433333333,31.9506333333333,"Accipitriformes","Henan","LC"
6,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","安徽省","Anhui",2010,"LC",117.816666666667,30.2333333333333,"Accipitriformes","Anhui","LC"
7,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","北京市","Beijing",2013,"LC",116.166752777778,39.9934861111111,"Accipitriformes","Beijing","LC"
11,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","辽宁省","Liaoning",2021,"LC",121.144419444444,38.7265055555556,"Accipitriformes","Liaoning","LC"
9,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","甘肃省","Gansu",2022,"LC",105.4,32.6,"Accipitriformes","Gansu","LC"
13,"Accipiter virgatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Accipiter","安徽省","Anhui",2012,"LC",117.116666666667,31.7666666666667,"Accipitriformes","Anhui","LC"
15,"Aquila fasciata","ACCIPITRIFORMES","鹰形目","Accipitridae","Aquila","陕西省","Shaanxi",2020,"LC",110.007222222222,32.8530555555556,"Accipitriformes","Shaanxi","LC"
14,"Aquila fasciata","ACCIPITRIFORMES","鹰形目","Accipitridae","Aquila","辽宁省","Liaoning",2021,"LC",121.144419444444,38.7265055555556,"Accipitriformes","Liaoning","LC"
17,"Aquila heliaca","ACCIPITRIFORMES","鹰形目","Accipitridae","Aquila","宁夏回族自治区","Ningxia",2021,"VU",106.514444444444,38.5488888888889,"Accipitriformes","Ningxia","VU"
16,"Aquila heliaca","ACCIPITRIFORMES","鹰形目","Accipitridae","Aquila","湖南省","Hunan",2023,"VU",110.869652972222,29.977657,"Accipitriformes","Hunan","VU"
19,"Aviceda jerdoni","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","湖南省","Hunan",2018,"LC",110.878416666667,29.9801194444444,"Accipitriformes","Hunan","LC"
18,"Aviceda jerdoni","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","广东省","Guangdong",2023,"LC",111.444166666667,21.8275,"Accipitriformes","Guangdong","LC"
21,"Aviceda leuphotes","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","江苏省","Juangsu",2010,"LC",119.071388888889,32.2477777777778,"Accipitriformes","Jiangsu","LC"
20,"Aviceda leuphotes","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","甘肃省","Gansu",2019,"LC",105.633333333333,33.55,"Accipitriformes","Gansu","LC"
23,"Aviceda leuphotes","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","山西省","Shanxi",2023,"LC",111.380555555556,35.0116666666667,"Accipitriformes","Shanxi","LC"
22,"Aviceda leuphotes","ACCIPITRIFORMES","鹰形目","Accipitridae","Aviceda","宁夏回族自治区","Ningxia",2024,"LC",106.314308,35.354555,"Accipitriformes","Ningxia","LC"
24,"Butastur indicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Butastur","安徽省","Anhui",2013,"LC",116.816666666667,31.4666666666667,"Accipitriformes","Anhui","LC"
25,"Butastur indicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Butastur","甘肃省","Gansu",2024,"LC",105.496111111111,32.9788888888889,"Accipitriformes","Gansu","LC"
26,"Circaetus gallicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circaetus","广西壮族自治区","Guangxi",2021,"LC",109.05,21.4530555555556,"Accipitriformes","Guangxi","LC"
27,"Circaetus gallicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circaetus","湖南省","Hunan",2023,"LC",110.873888888889,29.9747222222222,"Accipitriformes","Hunan","LC"
28,"Circaetus gallicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circaetus","江苏省","Jiangsu",2025,"LC",118.95,32.5,"Accipitriformes","Jiangsu","LC"
29,"Circus aeruginosus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circus","甘肃省","Gansu",2025,"LC",103.4718887,37.89368904,"Accipitriformes","Gansu","LC"
30,"Circus aeruginosus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circus","宁夏回族自治区","Ningxia",2025,"LC",106.255278055556,36.9953897222222,"Accipitriformes","Ningxia","LC"
31,"Circus macrourus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circus","浙江省","Zhejiang",2023,"NT",120.63,27.86,"Accipitriformes","Zhejiang","NT"
32,"Circus spilonotus","ACCIPITRIFORMES","鹰形目","Accipitridae","Circus","新疆维吾尔自治区","Xinjiang",2015,"LC",86.8236111111111,47.7758333333333,"Accipitriformes","Xinjiang","LC"
33,"Clanga clanga","ACCIPITRIFORMES","鹰形目","Accipitridae","Clanga","甘肃省","Gansu",2023,"VU",104.083333333333,35.8166666666667,"Accipitriformes","Gansu","VU"
42,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","天津市","Tianjin",2006,"LC",117.11,39.17,"Accipitriformes","Tianjin","LC"
34,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","北京市","Beijing",2013,"LC",116.166752777778,39.9934861111111,"Accipitriformes","Beijing","LC"
36,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","河南省","Henan",2014,"LC",113.740555555556,33.5386111111111,"Accipitriformes","Henan","LC"
40,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","陕西省","Shaanxi",2016,"LC",109.057777777778,34.4394444444444,"Accipitriformes","Shaanxi","LC"
41,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","四川省","Sichuan",2016,"LC",101.890516666667,26.4744666666667,"Accipitriformes","Sichuan","LC"
37,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","辽宁省","Liaoning",2021,"LC",121.144419444444,38.7265055555556,"Accipitriformes","Liaoning","LC"
38,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","内蒙古自治区","Inner Mongolia",2023,"LC",106.78,39.73,"Accipitriformes","Inner Mongolia","LC"
35,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","Accipitridae","Elanus","甘肃省","Gansu",2025,"LC",106.708333333333,35.5475,"Accipitriformes","Gansu","LC"
44,"Gypaetus barbatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Gypaetus","重庆市","Chongqing",2010,"NT",107.855733333333,28.9818166666667,"Accipitriformes","Chongqing","NT"
43,"Gypaetus barbatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Gypaetus","陕西省","Shaanxi",2024,"NT",109.939,36.871,"Accipitriformes","Shaanxi","NT"
46,"Gyps himalayensis","ACCIPITRIFORMES","鹰形目","Accipitridae","Gyps","辽宁省","Liaoning",2003,"NT",121.02,42.05,"Accipitriformes","Liaoning","NT"
45,"Gyps himalayensis","ACCIPITRIFORMES","鹰形目","Accipitridae","Gyps","广西壮族自治区","Guangxi",2013,"NT",109.077777777778,21.4386111111111,"Accipitriformes","Guangxi","NT"
47,"Gyps tenuirostris","ACCIPITRIFORMES","鹰形目","Accipitridae","Gyps","云南省","Yunnan",2021,"CR",100.630277777778,23.7944444444444,"Accipitriformes","Yunnan","CR"
48,"Haliaeetus leucoryphus","ACCIPITRIFORMES","鹰形目","Accipitridae","Haliaeetus","云南省","Yunnan",2010,"EN",99.95,27.91,"Accipitriformes","Yunnan","EN"
49,"Haliaeetus pelagicus","ACCIPITRIFORMES","鹰形目","Accipitridae","Haliaeetus","江苏省","Juangsu",2024,"VU",120.96,32.76,"Accipitriformes","Jiangsu","VU"
50,"Haliastur indus","ACCIPITRIFORMES","鹰形目","Accipitridae","Haliastur","湖南省","Hunan",2025,"LC",110.755059,27.245056,"Accipitriformes","Hunan","LC"
54,"Hieraaetus pennatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Hieraaetus","河南省","Henan",2012,"LC",112.383333333333,34.6,"Accipitriformes","Henan","LC"
52,"Hieraaetus pennatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Hieraaetus","甘肃省","Gansu",2014,"LC",94.1213888888889,39.8752777777778,"Accipitriformes","Gansu","LC"
58,"Hieraaetus pennatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Hieraaetus","西藏自治区","Tibet",2016,"LC",85.35,28.35,"Accipitriformes","Tibet","LC"
56,"Hieraaetus pennatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Hieraaetus","青海省","Qinghai",2017,"LC",96.3666666666667,37.4333333333333,"Accipitriformes","Qinghai","LC"
55,"Hieraaetus pennatus","ACCIPITRIFORMES","鹰形目","Accipitridae","Hieraaetus","湖南省","Hunan",2021,"LC",110.873980555556,29.9746777777778,"Accipitriformes","Hunan","LC"
