"species","order","family","genus","iucn"
"Stachyris nonggangensis","Passeriformes","Timaliidae","Stachyris","VU"
"Staphida castaniceps","Passeriformes","Zosteropidae","Staphida","LC"
"Staphida torqueola","Passeriformes","Zosteropidae","Staphida","LC"
"Stercorarius longicaudus","Charadriiformes","Stercorariidae","Stercorarius","LC"
"Stercorarius parasiticus","Charadriiformes","Stercorariidae","Stercorarius","LC"
"Stercorarius pomarinus","Charadriiformes","Stercorariidae","Stercorarius","LC"
"Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","LC"
"Sturnia pagodarum","Passeriformes","Sturnidae","Sturnia","LC"
"Sturnia sinensis","Passeriformes","Sturnidae","Sturnia","LC"
"Sturnus vulgaris","Passeriformes","Sturnidae","Sturnus","LC"
"Sula dactylatra","Suliformes","Sulidae","Sula","LC"
"Sula granti","Suliformes","Sulidae","Sula","LC"
"Sula sula","Suliformes","Sulidae","Sula","LC"
"Suthora alphonsiana","Passeriformes","Paradoxornithidae","Sinosuthora","LC"
"Suthora conspicillata","Passeriformes","Paradoxornithidae","Sinosuthora","LC"
"Suthora fulvifrons","Passeriformes","Paradoxornithidae","Suthora","LC"
"Suthora przewalskii","Passeriformes","Paradoxornithidae","Sinosuthora","LC"
"Suthora webbiana","Passeriformes","Paradoxornithidae","Sinosuthora","LC"
"Sylvia atricapilla","Passeriformes","Sylviidae","Sylvia","LC"
"Sylviparus modestus","Passeriformes","Paridae","Sylviparus","LC"
"Synthliboramphus antiquus","Charadriiformes","Alcidae","Synthliboramphus","LC"
"Syrmaticus humiae","Galliformes","Phasianidae","Syrmaticus","VU"
"Syrmaticus reevesii","Galliformes","Phasianidae","Syrmaticus","VU"
"Syrrhaptes paradoxus","Pterocliformes","Pteroclidae","Syrrhaptes","LC"
"Tarsiger chrysaeus","Passeriformes","Muscicapidae","Tarsiger","LC"
"Tarsiger indicus","Passeriformes","Muscicapidae","Tarsiger","LC"
"Temnurus temnurus","Passeriformes","Corvidae","Temnurus","LC"
"Tephrodornis virgatus","Passeriformes","Vangidae","Tephrodornis","LC"
"Tetrax tetrax","Otidiformes","Otididae","Tetrax","NT"
"Thalasseus bengalensis","Charadriiformes","Laridae","Thalasseus","LC"
"Thalasseus bergii","Charadriiformes","Laridae","Thalasseus","LC"
"Timalia pileata","Passeriformes","Timaliidae","Timalia","LC"
"Todiramphus chloris","Coraciiformes","Alcedinidae","Todiramphus","LC"
"Tragopan caboti","Galliformes","Phasianidae","Tragopan","VU"
"Tragopan temminckii","Galliformes","Phasianidae","Tragopan","LC"
"Treron curvirostra","Columbiformes","Columbidae","Treron","LC"
"Treron seimundi","Columbiformes","Columbidae","Treron","LC"
"Treron sieboldii","Columbiformes","Columbidae","Treron","LC"
"Treron sphenurus","Columbiformes","Columbidae","Treron","LC"
"Tringa brevipes","Charadriiformes","Scolopacidae","Tringa","LC"
"Tringa guttifer","Charadriiformes","Scolopacidae","Tringa","EN"
"Tringa stagnatilis","Charadriiformes","Scolopacidae","Tringa","LC"
"Turdus boulboul","Passeriformes","Turdidae","Turdus","LC"
"Turdus cardis","Passeriformes","Turdidae","Turdus","LC"
"Turdus feae","Passeriformes","Turdidae","Turdus","VU"
"Turdus mandarinus","Passeriformes","Turdidae","Turdus","LC"
"Turdus migratorius","Passeriformes","Turdidae","Genus_unknown","LC"
"Turdus naumanni","Passeriformes","Turdidae","Turdus","LC"
"Turdus pilaris","Passeriformes","Turdidae","Turdus","LC"
"Turdus rubrocanus","Passeriformes","Turdidae","Turdus","LC"
"Turdus ruficollis","Passeriformes","Turdidae","Turdus","LC"
"Turdus viscivorus","Passeriformes","Turdidae","Turdus","LC"
"Turnix suscitator","Charadriiformes","Turnicidae","Turnix","LC"
"Tyto alba","Strigiformes","Tytonidae","Tyto","LC"
"Tyto longimembris","Strigiformes","Tytonidae","Tyto","LC"
"Urile pelagicus","Suliformes","Phalacrocoracidae","Phalacrocorax","LC"
"Urosphena squameiceps","Passeriformes","Scotocercidae","Urosphena","LC"
"Vanellus cinereus","Charadriiformes","Charadriidae","Vanellus","LC"
"Vanellus indicus","Charadriiformes","Charadriidae","Vanellus","LC"
"Vanellus leucurus","Charadriiformes","Charadriidae","Vanellus","LC"
"Vanellus vanellus","Charadriiformes","Charadriidae","Vanellus","NT"
"Yuhina nigrimenta","Passeriformes","Zosteropidae","Yuhina","LC"
"Zapornia bicolor","Gruiformes","Rallidae","Zapornia","LC"
"Zoothera dixoni","Passeriformes","Turdidae","Zoothera","LC"
"Zoothera mollissima","Passeriformes","Turdidae","Zoothera","LC"
"Zoothera monticola","Passeriformes","Turdidae","Zoothera","LC"
"Zosterops erythropleurus","Passeriformes","Zosteropidae","Zosterops","LC"
"Zosterops meyeni","Passeriformes","Zosteropidae","Zosterops","LC"
