"order","province","n_records","x_order","y_order","x_province","y_province","edge_color"
"Accipitriformes","Anhui",4,-0.398401089846241,0.917211301505453,0.540640817455598,-0.841253532831181,"#E78AC3"
"Accipitriformes","Beijing",2,-0.398401089846241,0.917211301505453,0.690079011482112,0.72373403810507,"#E78AC3"
"Accipitriformes","Chongqing",1,-0.398401089846241,0.917211301505453,0.371662455660328,0.928367933016073,"#E78AC3"
"Accipitriformes","Fujian",1,-0.398401089846241,0.917211301505453,0.618158986220605,0.786053094742787,"#E78AC3"
"Accipitriformes","Gansu",10,-0.398401089846241,0.917211301505453,0.371662455660328,-0.928367933016073,"#E78AC3"
"Accipitriformes","Guangdong",1,-0.398401089846241,0.917211301505453,0.540640817455598,0.841253532831181,"#E78AC3"
"Accipitriformes","Guangxi",2,-0.398401089846241,0.917211301505453,0.618158986220605,-0.786053094742788,"#E78AC3"
"Accipitriformes","Guizhou",1,-0.398401089846241,0.917211301505453,0.866025403784439,-0.5,"#E78AC3"
"Accipitriformes","Hainan",1,-0.398401089846241,0.917211301505453,0.998867339183008,-0.0475819158237423,"#E78AC3"
"Accipitriformes","Heilongjiang",2,-0.398401089846241,0.917211301505453,0.755749574354258,0.654860733945285,"#E78AC3"
"Accipitriformes","Henan",3,-0.398401089846241,0.917211301505453,0.690079011482112,-0.72373403810507,"#E78AC3"
"Accipitriformes","Hunan",6,-0.398401089846241,0.917211301505453,0.18925124436041,-0.981928697262707,"#E78AC3"
"Accipitriformes","Inner Mongolia",2,-0.398401089846241,0.917211301505453,0.814575952050336,-0.580056909571198,"#E78AC3"
"Accipitriformes","Jiangsu",3,-0.398401089846241,0.917211301505453,0.45822652172741,-0.888835448654923,"#E78AC3"
"Accipitriformes","Liaoning",4,-0.398401089846241,0.917211301505453,0.945000818714668,-0.327067963317422,"#E78AC3"
"Accipitriformes","Ningxia",3,-0.398401089846241,0.917211301505453,0.814575952050336,0.580056909571198,"#E78AC3"
"Accipitriformes","Qinghai",1,-0.398401089846241,0.917211301505453,0.989821441880933,0.142314838273285,"#E78AC3"
"Accipitriformes","Shaanxi",5,-0.398401089846241,0.917211301505453,0.28173255684143,-0.959492973614497,"#E78AC3"
"Accipitriformes","Shandong",1,-0.398401089846241,0.917211301505453,0.971811568323542,0.235758935509427,"#E78AC3"
"Accipitriformes","Shanghai",1,-0.398401089846241,0.917211301505453,0.866025403784439,0.5,"#E78AC3"
"Accipitriformes","Shanxi",1,-0.398401089846241,0.917211301505453,0.28173255684143,0.959492973614497,"#E78AC3"
"Accipitriformes","Sichuan",1,-0.398401089846241,0.917211301505453,0.971811568323542,-0.235758935509427,"#E78AC3"
"Accipitriformes","Tianjin",3,-0.398401089846241,0.917211301505453,0.909631995354518,0.415415013001886,"#E78AC3"
"Accipitriformes","Tibet",2,-0.398401089846241,0.917211301505453,6.12323399573677e-17,-1,"#E78AC3"
"Accipitriformes","Xinjiang",3,-0.398401089846241,0.917211301505453,0.989821441880933,-0.142314838273285,"#E78AC3"
"Accipitriformes","Yunnan",2,-0.398401089846241,0.917211301505453,0.0950560433041828,-0.995471922573085,"#E78AC3"
"Accipitriformes","Zhejiang",1,-0.398401089846241,0.917211301505453,0.755749574354258,-0.654860733945285,"#E78AC3"
"Anseriformes","Anhui",3,-0.269796771157024,0.962917287347799,0.540640817455598,-0.841253532831181,"#6AC1A5"
"Anseriformes","Beijing",1,-0.269796771157024,0.962917287347799,0.690079011482112,0.72373403810507,"#6AC1A5"
"Anseriformes","Chongqing",1,-0.269796771157024,0.962917287347799,0.371662455660328,0.928367933016073,"#6AC1A5"
"Anseriformes","Fujian",1,-0.269796771157024,0.962917287347799,0.618158986220605,0.786053094742787,"#6AC1A5"
"Anseriformes","Gansu",3,-0.269796771157024,0.962917287347799,0.371662455660328,-0.928367933016073,"#6AC1A5"
