"order","n_records"
"Passeriformes",524
"Charadriiformes",155
"Anseriformes",68
"Accipitriformes",67
"Pelecaniformes",46
"Gruiformes",35
"Columbiformes",20
"Strigiformes",18
"Coraciiformes",17
"Suliformes",15
"Cuculiformes",14
"Galliformes",13
"Phoenicopteriformes",13
"Ciconiiformes",11
"Piciformes",11
"Gaviiformes",9
"Procellariiformes",9
"Podicipediformes",5
"Caprimulgiformes",4
"Falconiformes",2
"Otidiformes",1
"Pterocliformes",1
"Trogoniformes",1
