"year","n_records"
2024,92
2025,80
2023,77
2019,73
2017,69
2022,63
2021,60
2018,58
2006,49
2010,49
2014,47
2016,42
2020,42
2011,41
2013,41
2015,34
2007,28
2012,23
2009,22
2008,20
2001,11
2003,10
2002,8
2004,7
2005,7
2000,6
