"discover_reason","n_records"
"Range shift or distribution change",647
"Unclear",327
"Mixed: range change + survey/technology",39
"Survey gap or under-sampling",31
"Other",8
"Mixed: taxonomy + distribution/survey",3
"Taxonomic revision",3
"New species or formal description",1
