"province","n_records"
"Tibet",68
"Yunnan",63
"Hunan",62
"Shaanxi",59
"Gansu",53
"Jiangsu",50
"Anhui",44
"Guangxi",38
"Henan",38
"Zhejiang",38
"Inner Mongolia",36
"Guizhou",35
"Hubei",35
"Liaoning",35
"Sichuan",35
"Xinjiang",35
"Hainan",31
"Jiangxi",31
"Qinghai",31
"Shandong",31
"Jilin",28
"Tianjin",26
"Shanghai",25
"Ningxia",24
"Heilongjiang",22
"Beijing",18
"Fujian",16
"Guangdong",14
"Hebei",13
"Chongqing",12
"Shanxi",11
"Hong Kong",1
"Taiwan",1
