"discovery_method","n_records"
"Direct observation / photography",824
"Specimen or carcass collection",69
"Acoustic detection",40
"Camera trapping / imaging",39
"Capture or mist-netting",35
"Rescue or citizen report",31
"Other",18
"Archive or record review",1
"Satellite tracking",1
"Unclear",1
