order_bar,n_records,year
Caprimulgiformes,0,2012
Charadriiformes,4,2012
Ciconiiformes,0,2012
Columbiformes,0,2012
Coraciiformes,0,2012
Cuculiformes,0,2012
Falconiformes,0,2012
Galliformes,0,2012
Gaviiformes,1,2012
Gruiformes,1,2012
Others,0,2012
Passeriformes,10,2012
Pelecaniformes,0,2012
Phoenicopteriformes,0,2012
Piciformes,0,2012
Podicipediformes,0,2012
Procellariiformes,1,2012
Strigiformes,1,2012
Suliformes,1,2012
Accipitriformes,5,2013
Anseriformes,0,2013
Caprimulgiformes,0,2013
Charadriiformes,7,2013
Ciconiiformes,0,2013
Columbiformes,0,2013
Coraciiformes,0,2013
Cuculiformes,1,2013
Falconiformes,0,2013
Galliformes,1,2013
Gaviiformes,0,2013
Gruiformes,3,2013
Others,0,2013
Passeriformes,21,2013
Pelecaniformes,2,2013
Phoenicopteriformes,0,2013
Piciformes,0,2013
Podicipediformes,0,2013
Procellariiformes,1,2013
Strigiformes,0,2013
Suliformes,0,2013
Accipitriformes,2,2014
Anseriformes,2,2014
Caprimulgiformes,1,2014
Charadriiformes,7,2014
Ciconiiformes,1,2014
Columbiformes,0,2014
Coraciiformes,1,2014
Cuculiformes,0,2014
Falconiformes,1,2014
Galliformes,0,2014
Gaviiformes,0,2014
Gruiformes,0,2014
Others,0,2014
Passeriformes,24,2014
Pelecaniformes,1,2014
Phoenicopteriformes,1,2014
Piciformes,1,2014
Podicipediformes,1,2014
Procellariiformes,1,2014
Strigiformes,1,2014
Suliformes,0,2014
Accipitriformes,2,2015
Anseriformes,1,2015
Caprimulgiformes,0,2015
Charadriiformes,4,2015
Ciconiiformes,0,2015
Columbiformes,0,2015
Coraciiformes,1,2015
Cuculiformes,0,2015
Falconiformes,0,2015
Galliformes,0,2015
Gaviiformes,0,2015
Gruiformes,1,2015
Others,0,2015
Passeriformes,18,2015
Pelecaniformes,3,2015
Phoenicopteriformes,0,2015
Piciformes,1,2015
Podicipediformes,0,2015
Procellariiformes,0,2015
Strigiformes,1,2015
Suliformes,0,2015
Accipitriformes,3,2016
Anseriformes,3,2016
Caprimulgiformes,0,2016
Charadriiformes,3,2016
Ciconiiformes,0,2016
Columbiformes,1,2016
Coraciiformes,0,2016
Cuculiformes,3,2016
Falconiformes,0,2016
Galliformes,0,2016
Gaviiformes,0,2016
Gruiformes,0,2016
Others,0,2016
Passeriformes,23,2016
Pelecaniformes,2,2016
Phoenicopteriformes,3,2016
Piciformes,1,2016
Podicipediformes,0,2016
Procellariiformes,0,2016
Strigiformes,0,2016
Suliformes,0,2016
Accipitriformes,1,2017
Anseriformes,8,2017
Caprimulgiformes,0,2017
Charadriiformes,6,2017
Ciconiiformes,0,2017
Columbiformes,2,2017
Coraciiformes,0,2017
Cuculiformes,0,2017
Falconiformes,0,2017
Galliformes,1,2017
Gaviiformes,0,2017
Gruiformes,2,2017
Others,0,2017
Passeriformes,34,2017
Pelecaniformes,4,2017
Phoenicopteriformes,1,2017
Piciformes,2,2017
Podicipediformes,1,2017
Procellariiformes,0,2017
Strigiformes,0,2017
Suliformes,2,2017
Accipitriformes,3,2018
Anseriformes,4,2018
Caprimulgiformes,1,2018
Charadriiformes,7,2018
Ciconiiformes,2,2018
Columbiformes,1,2018
Coraciiformes,0,2018
Cuculiformes,1,2018
Falconiformes,1,2018
Galliformes,0,2018
Gaviiformes,1,2018
Gruiformes,0,2018
Others,0,2018
Passeriformes,28,2018
Pelecaniformes,1,2018
Phoenicopteriformes,0,2018
Piciformes,2,2018
Podicipediformes,0,2018
Procellariiformes,0,2018
Strigiformes,0,2018
Suliformes,1,2018
Accipitriformes,2,2019
Anseriformes,6,2019
Caprimulgiformes,1,2019
Charadriiformes,17,2019
Ciconiiformes,0,2019
Columbiformes,1,2019
Coraciiformes,2,2019
Cuculiformes,0,2019
Falconiformes,0,2019
Galliformes,0,2019
Gaviiformes,0,2019
Gruiformes,1,2019
Others,0,2019
Passeriformes,32,2019
Pelecaniformes,5,2019
Phoenicopteriformes,1,2019
Piciformes,1,2019
Podicipediformes,0,2019
Procellariiformes,2,2019
Strigiformes,2,2019
Suliformes,0,2019
Accipitriformes,2,2020
Anseriformes,1,2020
Caprimulgiformes,0,2020
Charadriiformes,6,2020
Ciconiiformes,0,2020
Columbiformes,0,2020
Coraciiformes,1,2020
Cuculiformes,1,2020
Falconiformes,0,2020
Galliformes,0,2020
Gaviiformes,0,2020
Gruiformes,1,2020
Others,1,2020
Passeriformes,28,2020
Pelecaniformes,1,2020
Phoenicopteriformes,0,2020
Piciformes,0,2020
Podicipediformes,0,2020
Procellariiformes,0,2020
Strigiformes,0,2020
Suliformes,0,2020
Accipitriformes,8,2021
Anseriformes,4,2021
Caprimulgiformes,0,2021
Charadriiformes,12,2021
Ciconiiformes,2,2021
Columbiformes,2,2021
Coraciiformes,0,2021
Cuculiformes,1,2021
Falconiformes,0,2021
Galliformes,3,2021
Gaviiformes,1,2021
Gruiformes,2,2021
Others,0,2021
Passeriformes,16,2021
Pelecaniformes,0,2021
Phoenicopteriformes,1,2021
Piciformes,0,2021
Podicipediformes,1,2021
Procellariiformes,0,2021
Strigiformes,1,2021
Suliformes,2,2021
Accipitriformes,2,2022
Anseriformes,6,2022
Caprimulgiformes,0,2022
Charadriiformes,6,2022
Ciconiiformes,0,2022
Columbiformes,3,2022
Coraciiformes,1,2022
Cuculiformes,1,2022
Falconiformes,0,2022
Galliformes,2,2022
Gaviiformes,0,2022
Gruiformes,4,2022
Others,0,2022
Passeriformes,31,2022
Pelecaniformes,2,2022
Phoenicopteriformes,1,2022
Piciformes,1,2022
Podicipediformes,0,2022
Procellariiformes,1,2022
Strigiformes,1,2022
Suliformes,0,2022
Accipitriformes,9,2023
Anseriformes,5,2023
Caprimulgiformes,0,2023
Charadriiformes,8,2023
Ciconiiformes,1,2023
Columbiformes,4,2023
Coraciiformes,1,2023
Cuculiformes,0,2023
Falconiformes,0,2023
Galliformes,0,2023
Gaviiformes,2,2023
Gruiformes,5,2023
Others,0,2023
Passeriformes,34,2023
Pelecaniformes,1,2023
Phoenicopteriformes,0,2023
Piciformes,0,2023
Podicipediformes,0,2023
Procellariiformes,0,2023
Strigiformes,3,2023
Suliformes,0,2023
Accipitriformes,4,2024
Anseriformes,6,2024
Caprimulgiformes,0,2024
Charadriiformes,12,2024
Ciconiiformes,2,2024
Columbiformes,2,2024
Coraciiformes,1,2024
Cuculiformes,2,2024
Falconiformes,0,2024
Galliformes,3,2024
Gaviiformes,0,2024
Gruiformes,2,2024
Others,0,2024
Passeriformes,48,2024
Pelecaniformes,2,2024
Phoenicopteriformes,0,2024
Piciformes,0,2024
Podicipediformes,0,2024
Procellariiformes,1,2024
Strigiformes,2,2024
Suliformes,3,2024
Accipitriformes,6,2025
Anseriformes,4,2025
Caprimulgiformes,0,2025
Charadriiformes,15,2025
Ciconiiformes,1,2025
Columbiformes,0,2025
Coraciiformes,1,2025
Cuculiformes,0,2025
Falconiformes,0,2025
Galliformes,1,2025
