total_records,percentage,province_label_bar
42,0.0410958904109589,Anhui
18,0.01761252446183953,Beijing
12,0.011741682974559686,Chongqing
16,0.015655577299412915,Fujian
50,0.04892367906066536,Gansu
13,0.012720156555772993,Guangdong
38,0.03718199608610567,Guangxi
33,0.03228962818003914,Guizhou
31,0.030332681017612523,Hainan
13,0.012720156555772993,Hebei
21,0.02054794520547945,Heilongjiang
38,0.03718199608610567,Henan
1,9.784735812133072e-4,Hong Kong
35,0.03424657534246575,Hubei
59,0.057729941291585124,Hunan
35,0.03424657534246575,Neimenggu
49,0.04794520547945205,Jiangsu
30,0.029354207436399216,Jiangxi
24,0.023483365949119372,Jilin
33,0.03228962818003914,Liaoning
0,0,Macau
24,0.023483365949119372,Ningxia
31,0.030332681017612523,Qinghai
57,0.05577299412915851,Shaanxi
30,0.029354207436399216,Shandong
24,0.023483365949119372,Shanghai
11,0.010763209393346379,Shanxi
34,0.033268101761252444,Sichuan
1,9.784735812133072e-4,Taiwan
23,0.022504892367906065,Tianjin
34,0.033268101761252444,Xinjiang
67,0.06555772994129158,Xizang
60,0.05870841487279843,Yunnan
35,0.03424657534246575,Zhejiang
