order,color
Passeriformes,#6D35A5
Charadriiformes,#12B34B
Anseriformes,#173F74
Accipitriformes,#FFF200
Pelecaniformes,#FF6B00
Gruiformes,#27D7D7
Columbiformes,#628F45
Strigiformes,#176AE6
Coraciiformes,#F6C3C5
Suliformes,#111111
Others,#8D8D8D
