order_bar,n_records,province_label_bar
Passeriformes,10,Liaoning
Pelecaniformes,1,Liaoning
Strigiformes,0,Liaoning
Suliformes,2,Liaoning
Accipitriformes,0,Macau
Anseriformes,0,Macau
Charadriiformes,0,Macau
Columbiformes,0,Macau
Coraciiformes,0,Macau
Gruiformes,0,Macau
Others,0,Macau
Passeriformes,0,Macau
Pelecaniformes,0,Macau
Strigiformes,0,Macau
Suliformes,0,Macau
Accipitriformes,3,Ningxia
Anseriformes,1,Ningxia
Charadriiformes,4,Ningxia
Columbiformes,0,Ningxia
Coraciiformes,0,Ningxia
Gruiformes,2,Ningxia
Others,2,Ningxia
Passeriformes,12,Ningxia
Pelecaniformes,0,Ningxia
Strigiformes,0,Ningxia
Suliformes,0,Ningxia
Accipitriformes,1,Qinghai
Anseriformes,0,Qinghai
Charadriiformes,1,Qinghai
Columbiformes,0,Qinghai
Coraciiformes,2,Qinghai
Gruiformes,1,Qinghai
Others,4,Qinghai
Passeriformes,21,Qinghai
Pelecaniformes,1,Qinghai
Strigiformes,0,Qinghai
Suliformes,0,Qinghai
Accipitriformes,5,Shaanxi
Anseriformes,4,Shaanxi
Charadriiformes,10,Shaanxi
Columbiformes,0,Shaanxi
Coraciiformes,1,Shaanxi
Gruiformes,1,Shaanxi
Others,8,Shaanxi
Passeriformes,25,Shaanxi
Pelecaniformes,2,Shaanxi
Strigiformes,0,Shaanxi
Suliformes,1,Shaanxi
Accipitriformes,1,Shandong
Anseriformes,4,Shandong
Charadriiformes,4,Shandong
Columbiformes,0,Shandong
Coraciiformes,2,Shandong
Gruiformes,1,Shandong
Others,3,Shandong
Passeriformes,14,Shandong
Pelecaniformes,1,Shandong
Strigiformes,0,Shandong
Suliformes,0,Shandong
Accipitriformes,1,Shanghai
Anseriformes,2,Shanghai
Charadriiformes,2,Shanghai
Columbiformes,0,Shanghai
Coraciiformes,1,Shanghai
Gruiformes,0,Shanghai
Others,2,Shanghai
Passeriformes,16,Shanghai
Pelecaniformes,0,Shanghai
Strigiformes,0,Shanghai
Suliformes,0,Shanghai
Accipitriformes,1,Shanxi
Anseriformes,0,Shanxi
Charadriiformes,1,Shanxi
Columbiformes,0,Shanxi
Coraciiformes,0,Shanxi
Gruiformes,1,Shanxi
Others,2,Shanxi
Passeriformes,4,Shanxi
Pelecaniformes,1,Shanxi
Strigiformes,1,Shanxi
Suliformes,0,Shanxi
Accipitriformes,1,Sichuan
Anseriformes,2,Sichuan
Charadriiformes,7,Sichuan
Columbiformes,0,Sichuan
Coraciiformes,0,Sichuan
Gruiformes,2,Sichuan
Others,4,Sichuan
Passeriformes,16,Sichuan
Pelecaniformes,2,Sichuan
Strigiformes,0,Sichuan
Suliformes,0,Sichuan
Accipitriformes,0,Taiwan
Anseriformes,0,Taiwan
Charadriiformes,0,Taiwan
Columbiformes,0,Taiwan
Coraciiformes,0,Taiwan
Gruiformes,0,Taiwan
Others,0,Taiwan
Passeriformes,0,Taiwan
Pelecaniformes,0,Taiwan
Strigiformes,0,Taiwan
Suliformes,1,Taiwan
Accipitriformes,2,Tianjin
Anseriformes,1,Tianjin
Charadriiformes,3,Tianjin
Columbiformes,0,Tianjin
Coraciiformes,0,Tianjin
Gruiformes,1,Tianjin
Others,2,Tianjin
Passeriformes,11,Tianjin
Pelecaniformes,3,Tianjin
Strigiformes,0,Tianjin
Suliformes,0,Tianjin
Accipitriformes,3,Xinjiang
Anseriformes,3,Xinjiang
Charadriiformes,7,Xinjiang
Columbiformes,0,Xinjiang
Coraciiformes,0,Xinjiang
Gruiformes,0,Xinjiang
Others,2,Xinjiang
Passeriformes,17,Xinjiang
Pelecaniformes,2,Xinjiang
Strigiformes,0,Xinjiang
Suliformes,0,Xinjiang
Accipitriformes,2,Xizang
Anseriformes,3,Xizang
Charadriiformes,7,Xizang
Columbiformes,1,Xizang
Coraciiformes,2,Xizang
Gruiformes,0,Xizang
