scale_id,climate_id,climate_label,effort_id,effort_label,additive_r2,interaction_r2,delta_interaction_r2,ratio_interaction_additive
province,temp_grad,Temperature gradient,record,Record-based (legacy),0.00613150372710356,0.0319661584923251,0.0258346547652215,4.21342886101864
province,temp_grad,Temperature gradient,visits,Observer visits,0.00980368077287682,0.0499937470375951,0.0401900662647183,4.09948744719528
province,temp_grad,Temperature gradient,pc1,PCA composite (PC1),0.00619068239488479,0.0301914933412007,0.0240008109463159,3.876924935795
province,temp_grad,Temperature gradient,days,Birding days,0.00738296499556085,0.0462109909399409,0.03882802594438,5.25913721218049
province,clim_velocity,Climate velocity,record,Record-based (legacy),0.010184990200143,0.0106601293293352,0.000475139129192179,0.0466509166779077
province,clim_velocity,Climate velocity,visits,Observer visits,0.0130358422824825,0.0152650867551578,0.00222924447267527,0.171008855766145
province,clim_velocity,Climate velocity,pc1,PCA composite (PC1),0.0101835244057494,0.0165825832225912,0.00639905881684188,0.628373690863759
province,clim_velocity,Climate velocity,days,Birding days,0.0105541956612773,0.012919303296504,0.00236510763522666,0.224091698802221
province,mahalanobis,Mahalanobis distance,record,Record-based (legacy),0.00647276279563462,0.0144429292288507,0.00797016643321607,1.23133918001619
province,mahalanobis,Mahalanobis distance,visits,Observer visits,0.00765315993595581,0.0126510226572905,0.00499786272133465,0.653045639076986
province,mahalanobis,Mahalanobis distance,pc1,PCA composite (PC1),0.00439331476519017,0.0139694151594796,0.00957610039428939,2.17969822471277
province,mahalanobis,Mahalanobis distance,days,Birding days,0.00582258883938353,0.0132378249584647,0.00741523611908118,1.2735290647564
province,exposure,Climate exposure,record,Record-based (legacy),0.031872978872138,0.0317990872247442,-7.38916473937978e-05,-0.00231831632964783
province,exposure,Climate exposure,visits,Observer visits,0.0391183360114683,0.0389825378277798,-0.000135798183688578,-0.00347147137467109
province,exposure,Climate exposure,pc1,PCA composite (PC1),0.0345593541939017,0.0346137948379264,5.44406440246975e-05,0.00157527955294674
province,exposure,Climate exposure,days,Birding days,0.036163064168683,0.0370321408790191,0.000869076710336134,0.0240321645943031
province,warming,Warming rate,record,Record-based (legacy),0.0409285160999866,0.0408477878857777,-8.07282142088681e-05,-0.00197241976747099
province,warming,Warming rate,visits,Observer visits,0.0475203072621255,0.0479537469359704,0.000433439673844967,0.00912114628076965
province,warming,Warming rate,pc1,PCA composite (PC1),0.0436366606457457,0.0449396113764754,0.00130295073072965,0.0298590843444085
province,warming,Warming rate,days,Birding days,0.044686433811143,0.047185322555747,0.00249888874460397,0.0559205228854231
province,prec_velocity,Precipitation velocity,record,Record-based (legacy),0.0174008658933034,0.0217629281695413,0.00436206227623797,0.250680759393514
province,prec_velocity,Precipitation velocity,visits,Observer visits,0.0208879093342598,0.0307297973097316,0.00984188797547175,0.471176306732112
province,prec_velocity,Precipitation velocity,pc1,PCA composite (PC1),0.0185056722755139,0.0259010251988848,0.00739535292337095,0.399626277460682
province,prec_velocity,Precipitation velocity,days,Birding days,0.0183318223502819,0.0245084459462993,0.00617662359601741,0.336934510819238
grid100,temp_grad,Temperature gradient,record,Record-based (legacy),0.00050540644807192,0.000471249637297869,-3.4156810774051e-05,-0.0675828551542152
grid100,temp_grad,Temperature gradient,visits,Observer visits,0.00047371172028385,0.000453374309969715,-2.03374103141352e-05,-0.0429320395576215
grid100,temp_grad,Temperature gradient,pc1,PCA composite (PC1),0.000472412584881963,0.000458756682540713,-1.36559023412503e-05,-0.0289067285213462
grid100,temp_grad,Temperature gradient,days,Birding days,1.03944184400492e-07,0.000451730368124721,0.00045162642394032,4344.89362291038
grid100,clim_velocity,Climate velocity,record,Record-based (legacy),0.000320094327314909,0.000320079055145674,-1.52721692353022e-08,-4.77114648154242e-05
grid100,clim_velocity,Climate velocity,visits,Observer visits,0.000284436085922071,0.000284259448502526,-1.76637419544562e-07,-0.00062100917670818
grid100,clim_velocity,Climate velocity,pc1,PCA composite (PC1),0.000281899507477376,0.000283882029673226,1.98252219585013e-06,0.00703272671027719
grid100,clim_velocity,Climate velocity,days,Birding days,0.000287830792920349,0.000288147377536964,3.16584616615089e-07,0.00109989835834798
grid100,mahalanobis,Mahalanobis distance,record,Record-based (legacy),0.000317032051982024,0.000317354802770148,3.22750788124462e-07,0.00101803835324121
grid100,mahalanobis,Mahalanobis distance,visits,Observer visits,0.000279903197355453,0.000291708692306272,1.18054949508194e-05,0.0421770635789752
grid100,mahalanobis,Mahalanobis distance,pc1,PCA composite (PC1),0.000278307704932262,0.000280142022365438,1.83431743317581e-06,0.00659096891917624
grid100,mahalanobis,Mahalanobis distance,days,Birding days,0.000282705537344474,0.000294544752829362,1.18392154848885e-05,0.0418782581908275
grid100,exposure,Climate exposure,record,Record-based (legacy),0.000576395844889033,0.000604087384032576,2.76915391435429e-05,0.0480425724596853
