province,year,climate_scenario,effort_scenario,hazard_mean
Hainan,2030,current,baseline,0.0503746047616005
Guangdong,2030,current,baseline,0.0856037586927414
Yunnan,2030,current,baseline,0.0192420091480017
Guangxi,2030,current,baseline,0.0344646796584129
Guizhou,2030,current,baseline,0.221927285194397
Fujian,2030,current,baseline,0.0216995142400265
Hunan,2030,current,baseline,0.0155808385461569
Jiangxi,2030,current,baseline,0.0217745471745729
Sichuan,2030,current,baseline,0.202341750264168
Tibet,2030,current,baseline,0.15326651930809
Zhejiang,2030,current,baseline,0.0144040891900659
Chongqing,2030,current,baseline,0.102338187396526
Hubei,2030,current,baseline,0.0267897006124258
Anhui,2030,current,baseline,0.0474686846137047
Shaanxi,2030,current,baseline,0.158420071005821
Qinghai,2030,current,baseline,0.1220967695117
Henan,2030,current,baseline,0.0573702044785023
Jiangsu,2030,current,baseline,0.0304173231124878
Shanghai,2030,current,baseline,0.0305352471768856
Gansu,2030,current,baseline,0.107303753495216
Shanxi,2030,current,baseline,0.236601561307907
Ningxia,2030,current,baseline,0.107820875942707
Shandong,2030,current,baseline,0.149762764573097
Hebei,2030,current,baseline,0.212589412927628
Xinjiang,2030,current,baseline,0.277350187301636
Inner Mongolia,2030,current,baseline,0.0432942733168602
Tianjin,2030,current,baseline,0.0968052074313164
Beijing,2030,current,baseline,0.111239202320576
Liaoning,2030,current,baseline,0.159969091415405
Jilin,2030,current,baseline,0.0418970435857773
Heilongjiang,2030,current,baseline,0.142421826720238
Hainan,2030,current,trend,0.0667662024497986
Guangdong,2030,current,trend,0.0709960907697678
Yunnan,2030,current,trend,0.0129377553239465
Guangxi,2030,current,trend,0.0392767153680325
Guizhou,2030,current,trend,0.10092993080616
Fujian,2030,current,trend,0.0234307330101728
Hunan,2030,current,trend,0.0139827243983746
Jiangxi,2030,current,trend,0.0166652910411358
Sichuan,2030,current,trend,0.0800656154751778
Tibet,2030,current,trend,0.0892344862222672
Zhejiang,2030,current,trend,0.0200176034122705
Chongqing,2030,current,trend,0.0882946476340294
Hubei,2030,current,trend,0.0246044248342514
Anhui,2030,current,trend,0.0402090772986412
Shaanxi,2030,current,trend,0.101036705076694
Qinghai,2030,current,trend,0.0959490016102791
Henan,2030,current,trend,0.0494463555514813
Jiangsu,2030,current,trend,0.0298440307378769
Shanghai,2030,current,trend,0.02647740021348
Gansu,2030,current,trend,0.154770448803902
Shanxi,2030,current,trend,0.178355664014816
Ningxia,2030,current,trend,0.0668083429336548
Shandong,2030,current,trend,0.130948856472969
Hebei,2030,current,trend,0.188927471637726
Xinjiang,2030,current,trend,0.365411341190338
Inner Mongolia,2030,current,trend,0.04437455534935
Tianjin,2030,current,trend,0.138515070080757
Beijing,2030,current,trend,0.104491084814072
Liaoning,2030,current,trend,0.305666893720627
Jilin,2030,current,trend,0.0630304515361786
Heilongjiang,2030,current,trend,0.127298668026924
Hainan,2030,current,doubled,0.0534191429615021
Guangdong,2030,current,doubled,0.068601556122303
Yunnan,2030,current,doubled,0.0335065610706806
Guangxi,2030,current,doubled,0.0700838714838028
Guizhou,2030,current,doubled,0.045569434762001
Fujian,2030,current,doubled,0.025552861392498
Hunan,2030,current,doubled,0.0326410494744778
Jiangxi,2030,current,doubled,0.0325219221413136
Sichuan,2030,current,doubled,0.0809899121522903
Tibet,2030,current,doubled,0.11090149730444
Zhejiang,2030,current,doubled,0.0204806607216597
Chongqing,2030,current,doubled,0.0827633067965508
Hubei,2030,current,doubled,0.063206747174263
Anhui,2030,current,doubled,0.0407111421227455
Shaanxi,2030,current,doubled,0.0886059626936913
Qinghai,2030,current,doubled,0.0961391255259514
Henan,2030,current,doubled,0.0498987622559071
Jiangsu,2030,current,doubled,0.0541202686727047
Shanghai,2030,current,doubled,0.0435698293149471
Gansu,2030,current,doubled,0.220131143927574
Shanxi,2030,current,doubled,0.192709133028984
Ningxia,2030,current,doubled,0.189179837703705
Shandong,2030,current,doubled,0.134560108184814
