province,year,climate_scenario,effort_scenario,hazard_mean,prefecture
Anhui,2030,current,baseline,0.286998003721237,宣城市
Anhui,2030,current,baseline,0.286998003721237,淮北市
Anhui,2030,current,baseline,0.286998003721237,铜陵市
Anhui,2030,current,baseline,0.286998003721237,亳州市
Anhui,2030,current,baseline,0.286998003721237,淮南市
Anhui,2030,current,baseline,0.286998003721237,池州市
Anhui,2030,current,baseline,0.286998003721237,马鞍山市
Anhui,2030,current,baseline,0.286998003721237,安庆市
Anhui,2030,current,baseline,0.286998003721237,黄山市
Anhui,2030,current,baseline,0.286998003721237,滁州市
Anhui,2030,current,baseline,0.286998003721237,芜湖市
Anhui,2030,current,baseline,0.286998003721237,六安市
Anhui,2030,current,baseline,0.286998003721237,蚌埠市
Anhui,2030,current,baseline,0.286998003721237,阜阳市
Anhui,2030,current,baseline,0.286998003721237,宿州市
Anhui,2030,current,baseline,0.286998003721237,合肥市
Anhui,2035,current,baseline,0.286998003721237,宣城市
Anhui,2035,current,baseline,0.286998003721237,淮北市
Anhui,2035,current,baseline,0.286998003721237,铜陵市
Anhui,2035,current,baseline,0.286998003721237,亳州市
Anhui,2035,current,baseline,0.286998003721237,淮南市
Anhui,2035,current,baseline,0.286998003721237,池州市
Anhui,2035,current,baseline,0.286998003721237,马鞍山市
Anhui,2035,current,baseline,0.286998003721237,安庆市
Anhui,2035,current,baseline,0.286998003721237,黄山市
Anhui,2035,current,baseline,0.286998003721237,滁州市
Anhui,2035,current,baseline,0.286998003721237,芜湖市
Anhui,2035,current,baseline,0.286998003721237,六安市
Anhui,2035,current,baseline,0.286998003721237,蚌埠市
Anhui,2035,current,baseline,0.286998003721237,阜阳市
Anhui,2035,current,baseline,0.286998003721237,宿州市
Anhui,2035,current,baseline,0.286998003721237,合肥市
Anhui,2040,current,baseline,0.286998003721237,宣城市
Anhui,2040,current,baseline,0.286998003721237,淮北市
Anhui,2040,current,baseline,0.286998003721237,铜陵市
Anhui,2040,current,baseline,0.286998003721237,亳州市
Anhui,2040,current,baseline,0.286998003721237,淮南市
Anhui,2040,current,baseline,0.286998003721237,池州市
Anhui,2040,current,baseline,0.286998003721237,马鞍山市
Anhui,2040,current,baseline,0.286998003721237,安庆市
Anhui,2040,current,baseline,0.286998003721237,黄山市
Anhui,2040,current,baseline,0.286998003721237,滁州市
Anhui,2040,current,baseline,0.286998003721237,芜湖市
Anhui,2040,current,baseline,0.286998003721237,六安市
Anhui,2040,current,baseline,0.286998003721237,蚌埠市
Anhui,2040,current,baseline,0.286998003721237,阜阳市
Anhui,2040,current,baseline,0.286998003721237,宿州市
Anhui,2040,current,baseline,0.286998003721237,合肥市
Anhui,2045,current,baseline,0.286998003721237,宣城市
Anhui,2045,current,baseline,0.286998003721237,淮北市
Anhui,2045,current,baseline,0.286998003721237,铜陵市
Anhui,2045,current,baseline,0.286998003721237,亳州市
Anhui,2045,current,baseline,0.286998003721237,淮南市
Anhui,2045,current,baseline,0.286998003721237,池州市
Anhui,2045,current,baseline,0.286998003721237,马鞍山市
Anhui,2045,current,baseline,0.286998003721237,安庆市
Anhui,2045,current,baseline,0.286998003721237,黄山市
Anhui,2045,current,baseline,0.286998003721237,滁州市
Anhui,2045,current,baseline,0.286998003721237,芜湖市
Anhui,2045,current,baseline,0.286998003721237,六安市
Anhui,2045,current,baseline,0.286998003721237,蚌埠市
Anhui,2045,current,baseline,0.286998003721237,阜阳市
Anhui,2045,current,baseline,0.286998003721237,宿州市
Anhui,2045,current,baseline,0.286998003721237,合肥市
Anhui,2050,current,baseline,0.286998003721237,宣城市
Anhui,2050,current,baseline,0.286998003721237,淮北市
Anhui,2050,current,baseline,0.286998003721237,铜陵市
Anhui,2050,current,baseline,0.286998003721237,亳州市
Anhui,2050,current,baseline,0.286998003721237,淮南市
Anhui,2050,current,baseline,0.286998003721237,池州市
Anhui,2050,current,baseline,0.286998003721237,马鞍山市
Anhui,2050,current,baseline,0.286998003721237,安庆市
Anhui,2050,current,baseline,0.286998003721237,黄山市
