scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,model,status,aic,convergence,pdHess,marginal_r2,conditional_r2,delta_aic
province,clim_velocity,Climate velocity,climate_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,4224.69692083372,0,FALSE,0.0101835244057494,,2.42035702449175
province,clim_velocity,Climate velocity,climate_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,4222.27656380923,0,FALSE,0.0165825832225912,,0
province,clim_velocity,Climate velocity,climate_velocity_z,days,Birding days,log_effort_days_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,0
province,clim_velocity,Climate velocity,climate_velocity_z,days,Birding days,log_effort_days_z,M1,ok,4224.93616302783,0,FALSE,0.00678547253924191,,1.10049281351621
province,clim_velocity,Climate velocity,climate_velocity_z,days,Birding days,log_effort_days_z,M2,ok,4223.96593136789,0,FALSE,0.00501629451316272,,0.13026115358025
province,clim_velocity,Climate velocity,climate_velocity_z,days,Birding days,log_effort_days_z,M3,ok,4225.19391157106,0,FALSE,0.0105541956612773,,1.35824135674829
province,clim_velocity,Climate velocity,climate_velocity_z,days,Birding days,log_effort_days_z,M4,ok,4225.93186940617,0,FALSE,0.012919303296504,,2.09619919185661
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,record,Record-based (legacy),log_effort_record_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,3.60013197792159
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,record,Record-based (legacy),log_effort_record_z,M1,ok,4225.28509295487,0,FALSE,0.00180431146278937,,5.04955471848098
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,record,Record-based (legacy),log_effort_record_z,M2,ok,4224.36946965606,0,FALSE,0.00347850002282306,,4.1339314196648
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,record,Record-based (legacy),log_effort_record_z,M3,ok,4225.37893747369,0,FALSE,0.00647276279563462,,5.14339923729403
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,record,Record-based (legacy),log_effort_record_z,M4,ok,4220.23553823639,0,FALSE,0.0144429292288507,,0
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,visits,Observer visits,log_effort_visits_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,2.14093998240696
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,visits,Observer visits,log_effort_visits_z,M1,ok,4225.28509295487,0,FALSE,0.00180431146278937,,3.59036272296635
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,visits,Observer visits,log_effort_visits_z,M2,ok,4222.89902645142,0,FALSE,0.00778001924313982,,1.20429621950825
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,visits,Observer visits,log_effort_visits_z,M3,ok,4224.7418844877,0,FALSE,0.00765315993595581,,3.04715425578797
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,visits,Observer visits,log_effort_visits_z,M4,ok,4221.69473023191,0,FALSE,0.0126510226572905,,0
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,pc1,PCA composite (PC1),effort_pc1_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,5.8904076769586
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,pc1,PCA composite (PC1),effort_pc1_z,M1,ok,4225.28509295487,0,FALSE,0.00180431146278937,,7.33983041751799
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,pc1,PCA composite (PC1),effort_pc1_z,M2,ok,4223.48043787928,0,FALSE,0.0041841048656596,,5.53517534192815
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,4225.32494407029,0,FALSE,0.00439331476519017,,7.37968153293605
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,4217.94526253736,0,FALSE,0.0139694151594796,,0
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,days,Birding days,log_effort_days_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,1.60531521665689
