clim_proxy,effort_proxy,aic,pdHess,interact_hr,interact_p,interact_est
climate_velocity_z,effort_pc1_z,4222.27656380923,TRUE,0.880091986077587,0.0366405399266972,-0.127728847339104
climate_velocity_z,log_effort_days_z,4225.93186940617,TRUE,0.9358743731619,0.258872264032501,-0.0662740282197846
climate_velocity_z,log_effort_visits_z,4224.71797390006,TRUE,0.932333439732476,0.220244004438523,-0.0700647603269388
mahalanobis_dist_z,effort_pc1_z,4217.94526253736,TRUE,1.13061083455617,0.0020543597805138,0.122758048227613
mahalanobis_dist_z,log_effort_days_z,4222.23035499766,TRUE,1.13391199419964,0.0245799146408042,0.125673595768123
mahalanobis_dist_z,log_effort_visits_z,4221.69473023191,TRUE,1.10905988024157,0.0251129654471874,0.103512701718109
prec_grad_z,effort_pc1_z,4212.12838751136,TRUE,1.12709501617124,0.000154703722909305,0.119643540440166
prec_grad_z,log_effort_days_z,4220.92035462818,TRUE,1.1298387993586,0.0144158319029286,0.122074967113124
prec_grad_z,log_effort_visits_z,4218.02623366358,TRUE,1.12509163351809,0.00509935756952526,0.117864484355431
precip_velocity_z,effort_pc1_z,4218.27665812325,TRUE,0.86346435759582,0.00875461808006432,-0.146802658916886
precip_velocity_z,log_effort_days_z,4222.64161194355,TRUE,0.895276446027598,0.0565178373674325,-0.11062273015722
precip_velocity_z,log_effort_visits_z,4218.36121451389,TRUE,0.872125369693311,0.00904048459443954,-0.136822092823372
temp_grad_z,effort_pc1_z,4207.83980339481,TRUE,1.17657238451723,5.79786630401298e-05,0.162605452594193
temp_grad_z,log_effort_days_z,4196.45107733399,TRUE,1.30770237215383,2.06858914457279e-08,0.268271682917988
temp_grad_z,log_effort_visits_z,4193.83280891924,TRUE,1.29169520151261,1.53029987790919e-08,0.255955465386821
