term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,spec_label,effort_var,model
(Intercept),-3.32747194431228,0.119726850898122,-27.7921946443216,5.39022526599082e-170,-3.5621365720726,-3.09280731655196,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
year_c,-0.0342930979489781,0.0159216587283537,-2.15386465280203,0.0312507876778514,-0.0654995490565514,-0.00308664684140476,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
temp_grad_z,-0.142806903417345,0.0494840794335557,-2.88591613812071,0.00390276134592965,-0.239795699107115,-0.0458181077275762,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
log_effort_visits_z,0.211950561794998,0.102461081992318,2.06859577972141,0.0385840343007801,0.0111268410900549,0.412774282499942,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
prec_grad_z,-0.0579736832726434,0.0459247843106258,-1.26236157976315,0.206818707483777,-0.14798626052147,0.0320388939761831,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
temp_grad_z:log_effort_visits_z,0.255473464352638,0.0451199835018356,5.66209126256096,1.49539252254937e-08,0.16703829668904,0.343908632016236,spec_B_extended,Observer visits (extended),log_effort_visits_z,M5
(Intercept),-3.26311232721616,0.322631924616084,-10.1140404226863,4.78684635540849e-24,-3.89547089946369,-2.63075375496864,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
year_c,-0.0325898488640707,0.0158223773608171,-2.05973148793537,0.0394242174441889,-0.0636017084912722,-0.00157798923686921,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
temp_grad_z,-0.153928772036198,0.0514397045395465,-2.99241166748652,0.0027678275228272,-0.25475059293371,-0.0531069511386873,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
log_effort_visits_z,0.197553674328735,0.101715220316002,1.9422233340791,0.0521100694519657,-0.00180815749062807,0.396915506148099,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
migLong_distance_migrant,-0.123779302485341,0.313407245538764,-0.394947162987753,0.692881882390942,-0.738057503741318,0.490498898770637,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
migPartial_migrant,-0.0782619946538676,0.314471234392088,-0.248868532618437,0.803462476937301,-0.694625614062361,0.538101624754626,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
migResident_low,-0.000112474329961202,0.310006803156619,-0.000362812457068495,0.999710517548389,-0.607725808516934,0.607500859857012,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
temp_grad_z:log_effort_visits_z,0.255191399031501,0.0453456573874502,5.62769212608499,1.82636689323579e-08,0.166313910552099,0.344068887510904,spec_B_extended,Observer visits (extended),log_effort_visits_z,M6
(Intercept),-3.25756442546905,0.322703447226372,-10.0946068393992,5.83644786678813e-24,-3.89006318203274,-2.62506566890536,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
year_c,-0.0342379199599638,0.0158904646825005,-2.15462043710205,0.0311915484307045,-0.0653832307376648,-0.00309260918226287,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
temp_grad_z,-0.158496066567341,0.0514747530741218,-3.07910299907826,0.00207624886386599,-0.25938658259262,-0.0576055505420627,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
log_effort_visits_z,0.210086681506942,0.102443650192613,2.05075357147017,0.0402909510431962,0.00929712712942013,0.410876235884463,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
prec_grad_z,-0.0602065319827693,0.0457948907798355,-1.31469976142578,0.188610826798473,-0.149964517911247,0.0295514539457083,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
migLong_distance_migrant,-0.134137915275388,0.313579698104326,-0.427763391846756,0.668823392054528,-0.748754123559867,0.48047829300909,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
migPartial_migrant,-0.0836182126378276,0.31451759408321,-0.265861796639921,0.790345648363062,-0.700072697040919,0.532836271765264,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
migResident_low,-0.00403505943920673,0.310049161380912,-0.0130142569044057,0.989616418459209,-0.611731415745794,0.60366129686738,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
temp_grad_z:log_effort_visits_z,0.254585603554462,0.045222577034486,5.62961291127482,1.8061450458171e-08,0.16594935256687,0.343221854542055,spec_B_extended,Observer visits (extended),log_effort_visits_z,M7
