term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,spec_label,effort_var,model,hr,hr_lower,hr_upper
temp_grad_z,-0.0598575553873221,0.0485778603758015,-1.23219826736419,0.217875030387171,-0.155070161723893,0.0353550509492488,spec_A,Record-based (legacy),log_effort_record_z,M1,0.941898692423344,0.856355092026267,1.03598747184374
log_effort_record_z,-0.0968046627442125,0.0799042223766503,-1.21150872713456,0.225700491977941,-0.253416938602447,0.0598076131140221,spec_A,Record-based (legacy),log_effort_record_z,M2,0.907733302948757,0.7761442098706,1.06163228276822
temp_grad_z,-0.0648030476168455,0.0488803965948,-1.32574717333082,0.18492345627981,-0.160608624942653,0.0310025297089625,spec_A,Record-based (legacy),log_effort_record_z,M3,0.937252039223222,0.851625310796897,1.03148811324795
log_effort_record_z,-0.104530653413835,0.0800438960935112,-1.30591660970272,0.191580917496923,-0.261416689757117,0.0523553829294468,spec_A,Record-based (legacy),log_effort_record_z,M3,0.90074718600744,0.76996001830856,1.05375016079754
temp_grad_z,-0.116952989324922,0.0497841267830457,-2.34920238401672,0.0188136777020074,-0.214529877819691,-0.0193761008301521,spec_A,Record-based (legacy),log_effort_record_z,M4,0.88962701414689,0.806920702340485,0.98081040925625
log_effort_record_z,-0.0641480457049758,0.0802569770004089,-0.799283104129986,0.424126273616668,-0.221451720625777,0.0931556292158257,spec_A,Record-based (legacy),log_effort_record_z,M4,0.937866142198173,0.801354610113119,1.09763254566854
temp_grad_z:log_effort_record_z,0.192555867701808,0.0447502431862046,4.30290103453936,1.6857616141299e-05,0.104845391056847,0.280266344346769,spec_A,Record-based (legacy),log_effort_record_z,M4,1.21234423270158,1.11053889783658,1.32348226741812
temp_grad_z,-0.0598575553873221,0.0485778603758015,-1.23219826736419,0.217875030387171,-0.155070161723893,0.0353550509492488,spec_B,Observer visits,log_effort_visits_z,M1,0.941898692423344,0.856355092026267,1.03598747184374
log_effort_visits_z,0.175220632893266,0.103305880667474,1.69613415771822,0.0898604761554477,-0.0272588932149843,0.377700159001516,spec_B,Observer visits,log_effort_visits_z,M2,1.19150907370812,0.97310927752047,1.45892543162904
temp_grad_z,-0.0577456667891717,0.0486043843949497,-1.18807526333307,0.234803759018214,-0.153010260203273,0.0375189266249298,spec_B,Observer visits,log_effort_visits_z,M3,0.943889979480594,0.858120917271182,1.03823164711685
log_effort_visits_z,0.171987677110544,0.10327119073735,1.66539841249591,0.0958332959346439,-0.0304238567346613,0.37439921095575,spec_B,Observer visits,log_effort_visits_z,M3,1.18766319768143,0.970034290833646,1.45411753425198
temp_grad_z,-0.139323333177627,0.0495262083935048,-2.81312334816043,0.00490628268966849,-0.236394701628897,-0.0422519647263581,spec_B,Observer visits,log_effort_visits_z,M4,0.869946700348357,0.789469007725956,0.958628209645564
log_effort_visits_z,0.199779652075641,0.101729997197645,1.96382244744882,0.0495506859474308,0.000388857568256101,0.399170446583025,spec_B,Observer visits,log_effort_visits_z,M4,1.22113365424694,1.00038893318316,1.49058766253011
temp_grad_z:log_effort_visits_z,0.255955465386826,0.0452367484662599,5.65813136586799,1.5302998779085e-08,0.167291438392957,0.344619492380695,spec_B,Observer visits,log_effort_visits_z,M4,1.29169520151262,1.18209872406413,1.4114527489501
temp_grad_z,-0.0598575553873221,0.0485778603758015,-1.23219826736419,0.217875030387171,-0.155070161723893,0.0353550509492488,spec_C,PCA composite (PC1),effort_pc1_z,M1,0.941898692423344,0.856355092026267,1.03598747184374
effort_pc1_z,0.0777836759868703,0.0491031073942657,1.58408866800055,0.113173542780598,-0.0184584145058905,0.174025766479631,spec_C,PCA composite (PC1),effort_pc1_z,M2,1.0808888111722,0.981710898675735,1.19008622975791
temp_grad_z,-0.0569828334287752,0.0486030085409945,-1.17241370728548,0.241030998856924,-0.152244730169124,0.038279063311574,spec_C,PCA composite (PC1),effort_pc1_z,M3,0.944610284947076,0.858778086115434,1.03902114510623
effort_pc1_z,0.0753816724709774,0.0491404288735266,1.53400518064236,0.125028378279603,-0.0209335681211348,0.17169691306309,spec_C,PCA composite (PC1),effort_pc1_z,M3,1.0782956281117,0.979284018085886,1.18731791812294
temp_grad_z,-0.104186567631434,0.0493093412543495,-2.11291745095548,0.0346078339475514,-0.200832876489959,-0.00754025877290884,spec_C,PCA composite (PC1),effort_pc1_z,M4,0.901057173635792,0.81804913537322,0.992488097661892
effort_pc1_z,0.0939818496207496,0.0520144154693904,1.80684236807499,0.0707868605820756,-0.00796640469925547,0.195930103940755,spec_C,PCA composite (PC1),effort_pc1_z,M4,1.09853980682211,0.99206524300742,1.21644187786924
temp_grad_z:effort_pc1_z,0.162605452594169,0.0404401638801584,4.02089005069413,5.79786630404225e-05,0.0833427313890585,0.241868173799279,spec_C,PCA composite (PC1),effort_pc1_z,M4,1.17657238451721,1.08691426435405,1.27362628443486
temp_grad_z,-0.0598575553873221,0.0485778603758015,-1.23219826736419,0.217875030387171,-0.155070161723893,0.0353550509492488,spec_D,Birding days,log_effort_days_z,M1,0.941898692423344,0.856355092026267,1.03598747184374
log_effort_days_z,0.141209868312304,0.1046707525241,1.349086205144,0.17730927862403,-0.0639448066349314,0.34636454325954,spec_D,Birding days,log_effort_days_z,M2,1.15166632089122,0.938056772611857,1.4139179561405
temp_grad_z,-0.0606943216179366,0.0486025722129648,-1.24878826067042,0.211742528787491,-0.155955363155348,0.0345667199194743,spec_D,Birding days,log_effort_days_z,M3,0.941110873061151,0.855597380686031,1.03517109260405
log_effort_days_z,0.142645127043083,0.104637490826754,1.3632315331343,0.172809552217039,-0.0624443549773554,0.347734609063521,spec_D,Birding days,log_effort_days_z,M3,1.15332044679859,0.93946533792904,1.41585644440686
temp_grad_z,-0.140682546328587,0.0496181792798827,-2.8353024711978,0.00457823169491908,-0.237934177717157,-0.0434309149400166,spec_D,Birding days,log_effort_days_z,M4,0.868765060584682,0.788254574101752,0.95749870066124
log_effort_days_z,0.166584357153939,0.103918370481842,1.60303088261999,0.108927836046932,-0.0370956489904718,0.370264363298349,spec_D,Birding days,log_effort_days_z,M4,1.18126317966737,0.963583965107631,1.44811739315525
temp_grad_z:log_effort_days_z,0.268271682922136,0.0478529776880278,5.60616488008548,2.06858914196485e-08,0.174479846653601,0.36206351919067,spec_D,Birding days,log_effort_days_z,M4,1.30770237215925,1.19062674702996,1.43629017105215
