term,Estimate,Std. Error,z value,Pr(>|z|),clim_proxy,effort_proxy
(Intercept),-3.34747683604333,0.11673735326001,-28.6752846673462,7.75926059203713e-181,climate_velocity_z,effort_pc1_z
year_c,-0.0134718268586842,0.0101155867996487,-1.33178896345905,0.182929545614212,climate_velocity_z,effort_pc1_z
climate_velocity_z,-0.103761622969211,0.118255822066319,-0.87743352636812,0.380251209718536,climate_velocity_z,effort_pc1_z
effort_pc1_z,0.0440368430181632,0.0530474778025453,0.830140184648896,0.406459529413807,climate_velocity_z,effort_pc1_z
climate_velocity_z:effort_pc1_z,-0.127728847339104,0.0611216823520436,-2.0897469183427,0.0366405399266972,climate_velocity_z,effort_pc1_z
(Intercept),-3.34513712309097,0.115564713095943,-28.9460081150706,3.15046667780268e-184,climate_velocity_z,log_effort_days_z
year_c,-0.0220585439731433,0.0147177761432871,-1.49876881931,0.1339336162493,climate_velocity_z,log_effort_days_z
climate_velocity_z,-0.0913522774688474,0.117591946442352,-0.776858281818064,0.437242386728901,climate_velocity_z,log_effort_days_z
log_effort_days_z,0.139420447197892,0.104708629824751,1.33150865818068,0.183021698008045,climate_velocity_z,log_effort_days_z
climate_velocity_z:log_effort_days_z,-0.0662740282197846,0.0586983792589857,-1.12906061558146,0.258872264032501,climate_velocity_z,log_effort_days_z
(Intercept),-3.34099860078423,0.116434712160127,-28.6941801014592,4.50964951608619e-181,climate_velocity_z,log_effort_visits_z
year_c,-0.0275181548261143,0.0160242721945823,-1.71727954268139,0.0859281080199386,climate_velocity_z,log_effort_visits_z
climate_velocity_z,-0.0873644826267896,0.118492145979357,-0.73730188532504,0.46093878596494,climate_velocity_z,log_effort_visits_z
log_effort_visits_z,0.158662258410673,0.103393699214331,1.53454475095018,0.124895692745286,climate_velocity_z,log_effort_visits_z
climate_velocity_z:log_effort_visits_z,-0.0700647603269388,0.0571546855211838,-1.22587955279659,0.220244004438523,climate_velocity_z,log_effort_visits_z
(Intercept),-3.37761334151674,0.116858043120551,-28.9035589790972,1.07708859193343e-183,mahalanobis_dist_z,effort_pc1_z
year_c,-0.00617100147227544,0.0108671255847245,-0.567859589379345,0.570130313487179,mahalanobis_dist_z,effort_pc1_z
mahalanobis_dist_z,-0.067936783354552,0.0724009115420726,-0.938341547192725,0.348068914798558,mahalanobis_dist_z,effort_pc1_z
effort_pc1_z,-0.0388220026270259,0.0652807472689571,-0.594692987613623,0.552048710068543,mahalanobis_dist_z,effort_pc1_z
mahalanobis_dist_z:effort_pc1_z,0.122758048227613,0.0398272976527977,3.0822590399625,0.0020543597805138,mahalanobis_dist_z,effort_pc1_z
(Intercept),-3.36824142867267,0.117866448472599,-28.5767618548013,1.30664993316229e-179,mahalanobis_dist_z,log_effort_days_z
year_c,-0.0231481729261459,0.0150103048507573,-1.54215208527081,0.123036640450741,mahalanobis_dist_z,log_effort_days_z
mahalanobis_dist_z,-0.0604020821279263,0.0803286319468049,-0.751937144503166,0.452088859149702,mahalanobis_dist_z,log_effort_days_z
log_effort_days_z,0.133840425733562,0.105606029934734,1.26735590587277,0.205028058811116,mahalanobis_dist_z,log_effort_days_z
mahalanobis_dist_z:log_effort_days_z,0.125673595768123,0.0559060770401953,2.24794159099675,0.0245799146408042,mahalanobis_dist_z,log_effort_days_z
(Intercept),-3.36516722995473,0.118160044347022,-28.4797390568986,2.08791253216211e-178,mahalanobis_dist_z,log_effort_visits_z
year_c,-0.0230306534962528,0.0162426760364259,-1.41791004417031,0.15621702956006,mahalanobis_dist_z,log_effort_visits_z
mahalanobis_dist_z,-0.0704491496901138,0.0794520545392784,-0.886687576534426,0.375247128823184,mahalanobis_dist_z,log_effort_visits_z
log_effort_visits_z,0.114080111596907,0.107525479386538,1.0609588745641,0.288708591323652,mahalanobis_dist_z,log_effort_visits_z
mahalanobis_dist_z:log_effort_visits_z,0.103512701718109,0.0462180304635018,2.23966059739072,0.0251129654471874,mahalanobis_dist_z,log_effort_visits_z
(Intercept),-3.35992321153898,0.116575676173257,-28.8218204846215,1.14304366488979e-182,prec_grad_z,effort_pc1_z
year_c,-0.0084318419144056,0.010436440579911,-0.807923146770555,0.419134825496981,prec_grad_z,effort_pc1_z
prec_grad_z,-0.0943155601007138,0.0474235169493085,-1.98879303282228,0.0467240521228814,prec_grad_z,effort_pc1_z
effort_pc1_z,0.00231254218973489,0.058266837758851,0.0396888226422345,0.968341212896285,prec_grad_z,effort_pc1_z
prec_grad_z:effort_pc1_z,0.119643540440166,0.0316233294313752,3.78339480982864,0.000154703722909305,prec_grad_z,effort_pc1_z
(Intercept),-3.3577848068104,0.117102079727836,-28.6739980589108,8.05122973044014e-181,prec_grad_z,log_effort_days_z
