term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,resolution,hr,hr_lower,hr_upper
(Intercept),-8.12316429082099,0.504679395095844,-16.0956923737263,2.73494815852259e-58,-9.11233590520885,-7.13399267643314,grid_M1,100km,0.000296588681200519,0.000110296771179765,0.00079752874789866
year_c,0.230173397552093,0.0114261437031527,20.1444514905395,3.01025840789255e-90,0.207778155893913,0.252568639210272,grid_M1,100km,1.25881826701234,1.23094006245859,1.28732785428962
temp_grad_prov_z,0.277752128504359,0.0409326756804201,6.78558447224157,1.15617477900994e-11,0.197524084170736,0.357980172837982,grid_M1,100km,1.32015892688259,1.21838240834623,1.43043725868745
log_effort_visits_z,-1.08715040373219,0.0870464047353166,-12.4893200016464,8.53802533453203e-36,-1.25776135701341,-0.916539450450974,grid_M1,100km,0.337175941342334,0.284289737896751,0.399900524940433
temp_grad_prov_z:log_effort_visits_z,0.24201692047371,0.0302619748151067,7.99739349306759,1.27080615851417e-15,0.182703449836101,0.301330391111319,grid_M1,100km,1.27381574619969,1.20045835916709,1.35165584284996
(Intercept),-8.08043181427416,0.507309054135083,-15.9280260196629,4.04940023680264e-57,-9.07475756037893,-7.0861060681694,grid_M2,100km,0.000309537343912265,0.000114520402808253,0.000836648884624385
year_c,0.208941498544242,0.0111516353258772,18.7363998587181,2.49979655574351e-78,0.187084293305522,0.230798703782961,grid_M2,100km,1.23237290081263,1.20572891564234,1.25960566007347
climate_velocity_z,-0.557242048483931,0.411223542097521,-1.35508304228308,0.175391100848472,-1.36324019099507,0.24875609402721,grid_M2,100km,0.572786605143715,0.255830492881188,1.28242920277854
log_effort_visits_z,-0.591228573607315,0.0754908088275936,-7.83179545681603,4.80951543769928e-15,-0.739190558909398,-0.443266588305232,grid_M2,100km,0.553646671040288,0.477500267472633,0.641936051630716
climate_velocity_z:log_effort_visits_z,-0.42420386869819,0.0489321254303537,-8.66923038734481,4.35050892889779e-18,-0.520110834541683,-0.328296902854696,grid_M2,100km,0.654290478962794,0.594454658209237,0.720149173615661
(Intercept),-7.95954584180976,0.491153750393402,-16.2058130176841,4.58779385502254e-59,-8.92220719258082,-6.99688449103869,grid_M3,100km,0.000349311724221324,0.000133393494494349,0.000914727372133154
year_c,0.19542332072608,0.0112221692589156,17.4140414582344,6.45611205178056e-68,0.173427868978605,0.217418772473554,grid_M3,100km,1.21582556172644,1.1893748928496,1.24286447060081
bio1_z,0.0945975346579121,0.0447375803719901,2.11449823328261,0.0344727355025746,0.00691187712881142,0.182283192187013,grid_M3,100km,1.09921636959731,1.00693581928149,1.19995396335476
log_effort_visits_z,-0.531297912367221,0.0764689652964469,-6.94788938633524,3.70791538546162e-12,-0.681177084348257,-0.381418740386185,grid_M3,100km,0.587841507569434,0.506021012261554,0.682891875333613
bio1_z:log_effort_visits_z,-0.195076545121482,0.032998091306767,-5.91175238918977,3.38487111598053e-09,-0.259752804082745,-0.130400286160218,grid_M3,100km,0.822771676487655,0.771242210167381,0.877744011811008
