model,marginal_r2,conditional_r2,fix_var,re_var,aic
M0_null,0.000406682574222251,0.165046697043412,0.000801201717943853,0.324355826377079,4223.83567021431
M1_climate,0.00220391646309599,0.168444015677453,0.0043596550791318,0.328846172271494,4224.33054830305
M2_effort,0.00649668406763919,0.171449383462598,0.0128979651105327,0.327483088223728,4222.89902645142
M3_additive,0.00816899157106795,0.174911385543284,0.016286071934096,0.332425195823757,4223.4992608513
M4_full,0.0417393136260638,0.206848630303686,0.0865640803679922,0.342423842577543,4193.83280891924
