term,Estimate,Std. Error,z value,Pr(>|z|),model,scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,hr,hr_lower,hr_upper
temp_grad_z,-0.0577456667891831,0.0486043843949577,-1.18807526333311,0.234803759018198,M3,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,0.943889979480584,0.858120917271158,1.03823164711685
log_effort_visits_z,0.171987677110675,0.103271190737392,1.6653984124965,0.0958332959345264,M3,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,1.18766319768159,0.970034290833693,1.45411753425229
(Intercept),-3.32654926060938,0.11976993127113,-27.7744941931952,8.81981024740642e-170,M4,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,0.0359168310955906,0.0284019258100546,0.0454201156842859
year_c,-0.0327204338820645,0.0158534637280443,-2.06392965243192,0.0390243867996097,M4,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,0.967809088401672,0.938198977642843,0.998353711646705
temp_grad_z,-0.139323333177621,0.0495262083935029,-2.81312334816041,0.00490628268966881,M4,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,0.869946700348362,0.789469007725964,0.958628209645566
log_effort_visits_z,0.199779652075654,0.101729997197634,1.96382244744916,0.049550685947391,M4,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,1.22113365424695,1.0003889331832,1.49058766253009
temp_grad_z:log_effort_visits_z,0.255955465386821,0.0452367484662596,5.65813136586791,1.53029987790919e-08,M4,province,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,1.29169520151261,1.18209872406412,1.41145274895009
(Intercept),-3.34853134107635,0.117445677271392,-28.5113204578709,8.48004316571244e-179,M0,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.0351359189068634,0.027911266107413,0.0442306268973517
year_c,-0.0048853659093653,0.00758139207488204,-0.644389033189701,0.519323194245253,M0,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.995126548081372,0.98044875939865,1.01002407030809
(Intercept),-3.34346050823978,0.118059827809614,-28.3200523859099,1.9575395340107e-176,M1,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.0353145397737331,0.0280194106706904,0.044509027476981
year_c,-0.00683100802935959,0.00772940969528069,-0.883768398708424,0.37682124866533,M1,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.993192270271077,0.978259163173226,1.00835333095832
temp_grad_z,-0.0598575553873736,0.0485778603757993,-1.23219826736531,0.217875030386754,M1,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.941898692423296,0.856355092026227,1.03598747184368
(Intercept),-3.34314102221391,0.118490923245638,-28.2143216597561,3.90221588365806e-175,M2,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.0353258240781937,0.0280046914298673,0.0445608854476639
year_c,-0.0151844562902286,0.0100281356616206,-1.51418536830751,0.129978831621013,M2,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.984930246266978,0.965760309676501,1.00448069804865
effort_pc1_z,0.0777836759868674,0.04910310739427,1.58408866800035,0.113173542780643,M2,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,1.0808888111722,0.981710898675724,1.19008622975792
(Intercept),-3.33865743561241,0.119100960575602,-28.0321621209187,6.59130982928884e-173,M3,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.035484566070526,0.0280969199676949,0.0448146782872025
year_c,-0.0167146421973456,0.0100980351463136,-1.65523707881403,0.0978764166429411,M3,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.983424272388499,0.964151546239836,1.00308224707475
temp_grad_z,-0.0569828334286614,0.0486030085409959,-1.1724137072831,0.241030998857877,M3,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.944610284947184,0.85877808611553,1.03902114510635
effort_pc1_z,0.0753816724708911,0.0491404288735327,1.53400518064042,0.125028378280082,M3,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,1.0782956281116,0.97928401808579,1.18731791812285
(Intercept),-3.31970594524088,0.11875119078784,-27.9551381608615,5.70928210441837e-172,M4,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.0361634642294678,0.0286541131928622,0.0456407823991484
year_c,-0.0189413242423057,0.0103141382135383,-1.83644274006756,0.0662922033434615,M4,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.981236935374377,0.961599692346085,1.00127519903196
temp_grad_z,-0.104186567631349,0.0493093412543495,-2.11291745095375,0.0346078339476992,M4,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,0.901057173635869,0.818049135373289,0.992488097661977
effort_pc1_z,0.0939818496207755,0.0520144154693892,1.80684236807553,0.0707868605819919,M4,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,1.09853980682214,0.992065243007447,1.21644187786927
temp_grad_z:effort_pc1_z,0.162605452594193,0.0404401638801524,4.02089005069532,5.79786630401298e-05,M4,province,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,1.17657238451723,1.08691426435409,1.27362628443488
(Intercept),-3.34853134107635,0.117445677271392,-28.5113204578709,8.48004316571244e-179,M0,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.0351359189068634,0.027911266107413,0.0442306268973517
year_c,-0.0048853659093653,0.00758139207488204,-0.644389033189701,0.519323194245253,M0,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.995126548081372,0.98044875939865,1.01002407030809
(Intercept),-3.34346050823978,0.118059827809614,-28.3200523859099,1.9575395340107e-176,M1,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.0353145397737331,0.0280194106706904,0.044509027476981
year_c,-0.00683100802935959,0.00772940969528069,-0.883768398708424,0.37682124866533,M1,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.993192270271077,0.978259163173226,1.00835333095832
temp_grad_z,-0.0598575553873736,0.0485778603757993,-1.23219826736531,0.217875030386754,M1,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.941898692423296,0.856355092026227,1.03598747184368
(Intercept),-3.34433178372297,0.116809981412682,-28.6305309124884,2.80158494486823e-180,M2,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.0352837844811398,0.0280636720881228,0.0443614593059049
year_c,-0.0219471367712949,0.0147002253865176,-1.49297961046392,0.135442524208093,M2,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.978291949355365,0.950507165394815,1.00688892521498
log_effort_days_z,0.141209868312305,0.104670752524094,1.34908620514408,0.177309278624004,M2,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,1.15166632089122,0.938056772611868,1.41391795614049
(Intercept),-3.33937919845991,0.117519758914558,-28.4154701243712,1.3022981623117e-177,M3,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.0354589638695468,0.0281637968366998,0.0446437717894417
year_c,-0.0240646194206955,0.0147686700763618,-1.62943713254265,0.103220513409476,M3,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.976222624779191,0.948369378574618,1.00489391017995
temp_grad_z,-0.0606943216180255,0.0486025722129597,-1.24878826067238,0.211742528786775,M3,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.941110873061067,0.855597380685964,1.03517109260395
log_effort_days_z,0.142645127042935,0.10463749082677,1.36323153313268,0.17280955221755,M3,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,1.15332044679842,0.939465337928872,1.4158564444067
(Intercept),-3.34112681430139,0.119244221163164,-28.019192726578,9.48479270786781e-173,M4,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.0353970493397306,0.0280197548342568,0.0447167046739278
year_c,-0.0250758030084017,0.0145767424203001,-1.72026110398166,0.0853849903349407,M4,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.975235983404918,0.947767350081161,1.00350072541148
temp_grad_z,-0.140682546311037,0.0496181792809746,-2.8353024707817,0.00457823170088249,M4,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,0.868765060599929,0.788254574113898,0.957498700680093
log_effort_days_z,0.166584357250841,0.103918370489863,1.60303088342875,0.108927835868385,M4,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,1.18126317978184,0.963583965185856,1.44811739331835
temp_grad_z:log_effort_days_z,0.268271682917988,0.0478529776891516,5.60616487986716,2.06858914457279e-08,M4,province,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,1.30770237215383,1.1906267470224,1.43629017104936
(Intercept),-3.34853134107635,0.117445677271392,-28.5113204578709,8.48004316571244e-179,M0,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.0351359189068634,0.027911266107413,0.0442306268973517
year_c,-0.0048853659093653,0.00758139207488204,-0.644389033189701,0.519323194245253,M0,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.995126548081372,0.98044875939865,1.01002407030809
(Intercept),-3.34569683515499,0.116326447802981,-28.7612739694545,6.54708767576426e-182,M1,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.0352356531589459,0.0280519628439905,0.0442589796814702
year_c,-0.00487796095667782,0.00758181668007749,-0.643376272799564,0.519979975572789,M1,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.995133916973661,0.980455203641375,1.01003239009129
climate_velocity_z,-0.111669717450058,0.117838662508886,-0.947649227108609,0.343308056559906,M1,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.894339593486962,0.709898344493352,1.12670118853322
(Intercept),-3.36322519478049,0.119348437754752,-28.1798845301315,1.03169699640129e-174,M2,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.0346234114308519,0.0274017572952971,0.0437483116937099
year_c,0.00797296354347721,0.0131242114909734,0.607500385753525,0.543518886714414,M2,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,1.00800483225704,0.982406120970753,1.03427057320196
